Report Date,Revenue,Cost of Revenue,Gross Profit,Operating Expenses,"Selling, General & Administrative",Research & Development,Depreciation & Amortization,Operating Income (Loss),Non-Operating Income (Loss),"Interest Expense, Net","Pretax Income (Loss), Adj.",Abnormal Gains (Losses),Pretax Income (Loss),"Income Tax (Expense) Benefit, Net",Income (Loss) from Continuing Operations,Net Extraordinary Gains (Losses),Net Income,Net Income (Common),"Cash, Cash Equivalents & Short Term Investments",Accounts & Notes Receivable,Inventories,Total Current Assets,"Property, Plant & Equipment, Net",Long Term Investments & Receivables,Other Long Term Assets,Total Noncurrent Assets,Total Assets,Payables & Accruals,Short Term Debt,Total Current Liabilities,Long Term Debt,Total Noncurrent Liabilities,Total Liabilities,Share Capital & Additional Paid-In Capital,Treasury Stock,Retained Earnings,Total Equity,Total Liabilities & Equity,Net Income/Starting Line,Depreciation & Amortization,Non-Cash Items,Change in Working Capital,Change in Accounts Receivable,Change in Inventories,Change in Accounts Payable,Change in Other,Net Cash from Operating Activities,Change in Fixed Assets & Intangibles,Net Change in Long Term Investment,Net Cash from Acquisitions & Divestitures,Net Cash from Investing Activities,Dividends Paid,Cash from (Repayment of) Debt,Cash from (Repurchase of) Equity,Net Cash from Financing Activities,Net Change in Cash,Price Date,Open,High,Low,Close,Adj Close,Volume
2011-03-31,28529000.0,-5848000.0,22681000.0,-24092000.0,-16888000.0,-6843000.0,-361000.0,-1411000.0,-118000.0,,-1529000,0.0,-1529000,-243000.0,-1772000,,-1772000,-1772000,60312000.0,15376000.0,7505000.0,84737000.0,6273000.0,,40578000.0,46851000.0,131588000,20361000.0,,22343000.0,,4502000.0,26845000,379595000.0,-827000.0,-274770000.0,104743000.0,131588000,-1772000.0,940000.0,2077000.0,-1099000.0,,,,,146000.0,-750000.0,499000.0,,-251000.0,,,645000.0,805000.0,1638000,2011-03-31,14.859999656677244,15.050000190734865,14.510000228881836,14.529999732971193,14.529999732971193,178700.0
2011-06-30,27355000.0,-5891000.0,21464000.0,-25885000.0,-18176000.0,-7324000.0,-385000.0,-4421000.0,-77000.0,,-4498000,,-4498000,-96000.0,-4594000,,-4594000,-4594000,59133000.0,14541000.0,8879000.0,83892000.0,6214000.0,,41031000.0,47245000.0,131137000,13664000.0,,15379000.0,,4575000.0,19954000,389602000.0,-827000.0,-279364000.0,111183000.0,131137000,-4594000.0,1046000.0,2599000.0,-7607000.0,,,,,-8556000.0,-472000.0,-501000.0,,-973000.0,,,7629000.0,7629000.0,-1680000,2011-06-30,16.040000915527347,16.59000015258789,15.890000343322756,16.200000762939453,16.200000762939453,195000.0
2011-09-30,29478000.0,-5551000.0,23927000.0,-23161000.0,-16323000.0,-6459000.0,-379000.0,766000.0,60000.0,,826000,,826000,-225000.0,601000,,601000,601000,60820000.0,15490000.0,9211000.0,86928000.0,6273000.0,,38409000.0,44682000.0,131610000,13615000.0,,15434000.0,,4777000.0,20211000,391818000.0,-827000.0,-278763000.0,111399000.0,131610000,601000.0,1079000.0,2323000.0,-1737000.0,,,,,2266000.0,-665000.0,-500000.0,,-1165000.0,,,171000.0,368000.0,1187000,2011-09-30,10.699999809265137,11.40999984741211,10.699999809265137,11.029999732971193,11.029999732971193,267300.0
2011-12-31,32198000.0,-6279000.0,25919000.0,-23686000.0,-17184000.0,-6140000.0,-362000.0,2233000.0,37000.0,,2270000,1017000.0,3287000,-366000.0,2921000,,2921000,2921000,69574000.0,17303000.0,9688000.0,97982000.0,6413000.0,,36231000.0,42644000.0,140626000,15974000.0,,17860000.0,,4988000.0,22848000,397483000.0,-827000.0,-275842000.0,117778000.0,140626000,2921000.0,958000.0,2730000.0,-1678000.0,,,,,4931000.0,-800000.0,-7984000.0,,-8784000.0,,,3986000.0,3986000.0,-246000,2011-12-30,18.31999969482422,18.61000061035156,18.21999931335449,18.46999931335449,18.46999931335449,169600.0
2012-03-31,37344000.0,-6786000.0,30558000.0,-27616000.0,-20028000.0,-7236000.0,-352000.0,2942000.0,-14000.0,,2928000,0.0,2928000,-361000.0,2567000,,2567000,2567000,77223000.0,20458000.0,11142000.0,110539000.0,6378000.0,,36994000.0,43372000.0,153911000,19390000.0,,22415000.0,,5199000.0,27614000,402164000.0,-827000.0,-273275000.0,126297000.0,153911000,2567000.0,1253000.0,2913000.0,-1740000.0,,,,,4993000.0,192000.0,-6750000.0,,-6558000.0,,,2471000.0,2697000.0,898000,2012-03-30,22.350000381469727,22.40999984741211,21.979999542236328,22.190000534057614,22.190000534057614,193500.0
2012-06-30,38783000.0,-7446000.0,31337000.0,-27776000.0,-20953000.0,-6712000.0,-111000.0,3561000.0,-6000.0,,3555000,,3555000,-436000.0,3119000,,3119000,3119000,81222000.0,18343000.0,12477000.0,113791000.0,6337000.0,,34774000.0,41111000.0,154902000,16428000.0,,19115000.0,,5267000.0,24382000,406083000.0,-1065000.0,-270156000.0,130520000.0,154902000,3119000.0,842000.0,3029000.0,-2672000.0,,,,,4318000.0,-470000.0,-6000000.0,,-6470000.0,,,1228000.0,990000.0,-2001000,2012-06-29,22.479999542236328,22.920000076293945,22.149999618530273,22.81999969482422,22.81999969482422,537600.0
2012-09-30,37417000.0,-7194000.0,30223000.0,-24291000.0,-18437000.0,-5854000.0,,5932000.0,-8000.0,,5924000,,5924000,-455000.0,5469000,,5469000,5469000,88981000.0,18801000.0,14461000.0,124034000.0,6268000.0,,35544000.0,41812000.0,165846000,16807000.0,,19703000.0,,5471000.0,25174000,409916000.0,-1065000.0,-264687000.0,140672000.0,165846000,5469000.0,607000.0,2855000.0,-2117000.0,,,,,6814000.0,-1153000.0,-7250000.0,,-8403000.0,,,1265000.0,1535000.0,508000,2012-09-28,21.31999969482422,21.440000534057614,20.899999618530273,20.989999771118164,20.989999771118164,531800.0
2012-12-31,38250000.0,-8130000.0,30120000.0,-27202000.0,-20943000.0,-6259000.0,,2918000.0,325000.0,,3243000,,3243000,-559000.0,2684000,,2684000,2684000,85742000.0,19915000.0,14988000.0,122002000.0,6472000.0,,36535000.0,43007000.0,165009000,20189000.0,,23289000.0,,5675000.0,28964000,412112000.0,-11719000.0,-262003000.0,136045000.0,165009000,2684000.0,637000.0,2493000.0,1895000.0,,,,,7709000.0,-449000.0,9498000.0,,9049000.0,,,-10408000.0,-10408000.0,6260000,2012-12-31,13.359999656677244,13.670000076293945,12.949999809265135,13.4399995803833,13.4399995803833,1181300.0
2013-03-31,43674000.0,-8826000.0,34848000.0,-30716000.0,-23894000.0,-6822000.0,0.0,4132000.0,8000.0,,4140000,,4140000,-398000.0,3742000,,3742000,3742000,76707000.0,22946000.0,14930000.0,116605000.0,6549000.0,11406000.0,35439000.0,53394000.0,169999000,22858000.0,,27056000.0,,5863000.0,32919000,415207000.0,-16129000.0,-258261000.0,137080000.0,169999000,3742000.0,637000.0,3094000.0,85000.0,,,,,7558000.0,-764000.0,-3677000.0,,-4441000.0,,,-4194000.0,-3928000.0,-1306000,2013-03-28,18.739999771118164,18.920000076293945,18.46999931335449,18.670000076293945,18.670000076293945,328900.0
2013-06-30,42670000.0,-8723000.0,33947000.0,-35254000.0,-27967000.0,-7287000.0,,-1307000.0,-5000.0,,-1312000,,-1312000,-411000.0,-1723000,,-1723000,-1723000,67452000.0,20983000.0,16513000.0,106685000.0,6479000.0,20588000.0,36711000.0,63778000.0,170463000,19099000.0,,23092000.0,,6066000.0,29158000,421075000.0,-16554000.0,-259984000.0,141305000.0,170463000,-1723000.0,652000.0,4369000.0,-3331000.0,,,,,-33000.0,-711000.0,2349000.0,,888000.0,,,1931000.0,1505000.0,2276000,2013-06-28,21.299999237060547,21.75,21.299999237060547,21.559999465942386,21.559999465942386,671700.0
