Report Date,Revenue,Cost of Revenue,Gross Profit,Operating Expenses,"Selling, General & Administrative",Research & Development,Depreciation & Amortization,Operating Income (Loss),Non-Operating Income (Loss),"Interest Expense, Net","Pretax Income (Loss), Adj.",Abnormal Gains (Losses),Pretax Income (Loss),"Income Tax (Expense) Benefit, Net",Income (Loss) from Continuing Operations,Net Extraordinary Gains (Losses),Net Income,Net Income (Common),"Cash, Cash Equivalents & Short Term Investments",Accounts & Notes Receivable,Inventories,Total Current Assets,"Property, Plant & Equipment, Net",Long Term Investments & Receivables,Other Long Term Assets,Total Noncurrent Assets,Total Assets,Payables & Accruals,Short Term Debt,Total Current Liabilities,Long Term Debt,Total Noncurrent Liabilities,Total Liabilities,Share Capital & Additional Paid-In Capital,Treasury Stock,Retained Earnings,Total Equity,Total Liabilities & Equity,Net Income/Starting Line,Depreciation & Amortization,Non-Cash Items,Change in Working Capital,Change in Accounts Receivable,Change in Inventories,Change in Accounts Payable,Change in Other,Net Cash from Operating Activities,Change in Fixed Assets & Intangibles,Net Change in Long Term Investment,Net Cash from Acquisitions & Divestitures,Net Cash from Investing Activities,Dividends Paid,Cash from (Repayment of) Debt,Cash from (Repurchase of) Equity,Net Cash from Financing Activities,Net Change in Cash,Price Date,Open,High,Low,Close,Adj Close,Volume
2009-07-31,491991000.0,-225762000.0,266229000.0,-187284000.0,-79706000.0,-107578000.0,,78945000.0,1082000.0,1190000.0,80027000,,80027000,-14567000.0,65460000,,65460000,65460000,1724444000.0,244025000.0,276072000.0,2359633000.0,491564000.0,1677000.0,427277000.0,920518000.0,3280151000,227568000.0,,353926000.0,374926000.0,467860000.0,821786000,48592000.0,,2426580000.0,2458365000.0,3280151000,65460000.0,31979000.0,14498000.0,21627000.0,,,,,133564000.0,-5425000.0,,-8360000.0,-498410000.0,-58260000.0,370350000.0,5638000.0,317728000.0,-44164000,2009-07-31,27.53000068664551,27.809999465942386,27.25,27.3700008392334,20.198102951049805,3103700.0
2009-10-31,571600000.0,-249746000.0,321854000.0,-193482000.0,-83356000.0,-110126000.0,,128372000.0,-1146000.0,-986000.0,127226000,,127226000,-21617000.0,105609000,0.0,105609000,105609000,1815973000.0,301036000.0,253161000.0,2490636000.0,476516000.0,1485000.0,400770000.0,878771000.0,3369407000,235972000.0,,386613000.0,379626000.0,453645000.0,840258000,104951000.0,,2434446000.0,2529149000.0,3369407000,105609000.0,32148000.0,26486000.0,-1565000.0,,,,,162678000.0,-16389000.0,,0.0,-101086000.0,-58326000.0,0.0,3637000.0,-54674000.0,7014000,2009-10-30,26.290000915527344,26.440000534057614,25.540000915527344,25.6299991607666,19.048948287963867,4343700.0
2010-01-31,602983000.0,-234507000.0,368476000.0,-219362000.0,-88481000.0,-130881000.0,,149114000.0,-847000.0,-358000.0,148267000,,148267000,-28667000.0,119600000,859000.0,120459000,120459000,2178964000.0,313288000.0,243275000.0,2840955000.0,464456000.0,1459000.0,391300000.0,857215000.0,3698170000,272961000.0,,451431000.0,381425000.0,482586000.0,934017000,282919000.0,,2496035000.0,2764153000.0,3698170000,120459000.0,31082000.0,17185000.0,45047000.0,,,,,213773000.0,-17179000.0,,,-42961000.0,-58870000.0,,163487000.0,104670000.0,274539000,2010-01-29,27.60000038146973,27.95000076293945,26.76000022888184,26.959999084472656,20.17026710510254,7080100.0
2010-04-30,668240000.0,-233725000.0,434515000.0,-220440000.0,-97660000.0,-122780000.0,,214075000.0,-55000.0,-543000.0,214020000,,214020000,-46880000.0,167140000,0.0,167140000,167140000,2386739000.0,332157000.0,247662000.0,3078308000.0,453344000.0,1640000.0,394805000.0,849789000.0,3928097000,356429000.0,,564717000.0,383306000.0,473130000.0,1037847000,301347000.0,,2603619000.0,2890250000.0,3928097000,167140000.0,30692000.0,-721000.0,81209000.0,,,,,278320000.0,-17490000.0,,,-130092000.0,-59556000.0,,5666000.0,-53818000.0,94104000,2010-04-30,30.959999084472656,30.959999084472656,29.690000534057614,29.93000030517578,22.544513702392575,6010000.0
2010-07-31,720290000.0,-240088000.0,480202000.0,-229057000.0,-102070000.0,-126987000.0,,251145000.0,176000.0,592000.0,251321000,,251321000,-51830000.0,199491000,0.0,199491000,199491000,2508315000.0,357479000.0,265266000.0,3234538000.0,463751000.0,1140000.0,404639000.0,869530000.0,4104068000,373652000.0,,588379000.0,395756000.0,481214000.0,1069593000,315241000.0,,2737161000.0,3034475000.0,4104068000,199491000.0,29191000.0,6464000.0,-10340000.0,,,,,224806000.0,-39125000.0,,,-172896000.0,-65949000.0,,802000.0,-64617000.0,-14943000,2010-07-30,29.5,29.8799991607666,29.06999969482422,29.709999084472656,22.551856994628906,3133000.0
2010-10-31,769990000.0,-253761000.0,516229000.0,-230489000.0,-102349000.0,-128140000.0,,285740000.0,2317000.0,-283000.0,288057000,,288057000,-63063000.0,224994000,0.0,224994000,224994000,2687768000.0,387169000.0,277478000.0,3478999000.0,472665000.0,1317000.0,375850000.0,849832000.0,4328831000,400619000.0,0.0,643467000.0,400635000.0,485647000.0,1129114000,336746000.0,,2896566000.0,3199717000.0,4328831000,224994000.0,29946000.0,19931000.0,-595000.0,,,,,274276000.0,-37763000.0,,0.0,-139876000.0,-65589000.0,0.0,6344000.0,-58873000.0,76571000,2010-10-29,32.90999984741211,34.09000015258789,32.779998779296875,33.669998168945305,25.750978469848636,7019000.0
2011-01-31,728504000.0,-246331000.0,482173000.0,-222767000.0,-100022000.0,-122745000.0,,259406000.0,-586000.0,-545000.0,258820000,,258820000,-43214000.0,215606000,6500000.0,222106000,222106000,2961116000.0,384276000.0,282980000.0,3737029000.0,468541000.0,3283000.0,388052000.0,859876000.0,4596905000,340737000.0,14500000.0,608491000.0,523046000.0,623987000.0,1232478000,347062000.0,,3052862000.0,3364427000.0,4596905000,222106000.0,29885000.0,354000.0,-35594000.0,,,,,216751000.0,-25547000.0,,,208136000.0,-65810000.0,145000000.0,-11638000.0,75735000.0,500321000,2011-01-31,38.43999862670898,39.02000045776367,38.16999816894531,38.83000183105469,29.882244110107425,3630300.0
2011-04-30,790780000.0,-256566000.0,534214000.0,-235728000.0,-105268000.0,-130460000.0,,298486000.0,-1730000.0,-1881000.0,296756000,,296756000,-54930000.0,241826000,0.0,241826000,241826000,3431365000.0,414579000.0,293780000.0,4292738000.0,473662000.0,3561000.0,390438000.0,867661000.0,5160399000,304128000.0,14500000.0,588158000.0,892432000.0,990243000.0,1578401000,380018000.0,,3228689000.0,3581998000.0,5160399000,241826000.0,29806000.0,-28311000.0,-46683000.0,,,,,196638000.0,-34141000.0,,,-184037000.0,-65999000.0,366882000.0,-21440000.0,310049000.0,324440000,2011-04-29,40.5,40.72000122070313,40.2599983215332,40.310001373291016,31.19641876220703,1933500.0
2011-07-31,757902000.0,-248262000.0,509640000.0,-230799000.0,-102323000.0,-128476000.0,,278841000.0,-3970000.0,-3764000.0,274871000,,274871000,-54936000.0,219935000,0.0,219935000,219935000,3514538000.0,375011000.0,299332000.0,4339131000.0,481596000.0,3319000.0,427335000.0,912250000.0,5251381000,264259000.0,14500000.0,556287000.0,875766000.0,979377000.0,1535664000,371746000.0,,3373631000.0,3715717000.0,5251381000,219935000.0,29480000.0,17163000.0,-9598000.0,,,,,256980000.0,-36977000.0,,-13988000.0,-670372000.0,-74993000.0,-21142000.0,-25123000.0,-122386000.0,-536940000,2011-07-29,34.360000610351555,34.919998168945305,34.02000045776367,34.400001525878906,26.78815650939941,3756700.0
2011-10-31,716134000.0,-255620000.0,460514000.0,-225222000.0,-99094000.0,-126128000.0,,235292000.0,-4292000.0,-3896000.0,231000000,,231000000,-47473000.0,183527000,0.0,183527000,183527000,3592462000.0,348416000.0,295081000.0,4386348000.0,478839000.0,2951000.0,409497000.0,891287000.0,5277635000,277256000.0,14500000.0,525005000.0,871876000.0,957217000.0,1482222000,339248000.0,,3482334000.0,3795413000.0,5277635000,183527000.0,29048000.0,14253000.0,3332000.0,,,,,230160000.0,-26331000.0,,0.0,-57465000.0,-74824000.0,-3625000.0,-54891000.0,-124786000.0,47279000,2011-10-31,37.209999084472656,37.34000015258789,36.560001373291016,36.56999969482422,28.69698905944824,3337200.0
