Report Date,Revenue,Cost of Revenue,Gross Profit,Operating Expenses,"Selling, General & Administrative",Research & Development,Depreciation & Amortization,Operating Income (Loss),Non-Operating Income (Loss),"Interest Expense, Net","Pretax Income (Loss), Adj.",Abnormal Gains (Losses),Pretax Income (Loss),"Income Tax (Expense) Benefit, Net",Income (Loss) from Continuing Operations,Net Extraordinary Gains (Losses),Net Income,Net Income (Common),"Cash, Cash Equivalents & Short Term Investments",Accounts & Notes Receivable,Inventories,Total Current Assets,"Property, Plant & Equipment, Net",Long Term Investments & Receivables,Other Long Term Assets,Total Noncurrent Assets,Total Assets,Payables & Accruals,Short Term Debt,Total Current Liabilities,Long Term Debt,Total Noncurrent Liabilities,Total Liabilities,Share Capital & Additional Paid-In Capital,Treasury Stock,Retained Earnings,Total Equity,Total Liabilities & Equity,Net Income/Starting Line,Depreciation & Amortization,Non-Cash Items,Change in Working Capital,Change in Accounts Receivable,Change in Inventories,Change in Accounts Payable,Change in Other,Net Cash from Operating Activities,Change in Fixed Assets & Intangibles,Net Change in Long Term Investment,Net Cash from Acquisitions & Divestitures,Net Cash from Investing Activities,Dividends Paid,Cash from (Repayment of) Debt,Cash from (Repurchase of) Equity,Net Cash from Financing Activities,Net Change in Cash,Price Date,Open,High,Low,Close,Adj Close,Volume
2009-06-30,212259000.0,,212259000.0,-142510000.0,-5390000.0,,-51174000.0,69749000.0,-36388000.0,-36880000.0,33361000,-20302000.0,13059000,,13059000,3664000.0,17674000,17674000,215788000.0,,,483923000.0,6821525000.0,,268870000.0,7090395000.0,7574318000,297923000.0,2354298000.0,2707484000.0,1795590000.0,1869403000.0,4576887000,3088569000.0,,-95725000.0,2997431000.0,7574318000,16723000.0,53737000.0,22331000.0,6116000.0,,,,6116000.0,98907000.0,-958000.0,,-166975000.0,-146376000.0,-71087000.0,250873000.0,1079000.0,172922000.0,125453000,2009-06-30,55.790000915527344,56.209999084472656,55.11999893188477,55.93999862670898,37.74431991577149,1155700.0
2009-09-30,215043000.0,,215043000.0,-146523000.0,-5750000.0,,-52987000.0,68520000.0,-41015000.0,-41205000.0,27505000,241000.0,27746000,,27746000,30355000.0,58154000,58154000,554335000.0,,,803373000.0,6856254000.0,,286793000.0,7143047000.0,7946420000,312158000.0,2352556000.0,2714707000.0,2080295000.0,2144604000.0,4859311000,3192427000.0,,-108243000.0,3087109000.0,7946420000,58100000.0,55316000.0,-25466000.0,-4700000.0,,,,-4700000.0,83250000.0,-2720000.0,,-64338000.0,-53621000.0,-71341000.0,282867000.0,101328000.0,308946000.0,338575000,2009-09-30,73.77999877929688,74.3499984741211,72.18000030517578,72.7300033569336,49.68008041381836,2057500.0
2009-12-31,192889000.0,,192889000.0,-130954000.0,-10361000.0,,-50247000.0,61935000.0,-39945000.0,-37247000.0,21990000,-23233000.0,-1243000,,-1243000,33592000.0,32394000,32394000,105691000.0,,,340013000.0,6833487000.0,,284105000.0,7117592000.0,7457605000,305737000.0,2316843000.0,2674937000.0,1658029000.0,1726744000.0,4401681000,3201182000.0,,-149988000.0,3055924000.0,7457605000,32350000.0,56593000.0,-4148000.0,18808000.0,,,,18808000.0,103603000.0,-7137000.0,,-8008000.0,-3881000.0,-72441000.0,-482713000.0,6418000.0,-549642000.0,-449920000,2009-12-31,83.80999755859375,84.66000366210938,81.9000015258789,82.11000061035156,56.67487716674805,1047100.0
2010-03-31,215449000.0,,215449000.0,-152935000.0,-8895000.0,,-55972000.0,62514000.0,-42314000.0,-42541000.0,20200000,,20200000,,20200000,52166000.0,72523000,72523000,123297000.0,,,353089000.0,6870018000.0,,285027000.0,7155045000.0,7508134000,309755000.0,2290378000.0,2650180000.0,1659529000.0,1715581000.0,4365761000,3288498000.0,,-152324000.0,3142373000.0,7508134000,72366000.0,56095000.0,-45324000.0,-14254000.0,,,,-14254000.0,68883000.0,-1834000.0,,-36025000.0,-36043000.0,-72603000.0,-26465000.0,83896000.0,-15234000.0,17606000,2010-03-31,86.62999725341797,87.2699966430664,86.20999908447266,86.3499984741211,60.21403503417969,1009100.0
2010-06-30,220342000.0,,220342000.0,-150245000.0,-4041000.0,,-57317000.0,70097000.0,-40995000.0,-41458000.0,29102000,,29102000,,29102000,21964000.0,51125000,51125000,373721000.0,,,583775000.0,6841858000.0,,279211000.0,7121069000.0,7704844000,304258000.0,2288913000.0,2636614000.0,1659621000.0,1723940000.0,4360554000,3516040000.0,,-179929000.0,3344290000.0,7704844000,51066000.0,57479000.0,-18274000.0,12570000.0,,,,12570000.0,102841000.0,-3562000.0,,-7601000.0,2065000.0,-73655000.0,-1465000.0,222921000.0,145518000.0,250424000,2010-06-30,94.77999877929688,96.43000030517578,93.20999908447266,93.37000274658205,65.69168090820311,1297900.0
2010-09-30,225558000.0,,225558000.0,-154759000.0,-7039000.0,,-57926000.0,70799000.0,-44587000.0,-44262000.0,26212000,,26212000,,26212000,-2232000.0,24654000,24654000,229111000.0,,,429746000.0,6924070000.0,,320586000.0,7244656000.0,7674402000,318002000.0,2287410000.0,2643118000.0,1660480000.0,1716823000.0,4359941000,3533304000.0,,-232770000.0,3314461000.0,7674402000,23982000.0,58753000.0,2416000.0,-22496000.0,,,,-22496000.0,62655000.0,-4804000.0,,-121544000.0,-144369000.0,-75823000.0,-1503000.0,15440000.0,-62896000.0,-144610000,2010-09-30,104.61000061035156,106.16999816894531,103.5,103.93000030517578,73.74342346191406,1258600.0
2010-12-31,181471000.0,,181471000.0,-123591000.0,-6871000.0,,-49348000.0,57880000.0,-41339000.0,-41736000.0,16541000,,16541000,,16541000,10126000.0,27029000,27029000,304407000.0,,,499792000.0,6955645000.0,,366051000.0,7321696000.0,7821488000,207607000.0,2152944000.0,2606080000.0,1820141000.0,1885555000.0,4491635000,3594536000.0,,-282743000.0,3329853000.0,7821488000,26665000.0,60615000.0,-2375000.0,12822000.0,,,,12822000.0,97727000.0,-6992000.0,,-119713000.0,-120589000.0,-76009000.0,120530000.0,59108000.0,100177000.0,77315000,2010-12-31,113.1500015258789,113.4800033569336,112.5500030517578,112.5500030517578,80.49819946289062,426900.0
2011-03-31,228530000.0,,228530000.0,-154849000.0,-7292000.0,,-59650000.0,73681000.0,-42468000.0,-42971000.0,31213000,,31213000,,31213000,-676000.0,30341000,30341000,291800000.0,,,500041000.0,7003424000.0,,378297000.0,7381721000.0,7881762000,323252000.0,2217397000.0,2573346000.0,1819786000.0,1880902000.0,4454248000,3750244000.0,,-332401000.0,3427514000.0,7881762000,30537000.0,61299000.0,-894000.0,-17727000.0,,,,-17727000.0,73215000.0,-5956000.0,,-109419000.0,-124683000.0,-76557000.0,-30119000.0,150157000.0,36842000.0,-14626000,2011-03-31,117.97000122070312,120.33000183105469,117.97000122070312,120.08000183105469,86.53819274902344,621400.0
2011-06-30,235581000.0,,235581000.0,-156198000.0,-8145000.0,,-60836000.0,79383000.0,-44149000.0,-44544000.0,35234000,,35234000,,35234000,7958000.0,43373000,43373000,290104000.0,,,384560000.0,7187432000.0,,370750000.0,7558182000.0,7942742000,362037000.0,2166679000.0,2562537000.0,1819478000.0,1894190000.0,4456727000,3864107000.0,,-368412000.0,3486015000.0,7942742000,43191000.0,62920000.0,201000.0,26352000.0,,,,26352000.0,132664000.0,-55832000.0,,-132126000.0,-168345000.0,-77825000.0,-1844000.0,113977000.0,33985000.0,-1696000,2011-06-30,128.33999633789062,128.97000122070312,127.75,128.39999389648438,93.18653869628906,1006000.0
2011-09-30,243719000.0,,243719000.0,-158989000.0,-6087000.0,,-60893000.0,84730000.0,-40044000.0,-42659000.0,44686000,-336000.0,44350000,,44350000,327000.0,44824000,44824000,690049000.0,,,782806000.0,7315783000.0,,390068000.0,7705851000.0,8488657000,320108000.0,2155859000.0,2635167000.0,1629234000.0,1690384000.0,4325551000,4639336000.0,,-409477000.0,4163106000.0,8488657000,44677000.0,62736000.0,912000.0,-19192000.0,,,,-19192000.0,89133000.0,-7236000.0,,-174104000.0,-176454000.0,-79045000.0,-200585000.0,773496000.0,488048000.0,400727000,2011-09-30,116.83999633789062,118.44000244140624,114.01000213623048,114.0500030517578,83.39126586914062,1034600.0
2011-12-31,192257000.0,,192257000.0,-121899000.0,-7847000.0,,-45349000.0,70358000.0,-36033000.0,-37640000.0,34325000,-4907000.0,29418000,,29418000,293546000.0,323084000,323084000,616853000.0,,,713850000.0,7425030000.0,,343510000.0,7768540000.0,8482390000,330473000.0,1969986000.0,2374047000.0,1629210000.0,1699388000.0,4073435000,4653409000.0,,-171648000.0,4408955000.0,8482390000,322965000.0,63314000.0,-267531000.0,15594000.0,,,,15594000.0,134342000.0,-27383000.0,,54165000.0,26341000.0,-84804000.0,-157518000.0,12205000.0,-232642000.0,-71959000,2011-12-30,131.19999694824222,132.3699951171875,130.58000183105472,130.60000610351562,96.1399917602539,305800.0
2012-03-31,246032000.0,,246032000.0,-159489000.0,-9710000.0,,-61571000.0,86543000.0,-31451000.0,-33626000.0,55092000,-1418000.0,53674000,,53674000,3935000.0,57758000,57758000,248242000.0,,,345405000.0,7537454000.0,,358200000.0,7895654000.0,8241059000,326251000.0,1930386000.0,2334468000.0,1449929000.0,1509124000.0,3843592000,4667489000.0,,-208304000.0,4397467000.0,8241059000,57609000.0,63312000.0,2067000.0,-17648000.0,,,,-17648000.0,105340000.0,-10335000.0,,-164750000.0,-166340000.0,-84926000.0,-231438000.0,8956000.0,-307611000.0,-368611000,2012-03-30,139.16000366210938,141.69000244140625,139.1199951171875,141.35000610351562,104.78368377685548,1037600.0
2012-06-30,252445000.0,,252445000.0,-162819000.0,-8316000.0,,-63224000.0,89626000.0,-31118000.0,-33191000.0,58508000,-621000.0,57887000,,57887000,98934000.0,156909000,156909000,358263000.0,,,457422000.0,7606172000.0,,348451000.0,7954623000.0,8412045000,346394000.0,1912316000.0,2302067000.0,1450048000.0,1520422000.0,3822489000,4828296000.0,,-145921000.0,4589556000.0,8412045000,156821000.0,65019000.0,-93477000.0,-11235000.0,,,,-11235000.0,117128000.0,-33964000.0,,8019000.0,-26411000.0,-92396000.0,-51583000.0,166726000.0,19304000.0,110021000,2012-06-29,140.63999938964844,141.67999267578125,139.94000244140622,141.47999572753906,105.62580108642578,646500.0
2012-09-30,261321000.0,,261321000.0,-164068000.0,-8372000.0,,-62750000.0,97253000.0,-28432000.0,-33985000.0,68821000,13586000.0,82407000,,82407000,4340000.0,86844000,86844000,664133000.0,,,739226000.0,7878648000.0,,350692000.0,8229340000.0,8968566000,319889000.0,1908872000.0,2279955000.0,1899208000.0,1960533000.0,4240488000,4981914000.0,,-153811000.0,4728078000.0,8968566000,86748000.0,65998000.0,-4502000.0,4461000.0,,,,4461000.0,152705000.0,-76148000.0,,-236917000.0,-289981000.0,-93544000.0,447366000.0,150971000.0,443146000.0,305870000,2012-09-28,135.83000183105472,136.69000244140622,135.3699951171875,135.99000549316406,102.25939178466795,627600.0
2012-12-31,240829000.0,,240829000.0,-148310000.0,-7703000.0,,-56135000.0,92519000.0,-25005000.0,-36118000.0,67514000,-11051000.0,56463000,0.0,56463000,65922000.0,122358000,122358000,2733618000.0,,,2808316000.0,8015120000.0,,336642000.0,8351762000.0,11160078000,327722000.0,1905235000.0,2296355000.0,1945798000.0,2015903000.0,4312258000,7087551000.0,,-142329000.0,6847820000.0,11160078000,122384000.0,65765000.0,-50180000.0,27677000.0,,,,27677000.0,165646000.0,-61836000.0,,-81111000.0,-140654000.0,-94706000.0,44641000.0,2103537000.0,2044493000.0,2069485000,2012-12-31,134.10000610351562,135.58999633789062,133.6300048828125,135.58999633789062,102.69615936279295,595000.0
2013-03-31,301357000.0,,301357000.0,-219328000.0,-10039000.0,,-105559000.0,82029000.0,-56738000.0,-38174000.0,25291000,-40059000.0,-14768000,,-14768000,90237000.0,75427000,75427000,447456000.0,,,568419000.0,14014180000.0,,604765000.0,14618945000.0,15187364000,455056000.0,4082328000.0,4590701000.0,1845961000.0,1917006000.0,6507707000,8968592000.0,,-206667000.0,8679657000.0,15187364000,75469000.0,109829000.0,-72629000.0,-31281000.0,,,,-31281000.0,81388000.0,-752891000.0,,103670000.0,-649581000.0,-110891000.0,-1607243000.0,253000.0,-1717969000.0,-2286162000,2013-03-28,126.86000061035156,127.08999633789062,126.12000274658205,126.66999816894531,96.75843048095705,989900.0
2013-06-30,378207000.0,,378207000.0,-330198000.0,-11345000.0,,-189977000.0,48009000.0,-44109000.0,-43169000.0,3900000,-3566000.0,334000,,334000,35763000.0,36218000,36218000,111147000.0,,,233433000.0,14116246000.0,,622506000.0,14738752000.0,14972185000,362645000.0,3865206000.0,4454835000.0,1846113000.0,1934073000.0,6388908000,8974146000.0,,-308938000.0,8583277000.0,14972185000,36101000.0,196326000.0,-33609000.0,-12995000.0,,,,-12995000.0,185823000.0,-1091000.0,,-265345000.0,-234769000.0,-138376000.0,-65677000.0,2352000.0,-287363000.0,-336309000,2013-06-28,136.11000061035156,136.91999816894528,134.83000183105472,134.91000366210938,103.87327575683594,1675100.0
2013-09-30,389189000.0,,389189000.0,-308792000.0,-9878000.0,,-159873000.0,80397000.0,-40685000.0,-43945000.0,39712000,-55660000.0,-15948000,,-15948000,5063000.0,-10715000,-10715000,112910000.0,,,239207000.0,14284651000.0,,621249000.0,14905900000.0,15145107000,392603000.0,3852441000.0,4337346000.0,2245191000.0,2316176000.0,6653522000,8978074000.0,,-458229000.0,8491585000.0,15145107000,-10889000.0,162409000.0,58292000.0,-7100000.0,,,,-7100000.0,202712000.0,-13106000.0,,-297372000.0,-310661000.0,-138391000.0,254731000.0,269000.0,109712000.0,1763000,2013-09-30,128.75,130.3800048828125,126.58000183105469,127.08999633789062,98.65863800048828,727900.0
2013-12-31,394168000.0,,394168000.0,-252489000.0,-8311000.0,,-104806000.0,141679000.0,-42024000.0,-47114000.0,99655000,-11446000.0,88209000,0.0,88209000,163881000.0,252211000,252211000,281355000.0,,,406591000.0,14284209000.0,,637343000.0,14921552000.0,15328143000,378813000.0,3539642000.0,4028939000.0,2594709000.0,2682157000.0,6711096000,8990017000.0,,-345254000.0,8617047000.0,15328143000,252090000.0,105151000.0,-159850000.0,57001000.0,,,,57001000.0,254392000.0,-98996000.0,,109178000.0,13837000.0,-138392000.0,42770000.0,1829000.0,-99784000.0,168445000,2013-12-31,118.56999969482422,119.22000122070312,117.94000244140624,118.2300033569336,92.61537170410156,758800.0
2014-03-31,400075000.0,,400075000.0,-258630000.0,-9236000.0,,-106367000.0,141445000.0,-37310000.0,-42533000.0,104135000,-715000.0,103420000,,103420000,38179000.0,141739000,141739000,386190000.0,,,504085000.0,14452361000.0,,613793000.0,15066154000.0,15570239000,391457000.0,3536881000.0,4022471000.0,2844917000.0,2924695000.0,6947166000,9003556000.0,,-353029000.0,8623073000.0,15570239000,141599000.0,106367000.0,-33653000.0,6004000.0,,,,6004000.0,220317000.0,-23009000.0,,-201016000.0,-224364000.0,-138393000.0,246168000.0,7234000.0,108696000.0,104649000,2014-03-31,130.53999328613278,132.16999816894528,129.39999389648438,131.32000732421878,103.79524230957031,1184800.0
