Report Date,Revenue,Cost of Revenue,Gross Profit,Operating Expenses,"Selling, General & Administrative",Research & Development,Depreciation & Amortization,Operating Income (Loss),Non-Operating Income (Loss),"Interest Expense, Net","Pretax Income (Loss), Adj.",Abnormal Gains (Losses),Pretax Income (Loss),"Income Tax (Expense) Benefit, Net",Income (Loss) from Continuing Operations,Net Extraordinary Gains (Losses),Net Income,Net Income (Common),"Cash, Cash Equivalents & Short Term Investments",Accounts & Notes Receivable,Inventories,Total Current Assets,"Property, Plant & Equipment, Net",Long Term Investments & Receivables,Other Long Term Assets,Total Noncurrent Assets,Total Assets,Payables & Accruals,Short Term Debt,Total Current Liabilities,Long Term Debt,Total Noncurrent Liabilities,Total Liabilities,Share Capital & Additional Paid-In Capital,Treasury Stock,Retained Earnings,Total Equity,Total Liabilities & Equity,Net Income/Starting Line,Depreciation & Amortization,Non-Cash Items,Change in Working Capital,Change in Accounts Receivable,Change in Inventories,Change in Accounts Payable,Change in Other,Net Cash from Operating Activities,Change in Fixed Assets & Intangibles,Net Change in Long Term Investment,Net Cash from Acquisitions & Divestitures,Net Cash from Investing Activities,Dividends Paid,Cash from (Repayment of) Debt,Cash from (Repurchase of) Equity,Net Cash from Financing Activities,Net Change in Cash,Price Date,Open,High,Low,Close,Adj Close,Volume
2017-09-30,5301000000.0,-4349000000.0,952000000.0,-795000000.0,-795000000.0,,,157000000.0,-50000000.0,-41000000.0,107000000,-350000000.0,-243000000,-114000000.0,-357000000,,-134000000,-134000000,4777000000.0,5194000000.0,5309000000.0,16581000000.0,6255000000.0,,31974000000.0,38229000000.0,54810000000,3203000000.0,1866000000.0,8732000000.0,3039000000.0,5930000000.0,14662000000,15716000000.0,,-104000000.0,40148000000.0,54810000000,-357000000.0,426000000.0,0.0,-265000000.0,,,,,-196000000.0,-210000000.0,,-3365000000.0,-3749000000.0,-76000000.0,-280000000.0,0.0,6668000000.0,2754000000,2017-09-29,36.79999923706055,37.04999923706055,36.31999969482422,36.61999893188477,32.26214599609375,3251200.0
2017-12-31,5799000000.0,-4940000000.0,859000000.0,-787000000.0,-787000000.0,,,72000000.0,-36000000.0,-56000000.0,36000000,-183000000.0,-147000000,67000000.0,-80000000,,31000000,31000000,7030000000.0,6015000000.0,4507000000.0,18424000000.0,6959000000.0,,31117000000.0,38076000000.0,56500000000,3377000000.0,2037000000.0,9227000000.0,6312000000.0,8863000000.0,18090000000,15083000000.0,,-103000000.0,38410000000.0,56500000000,-80000000.0,387000000.0,-293000000.0,-228000000.0,,,,,-214000000.0,-152000000.0,,10000000.0,-244000000.0,-79000000.0,3413000000.0,-174000000.0,2707000000.0,2253000000,2017-12-29,31.57999992370605,31.79999923706055,31.059999465942386,31.63999938964844,28.03611183166504,3050200.0
2018-03-31,5399000000.0,-4558000000.0,841000000.0,-674000000.0,-674000000.0,,,167000000.0,-64000000.0,-46000000.0,103000000,-208000000.0,-105000000,86000000.0,-19000000,,70000000,70000000,5631000000.0,5865000000.0,4696000000.0,17054000000.0,6593000000.0,,31574000000.0,38167000000.0,55221000000,3439000000.0,1176000000.0,8325000000.0,6296000000.0,8801000000.0,17126000000,14845000000.0,,-8000000.0,38095000000.0,55221000000,-19000000.0,388000000.0,-233000000.0,158000000.0,,,,,294000000.0,-69000000.0,,,-134000000.0,-76000000.0,-829000000.0,-190000000.0,-1553000000.0,-1399000000,2018-03-29,28.06999969482422,28.170000076293945,27.65999984741211,27.770000457763672,24.744171142578125,7008300.0
2018-06-30,5548000000.0,-4612000000.0,936000000.0,-662000000.0,-662000000.0,,,274000000.0,-54000000.0,-63000000.0,220000000,-196000000.0,24000000,-62000000.0,-38000000,,-19000000,-19000000,4879000000.0,6038000000.0,4675000000.0,16442000000.0,6335000000.0,,31313000000.0,37648000000.0,54090000000,3574000000.0,1067000000.0,8633000000.0,6319000000.0,8640000000.0,17273000000,14625000000.0,,-27000000.0,36817000000.0,54090000000,-38000000.0,392000000.0,-67000000.0,-148000000.0,,,,,139000000.0,-161000000.0,,,-28000000.0,-74000000.0,-119000000.0,-197000000.0,-819000000.0,-752000000,2018-06-29,33.029998779296875,33.439998626708984,32.860000610351555,33.029998779296875,29.5794734954834,3390300.0
2018-09-30,5665000000.0,-4692000000.0,973000000.0,-608000000.0,-608000000.0,,,365000000.0,-134000000.0,-55000000.0,231000000,-83000000.0,148000000,-110000000.0,38000000,,13000000,13000000,4765000000.0,5809000000.0,4681000000.0,16118000000.0,6226000000.0,,31256000000.0,37482000000.0,53600000000,3686000000.0,1000000000.0,8457000000.0,6293000000.0,8580000000.0,17037000000,14575000000.0,,-14000000.0,36563000000.0,53600000000,38000000.0,353000000.0,-12000000.0,-139000000.0,,,,,240000000.0,-93000000.0,,-20000000.0,-42000000.0,-74000000.0,-44000000.0,0.0,-275000000.0,-114000000,2018-09-28,33.77000045776367,34.490001678466804,33.61999893188477,33.830001831054695,30.45364570617676,3297700.0
2018-12-31,6265000000.0,-5029000000.0,1236000000.0,-755000000.0,-755000000.0,,,481000000.0,92000000.0,-59000000.0,573000000,-99000000.0,474000000,-172000000.0,302000000,,131000000,131000000,3723000000.0,5969000000.0,4620000000.0,14971000000.0,6228000000.0,,31240000000.0,37468000000.0,52439000000,4025000000.0,942000000.0,9020000000.0,6285000000.0,8406000000.0,17426000000,18659000000.0,,25000000.0,35013000000.0,52439000000,302000000.0,353000000.0,216000000.0,218000000.0,,,,,1089000000.0,-214000000.0,,-57000000.0,-374000000.0,-91000000.0,-68000000.0,0.0,-1716000000.0,-1042000000,2018-12-31,21.56999969482422,21.57999992370605,21.01000022888184,21.5,19.50588607788086,3802100.0
2019-03-31,5615000000.0,-4639000000.0,976000000.0,-704000000.0,-704000000.0,,,272000000.0,-38000000.0,-59000000.0,234000000,-96000000.0,138000000,-67000000.0,71000000,,32000000,32000000,3073000000.0,6319000000.0,4871000000.0,14912000000.0,6218000000.0,,31999000000.0,38217000000.0,53129000000,3918000000.0,906000000.0,9052000000.0,6270000000.0,8991000000.0,18043000000,18646000000.0,,0.0,35086000000.0,53129000000,71000000.0,350000000.0,-18000000.0,-587000000.0,,,,,-184000000.0,-235000000.0,,,-256000000.0,-93000000.0,-48000000.0,0.0,-232000000.0,-650000000,2019-03-29,27.479999542236328,27.81999969482422,27.31999969482422,27.71999931335449,25.3425235748291,7450800.0
2019-06-30,5994000000.0,-4932000000.0,1062000000.0,-701000000.0,-701000000.0,,,361000000.0,-187000000.0,-56000000.0,174000000,-90000000.0,84000000,-95000000.0,-11000000,,-9000000,-9000000,3138000000.0,6310000000.0,4807000000.0,14985000000.0,6130000000.0,,31761000000.0,37891000000.0,52876000000,3966000000.0,892000000.0,9341000000.0,6256000000.0,8754000000.0,18095000000,18668000000.0,,-9000000.0,34781000000.0,52876000000,-11000000.0,359000000.0,117000000.0,128000000.0,,,,,593000000.0,-238000000.0,,-69000000.0,-307000000.0,-92000000.0,-18000000.0,0.0,-195000000.0,65000000,2019-06-28,24.76000022888184,25.06999969482422,24.420000076293945,24.6299991607666,22.69586563110352,9899300.0
2019-09-30,5882000000.0,-4781000000.0,1101000000.0,-679000000.0,-679000000.0,,,422000000.0,-73000000.0,-59000000.0,349000000,-125000000.0,224000000,-107000000.0,117000000,,57000000,57000000,2808000000.0,6165000000.0,4739000000.0,14769000000.0,6141000000.0,,31639000000.0,37780000000.0,52549000000,3870000000.0,694000000.0,9332000000.0,6313000000.0,8781000000.0,18113000000,23570000000.0,,0.0,34436000000.0,52549000000,117000000.0,356000000.0,-7000000.0,-106000000.0,,,,,360000000.0,-199000000.0,,69000000.0,-96000000.0,-93000000.0,-161000000.0,0.0,-569000000.0,-330000000,2019-09-30,23.8799991607666,24.01000022888184,23.03000068664551,23.20000076293945,21.54190826416016,8175900.0
2019-12-31,6347000000.0,-5054000000.0,1293000000.0,-748000000.0,-748000000.0,,,545000000.0,-23000000.0,-63000000.0,522000000,-215000000.0,307000000,-213000000.0,94000000,,48000000,48000000,3249000000.0,6416000000.0,4608000000.0,15222000000.0,6240000000.0,,31907000000.0,38147000000.0,53369000000,4268000000.0,321000000.0,10014000000.0,6301000000.0,8856000000.0,18870000000,23565000000.0,,,34499000000.0,53369000000,94000000.0,353000000.0,204000000.0,706000000.0,,,,,1357000000.0,-304000000.0,,-99000000.0,-386000000.0,-117000000.0,-360000000.0,,-538000000.0,441000000,2019-12-31,25.399999618530273,25.63999938964844,25.09000015258789,25.6299991607666,23.995006561279297,3114100.0
