Report Date,Revenue,Cost of Revenue,Gross Profit,Operating Expenses,"Selling, General & Administrative",Research & Development,Depreciation & Amortization,Operating Income (Loss),Non-Operating Income (Loss),"Interest Expense, Net","Pretax Income (Loss), Adj.",Abnormal Gains (Losses),Pretax Income (Loss),"Income Tax (Expense) Benefit, Net",Income (Loss) from Continuing Operations,Net Extraordinary Gains (Losses),Net Income,Net Income (Common),"Cash, Cash Equivalents & Short Term Investments",Accounts & Notes Receivable,Inventories,Total Current Assets,"Property, Plant & Equipment, Net",Long Term Investments & Receivables,Other Long Term Assets,Total Noncurrent Assets,Total Assets,Payables & Accruals,Short Term Debt,Total Current Liabilities,Long Term Debt,Total Noncurrent Liabilities,Total Liabilities,Share Capital & Additional Paid-In Capital,Treasury Stock,Retained Earnings,Total Equity,Total Liabilities & Equity,Net Income/Starting Line,Depreciation & Amortization,Non-Cash Items,Change in Working Capital,Change in Accounts Receivable,Change in Inventories,Change in Accounts Payable,Change in Other,Net Cash from Operating Activities,Change in Fixed Assets & Intangibles,Net Change in Long Term Investment,Net Cash from Acquisitions & Divestitures,Net Cash from Investing Activities,Dividends Paid,Cash from (Repayment of) Debt,Cash from (Repurchase of) Equity,Net Cash from Financing Activities,Net Change in Cash,Price Date,Open,High,Low,Close,Adj Close,Volume
2014-06-30,519600000.0,-329300000.0,190300000.0,-78600000.0,-78600000.0,,,111700000.0,-47900000.0,-40300000.0,63800000,-10600000.0,53200000,-26200000.0,27000000,0.0,27200000,27200000,74400000.0,403700000.0,134800000.0,687500000.0,873000000.0,,1529700000.0,2402700000.0,3090200000,427800000.0,25200000.0,453000000.0,2685400000.0,3004500000.0,3457500000,1032100000.0,,-1379100000.0,-367300000.0,3090200000,27000000.0,34000000.0,3300000.0,20700000.0,,,,,85000000.0,-60300000.0,,-200000.0,-60500000.0,,1400000.0,,-5800000.0,18700000,,,,,,,
2014-09-30,418300000.0,-293000000.0,125300000.0,-81400000.0,-81400000.0,,,43900000.0,-76800000.0,-35500000.0,-32900000,-1400000.0,-34300000,14000000.0,-20300000,400000.0,-19500000,-19500000,63200000.0,332200000.0,142400000.0,619100000.0,853300000.0,,1478900000.0,2332200000.0,2951300000,341200000.0,36400000.0,377600000.0,1780300000.0,2066400000.0,2444000000,1980200000.0,,-1398600000.0,507300000.0,2951300000,-20300000.0,35000000.0,-500000.0,-54400000.0,,,,,-39800000.0,-31200000.0,,-13500000.0,-44700000.0,,-852100000.0,,86900000.0,-11200000,2014-09-30,25.1299991607666,25.29999923706055,24.670000076293945,25.03000068664551,25.03000068664551,4606500.0
2014-12-31,455800000.0,-299700000.0,156100000.0,-88100000.0,-88100000.0,,,68000000.0,-20300000.0,-23900000.0,47700000,-5600000.0,42100000,4100000.0,46200000,-200000.0,46500000,46500000,84100000.0,336400000.0,144300000.0,637500000.0,865100000.0,,1535500000.0,2400600000.0,3038100000,317700000.0,28800000.0,346500000.0,1905400000.0,2195300000.0,2541800000,1982300000.0,,-1352100000.0,496300000.0,3038100000,46200000.0,35200000.0,-6400000.0,-34600000.0,,,,,40200000.0,-40100000.0,,-111600000.0,-151700000.0,,139200000.0,,135700000.0,20900000,2014-12-31,28.04999923706055,28.8799991607666,27.78000068664551,27.8799991607666,27.8799991607666,186100.0
2015-03-31,446600000.0,-294400000.0,152200000.0,-80900000.0,-80900000.0,,,71300000.0,-23800000.0,-23000000.0,47500000,-5500000.0,42000000,-11200000.0,30800000,,31500000,31500000,116100000.0,331600000.0,142200000.0,653100000.0,847300000.0,,1473700000.0,2321000000.0,2974100000,340600000.0,24800000.0,365400000.0,1857000000.0,2136000000.0,2501400000,1975400000.0,,-1320600000.0,472700000.0,2974100000,30800000.0,34400000.0,2000000.0,27100000.0,,,,,94300000.0,-37400000.0,,-6500000.0,-43900000.0,,-6700000.0,,-13600000.0,32000000,2015-03-31,31.11000061035156,31.36000061035156,30.84000015258789,31.149999618530273,31.149999618530273,357800.0
2015-06-30,510100000.0,-328400000.0,181700000.0,-86900000.0,-86900000.0,,,94800000.0,-26500000.0,-22600000.0,68300000,-5600000.0,62700000,90800000.0,153500000,-100000.0,153700000,153700000,151300000.0,372400000.0,132900000.0,737500000.0,885200000.0,,1515600000.0,2400800000.0,3138300000,375200000.0,23800000.0,399000000.0,1857000000.0,2099500000.0,2498500000,1974900000.0,,-1166900000.0,639800000.0,3138300000,153500000.0,36200000.0,-86100000.0,-26400000.0,,,,,77100000.0,-32300000.0,,800000.0,-31500000.0,,-9800000.0,,-12500000.0,35200000,2015-06-30,29.739999771118164,29.739999771118164,29.165000915527344,29.32999992370605,29.32999992370605,443300.0
2015-09-30,423000000.0,-301500000.0,121500000.0,-82300000.0,-82300000.0,,,39200000.0,-23300000.0,-22700000.0,15900000,-2200000.0,13700000,-2000000.0,11700000,,11900000,11900000,151400000.0,308200000.0,150900000.0,691200000.0,884300000.0,,1480900000.0,2365200000.0,3056400000,328900000.0,24000000.0,352900000.0,1859900000.0,2100500000.0,2453400000,1971600000.0,,-1157800000.0,603000000.0,3056400000,11700000.0,35500000.0,1600000.0,-3900000.0,,,,,44900000.0,-33200000.0,,,-33200000.0,,-4700000.0,,-10300000.0,100000,2015-09-30,24.8700008392334,25.20000076293945,24.04999923706055,24.29999923706055,24.29999923706055,1151800.0
2015-12-31,454900000.0,-302800000.0,152100000.0,-93000000.0,-93000000.0,,,59100000.0,-18800000.0,-22300000.0,40300000,-500000.0,39800000,-9200000.0,30600000,,30700000,30700000,115500000.0,332000000.0,159300000.0,679500000.0,902000000.0,,1453700000.0,2355700000.0,3035200000,315800000.0,24400000.0,340200000.0,1848300000.0,2087600000.0,2427800000,1974100000.0,,-1127100000.0,607400000.0,3035200000,30700000.0,35200000.0,8000000.0,-47300000.0,,,,,26600000.0,-49300000.0,,,-49300000.0,,-4800000.0,,-10600000.0,-35900000,2015-12-31,25.149999618530273,25.5,24.979999542236328,25.03000068664551,25.03000068664551,425800.0
2016-03-31,438000000.0,-311800000.0,126200000.0,-93400000.0,-93400000.0,,,32800000.0,-17500000.0,-21700000.0,15300000,-1500000.0,13800000,-3100000.0,10700000,,10700000,10700000,133900000.0,343700000.0,167700000.0,727500000.0,906300000.0,,1423900000.0,2330200000.0,3057700000,345600000.0,25900000.0,371500000.0,1844900000.0,2083300000.0,2454800000,1975100000.0,,-1117300000.0,602900000.0,3057700000,10700000.0,34800000.0,5700000.0,-1300000.0,,,,,49900000.0,-25300000.0,,,-25300000.0,,-3800000.0,,-6200000.0,18400000,2016-03-31,26.93000030517578,27.60000038146973,26.57999992370605,26.670000076293945,26.670000076293945,774500.0
2016-06-30,532200000.0,-344400000.0,187800000.0,-89400000.0,-89400000.0,,,98400000.0,-13300000.0,-21800000.0,85100000,-7500000.0,77600000,-19400000.0,58200000,,58200000,58200000,131600000.0,414800000.0,154800000.0,790200000.0,905800000.0,,1395100000.0,2300900000.0,3091100000,363500000.0,27700000.0,391200000.0,1832800000.0,2064000000.0,2455200000,1977700000.0,,-1036100000.0,635900000.0,3091100000,58100000.0,35100000.0,-10100000.0,-49200000.0,,,,,33900000.0,-29900000.0,,,-29900000.0,,-3000000.0,,-3700000.0,-2300000,2016-06-30,22.75,22.989999771118164,22.51000022888184,22.989999771118164,22.989999771118164,1346800.0
2016-09-30,442200000.0,-318100000.0,124100000.0,-98200000.0,-98200000.0,,,25900000.0,-20000000.0,-22100000.0,5900000,-1100000.0,4800000,-200000.0,4600000,,4600000,4600000,132100000.0,376300000.0,177500000.0,768900000.0,926500000.0,,1432700000.0,2359200000.0,3128100000,349300000.0,99300000.0,448600000.0,1838000000.0,2065000000.0,2513600000,1984500000.0,,-1065700000.0,614500000.0,3128100000,4600000.0,35800000.0,5200000.0,2700000.0,,,,,48300000.0,-27700000.0,,-86900000.0,-114600000.0,,66000000.0,,65900000.0,500000,2016-09-30,25.65999984741211,26.03000068664551,25.61000061035156,25.84000015258789,25.84000015258789,1849400.0
