Report Date,Revenue,Cost of Revenue,Gross Profit,Operating Expenses,"Selling, General & Administrative",Research & Development,Depreciation & Amortization,Operating Income (Loss),Non-Operating Income (Loss),"Interest Expense, Net","Pretax Income (Loss), Adj.",Abnormal Gains (Losses),Pretax Income (Loss),"Income Tax (Expense) Benefit, Net",Income (Loss) from Continuing Operations,Net Extraordinary Gains (Losses),Net Income,Net Income (Common),"Cash, Cash Equivalents & Short Term Investments",Accounts & Notes Receivable,Inventories,Total Current Assets,"Property, Plant & Equipment, Net",Long Term Investments & Receivables,Other Long Term Assets,Total Noncurrent Assets,Total Assets,Payables & Accruals,Short Term Debt,Total Current Liabilities,Long Term Debt,Total Noncurrent Liabilities,Total Liabilities,Share Capital & Additional Paid-In Capital,Treasury Stock,Retained Earnings,Total Equity,Total Liabilities & Equity,Net Income/Starting Line,Depreciation & Amortization,Non-Cash Items,Change in Working Capital,Change in Accounts Receivable,Change in Inventories,Change in Accounts Payable,Change in Other,Net Cash from Operating Activities,Change in Fixed Assets & Intangibles,Net Change in Long Term Investment,Net Cash from Acquisitions & Divestitures,Net Cash from Investing Activities,Dividends Paid,Cash from (Repayment of) Debt,Cash from (Repurchase of) Equity,Net Cash from Financing Activities,Net Change in Cash,Price Date,Open,High,Low,Close,Adj Close,Volume
2010-06-30,373986000.0,-45446000.0,328540000.0,-276358000.0,-169768000.0,,-78956000.0,57155000.0,-58366000.0,-58044000.0,-1211000,-23747000.0,-24958000,,-24958000,4318000.0,-19536000,-42391000,256265000.0,19382000.0,,331179000.0,6202269000.0,,768239000.0,6970508000.0,7301687000,185458000.0,,485851000.0,3734536000.0,3734536000.0,4220387000,3571901000.0,,,3081300000.0,7301687000,-20640000.0,64263000.0,99987000.0,-15409000.0,,,,,128201000.0,-49213000.0,,-4694000.0,-57624000.0,-56500000.0,-82491000.0,298148000.0,154689000.0,225266000,2010-06-30,11.359999656677244,11.699999809265135,11.289999961853027,11.350000381469727,7.264948844909668,6073800.0
2010-09-30,360650000.0,-47628000.0,313022000.0,-260855000.0,-133129000.0,,-94487000.0,52042000.0,-63121000.0,-61491000.0,-11079000,55486000.0,44407000,1126000.0,45533000,11902000.0,56442000,34064000,20849000.0,26040000.0,,66500000.0,6589979000.0,,903309000.0,7493288000.0,7559788000,210405000.0,,419930000.0,4115599000.0,4115599000.0,4535529000,3573835000.0,,,3024259000.0,7559788000,57435000.0,71116000.0,-23230000.0,-10867000.0,,,,,94454000.0,-275960000.0,,-31833000.0,-285195000.0,-59583000.0,16361000.0,-252000.0,-44675000.0,-235416000,2010-09-30,11.6899995803833,11.81999969482422,11.520000457763672,11.59000015258789,7.531275272369385,3239300.0
2010-12-31,124709000.0,9544000.0,134253000.0,-126784000.0,-104591000.0,,-22025000.0,40214000.0,-12271000.0,-10705000.0,27943000,-1748000.0,26195000,0.0,26195000,-376000.0,25793000,9483000,18384000.0,22588000.0,,48380000.0,6326334000.0,,1269562000.0,7595896000.0,7644276000,207470000.0,,447294000.0,4207079000.0,4207079000.0,4654373000,3576242000.0,,,2989903000.0,7644276000,25819000.0,69706000.0,83772000.0,-30993000.0,,,,,148304000.0,-265714000.0,,-4784000.0,18179000.0,-58915000.0,-106363000.0,108000.0,-168948000.0,-2465000,2010-12-31,12.34000015258789,12.479999542236328,12.3100004196167,12.460000038146973,8.211782455444336,1412500.0
2011-03-31,337533000.0,-40699000.0,296834000.0,-252239000.0,-146861000.0,,-77822000.0,112451000.0,-53273000.0,-52124000.0,59178000,-589000.0,58589000,,58589000,6200000.0,63706000,47569000,167115000.0,27166000.0,,231851000.0,6428826000.0,,866814000.0,7295640000.0,7527491000,159377000.0,,430138000.0,4071503000.0,4071503000.0,4501641000,3582163000.0,,,3025850000.0,7527491000,64789000.0,67063000.0,-10394000.0,-93433000.0,,,,,28025000.0,-59579000.0,,-6068000.0,405645000.0,-58866000.0,-223658000.0,0.0,-284939000.0,148731000,2011-03-31,13.960000038146973,14.149999618530273,13.960000038146973,14.010000228881836,9.34915828704834,2093600.0
2011-06-30,315371000.0,-32712000.0,282659000.0,-241034000.0,-131510000.0,,-83351000.0,42117000.0,-54270000.0,-53814000.0,-12153000,-594000.0,-12747000,,-12747000,-1111000.0,-13068000,-29042000,117645000.0,24741000.0,,190649000.0,6473926000.0,,862510000.0,7336436000.0,7527085000,203302000.0,,460786000.0,4111527000.0,4111527000.0,4572313000,3585500000.0,,,2954772000.0,7527085000,-13858000.0,68746000.0,76268000.0,-14889000.0,,,,,116267000.0,-118883000.0,,-10849000.0,-99987000.0,-58925000.0,-4500000.0,0.0,-65750000.0,-49470000,2011-06-30,13.989999771118164,14.170000076293945,13.890000343322756,14.010000228881836,9.458391189575195,2806300.0
2011-09-30,312289000.0,-35105000.0,277184000.0,-237523000.0,-130040000.0,,-81068000.0,38224000.0,-53511000.0,-54528000.0,-15287000,-342000.0,-15629000,194000.0,-15435000,566000.0,-14044000,-32076000,16182000.0,21685000.0,,82292000.0,6528085000.0,,894284000.0,7422369000.0,7504661000,201978000.0,,457395000.0,4272323000.0,4272323000.0,4729718000,3593910000.0,,,2774943000.0,7504661000,-14869000.0,68325000.0,40746000.0,6590000.0,,,,,100792000.0,-130086000.0,,-11445000.0,-180332000.0,-57373000.0,37492000.0,0.0,-21923000.0,-101463000,2011-09-30,10.729999542236328,10.920000076293944,10.5,10.5,7.200937271118164,3144300.0
2011-12-31,242845000.0,-21201000.0,221644000.0,-194764000.0,-115176000.0,,-62829000.0,28518000.0,-49427000.0,-46304000.0,-20909000,-12594000.0,-33503000,0.0,-33503000,93750000.0,58971000,44965000,213809000.0,22255000.0,,276311000.0,5892768000.0,,835358000.0,6728126000.0,7004437000,188350000.0,,415190000.0,3809589000.0,3809589000.0,4224779000,3597117000.0,,,2779658000.0,7004437000,60247000.0,63088000.0,54169000.0,-85051000.0,,,,,92453000.0,-412428000.0,,-6244000.0,625609000.0,-57003000.0,-456270000.0,0.0,-520435000.0,197627000,2011-12-30,12.119999885559082,12.350000381469727,12.050000190734865,12.050000190734865,8.384624481201174,1230800.0
2012-03-31,265661000.0,-35758000.0,229903000.0,-191964000.0,-75760000.0,,-88090000.0,37662000.0,-59942000.0,-59299000.0,-22280000,-580000.0,-22860000,,-22860000,4750000.0,-17467000,-36390000,14740000.0,24045000.0,,72042000.0,5991350000.0,,809013000.0,6800363000.0,6872405000,138996000.0,,370065000.0,3816870000.0,3816870000.0,4186935000,3782957000.0,,,2685470000.0,6872405000,-18110000.0,63860000.0,-12331000.0,-8076000.0,,,,,25343000.0,-173334000.0,,-3521000.0,-137575000.0,-53389000.0,-179178000.0,146969000.0,-86837000.0,-199069000,2012-03-30,14.359999656677244,14.550000190734865,14.34000015258789,14.34000015258789,10.102411270141602,4222500.0
2012-06-30,260820000.0,-33099000.0,227721000.0,-185596000.0,-69473000.0,,-88667000.0,42244000.0,-60949000.0,-59146000.0,-18705000,-1029000.0,-19734000,,-19734000,2006000.0,-17400000,-28482000,106565000.0,19618000.0,,159152000.0,6116817000.0,,792121000.0,6908938000.0,7068090000,182791000.0,,412069000.0,4036643000.0,4036643000.0,4448712000,3786421000.0,,,2619378000.0,7068090000,-17728000.0,63622000.0,74917000.0,-5708000.0,,,,,115103000.0,-186270000.0,,-12910000.0,-191933000.0,-56379000.0,220434000.0,4289000.0,168655000.0,91825000,2012-06-29,14.520000457763672,14.68000030517578,14.470000267028807,14.640000343322756,10.434597969055176,4270000.0
2012-09-30,293258000.0,-37187000.0,256071000.0,-214288000.0,-96653000.0,,-90202000.0,42186000.0,-58522000.0,-58812000.0,-16336000,-954000.0,-17290000,103000.0,-17187000,-362000.0,-17149000,-28230000,113152000.0,29737000.0,,179302000.0,6209222000.0,,801593000.0,7010815000.0,7190117000,180973000.0,,424931000.0,4140145000.0,4140145000.0,4565076000,3873890000.0,,,2625041000.0,7190117000,-17549000.0,65997000.0,14577000.0,-1935000.0,,,,,61090000.0,-175001000.0,,-2831000.0,-175645000.0,-56945000.0,103870000.0,85043000.0,121142000.0,6587000,2012-09-28,14.619999885559082,14.800000190734865,14.600000381469727,14.699999809265135,10.604043960571287,2449100.0
