Report Date,Revenue,Cost of Revenue,Gross Profit,Operating Expenses,"Selling, General & Administrative",Research & Development,Depreciation & Amortization,Operating Income (Loss),Non-Operating Income (Loss),"Interest Expense, Net","Pretax Income (Loss), Adj.",Abnormal Gains (Losses),Pretax Income (Loss),"Income Tax (Expense) Benefit, Net",Income (Loss) from Continuing Operations,Net Extraordinary Gains (Losses),Net Income,Net Income (Common),"Cash, Cash Equivalents & Short Term Investments",Accounts & Notes Receivable,Inventories,Total Current Assets,"Property, Plant & Equipment, Net",Long Term Investments & Receivables,Other Long Term Assets,Total Noncurrent Assets,Total Assets,Payables & Accruals,Short Term Debt,Total Current Liabilities,Long Term Debt,Total Noncurrent Liabilities,Total Liabilities,Share Capital & Additional Paid-In Capital,Treasury Stock,Retained Earnings,Total Equity,Total Liabilities & Equity,Net Income/Starting Line,Depreciation & Amortization,Non-Cash Items,Change in Working Capital,Change in Accounts Receivable,Change in Inventories,Change in Accounts Payable,Change in Other,Net Cash from Operating Activities,Change in Fixed Assets & Intangibles,Net Change in Long Term Investment,Net Cash from Acquisitions & Divestitures,Net Cash from Investing Activities,Dividends Paid,Cash from (Repayment of) Debt,Cash from (Repurchase of) Equity,Net Cash from Financing Activities,Net Change in Cash,Price Date,Open,High,Low,Close,Adj Close,Volume
2016-12-31,3351100000.0,-2380100000.0,971000000.0,-455100000.0,-455100000.0,,,515900000.0,-28300000.0,-68300000.0,487600000,,487600000,-116200000.0,371400000,,365700000,365700000,327400000.0,2341200000.0,1319400000.0,4279400000.0,3365000000.0,,10685800000.0,14050800000.0,18330200000,1070600000.0,541300000.0,3019400000.0,6145700000.0,8339900000.0,11359300000,5623400000.0,-3984400000.0,6975000000.0,6970900000.0,18330200000,371400000.0,212600000.0,-10800000.0,-125200000.0,,,,,448000000.0,-277300000.0,,-3900000.0,-191800000.0,-103000000.0,73100000.0,12700000.0,-44800000.0,199800000,2016-12-30,118.0500030517578,118.2699966430664,116.91999816894531,117.22000122070312,111.87710571289062,715200.0
2017-03-31,3162400000.0,-1851800000.0,1310600000.0,-947200000.0,-947200000.0,,,363400000.0,-51900000.0,-62500000.0,311500000,,311500000,-54200000.0,257300000,,254000000,254000000,212100000.0,2358000000.0,1428300000.0,4307300000.0,3424900000.0,,11490800000.0,14915700000.0,19223000000,1134500000.0,1699400000.0,4205300000.0,5841600000.0,8139200000.0,12344500000,5637800000.0,-4315400000.0,7123100000.0,6878500000.0,19223000000,257300000.0,216000000.0,18500000.0,-66100000.0,,,,,425700000.0,-167000000.0,,-826600000.0,-995300000.0,-113200000.0,858400000.0,-348800000.0,395500000.0,-168300000,2017-03-31,124.66000366210938,125.9800033569336,124.66000366210938,125.33999633789062,119.9815902709961,1167300.0
2017-06-30,3460000000.0,-2045400000.0,1414600000.0,-958200000.0,-958200000.0,,,456400000.0,-79600000.0,-59600000.0,376800000,,376800000,-80500000.0,296300000,,294800000,294800000,260700000.0,2446800000.0,1469800000.0,4532100000.0,3497400000.0,,11493900000.0,14991300000.0,19523400000,1176600000.0,1770600000.0,4318400000.0,5909300000.0,8216300000.0,12534700000,5729600000.0,-4478600000.0,7312600000.0,6988700000.0,19523400000,296300000.0,221200000.0,37300000.0,-120800000.0,,,,,434000000.0,-208700000.0,,100000.0,-208600000.0,-109700000.0,46100000.0,-97700000.0,-169500000.0,48600000,2017-06-30,132.0,133.22999572753906,131.80999755859378,132.75,127.42707061767578,995800.0
2017-09-30,3564500000.0,-2064600000.0,1499900000.0,-930900000.0,-930900000.0,,,569000000.0,-43100000.0,-55100000.0,525900000,,525900000,-129300000.0,396600000,,393200000,393200000,209100000.0,2533200000.0,1509000000.0,4614500000.0,3617200000.0,,11625000000.0,15242200000.0,19856700000,1167600000.0,1073000000.0,3756600000.0,6484500000.0,8800900000.0,12557500000,5751700000.0,-4563100000.0,7598000000.0,7299200000.0,19856700000,396600000.0,228300000.0,-45500000.0,5800000.0,,,,,585200000.0,-214200000.0,,-4700000.0,-218000000.0,-107400000.0,-241800000.0,-78200000.0,-426500000.0,-51600000,2017-09-29,129.27000427246094,129.64999389648438,128.52999877929688,128.61000061035156,123.80260467529295,858200.0
2017-12-31,3649000000.0,-2102400000.0,1546600000.0,-989000000.0,-989000000.0,,,557600000.0,-9400000.0,-77800000.0,548200000,,548200000,20200000.0,568400000,,562600000,562600000,211400000.0,2571400000.0,1446500000.0,4594300000.0,3707100000.0,,11662100000.0,15369200000.0,19963500000,1360700000.0,564400000.0,3475200000.0,6758300000.0,8834500000.0,12309700000,5790400000.0,-4575000000.0,8011600000.0,7653800000.0,19963500000,568400000.0,227800000.0,-373400000.0,223600000.0,,,,,646400000.0,-268000000.0,,-39200000.0,-305100000.0,-118400000.0,-196000000.0,8200000.0,-322200000.0,2300000,2017-12-29,135.02999877929688,135.50999450683594,134.17999267578122,134.17999267578122,129.55728149414062,613900.0
2018-03-31,3470900000.0,-2082100000.0,1388800000.0,-1008500000.0,-1008500000.0,,,380300000.0,-63000000.0,-56400000.0,317300000,,317300000,-69100000.0,248200000,,247300000,247300000,175500000.0,2574300000.0,1541800000.0,4596800000.0,3779900000.0,,11807600000.0,15587500000.0,20184300000,1399100000.0,1017800000.0,3982800000.0,6397700000.0,8531600000.0,12514400000,5852000000.0,-4789700000.0,8097000000.0,7669900000.0,20184300000,248200000.0,231100000.0,29800000.0,-21900000.0,,,,,487200000.0,-202800000.0,,-67100000.0,-255800000.0,-123400000.0,53700000.0,-186700000.0,-265000000.0,-35900000,2018-03-29,135.92999267578122,137.92999267578122,134.94000244140622,137.07000732421878,132.74186706542972,1319200.0
2018-06-30,3689600000.0,-2156100000.0,1533500000.0,-1026800000.0,-1026800000.0,,,506700000.0,-48800000.0,-56300000.0,457900000,,457900000,-104300000.0,353600000,,351300000,351300000,54200000.0,2635400000.0,1557600000.0,4607900000.0,3758700000.0,,11585000000.0,15343700000.0,19951600000,1286700000.0,874500000.0,3623800000.0,6343100000.0,8419300000.0,12043100000,5901500000.0,-4789200000.0,8329900000.0,7908500000.0,19951600000,353600000.0,234700000.0,53600000.0,-343400000.0,,,,,298500000.0,-185200000.0,,-2600000.0,-188600000.0,-128900000.0,-131600000.0,21300000.0,-241500000.0,-121300000,2018-06-29,140.42999267578122,141.6699981689453,140.27999877929688,140.33000183105472,136.28016662597656,1405200.0
2018-09-30,3747200000.0,-2200200000.0,1547000000.0,-955200000.0,-955200000.0,,,591800000.0,-110300000.0,-55700000.0,481500000,,481500000,-43200000.0,438300000,,435400000,435400000,203600000.0,2652700000.0,1587900000.0,4822300000.0,3778000000.0,,11362300000.0,15140300000.0,19962600000,1245600000.0,769400000.0,3589800000.0,6334800000.0,8389800000.0,11979600000,5942500000.0,-4894600000.0,8646900000.0,7983000000.0,19962600000,438300000.0,234600000.0,103500000.0,-111700000.0,,,,,664700000.0,-216600000.0,,1300000.0,-204500000.0,-118500000.0,-108200000.0,-70200000.0,-313000000.0,149400000,2018-09-28,156.5,157.61000061035156,155.67999267578125,156.77999877929688,152.65377807617188,1153700.0
2018-12-31,1314400000.0,-436900000.0,877500000.0,-515300000.0,-515300000.0,,,362200000.0,-31800000.0,-52700000.0,330400000,,330400000,-104600000.0,225800000,178800000.0,395100000,395100000,114700000.0,2662500000.0,1546400000.0,4677700000.0,3836000000.0,,11560800000.0,15396800000.0,20074500000,1356200000.0,743600000.0,3685600000.0,6301600000.0,8335300000.0,12020900000,5990200000.0,-5134800000.0,8909500000.0,8053600000.0,20074500000,225800000.0,30000000.0,48700000.0,252000000.0,,,,,827300000.0,-146100000.0,,-152200000.0,-381100000.0,-124000000.0,-23700000.0,-212300000.0,-353200000.0,90400000,2018-12-31,144.8699951171875,147.5800018310547,144.47999572753906,147.35000610351562,143.90048217773438,1199400.0
2019-03-31,3505400000.0,-2096700000.0,1408700000.0,-1001200000.0,-1001200000.0,,,407500000.0,-68500000.0,-49400000.0,339000000,,339000000,-38600000.0,300400000,,296500000,296500000,79000000.0,2691600000.0,1645600000.0,4751000000.0,3878600000.0,,12298000000.0,16176600000.0,20927600000,1327300000.0,1132300000.0,4156000000.0,6008200000.0,8504700000.0,12660700000,6089200000.0,-5265400000.0,9131800000.0,8266900000.0,20927600000,300400000.0,238800000.0,35800000.0,-196900000.0,,,,,378100000.0,-185600000.0,,-281800000.0,-477400000.0,-141400000.0,87600000.0,-63700000.0,-117500000.0,-215000000,2019-03-29,176.57000732421875,176.75999450683594,175.2899932861328,176.5399932861328,172.86288452148438,1031400.0
