Report Date,Revenue,Cost of Revenue,Gross Profit,Operating Expenses,"Selling, General & Administrative",Research & Development,Depreciation & Amortization,Operating Income (Loss),Non-Operating Income (Loss),"Interest Expense, Net","Pretax Income (Loss), Adj.",Abnormal Gains (Losses),Pretax Income (Loss),"Income Tax (Expense) Benefit, Net",Income (Loss) from Continuing Operations,Net Extraordinary Gains (Losses),Net Income,Net Income (Common),"Cash, Cash Equivalents & Short Term Investments",Accounts & Notes Receivable,Inventories,Total Current Assets,"Property, Plant & Equipment, Net",Long Term Investments & Receivables,Other Long Term Assets,Total Noncurrent Assets,Total Assets,Payables & Accruals,Short Term Debt,Total Current Liabilities,Long Term Debt,Total Noncurrent Liabilities,Total Liabilities,Share Capital & Additional Paid-In Capital,Treasury Stock,Retained Earnings,Total Equity,Total Liabilities & Equity,Net Income/Starting Line,Depreciation & Amortization,Non-Cash Items,Change in Working Capital,Change in Accounts Receivable,Change in Inventories,Change in Accounts Payable,Change in Other,Net Cash from Operating Activities,Change in Fixed Assets & Intangibles,Net Change in Long Term Investment,Net Cash from Acquisitions & Divestitures,Net Cash from Investing Activities,Dividends Paid,Cash from (Repayment of) Debt,Cash from (Repurchase of) Equity,Net Cash from Financing Activities,Net Change in Cash,Price Date,Open,High,Low,Close,Adj Close,Volume
2009-12-31,153964000.0,-90320000.0,63644000.0,-34322000.0,-18135000.0,-3090000.0,-13097000.0,29322000.0,-17359000.0,-17210000.0,11963000,0.0,11963000,-15000.0,11948000,,11948000,-18365000,161307000.0,54130000.0,123700000.0,345017000.0,73374000.0,,918852000.0,992226000.0,1337243000,92895000.0,39076000.0,131971000.0,1052463000.0,1069852000.0,1201823000,-199722000.0,,-538571000.0,135420000.0,1337243000,11948000.0,14994000.0,7063000.0,-4529000.0,,,,,29476000.0,-1610000.0,,,-1610000.0,,0.0,,-678000.0,27188000,,,,,,,
2010-03-31,130718000.0,-79300000.0,51418000.0,-35954000.0,-19471000.0,-3722000.0,-12761000.0,15464000.0,-8734000.0,-8492000.0,6730000,-4180000.0,2550000,-82000.0,2468000,,2468000,-152397000,66371000.0,52682000.0,107089000.0,230650000.0,73047000.0,,901025000.0,974072000.0,1204722000,68965000.0,,68965000.0,731422000.0,750140000.0,819105000,926685000.0,,-536103000.0,385617000.0,1204722000,2468000.0,14652000.0,6138000.0,-4822000.0,,,,,18436000.0,-1564000.0,,,-1564000.0,,-360117000.0,248309000.0,-111808000.0,-94936000,2010-03-31,14.25,14.390000343322756,13.81999969482422,14.010000228881836,9.231574058532717,1530600.0
2010-06-30,140455000.0,-85710000.0,54745000.0,-35891000.0,-19488000.0,-3482000.0,-12921000.0,18854000.0,-5943000.0,-5720000.0,12911000,,12911000,-77000.0,12834000,,12834000,12834000,93109000.0,68410000.0,111436000.0,276367000.0,72580000.0,,887480000.0,960060000.0,1236427000,85974000.0,,85974000.0,731422000.0,752251000.0,838225000,928398000.0,,-523269000.0,398202000.0,1236427000,12834000.0,14859000.0,2233000.0,-1717000.0,,,,,28209000.0,-1471000.0,,,-1471000.0,,0.0,0.0,0.0,26738000,2010-06-30,14.90999984741211,14.90999984741211,13.970000267028807,14.010000228881836,9.231574058532717,98800.0
2010-09-30,160666000.0,-93304000.0,67362000.0,-37592000.0,-20949000.0,-3580000.0,-13063000.0,29770000.0,-6694000.0,-6540000.0,23076000,,23076000,-78000.0,22998000,,22998000,22998000,128334000.0,73787000.0,127358000.0,333005000.0,71852000.0,,874302000.0,946154000.0,1279159000,103883000.0,,103883000.0,731422000.0,754409000.0,858292000,930073000.0,,-500271000.0,420867000.0,1279159000,22998000.0,15011000.0,2345000.0,-3878000.0,,,,,36476000.0,-1251000.0,,,-1251000.0,,0.0,0.0,0.0,35225000,2010-09-30,13.739999771118164,13.890000343322756,13.529999732971193,13.640000343322756,8.987771034240723,44900.0
2010-12-31,161041000.0,-97209000.0,63832000.0,-37624000.0,-20645000.0,-3916000.0,-13063000.0,26208000.0,-6896000.0,-6645000.0,19312000,-629000.0,18683000,-70000.0,18613000,,18613000,18613000,78583000.0,63154000.0,127137000.0,272519000.0,75287000.0,,862077000.0,937364000.0,1209883000,86685000.0,,86685000.0,657229000.0,682131000.0,768816000,931802000.0,,-481658000.0,441067000.0,1209883000,18613000.0,14918000.0,2827000.0,-4998000.0,,,,,31360000.0,-5269000.0,,-1649000.0,-6918000.0,,-74193000.0,0.0,-74193000.0,-49751000,2010-12-31,16.139999389648438,16.319999694824222,16.059999465942386,16.170000076293945,10.654857635498047,55200.0
2011-03-31,123981000.0,-76804000.0,47177000.0,-36034000.0,-20422000.0,-3885000.0,-11727000.0,11143000.0,-6206000.0,-6001000.0,4937000,,4937000,-93000.0,4844000,,4844000,4844000,89997000.0,62410000.0,143787000.0,299994000.0,74914000.0,,849410000.0,924324000.0,1224318000,94691000.0,24731000.0,119422000.0,632498000.0,656121000.0,775543000,934111000.0,,-476814000.0,448775000.0,1224318000,4844000.0,13663000.0,2534000.0,-8370000.0,,,,,12671000.0,-1566000.0,,,-1566000.0,,,309000.0,309000.0,11414000,2011-03-31,20.200000762939453,20.850000381469727,20.11000061035156,20.290000915527344,13.36963939666748,96600.0
2011-06-30,161363000.0,-101010000.0,60353000.0,-38553000.0,-23089000.0,-3608000.0,-11856000.0,21800000.0,-6238000.0,-5934000.0,15562000,-186000.0,15376000,-87000.0,15289000,,15289000,15289000,78746000.0,79810000.0,139728000.0,301327000.0,74729000.0,,836719000.0,911448000.0,1212775000,90936000.0,,90936000.0,632498000.0,658759000.0,749695000,935829000.0,,-461525000.0,463080000.0,1212775000,15289000.0,13860000.0,2354000.0,-16190000.0,,,,,15313000.0,-1834000.0,,,-1834000.0,,-24731000.0,1000.0,-24730000.0,-11251000,2011-06-30,19.36000061035156,19.5,19.270000457763672,19.399999618530273,12.78319263458252,146000.0
2011-09-30,239324000.0,-150665000.0,88659000.0,-44481000.0,-28318000.0,-4176000.0,-11987000.0,44178000.0,-6072000.0,-5895000.0,38106000,-601000.0,37505000,-126000.0,37379000,,37379000,37379000,138720000.0,117593000.0,103633000.0,362522000.0,73663000.0,,824191000.0,897854000.0,1260376000,99543000.0,,99543000.0,632498000.0,658972000.0,758515000,937574000.0,,-424146000.0,501861000.0,1260376000,37379000.0,14111000.0,2301000.0,7240000.0,,,,,61031000.0,-1057000.0,,,-1057000.0,,0.0,0.0,0.0,59974000,2011-09-30,17.889999389648438,18.8799991607666,17.8799991607666,18.809999465942386,12.39442539215088,496800.0
2011-12-31,267308000.0,-168843000.0,98465000.0,-53216000.0,-35959000.0,-4807000.0,-12450000.0,45249000.0,-6247000.0,-5888000.0,39002000,-9854000.0,29148000,237983000.0,267131000,,267131000,267131000,93126000.0,109705000.0,162124000.0,383265000.0,84384000.0,,1085144000.0,1169528000.0,1552793000,142516000.0,22874000.0,165390000.0,575000000.0,618514000.0,783904000,940585000.0,,-157015000.0,768889000.0,1552793000,267131000.0,14489000.0,-224958000.0,24035000.0,,,,,80697000.0,-7589000.0,,-83907000.0,-91496000.0,,-34624000.0,0.0,-34795000.0,-45594000,2011-12-30,28.399999618530273,28.56999969482422,28.0,28.03000068664551,18.4697380065918,76500.0
2012-03-31,294561000.0,-183556000.0,111005000.0,-51512000.0,-34232000.0,-5055000.0,-12225000.0,59493000.0,-6080000.0,-5674000.0,53413000,-4309000.0,49104000,-19044000.0,30060000,,30060000,30060000,91730000.0,114027000.0,200129000.0,425924000.0,84422000.0,,1061371000.0,1145793000.0,1571717000,153178000.0,14063000.0,167241000.0,559588000.0,603703000.0,770944000,942475000.0,,-126955000.0,800773000.0,1571717000,30060000.0,14218000.0,25679000.0,-31373000.0,,,,,38584000.0,-2138000.0,,-2279000.0,-4417000.0,,-24260000.0,,-35563000.0,-1396000,2012-03-30,24.68000030517578,24.709999084472656,24.489999771118164,24.54999923706055,16.176668167114258,146500.0
