Report Date,Revenue,Cost of Revenue,Gross Profit,Operating Expenses,"Selling, General & Administrative",Research & Development,Depreciation & Amortization,Operating Income (Loss),Non-Operating Income (Loss),"Interest Expense, Net","Pretax Income (Loss), Adj.",Abnormal Gains (Losses),Pretax Income (Loss),"Income Tax (Expense) Benefit, Net",Income (Loss) from Continuing Operations,Net Extraordinary Gains (Losses),Net Income,Net Income (Common),"Cash, Cash Equivalents & Short Term Investments",Accounts & Notes Receivable,Inventories,Total Current Assets,"Property, Plant & Equipment, Net",Long Term Investments & Receivables,Other Long Term Assets,Total Noncurrent Assets,Total Assets,Payables & Accruals,Short Term Debt,Total Current Liabilities,Long Term Debt,Total Noncurrent Liabilities,Total Liabilities,Share Capital & Additional Paid-In Capital,Treasury Stock,Retained Earnings,Total Equity,Total Liabilities & Equity,Net Income/Starting Line,Depreciation & Amortization,Non-Cash Items,Change in Working Capital,Change in Accounts Receivable,Change in Inventories,Change in Accounts Payable,Change in Other,Net Cash from Operating Activities,Change in Fixed Assets & Intangibles,Net Change in Long Term Investment,Net Cash from Acquisitions & Divestitures,Net Cash from Investing Activities,Dividends Paid,Cash from (Repayment of) Debt,Cash from (Repurchase of) Equity,Net Cash from Financing Activities,Net Change in Cash,Price Date,Open,High,Low,Close,Adj Close,Volume
2014-12-31,264512000.0,-34079000.0,230433000.0,-138246000.0,-27675000.0,,-72767000.0,92187000.0,-22613000.0,-49499000.0,69574000,-108620000.0,-39046000,-7731000.0,-46777000,97538000.0,52781000,38206000,187322000.0,172386000.0,,359708000.0,7930489000.0,90235000.0,1880968000.0,9901692000.0,10261400000,4836622000.0,,4836622000.0,,431533000.0,5268155000,5736139000.0,,,4993245000.0,10261400000,50761000.0,73179000.0,942000.0,-5544000.0,,,,,119338000.0,208524000.0,-3558000.0,78231000.0,198798000.0,-107124000.0,-185442000.0,7787000.0,-285004000.0,33132000,2014-12-31,25.729999542236328,25.920000076293945,25.09000015258789,25.13999938964844,18.133543014526367,3339500.0
2015-03-31,283456000.0,-33902000.0,249554000.0,-149197000.0,-32705000.0,,-74569000.0,100357000.0,58573000.0,-52578000.0,158930000,166541000.0,325471000,-12717000.0,312754000,-15000.0,310342000,295769000,220977000.0,178367000.0,,472762000.0,9357990000.0,105253000.0,1797883000.0,11261126000.0,11733888000,5832608000.0,,5832608000.0,,602821000.0,6435429000,5771965000.0,,,5298459000.0,11733888000,312739000.0,74569000.0,-268908000.0,44690000.0,,,,,163090000.0,-486074000.0,-171632000.0,7599000.0,-607456000.0,-113400000.0,483559000.0,10258000.0,478021000.0,33655000,2015-03-31,26.96999931335449,27.190000534057614,26.75,26.85000038146973,19.366968154907227,3332600.0
2015-06-30,294061000.0,-36109000.0,257952000.0,-150281000.0,-29307000.0,,-80155000.0,107671000.0,4354000.0,-24028000.0,112025000,11956000.0,123981000,3628000.0,127609000,,127000000,112427000,145832000.0,177768000.0,,346590000.0,9290447000.0,24251000.0,1806016000.0,11120714000.0,11467304000,5649227000.0,,5649227000.0,,591097000.0,6240324000,5771961000.0,,,5226980000.0,11467304000,127609000.0,80155000.0,-67805000.0,-17054000.0,,,,,122905000.0,10443000.0,63302000.0,33781000.0,127975000.0,-113623000.0,-181915000.0,3214000.0,-326025000.0,-75145000,2015-06-30,22.82999992370605,22.93000030517578,22.479999542236328,22.540000915527344,16.404790878295902,3973900.0
2015-09-30,288382000.0,-34915000.0,253467000.0,-172422000.0,-27310000.0,,-103708000.0,81045000.0,-25511000.0,-48339000.0,55534000,28394000.0,83928000,-2844000.0,81084000,,77572000,62999000,180913000.0,172758000.0,,379878000.0,9256277000.0,12189000.0,1765640000.0,11034106000.0,11413984000,5610066000.0,,5610066000.0,,621521000.0,6231587000,5775102000.0,,,5182397000.0,11413984000,81084000.0,103708000.0,-50442000.0,42297000.0,,,,,176647000.0,-20361000.0,3799000.0,57361000.0,13998000.0,-113722000.0,-43246000.0,2095000.0,-155564000.0,35081000,2015-09-30,24.40999984741211,24.479999542236328,24.13999938964844,24.43000030517578,17.97170639038086,4253400.0
2015-12-31,300870000.0,-40054000.0,260816000.0,-160934000.0,-33413000.0,,-86095000.0,99882000.0,304413000.0,-54885000.0,404295000,-103100000.0,301195000,-48297000.0,252898000,125813000.0,379201000,360020000,189534000.0,175252000.0,,364786000.0,9274299000.0,7565000.0,1697521000.0,10979385000.0,11344171000,5641551000.0,,5641551000.0,,433960000.0,6075511000,5613015000.0,,,5268660000.0,11344171000,378711000.0,86095000.0,-382896000.0,-50851000.0,,,,,31059000.0,88574000.0,30722000.0,-4688000.0,486848000.0,-115088000.0,-192627000.0,3141000.0,-509286000.0,8621000,2015-12-31,26.670000076293945,26.78000068664551,26.45000076293945,26.459999084472656,19.8458194732666,2394600.0
2016-03-31,297202000.0,-34553000.0,262649000.0,-157550000.0,-31929000.0,,-84856000.0,105099000.0,28111000.0,-52451000.0,133210000,21056000.0,154266000,-12112000.0,142154000,,140713000,129158000,222000000.0,174005000.0,,396005000.0,,5716000.0,10847640000.0,10853356000.0,11249361000,5279093000.0,,5279093000.0,,566206000.0,5845299000,5725194000.0,,,5404062000.0,11249361000,142154000.0,84856000.0,-97898000.0,7844000.0,,,,,136956000.0,26599000.0,4771000.0,28327000.0,127802000.0,-117030000.0,-227176000.0,111411000.0,-232292000.0,32466000,2016-03-31,28.739999771118164,28.79999923706055,28.479999542236328,28.78000068664551,21.585893630981445,2858700.0
2016-06-30,291488000.0,-33223000.0,258265000.0,-152385000.0,-29928000.0,,-82753000.0,105880000.0,65153000.0,-50479000.0,171033000,33567000.0,204600000,246000.0,204846000,,203409000,191854000,337815000.0,172702000.0,,534332000.0,9171988000.0,7006000.0,1679106000.0,10858100000.0,11392432000,5305674000.0,,5305674000.0,,555299000.0,5860973000,5772293000.0,,,5531459000.0,11392432000,204846000.0,82753000.0,-148486000.0,-60222000.0,,,,,78891000.0,-24102000.0,6729000.0,28104000.0,183547000.0,-118428000.0,-66488000.0,45102000.0,-146623000.0,115815000,2016-06-30,30.920000076293945,31.3799991607666,30.70000076293945,31.3799991607666,23.746368408203125,3124100.0
2016-09-30,285076000.0,-32590000.0,252486000.0,-166333000.0,-27983000.0,,-96827000.0,86153000.0,-26883000.0,-46552000.0,59270000,-49163000.0,10107000,-61426000.0,-51319000,9771000.0,-43545000,-55100000,170545000.0,171474000.0,,365556000.0,9392984000.0,8141000.0,1439421000.0,10840546000.0,11206102000,5118177000.0,,5118177000.0,,569107000.0,5687284000,5924106000.0,,,5518818000.0,11206102000,-41548000.0,96827000.0,83963000.0,89437000.0,,,,,228679000.0,-70458000.0,-70000.0,14238000.0,-63106000.0,-118654000.0,-309134000.0,150296000.0,-332843000.0,-167270000,2016-09-30,29.5,29.6299991607666,28.940000534057614,28.95000076293945,22.086990356445312,2840600.0
2016-12-31,297026000.0,-71050000.0,225976000.0,-129019000.0,3044000.0,,-90884000.0,96957000.0,-7018000.0,-43067000.0,89939000,5809000.0,95748000,-5291000.0,90457000,-9771000.0,78273000,66718000,142486000.0,181823000.0,,324309000.0,9394755000.0,8101000.0,1503435000.0,10906291000.0,11230600000,5336636000.0,,5336636000.0,,404137000.0,5740773000,5927208000.0,,,5489827000.0,11230600000,80686000.0,90884000.0,-21196000.0,-2804000.0,,,,,147570000.0,-21155000.0,-440000.0,987000.0,-82860000.0,-119933000.0,48868000.0,586000.0,-92769000.0,-28059000,2016-12-30,24.79999923706055,25.36000061035156,24.76000022888184,25.15999984741211,19.579988479614254,5305900.0
2017-03-31,293588000.0,-42574000.0,251014000.0,-156760000.0,-22230000.0,,-92074000.0,94254000.0,-26789000.0,-46482000.0,67465000,10257000.0,77722000,493000.0,78215000,,76733000,65178000,167454000.0,176054000.0,,366093000.0,9345513000.0,7702000.0,1529111000.0,10882326000.0,11248419000,5249563000.0,,5249563000.0,,542279000.0,5791842000,5931428000.0,,,5456577000.0,11248419000,78215000.0,92074000.0,-19046000.0,5809000.0,,,,,157052000.0,-21955000.0,4236000.0,13409000.0,-65375000.0,-126315000.0,71314000.0,561000.0,-66709000.0,24968000,2017-03-31,22.0,22.1200008392334,21.959999084472656,22.09000015258789,17.19085693359375,5048500.0
2017-06-30,297176000.0,-42703000.0,254473000.0,-158843000.0,-19965000.0,,-95270000.0,95630000.0,6874000.0,-46090000.0,102504000,51136000.0,153640000,1034000.0,154674000,,143416000,131861000,143099000.0,176907000.0,,342501000.0,9543381000.0,14487000.0,1657951000.0,11215819000.0,11558320000,5514859000.0,,5514859000.0,,521797000.0,6036656000,5934889000.0,,,5521664000.0,11558320000,154674000.0,95270000.0,-98517000.0,-8445000.0,,,,,142982000.0,-58568000.0,27539000.0,1815000.0,-82068000.0,-126478000.0,56943000.0,412000.0,-85269000.0,-24355000,2017-06-30,18.84000015258789,18.989999771118164,18.059999465942386,18.350000381469727,14.457022666931152,6906800.0
