Report Date,Revenue,Cost of Revenue,Gross Profit,Operating Expenses,"Selling, General & Administrative",Research & Development,Depreciation & Amortization,Operating Income (Loss),Non-Operating Income (Loss),"Interest Expense, Net","Pretax Income (Loss), Adj.",Abnormal Gains (Losses),Pretax Income (Loss),"Income Tax (Expense) Benefit, Net",Income (Loss) from Continuing Operations,Net Extraordinary Gains (Losses),Net Income,Net Income (Common),"Cash, Cash Equivalents & Short Term Investments",Accounts & Notes Receivable,Inventories,Total Current Assets,"Property, Plant & Equipment, Net",Long Term Investments & Receivables,Other Long Term Assets,Total Noncurrent Assets,Total Assets,Payables & Accruals,Short Term Debt,Total Current Liabilities,Long Term Debt,Total Noncurrent Liabilities,Total Liabilities,Share Capital & Additional Paid-In Capital,Treasury Stock,Retained Earnings,Total Equity,Total Liabilities & Equity,Net Income/Starting Line,Depreciation & Amortization,Non-Cash Items,Change in Working Capital,Change in Accounts Receivable,Change in Inventories,Change in Accounts Payable,Change in Other,Net Cash from Operating Activities,Change in Fixed Assets & Intangibles,Net Change in Long Term Investment,Net Cash from Acquisitions & Divestitures,Net Cash from Investing Activities,Dividends Paid,Cash from (Repayment of) Debt,Cash from (Repurchase of) Equity,Net Cash from Financing Activities,Net Change in Cash,Price Date,Open,High,Low,Close,Adj Close,Volume
2016-11-30,790700000.0,-591800000.0,198900000.0,-73400000.0,-73400000.0,,,125500000.0,-6800000.0,-6800000.0,118700000,,118700000,-33900000.0,91000000,,87200000,87200000,57100000.0,185200000.0,525000000.0,858200000.0,1271200000.0,178600000.0,177600000.0,1627400000.0,2485600000,495500000.0,59900000.0,555400000.0,2365000000.0,2526700000.0,3082100000,-758700000.0,-200000.0,121000000.0,-596500000.0,2485600000,91000000.0,26600000.0,-8200000.0,-62000000.0,,,,,47400000.0,-67500000.0,,,-67500000.0,,866100000.0,,18600000.0,-3000000,2016-11-30,33.259998321533196,34.299999237060554,33.0,33.47999954223633,31.42853736877441,2764900.0
2017-02-28,768500000.0,-561500000.0,207000000.0,-61800000.0,-61800000.0,,,145200000.0,-26300000.0,-26300000.0,118900000,,118900000,-44000000.0,87600000,,84200000,84200000,57100000.0,185200000.0,525000000.0,858200000.0,1271200000.0,178600000.0,177600000.0,1627400000.0,2485600000,495500000.0,59900000.0,555400000.0,2365000000.0,2526700000.0,3082100000,-758700000.0,-200000.0,121000000.0,-596500000.0,2485600000,87600000.0,27500000.0,5300000.0,-28700000.0,,,,,91700000.0,-76700000.0,,,-76700000.0,-27400000.0,-16700000.0,,-47300000.0,-31900000,2017-02-28,39.43999862670898,39.790000915527344,39.18999862670898,39.18999862670898,36.97823715209961,653800.0
2017-05-31,832500000.0,-640200000.0,192300000.0,-69700000.0,-69700000.0,,,122600000.0,-26600000.0,-26600000.0,96000000,,96000000,-41300000.0,78500000,,75900000,75900000,57100000.0,185200000.0,525000000.0,858200000.0,1271200000.0,178600000.0,177600000.0,1627400000.0,2485600000,495500000.0,59900000.0,555400000.0,2365000000.0,2526700000.0,3082100000,-758700000.0,-200000.0,121000000.0,-596500000.0,2485600000,78500000.0,29500000.0,4100000.0,80700000.0,,,,,192800000.0,-84900000.0,,,-82800000.0,0.0,-89200000.0,-200000.0,-91900000.0,19600000,2017-05-31,46.31000137329102,46.81999969482422,46.31000137329102,46.40999984741211,43.98551940917969,879700.0
2017-08-31,817500000.0,-621200000.0,196300000.0,-58700000.0,-58700000.0,,,137600000.0,-25200000.0,-25200000.0,112400000,,112400000,-44100000.0,88300000,,83400000,83400000,69800000.0,213700000.0,494400000.0,838400000.0,1309500000.0,196000000.0,183900000.0,1689400000.0,2527800000,445500000.0,71400000.0,516900000.0,2360100000.0,2532500000.0,3049400000,-756400000.0,-2100000.0,176900000.0,-521600000.0,2527800000,88300000.0,31000000.0,100000.0,24100000.0,,,,,143500000.0,-104400000.0,,,-104400000.0,-27400000.0,300000.0,,-30500000.0,12700000,2017-08-31,45.11000061035156,45.709999084472656,45.0099983215332,45.47999954223633,43.28889846801758,652000.0
2017-11-30,824600000.0,-616400000.0,208200000.0,-68400000.0,-68400000.0,,,139800000.0,-27400000.0,-27400000.0,112400000,,112400000,-41500000.0,83000000,,76600000,76600000,71100000.0,224400000.0,662900000.0,1004300000.0,1331500000.0,198600000.0,180500000.0,1710600000.0,2714900000,519000000.0,127500000.0,646500000.0,2353200000.0,2543300000.0,3189800000,-760400000.0,-2200000.0,225800000.0,-474900000.0,2714900000,83000000.0,35600000.0,18000000.0,-97900000.0,,,,,38700000.0,-49600000.0,,,-51300000.0,-27400000.0,46500000.0,,14600000.0,1300000,2017-11-30,53.93999862670898,54.48500061035156,53.75,54.36999893188477,51.94076538085938,2492700.0
2018-02-28,863400000.0,-621100000.0,242300000.0,-73100000.0,-73100000.0,,,169200000.0,-28500000.0,-28500000.0,140700000,,140700000,-7500000.0,159600000,,156800000,156800000,49400000.0,236600000.0,630500000.0,998200000.0,1356800000.0,217400000.0,181500000.0,1755700000.0,2753900000,508400000.0,70900000.0,579300000.0,2344400000.0,2512200000.0,3091500000,-757800000.0,-2300000.0,354500000.0,-337600000.0,2753900000,159600000.0,37500000.0,-48500000.0,-20600000.0,,,,,128000000.0,-50400000.0,,,-51100000.0,-27400000.0,-67300000.0,-2100000.0,-100500000.0,-21700000,2018-02-28,54.58000183105469,54.821998596191406,54.08000183105469,54.09000015258789,51.84225463867188,941000.0
2018-05-31,918200000.0,-685500000.0,232700000.0,-99200000.0,-99200000.0,,,133500000.0,-27700000.0,-27700000.0,105800000,,105800000,-28100000.0,102800000,,100000000,100000000,55600000.0,225900000.0,549700000.0,930400000.0,1420800000.0,219800000.0,181600000.0,1822200000.0,2752600000,470400000.0,48300000.0,518700000.0,2336700000.0,2513100000.0,3031800000,-754000000.0,-2900000.0,426400000.0,-279200000.0,2752600000,102800000.0,39200000.0,-2800000.0,31800000.0,,,,,171000000.0,-102400000.0,,,-100000000.0,-28000000.0,-33100000.0,-600000.0,-62500000.0,6200000,2018-05-31,65.0,65.05999755859375,63.75,63.75,61.28330612182617,740500.0
2018-08-31,914900000.0,-684300000.0,230600000.0,-78000000.0,-78000000.0,,,152600000.0,-26800000.0,-26800000.0,125800000,,125800000,-34300000.0,111400000,,107800000,107800000,150500000.0,331100000.0,447700000.0,984800000.0,1467900000.0,221700000.0,179900000.0,1869500000.0,2854300000,470800000.0,47500000.0,518300000.0,2329500000.0,2524200000.0,3042500000,-749800000.0,-6800000.0,519700000.0,-188200000.0,2854300000,111400000.0,38600000.0,18000000.0,59900000.0,,,,,227900000.0,-87000000.0,,,-86800000.0,-28000000.0,-11900000.0,-3900000.0,-45900000.0,94900000,2018-08-31,67.19999694824219,67.72000122070311,66.83000183105469,67.59999847412111,65.16290283203125,462000.0
2018-11-30,911400000.0,-662400000.0,249000000.0,-75000000.0,-75000000.0,,,174000000.0,-26200000.0,-26200000.0,147800000,,147800000,-34000000.0,124000000,,119000000,119000000,12200000.0,340100000.0,498300000.0,961500000.0,1597800000.0,224600000.0,264200000.0,2086600000.0,3048100000,506400000.0,46400000.0,552800000.0,2280200000.0,2499900000.0,3052700000,-743600000.0,-39300000.0,803600000.0,-4600000.0,3048100000,124000000.0,38600000.0,20800000.0,-94500000.0,,,,,88900000.0,-83400000.0,,,-81900000.0,-28000000.0,-4100000.0,-500000.0,-35500000.0,-28900000,2018-11-30,76.9000015258789,77.6500015258789,75.83000183105469,76.69999694824219,74.1159439086914,39405400.0
2019-02-28,926800000.0,-653400000.0,273400000.0,-79600000.0,-79600000.0,,,193800000.0,-27000000.0,-27000000.0,166800000,,166800000,-39600000.0,141400000,,141400000,141400000,12200000.0,340100000.0,498300000.0,961500000.0,1597800000.0,224600000.0,264200000.0,2086600000.0,3048100000,506400000.0,46400000.0,552800000.0,2280200000.0,2499900000.0,3052700000,-743600000.0,-39300000.0,803600000.0,-4600000.0,3048100000,141400000.0,40300000.0,8500000.0,-62600000.0,,,,,127600000.0,-76900000.0,,-88600000.0,-165200000.0,-28000000.0,48200000.0,-7900000.0,-65900000.0,-104400000,2019-02-28,69.19999694824219,69.66000366210939,68.63999938964844,69.30999755859375,67.15999603271484,1265700.0
2019-05-31,1003400000.0,-752900000.0,250500000.0,-102500000.0,-102500000.0,,,148000000.0,-27100000.0,-27100000.0,120900000,,120900000,-25700000.0,110400000,,110400000,110400000,12200000.0,340100000.0,498300000.0,961500000.0,1597800000.0,224600000.0,264200000.0,2086600000.0,3048100000,506400000.0,46400000.0,552800000.0,2280200000.0,2499900000.0,3052700000,-743600000.0,-39300000.0,803600000.0,-4600000.0,3048100000,110400000.0,44900000.0,8400000.0,72800001.0,,,,,236500001.0,-86900000.0,,0.0,-89100000.0,-29300000.0,-99900000.0,-24100000.0,-152300000.0,-4999999,2019-05-31,59.84000015258789,59.92499923706055,59.15999984741211,59.25,57.57632827758789,1327000.0
2019-08-31,989000000.0,-740400000.0,248600000.0,-78600000.0,-78600000.0,,,170000000.0,-28200000.0,-28200000.0,141800000,,141800000,-36700000.0,115700000,,115700000,115700000,19000000.0,371100000.0,466500000.0,906200000.0,1555100000.0,225500000.0,535800000.0,2316400000.0,3222600000,503600000.0,36500000.0,540100000.0,2210100000.0,2590200000.0,3130300000,-737900000.0,-46700000.0,911100000.0,92300000.0,3222600000,115700000.0,46000000.0,20800000.0,56000000.0,,,,,238500000.0,-50300000.0,,-116900000.0,-176700000.0,-29200000.0,-18000000.0,-7400000.0,-54900000.0,6800000,2019-08-30,70.27999877929689,70.7699966430664,70.11000061035156,70.38999938964844,68.6060791015625,772900.0
