Report Date,Revenue,Cost of Revenue,Gross Profit,Operating Expenses,"Selling, General & Administrative",Research & Development,Depreciation & Amortization,Operating Income (Loss),Non-Operating Income (Loss),"Interest Expense, Net","Pretax Income (Loss), Adj.",Abnormal Gains (Losses),Pretax Income (Loss),"Income Tax (Expense) Benefit, Net",Income (Loss) from Continuing Operations,Net Extraordinary Gains (Losses),Net Income,Net Income (Common),"Cash, Cash Equivalents & Short Term Investments",Accounts & Notes Receivable,Inventories,Total Current Assets,"Property, Plant & Equipment, Net",Long Term Investments & Receivables,Other Long Term Assets,Total Noncurrent Assets,Total Assets,Payables & Accruals,Short Term Debt,Total Current Liabilities,Long Term Debt,Total Noncurrent Liabilities,Total Liabilities,Share Capital & Additional Paid-In Capital,Treasury Stock,Retained Earnings,Total Equity,Total Liabilities & Equity,Net Income/Starting Line,Depreciation & Amortization,Non-Cash Items,Change in Working Capital,Change in Accounts Receivable,Change in Inventories,Change in Accounts Payable,Change in Other,Net Cash from Operating Activities,Change in Fixed Assets & Intangibles,Net Change in Long Term Investment,Net Cash from Acquisitions & Divestitures,Net Cash from Investing Activities,Dividends Paid,Cash from (Repayment of) Debt,Cash from (Repurchase of) Equity,Net Cash from Financing Activities,Net Change in Cash,Price Date,Open,High,Low,Close,Adj Close,Volume
2014-12-31,253966000.0,-59607000.0,194359000.0,-121651000.0,-4844000.0,,-71946000.0,72708000.0,-35189000.0,-34863000.0,37519000,215000.0,37734000,-815000.0,36909000,-451000.0,34525000,34525000,26653000.0,,,26653000.0,6697508000.0,,97617000.0,6795125000.0,6821778000,227439000.0,1589641000.0,1817080000.0,1923058000.0,1946976000.0,3764056000,3625933000.0,,,3057722000.0,6821778000,36458000.0,68432000.0,1912000.0,-18764000.0,,,,,88038000.0,-179103000.0,,,-148630000.0,-57923000.0,57081000.0,634000.0,-1044000.0,-61636000,2014-12-31,76.23999786376953,76.6500015258789,74.61000061035156,74.68000030517578,59.05920791625977,264700.0
2015-03-31,258552000.0,-59808000.0,198744000.0,-129351000.0,-6567000.0,,-73112000.0,69393000.0,-31058000.0,-30848000.0,38335000,26833000.0,65168000,-510000.0,64677000,,61267000,61267000,18331000.0,,,18331000.0,6687578000.0,,93773000.0,6781351000.0,6799682000,202902000.0,1429069000.0,1664055000.0,2050424000.0,2075921000.0,3739976000,3627038000.0,,,3059706000.0,6799682000,64677000.0,73117000.0,-23352000.0,-11583000.0,,,,,102859000.0,-25751000.0,,,-32176000.0,-61063000.0,-13587000.0,-929000.0,-75751000.0,-5068000,2015-03-31,77.58999633789062,78.25,77.0,77.2699966430664,61.69497299194336,407600.0
2015-06-30,258891000.0,-60933000.0,197958000.0,-129121000.0,-6657000.0,,-74396000.0,68837000.0,-30404000.0,-30433000.0,38433000,105861000.0,144294000,-398000.0,143873000,,136299000,136299000,30030000.0,,,30030000.0,6683457000.0,,129926000.0,6813383000.0,6843413000,227018000.0,1413793000.0,1642027000.0,2028451000.0,2052803000.0,3694830000,3629375000.0,,,3148583000.0,6843413000,143873000.0,74648000.0,-115244000.0,20394000.0,,,,,123671000.0,23569000.0,,,3025000.0,-61106000.0,-57727000.0,588000.0,-118251000.0,8445000,2015-06-30,73.69000244140625,73.69000244140625,72.72000122070312,72.80999755859375,58.7315902709961,565100.0
2015-09-30,261998000.0,-62962000.0,199036000.0,-125898000.0,-5879000.0,,-73098000.0,73138000.0,-30408000.0,-30229000.0,42730000,54611000.0,97341000,-512000.0,96828000,,91734000,91734000,44876000.0,,,44876000.0,6675575000.0,,166890000.0,6842465000.0,6887341000,254220000.0,1373654000.0,1627874000.0,2051481000.0,2080880000.0,3708754000,3631854000.0,,,3178587000.0,6887341000,96828000.0,73176000.0,-60926000.0,25928000.0,,,,,135006000.0,-14074000.0,,,-46735000.0,-61543000.0,-12012000.0,130000.0,-73425000.0,14846000,2015-09-30,81.45999908447266,82.12999725341797,80.93000030517578,81.87000274658203,66.70993041992189,667700.0
2015-12-31,263338000.0,-216942000.0,46396000.0,33144000.0,-6613000.0,,-73914000.0,79540000.0,-36748000.0,-30834000.0,42792000,2825000.0,45617000,-253000.0,45367000,,42987000,42987000,37559000.0,,,37559000.0,6718366000.0,,91856000.0,6810222000.0,6847781000,232159000.0,1286236000.0,1518395000.0,2141332000.0,2163313000.0,3681708000,3636077000.0,,,3166073000.0,6847781000,45367000.0,73956000.0,24000.0,-17162000.0,,,,,102185000.0,-119941000.0,,,-60329000.0,-61265000.0,19309000.0,295000.0,-49173000.0,-7317000,2015-12-31,92.06999969482422,92.73999786376952,90.8000030517578,90.80999755859376,74.67689514160156,504300.0
2016-03-31,269016000.0,-58753000.0,210263000.0,-133554000.0,-6582000.0,,-75127000.0,76709000.0,-32179000.0,-32211000.0,44530000,1438000.0,45968000,-288000.0,45808000,,43413000,43413000,28184000.0,,,28184000.0,6714366000.0,,85371000.0,6799737000.0,6827921000,215003000.0,1247749000.0,1462752000.0,2196214000.0,2220523000.0,3683275000,3637874000.0,,,3144646000.0,6827921000,45808000.0,75148000.0,1587000.0,-18458000.0,,,,,104085000.0,-67335000.0,,,-65917000.0,-65270000.0,19506000.0,-1640000.0,-47543000.0,-9375000,2016-03-31,101.22000122070312,102.41999816894531,100.63999938964844,102.20999908447266,84.82193756103516,580200.0
2016-06-30,272236000.0,-61455000.0,210781000.0,-132987000.0,-7014000.0,,-75742000.0,77794000.0,-31977000.0,-32039000.0,45817000,2371000.0,48188000,-457000.0,47630000,,45144000,45144000,26279000.0,,,26279000.0,6759790000.0,,83312000.0,6843102000.0,6869381000,226122000.0,1243198000.0,1469320000.0,2246227000.0,2270373000.0,3739693000,3641217000.0,,,3129688000.0,6869381000,47630000.0,75966000.0,-6730000.0,17265000.0,,,,,134131000.0,-119841000.0,,,-119466000.0,-65327000.0,48233000.0,526000.0,-16570000.0,-1905000,2016-06-30,105.36000061035156,106.43000030517578,104.56999969482422,106.4000015258789,89.01615905761719,1340400.0
2016-09-30,276898000.0,-65324000.0,211574000.0,-133883000.0,-6661000.0,,-76959000.0,77691000.0,-32104000.0,-32168000.0,45587000,43773000.0,89360000,-454000.0,88906000,,84279000,84279000,27817000.0,,,27817000.0,6759821000.0,,93675000.0,6853496000.0,6881313000,269045000.0,1238168000.0,1507213000.0,2195989000.0,2217160000.0,3724373000,3642125000.0,,,3156940000.0,6881313000,88906000.0,76959000.0,-54489000.0,39630000.0,,,,,151006000.0,-30752000.0,,,-30722000.0,-65341000.0,-52492000.0,-913000.0,-118746000.0,1538000,2016-09-30,96.58999633789062,96.9000015258789,93.94000244140624,93.98999786376952,79.23237609863281,800500.0
2016-12-31,307198000.0,-237824000.0,69374000.0,14333000.0,-8783000.0,,-95130000.0,83707000.0,-35526000.0,-33529000.0,48181000,-5837000.0,42344000,-500000.0,42058000,,39386000,39079000,33536000.0,,,33536000.0,11341862000.0,,229093000.0,11570955000.0,11604491000,452605000.0,1319088000.0,1771693000.0,3180624000.0,3180624000.0,4952317000,7120218000.0,,,6652174000.0,11604491000,42058000.0,95210000.0,-21270000.0,-20216000.0,,,,,95782000.0,-8825000.0,,-424156000.0,-433026000.0,-65564000.0,473727000.0,299000.0,405145000.0,67901000,2016-12-30,96.7699966430664,98.3499984741211,96.0999984741211,97.91999816894531,83.34048461914062,847500.0
2017-03-31,378908000.0,-141273000.0,237635000.0,-153818000.0,-12840000.0,,-129997000.0,83817000.0,-33873000.0,-36584000.0,49944000,-6234000.0,43710000,-651000.0,43416000,,41905000,40983000,33959000.0,,,33959000.0,11371148000.0,,154592000.0,11525740000.0,11559699000,382131000.0,1296498000.0,1678629000.0,3260686000.0,3285106000.0,4963735000,7121711000.0,,,6595964000.0,11559699000,43416000.0,130082000.0,-56000.0,-40669000.0,,,,,132773000.0,-149155000.0,,,-149155000.0,-102458000.0,61129000.0,-4667000.0,-46919000.0,-63301000,2017-03-31,101.54000091552734,102.58999633789062,101.22000122070312,101.73999786376952,87.3713607788086,534700.0
