Report Date,Revenue,Cost of Revenue,Gross Profit,Operating Expenses,"Selling, General & Administrative",Research & Development,Depreciation & Amortization,Operating Income (Loss),Non-Operating Income (Loss),"Interest Expense, Net","Pretax Income (Loss), Adj.",Abnormal Gains (Losses),Pretax Income (Loss),"Income Tax (Expense) Benefit, Net",Income (Loss) from Continuing Operations,Net Extraordinary Gains (Losses),Net Income,Net Income (Common),"Cash, Cash Equivalents & Short Term Investments",Accounts & Notes Receivable,Inventories,Total Current Assets,"Property, Plant & Equipment, Net",Long Term Investments & Receivables,Other Long Term Assets,Total Noncurrent Assets,Total Assets,Payables & Accruals,Short Term Debt,Total Current Liabilities,Long Term Debt,Total Noncurrent Liabilities,Total Liabilities,Share Capital & Additional Paid-In Capital,Treasury Stock,Retained Earnings,Total Equity,Total Liabilities & Equity,Net Income/Starting Line,Depreciation & Amortization,Non-Cash Items,Change in Working Capital,Change in Accounts Receivable,Change in Inventories,Change in Accounts Payable,Change in Other,Net Cash from Operating Activities,Change in Fixed Assets & Intangibles,Net Change in Long Term Investment,Net Cash from Acquisitions & Divestitures,Net Cash from Investing Activities,Dividends Paid,Cash from (Repayment of) Debt,Cash from (Repurchase of) Equity,Net Cash from Financing Activities,Net Change in Cash,Price Date,Open,High,Low,Close,Adj Close,Volume
2017-06-30,1344103000.0,-752242000.0,591861000.0,-316790000.0,-193649000.0,,-123141000.0,275071000.0,-69805000.0,-64196000.0,205266000,,205266000,-6793000.0,198473000,,198473000,198473000,219315000.0,50359000.0,77089000.0,513916000.0,10974087000.0,,2458173000.0,13432260000.0,13946176000,509758000.0,600500000.0,2654127000.0,6083226000.0,6300300000.0,8954427000,3937444000.0,-239255000.0,1463639000.0,4991749000.0,13946176000,198473000.0,127025000.0,28177000.0,131112000.0,,,,,484787000.0,-947488000.0,,,-982743000.0,,524968000.0,3747000.0,497482000.0,-474000,2017-06-30,54.959999084472656,55.0,54.27000045776367,54.290000915527344,54.290000915527344,1076600.0
2017-09-30,1651738000.0,-838165000.0,813573000.0,-336753000.0,-202221000.0,,-134532000.0,476820000.0,-69601000.0,-66339000.0,407219000,,407219000,-6527000.0,400692000,,400692000,400692000,522904000.0,56764000.0,78915000.0,864834000.0,10916824000.0,,2483459000.0,13400283000.0,14265117000,595833000.0,605827000.0,2528662000.0,6002877000.0,6198851000.0,8727513000,3973583000.0,-239255000.0,1864331000.0,5537604000.0,14265117000,400692000.0,137339000.0,32925000.0,-131049000.0,,,,,439907000.0,-64249000.0,,,-64249000.0,,-85291000.0,14850000.0,-72069000.0,303589000,2017-09-29,53.459999084472656,54.1500015258789,52.43999862670898,54.04999923706055,54.04999923706055,2518800.0
2017-12-31,1249553000.0,-753439000.0,496114000.0,-318920000.0,-185841000.0,,-133079000.0,177194000.0,-83024000.0,-84309000.0,94170000,,94170000,4627000.0,98797000,,98797000,98797000,176190000.0,43961000.0,82121000.0,518337000.0,11040488000.0,,2536044000.0,13576532000.0,14094869000,567150000.0,619373000.0,2490021000.0,5688392000.0,5855082000.0,8345103000,3998927000.0,-239255000.0,1963128000.0,5749766000.0,14094869000,98797000.0,135527000.0,24005000.0,-32226000.0,,,,,226103000.0,-242700000.0,,499000.0,-240129000.0,,-310935000.0,1969000.0,-332688000.0,-346714000,2017-12-29,53.45000076293945,53.959999084472656,53.20000076293945,53.25,53.25,892400.0
2018-03-31,1293403000.0,-768091000.0,525312000.0,-358259000.0,-227015000.0,,-131244000.0,167053000.0,-61364000.0,-59698000.0,105689000,,105689000,-2534000.0,103155000,,103155000,103155000,301748000.0,41159000.0,80427000.0,760775000.0,11085572000.0,,2638638000.0,13724210000.0,14484985000,600851000.0,772187000.0,3093543000.0,5580290000.0,5752369000.0,8845912000,4020819000.0,-502760000.0,2047152000.0,5639073000.0,14484985000,103155000.0,134546000.0,30167000.0,342893000.0,,,,,610761000.0,-143874000.0,,,-143625000.0,,38052000.0,-257544000.0,-341578000.0,125558000,2018-03-29,52.70000076293945,53.4000015258789,52.2599983215332,52.97000122070313,52.97000122070313,1782400.0
2018-06-30,1522174000.0,-862783000.0,659391000.0,-367239000.0,-226535000.0,,-140704000.0,292152000.0,-60066000.0,-72988000.0,232086000,,232086000,-5410000.0,226676000,,226676000,226676000,205007000.0,44212000.0,93136000.0,671490000.0,12085701000.0,,2572455000.0,14658156000.0,15329646000,674697000.0,679767000.0,3306165000.0,6149221000.0,6336688000.0,9642853000,4064373000.0,-702760000.0,2273828000.0,5686793000.0,15329646000,226676000.0,140296000.0,36511000.0,239557000.0,,,,,643040000.0,-1107560000.0,,,-1042512000.0,,500403000.0,-186935000.0,302731000.0,-96741000,2018-06-29,47.6500015258789,47.97000122070313,47.18000030517578,47.25,47.25,2972200.0
2018-09-30,1858356000.0,-928944000.0,929412000.0,-379136000.0,-235436000.0,,-143700000.0,550276000.0,-69442000.0,-69540000.0,480834000,,480834000,-10456000.0,470378000,,470378000,470378000,286461000.0,46562000.0,95950000.0,727408000.0,12029140000.0,,2559574000.0,14588714000.0,15316122000,723529000.0,679908000.0,3052179000.0,5875252000.0,6065853000.0,9118032000,4100526000.0,-702760000.0,2744206000.0,6198090000.0,15316122000,470378000.0,145312000.0,31389000.0,-180779000.0,,,,,466300000.0,-110244000.0,,,-109990000.0,,-280602000.0,7616000.0,-274856000.0,81454000,2018-09-28,57.20000076293945,57.90999984741211,56.79999923706055,57.43000030517578,57.43000030517578,1925100.0
2018-12-31,1381193000.0,-817258000.0,563935000.0,-354355000.0,-208943000.0,,-145412000.0,209580000.0,-58879000.0,-68178000.0,150701000,,150701000,3933000.0,154634000,,154634000,154634000,163851000.0,55249000.0,90202000.0,550313000.0,12119253000.0,,2536404000.0,14655657000.0,15205970000,876063000.0,681218000.0,3150500000.0,5810873000.0,6092469000.0,9242969000,4129874000.0,-904066000.0,2898840000.0,5963001000.0,15205970000,154634000.0,146818000.0,25803000.0,27815000.0,,,,,355070000.0,-205118000.0,,,-206581000.0,,-69232000.0,-199129000.0,-271099000.0,-122610000,2018-12-31,42.290000915527344,42.47000122070313,41.5099983215332,42.38999938964844,42.38999938964844,2119900.0
2019-03-31,1403630000.0,-826651000.0,576979000.0,-418683000.0,-248942000.0,,-169741000.0,158296000.0,-73937000.0,-73503000.0,84359000,,84359000,33798000.0,118157000,,118157000,118157000,304708000.0,57054000.0,90101000.0,768395000.0,12181007000.0,,2811691000.0,14992698000.0,15761093000,797886000.0,608307000.0,3429420000.0,5934185000.0,6426371000.0,9855791000,4145767000.0,-1104062000.0,3016997000.0,5905302000.0,15761093000,118157000.0,169714000.0,-3062000.0,250568000.0,,,,,535377000.0,-214559000.0,,,-221918000.0,,46411000.0,-192252000.0,-172602000.0,140857000,2019-03-29,54.65999984741211,55.13000106811523,54.209999084472656,54.959999084472656,54.959999084472656,2577900.0
2019-06-30,1664277000.0,-958424000.0,705853000.0,-397172000.0,-240901000.0,,-156271000.0,308681000.0,-62353000.0,-65969000.0,246328000,,246328000,-6138000.0,240190000,,240190000,240190000,419925000.0,75134000.0,90956000.0,903564000.0,12252055000.0,,2810358000.0,15062413000.0,15965977000,810139000.0,605141000.0,3582551000.0,5743927000.0,6233083000.0,9815634000,4177062000.0,-1104137000.0,3257187000.0,6150343000.0,15965977000,240190000.0,156757000.0,31438000.0,96012000.0,,,,,524397000.0,-199329000.0,,,-206187000.0,,-203026000.0,3549000.0,-202993000.0,115217000,2019-06-28,51.9000015258789,53.63000106811523,51.849998474121094,53.63000106811523,53.63000106811523,3881100.0
2019-09-30,1913851000.0,-990764000.0,923087000.0,-411363000.0,-255148000.0,,-156215000.0,511724000.0,-49937000.0,-60188000.0,461787000,,461787000,-11203000.0,450584000,,450584000,450584000,407258000.0,67698000.0,94254000.0,842716000.0,12288897000.0,,2807283000.0,15096180000.0,15938896000,932849000.0,605106000.0,3399591000.0,5672626000.0,6265881000.0,9665472000,4209212000.0,-1253926000.0,3707771000.0,6273424000.0,15938896000,450584000.0,156026000.0,27677000.0,-247019000.0,,,,,387268000.0,-202097000.0,,,-183108000.0,,-73739000.0,-142954000.0,-216827000.0,-12667000,2019-09-30,51.34000015258789,52.06999969482422,51.22000122070313,51.77000045776367,51.77000045776367,1143600.0
