Report Date,Revenue,Cost of Revenue,Gross Profit,Operating Expenses,"Selling, General & Administrative",Research & Development,Depreciation & Amortization,Operating Income (Loss),Non-Operating Income (Loss),"Interest Expense, Net","Pretax Income (Loss), Adj.",Abnormal Gains (Losses),Pretax Income (Loss),"Income Tax (Expense) Benefit, Net",Income (Loss) from Continuing Operations,Net Extraordinary Gains (Losses),Net Income,Net Income (Common),"Cash, Cash Equivalents & Short Term Investments",Accounts & Notes Receivable,Inventories,Total Current Assets,"Property, Plant & Equipment, Net",Long Term Investments & Receivables,Other Long Term Assets,Total Noncurrent Assets,Total Assets,Payables & Accruals,Short Term Debt,Total Current Liabilities,Long Term Debt,Total Noncurrent Liabilities,Total Liabilities,Share Capital & Additional Paid-In Capital,Treasury Stock,Retained Earnings,Total Equity,Total Liabilities & Equity,Net Income/Starting Line,Depreciation & Amortization,Non-Cash Items,Change in Working Capital,Change in Accounts Receivable,Change in Inventories,Change in Accounts Payable,Change in Other,Net Cash from Operating Activities,Change in Fixed Assets & Intangibles,Net Change in Long Term Investment,Net Cash from Acquisitions & Divestitures,Net Cash from Investing Activities,Dividends Paid,Cash from (Repayment of) Debt,Cash from (Repurchase of) Equity,Net Cash from Financing Activities,Net Change in Cash,Price Date,Open,High,Low,Close,Adj Close,Volume
2014-06-30,865000000.0,-342000000.0,523000000.0,-318000000.0,-187000000.0,,-35000000.0,205000000.0,-29000000.0,-29000000.0,176000000,-14000000.0,162000000,-61000000.0,101000000,,101000000,101000000,517000000.0,395000000.0,,3718000000.0,280000000.0,,9118000000.0,9398000000.0,13116000000,442000000.0,,3424000000.0,2408000000.0,3485000000.0,6909000000,4330000000.0,-1117000000.0,3134000000.0,6207000000.0,13116000000,102000000.0,34000000.0,18000000.0,46000000.0,,,,,200000000.0,-35000000.0,-12000000.0,,-48000000.0,-25000000.0,-114000000.0,-82000000.0,-220000000.0,-70000000,2014-06-30,38.11999893188477,38.75,37.849998474121094,38.61999893188477,34.13703155517578,1583800.0
2014-09-30,818000000.0,-321000000.0,497000000.0,-285000000.0,-159000000.0,,-34000000.0,212000000.0,-28000000.0,-28000000.0,184000000,-5000000.0,179000000,-56000000.0,123000000,,123000000,123000000,455000000.0,370000000.0,,3557000000.0,288000000.0,,8847000000.0,9135000000.0,12692000000,318000000.0,,3194000000.0,2345000000.0,3380000000.0,6574000000,4356000000.0,-1145000000.0,3231000000.0,6118000000.0,12692000000,122000000.0,35000000.0,18000000.0,-151000000.0,,,,,24000000.0,-27000000.0,17000000.0,,-2000000.0,-26000000.0,0.0,-16000000.0,-42000000.0,-28000000,2014-09-30,42.43000030517578,42.68000030517578,42.349998474121094,42.41999816894531,37.62733459472656,698100.0
2014-12-31,919000000.0,-401000000.0,518000000.0,-312000000.0,-174000000.0,,-33000000.0,206000000.0,-26000000.0,-26000000.0,180000000,-83000000.0,97000000,-11000000.0,86000000,,87000000,87000000,601000000.0,389000000.0,,3400000000.0,292000000.0,,8379000000.0,8671000000.0,12071000000,456000000.0,,2980000000.0,2297000000.0,3297000000.0,6277000000,3224000000.0,-41000000.0,3292000000.0,5794000000.0,12071000000,86000000.0,33000000.0,79000000.0,27000000.0,,,,,225000000.0,-47000000.0,-3000000.0,0.0,-59000000.0,-25000000.0,0.0,-47000000.0,-45000000.0,106000000,2014-12-31,48.88000106811523,48.88000106811523,47.95000076293945,47.959999084472656,42.67937469482422,440900.0
2015-03-31,858000000.0,-351000000.0,507000000.0,-330000000.0,-200000000.0,,-34000000.0,177000000.0,-13000000.0,-27000000.0,164000000,-150000000.0,14000000,-5000000.0,9000000,,9000000,9000000,522000000.0,344000000.0,,3688000000.0,281000000.0,,8273000000.0,8554000000.0,12242000000,360000000.0,,3440000000.0,2306000000.0,3257000000.0,6697000000,3245000000.0,-94000000.0,3276000000.0,5545000000.0,12242000000,9000000.0,34000000.0,74000000.0,114000000.0,,,,,231000000.0,-24000000.0,-9000000.0,-226000000.0,-326000000.0,-25000000.0,75000000.0,-24000000.0,4000000.0,-99000000,2015-03-31,50.63000106811523,51.0099983215332,50.31000137329102,50.93999862670898,45.468650817871094,1193100.0
2015-06-30,807000000.0,-289000000.0,518000000.0,-296000000.0,-169000000.0,,-34000000.0,222000000.0,-25000000.0,-26000000.0,197000000,-5000000.0,192000000,-60000000.0,132000000,,133000000,133000000,588000000.0,323000000.0,,3446000000.0,295000000.0,,8363000000.0,8658000000.0,12104000000,429000000.0,,3146000000.0,2281000000.0,3242000000.0,6388000000,3259000000.0,-104000000.0,3366000000.0,5716000000.0,12104000000,132000000.0,33000000.0,17000000.0,-7000000.0,,,,,175000000.0,-35000000.0,-15000000.0,0.0,-92000000.0,-43000000.0,-35000000.0,-14000000.0,-92000000.0,-4000000,2015-06-30,48.86999893188477,49.209999084472656,48.63000106811523,48.81000137329102,43.78574752807617,821900.0
2015-09-30,871000000.0,-342000000.0,529000000.0,-286000000.0,-167000000.0,,-34000000.0,243000000.0,-25000000.0,-27000000.0,218000000,-12000000.0,206000000,-68000000.0,138000000,,138000000,138000000,483000000.0,278000000.0,,3160000000.0,305000000.0,,8305000000.0,8610000000.0,11770000000,319000000.0,20000000.0,2852000000.0,2415000000.0,3372000000.0,6224000000,3034000000.0,-105000000.0,3464000000.0,5546000000.0,11770000000,138000000.0,35000000.0,8000000.0,-115000000.0,,,,,66000000.0,-32000000.0,27000000.0,0.0,36000000.0,-40000000.0,150000000.0,-253000000.0,-133000000.0,-34000000,2015-09-30,52.43000030517578,53.43999862670898,52.13000106811523,53.33000183105469,48.07177352905274,1311000.0
2015-12-31,867000000.0,-331000000.0,536000000.0,-276000000.0,-147000000.0,,-36000000.0,260000000.0,-27000000.0,-27000000.0,233000000,-15000000.0,218000000,-70000000.0,148000000,,148000000,148000000,502000000.0,316000000.0,,3260000000.0,323000000.0,,8278000000.0,8601000000.0,11861000000,427000000.0,,2920000000.0,2364000000.0,3332000000.0,6252000000,3013000000.0,-111000000.0,3571000000.0,5609000000.0,11861000000,148000000.0,36000000.0,81000000.0,-10000000.0,,,,,255000000.0,-42000000.0,-12000000.0,0.0,-53000000.0,-41000000.0,-53000000.0,-57000000.0,-179000000.0,18000000,2015-12-31,58.77000045776367,59.06000137329102,58.16999816894531,58.16999816894531,52.667762756347656,807900.0
2016-03-31,905000000.0,-371000000.0,534000000.0,-297000000.0,-172000000.0,,-38000000.0,237000000.0,-24000000.0,-27000000.0,213000000,-18000000.0,195000000,-63000000.0,132000000,,132000000,132000000,590000000.0,333000000.0,,4722000000.0,326000000.0,,8669000000.0,8995000000.0,13717000000,342000000.0,,4429000000.0,2565000000.0,3591000000.0,8020000000,3003000000.0,-145000000.0,3609000000.0,5697000000.0,13717000000,132000000.0,38000000.0,20000000.0,65000000.0,,,,,255000000.0,-23000000.0,2000000.0,-213000000.0,-294000000.0,-41000000.0,169000000.0,-28000000.0,28000000.0,-5000000,2016-03-31,65.38999938964844,66.55000305175781,65.16999816894531,66.37999725341797,60.33192443847656,1800300.0
2016-06-30,897000000.0,-338000000.0,559000000.0,-317000000.0,-189000000.0,,-41000000.0,242000000.0,-28000000.0,-31000000.0,214000000,-68000000.0,146000000,-76000000.0,70000000,,70000000,70000000,599000000.0,399000000.0,,4596000000.0,332000000.0,,10171000000.0,10503000000.0,15099000000,461000000.0,,4308000000.0,3731000000.0,5074000000.0,9382000000,3064000000.0,-166000000.0,3679000000.0,5717000000.0,15099000000,70000000.0,41000000.0,17000000.0,46000000.0,,,,,174000000.0,-28000000.0,-3000000.0,-1247000000.0,-1279000000.0,-53000000.0,1189000000.0,11000000.0,1124000000.0,14000000,2016-06-30,64.41999816894531,64.86000061035156,64.01000213623047,64.66999816894531,59.06902313232422,1398800.0
2016-09-30,929000000.0,-344000000.0,585000000.0,-340000000.0,-195000000.0,,-46000000.0,245000000.0,-34000000.0,-36000000.0,211000000,-12000000.0,199000000,-68000000.0,131000000,,131000000,131000000,495000000.0,349000000.0,,4346000000.0,342000000.0,,10120000000.0,10462000000.0,14808000000,361000000.0,20000000.0,4054000000.0,3689000000.0,5000000000.0,9054000000,3048000000.0,-169000000.0,3757000000.0,5754000000.0,14808000000,131000000.0,46000000.0,15000000.0,-129000000.0,,,,,63000000.0,-34000000.0,13000000.0,0.0,-18000000.0,-53000000.0,-40000000.0,-41000000.0,-135000000.0,-90000000,2016-09-30,67.80000305175781,68.08000183105469,67.36000061035156,67.54000091552734,61.9776382446289,905300.0
