Report Date,Revenue,Cost of Revenue,Gross Profit,Operating Expenses,"Selling, General & Administrative",Research & Development,Depreciation & Amortization,Operating Income (Loss),Non-Operating Income (Loss),"Interest Expense, Net","Pretax Income (Loss), Adj.",Abnormal Gains (Losses),Pretax Income (Loss),"Income Tax (Expense) Benefit, Net",Income (Loss) from Continuing Operations,Net Extraordinary Gains (Losses),Net Income,Net Income (Common),"Cash, Cash Equivalents & Short Term Investments",Accounts & Notes Receivable,Inventories,Total Current Assets,"Property, Plant & Equipment, Net",Long Term Investments & Receivables,Other Long Term Assets,Total Noncurrent Assets,Total Assets,Payables & Accruals,Short Term Debt,Total Current Liabilities,Long Term Debt,Total Noncurrent Liabilities,Total Liabilities,Share Capital & Additional Paid-In Capital,Treasury Stock,Retained Earnings,Total Equity,Total Liabilities & Equity,Net Income/Starting Line,Depreciation & Amortization,Non-Cash Items,Change in Working Capital,Change in Accounts Receivable,Change in Inventories,Change in Accounts Payable,Change in Other,Net Cash from Operating Activities,Change in Fixed Assets & Intangibles,Net Change in Long Term Investment,Net Cash from Acquisitions & Divestitures,Net Cash from Investing Activities,Dividends Paid,Cash from (Repayment of) Debt,Cash from (Repurchase of) Equity,Net Cash from Financing Activities,Net Change in Cash,Price Date,Open,High,Low,Close,Adj Close,Volume
2010-04-30,1171800000.0,-423300000.0,748500000.0,-574600000.0,-430900000.0,-143700000.0,,173900000.0,-9000000.0,-10700000.0,164900000,-1000000.0,163900000,-18800000.0,145100000,,145100000,145100000,3724000000.0,471500000.0,112900000.0,4537100000.0,804400000.0,72800000.0,1080100000.0,1957300000.0,6494400000,563700000.0,1135100000.0,1911000000.0,1881000000.0,2052900000.0,3963900000,3454200000.0,-2927400000.0,2000900000.0,2530500000.0,6494400000,145200000.0,40000000.0,49100000.0,240300000.0,,,,,474600000.0,-38400000.0,-768900000.0,0.0,-803200000.0,,,40400000.0,62200000.0,-270800000,2010-04-30,36.0,36.0,34.639999389648445,34.669998168945305,28.43190956115723,4173900.0
2010-07-31,1153700000.0,-415900000.0,737800000.0,-559900000.0,-410400000.0,-149500000.0,,177900000.0,-6600000.0,-8800000.0,171300000,-300000.0,171000000,-20300000.0,150700000,,150700000,150700000,3920900000.0,372500000.0,90400000.0,4594200000.0,825400000.0,71200000.0,1155000000.0,2051600000.0,6645800000,338700000.0,1126800000.0,2778800000.0,821000000.0,1017100000.0,3795900000,3629800000.0,-2927400000.0,2142700000.0,2849900000.0,6645800000,150700000.0,40700000.0,67800000.0,-81900000.0,,,,,177300000.0,-40200000.0,-293900000.0,-74900000.0,-408900000.0,,,139900000.0,139900000.0,-93000000,2010-07-30,42.0,42.52999877929688,41.68999862670898,42.29999923706055,34.68905258178711,4203000.0
2010-10-31,1251000000.0,-434500000.0,816500000.0,-603600000.0,-447000000.0,-156600000.0,,212900000.0,-10500000.0,-9100000.0,202400000,-100000.0,202300000,-26900000.0,175400000,,175400000,175400000,4381500000.0,446600000.0,84700000.0,5131100000.0,845300000.0,69800000.0,1191600000.0,2106700000.0,7237800000,453500000.0,1135600000.0,2959900000.0,866400000.0,1070500000.0,4030400000,3816500000.0,-2927400000.0,2307300000.0,3207400000.0,7237800000,175400000.0,41600000.0,28900000.0,109900000.0,,,,,355800000.0,-43300000.0,-300900000.0,0.0,-344300000.0,,,96200000.0,135800000.0,159100000,2010-10-29,52.63000106811523,53.599998474121094,52.56000137329102,53.25,43.668846130371094,3520500.0
2011-01-31,1289600000.0,-443400000.0,846200000.0,-625300000.0,-459300000.0,-166000000.0,,220900000.0,-8300000.0,-8700000.0,212600000,100000.0,212700000,-26300000.0,186400000,,186400000,186400000,4755600000.0,541500000.0,97200000.0,5598700000.0,862200000.0,69200000.0,1233300000.0,2164700000.0,7763400000,496500000.0,1176900000.0,3080100000.0,966400000.0,1169900000.0,4250000000,3953800000.0,-2927400000.0,2479800000.0,3513400000.0,7763400000,186400000.0,41000000.0,54900000.0,72100000.0,,,,,354400000.0,-66300000.0,-240700000.0,0.0,-306200000.0,,,75900000.0,100000000.0,148300000,2011-01-31,53.90999984741211,55.099998474121094,53.86999893188477,54.72999954223633,44.88256072998047,3955100.0
2011-04-30,1428300000.0,-500100000.0,928200000.0,-708100000.0,-531600000.0,-176500000.0,,220100000.0,-4800000.0,-9400000.0,215300000,-7200000.0,208100000,-47500000.0,160600000,,160600000,160600000,5174700000.0,742600000.0,108500000.0,6365200000.0,911600000.0,,1222000000.0,2133600000.0,8498800000,670000000.0,1226600000.0,3372800000.0,1202900000.0,1395800000.0,4768600000,3970800000.0,-2927400000.0,2674000000.0,3730200000.0,8498800000,160600000.0,42300000.0,66000000.0,189900000.0,,,,,458800000.0,-72900000.0,417000000.0,-61600000.0,282200000.0,,0.0,12200000.0,75200000.0,837900000,2011-04-29,52.459999084472656,52.75,51.91999816894531,52.11000061035156,42.73396301269531,6400000.0
2011-07-31,1458200000.0,-561300000.0,896900000.0,-718500000.0,-519900000.0,-198600000.0,,178400000.0,-8800000.0,-8800000.0,169600000,-2200000.0,167400000,-27600000.0,139800000,,139800000,139800000,4714100000.0,597000000.0,138200000.0,5837600000.0,993300000.0,60100000.0,1554800000.0,2608200000.0,8445800000,468400000.0,1240800000.0,3171200000.0,1243600000.0,1449700000.0,4620900000,4084700000.0,-2927400000.0,2652400000.0,3824900000.0,8445800000,139500000.0,68500000.0,37800000.0,-5200000.0,,,,,240600000.0,-98300000.0,245800000.0,-480000000.0,-330800000.0,,,-153400000.0,-121000000.0,-214100000,2011-07-29,47.31000137329102,48.31999969482422,46.9000015258789,47.52000045776367,38.96983337402344,5545600.0
2011-10-31,1507000000.0,-594000000.0,913000000.0,-718900000.0,-519200000.0,-199700000.0,,194100000.0,-8500000.0,-8100000.0,185600000,-1700000.0,183900000,-18300000.0,165600000,,165600000,165600000,4641600000.0,625200000.0,163300000.0,5830000000.0,1046100000.0,,1628000000.0,2674100000.0,8504100000,544500000.0,1246700000.0,3298300000.0,1191900000.0,1403000000.0,4701300000,4211400000.0,-2927400000.0,2512000000.0,3803000000.0,8504300000,165600000.0,68400000.0,28500000.0,107700000.0,,,,,370200000.0,-93300000.0,-205400000.0,0.0,-298400000.0,,,-394700000.0,-340800000.0,-274200000,2011-10-31,40.81999969482422,41.900001525878906,40.75,40.959999084472656,33.590160369873054,6735700.0
2012-01-31,1565500000.0,-657000000.0,908500000.0,-748500000.0,-540200000.0,-208300000.0,,160000000.0,-9600000.0,-10200000.0,150400000,-3500000.0,146900000,-27300000.0,119600000,,119600000,119600000,4866100000.0,685400000.0,153800000.0,6167700000.0,1081800000.0,,1572100000.0,2653900000.0,8821600000,489400000.0,1309300000.0,3346500000.0,1236500000.0,1433800000.0,4780300000,4339700000.0,-2927400000.0,2624600000.0,4041500000.0,8821800000,119600000.0,73600000.0,92300000.0,-16300000.0,,,,,269200000.0,-91300000.0,-61600000.0,0.0,-154900000.0,,0.0,49100000.0,46600000.0,151900000,2012-01-31,37.790000915527344,37.849998474121094,37.099998474121094,37.7400016784668,30.94953346252441,4908900.0
2012-04-30,1702500000.0,-707500000.0,995000000.0,-771200000.0,-549600000.0,-221600000.0,,223800000.0,-7200000.0,-9400000.0,216600000,-2400000.0,214200000,-33800000.0,180400000,,180400000,180400000,5398500000.0,830900000.0,161500000.0,6826500000.0,1137200000.0,,1568600000.0,2705800000.0,9532300000,573400000.0,2568800000.0,3519800000.0,1512000000.0,1718900000.0,5238700000,4410800000.0,-2927400000.0,2805300000.0,4293600000.0,9532300000,180700000.0,82600000.0,74900000.0,244400000.0,,,,,582600000.0,-124200000.0,-1403700000.0,0.0,-1526300000.0,0.0,0.0,41100000.0,71600000.0,-871100000,2012-04-30,38.9900016784668,39.08000183105469,38.59000015258789,38.83000183105469,31.84340667724609,3933100.0
2012-07-31,1444600000.0,-594500000.0,850100000.0,-769900000.0,-548500000.0,-221400000.0,,80200000.0,-6000000.0,-9100000.0,74200000,0.0,74200000,-10400000.0,63800000,,63800000,63800000,5441100000.0,584200000.0,203700000.0,6740800000.0,1139100000.0,,1526100000.0,2665200000.0,9406000000,492800000.0,1404400000.0,3459900000.0,1363100000.0,1570400000.0,5030300000,4532200000.0,-2927400000.0,2765700000.0,4375700000.0,9406000000,63800000.0,82400000.0,55800000.0,27200000.0,,,,,229200000.0,-61900000.0,-66100000.0,,-126700000.0,0.0,0.0,-115000000.0,-112100000.0,-20400000,2012-07-31,32.47999954223633,33.080001831054695,32.110000610351555,32.669998168945305,26.79175567626953,5027900.0
