Report Date,Revenue,Cost of Revenue,Gross Profit,Operating Expenses,"Selling, General & Administrative",Research & Development,Depreciation & Amortization,Operating Income (Loss),Non-Operating Income (Loss),"Interest Expense, Net","Pretax Income (Loss), Adj.",Abnormal Gains (Losses),Pretax Income (Loss),"Income Tax (Expense) Benefit, Net",Income (Loss) from Continuing Operations,Net Extraordinary Gains (Losses),Net Income,Net Income (Common),"Cash, Cash Equivalents & Short Term Investments",Accounts & Notes Receivable,Inventories,Total Current Assets,"Property, Plant & Equipment, Net",Long Term Investments & Receivables,Other Long Term Assets,Total Noncurrent Assets,Total Assets,Payables & Accruals,Short Term Debt,Total Current Liabilities,Long Term Debt,Total Noncurrent Liabilities,Total Liabilities,Share Capital & Additional Paid-In Capital,Treasury Stock,Retained Earnings,Total Equity,Total Liabilities & Equity,Net Income/Starting Line,Depreciation & Amortization,Non-Cash Items,Change in Working Capital,Change in Accounts Receivable,Change in Inventories,Change in Accounts Payable,Change in Other,Net Cash from Operating Activities,Change in Fixed Assets & Intangibles,Net Change in Long Term Investment,Net Cash from Acquisitions & Divestitures,Net Cash from Investing Activities,Dividends Paid,Cash from (Repayment of) Debt,Cash from (Repurchase of) Equity,Net Cash from Financing Activities,Net Change in Cash,Price Date,Open,High,Low,Close,Adj Close,Volume
2009-06-30,2870700000.0,,2870700000.0,-2472600000.0,,,,398100000.0,-21900000.0,-21900000.0,376200000,,376200000,-129700000.0,253800000,,233400000,233400000,411900000.0,4940300000.0,614100000.0,6899800000.0,704800000.0,315200000.0,7965600000.0,8985600000.0,15885400000,6827800000.0,44100000.0,8328900000.0,2413500000.0,3275700000.0,11604600000,1508300000.0,-3779900000.0,6164000000.0,4280800000.0,15885400000,253800000.0,57900000.0,30000000.0,-3900000.0,,,,,337800000.0,-40000000.0,-5200000.0,-60700000.0,-96300000.0,-46800000.0,-308800000.0,-900000.0,-398900000.0,-12500000,2009-06-30,31.57999992370605,32.040000915527344,31.239999771118164,31.57999992370605,22.57280921936035,2871800.0
2009-09-30,2837600000.0,,2837600000.0,-2542800000.0,,,,294800000.0,-28900000.0,-28900000.0,265900000,,265900000,-90500000.0,182700000,,165600000,165600000,613300000.0,4812500000.0,669000000.0,7109700000.0,694300000.0,315800000.0,8081600000.0,9091700000.0,16201400000,6894400000.0,176800000.0,8605000000.0,2236000000.0,3124400000.0,11729400000,1499800000.0,-3756800000.0,6282800000.0,4472000000.0,16201400000,182800000.0,60100000.0,19900000.0,80900000.0,,,,,343700000.0,-30100000.0,-3200000.0,-50200000.0,-60000000.0,-46800000.0,-44200000.0,-700000.0,-99900000.0,197500000,2009-09-30,37.81999969482422,37.81999969482422,36.65999984741211,36.93999862670898,26.511192321777344,3562900.0
2009-12-31,3265800000.0,,3265800000.0,-2866200000.0,,,,399600000.0,-28500000.0,-28500000.0,371100000,,371100000,-124700000.0,256700000,,229500000,229500000,1594800000.0,5574100000.0,607600000.0,8788500000.0,677300000.0,299400000.0,8155500000.0,9132200000.0,17920700000,8203200000.0,37100000.0,10082500000.0,2220600000.0,3170700000.0,13253200000,1467800000.0,-3730400000.0,6465400000.0,4667500000.0,17920700000,256600000.0,69000000.0,-8600000.0,961500000.0,,,,,1278500000.0,-37200000.0,6300000.0,-24800000.0,-48500000.0,-138500000.0,-154700000.0,6800000.0,-257300000.0,989600000,2009-12-31,39.7599983215332,39.9900016784668,39.11999893188477,39.150001525878906,28.211021423339844,988900.0
2010-03-31,2920000000.0,,2920000000.0,-2629000000.0,,,,291000000.0,-24100000.0,-24100000.0,266900000,,266900000,-90700000.0,180900000,,163400000,163400000,908400000.0,5184300000.0,673900000.0,7851000000.0,647500000.0,275100000.0,8055900000.0,8978500000.0,16829500000,7429400000.0,29900000.0,9235100000.0,2215300000.0,3213800000.0,12448900000,1474700000.0,-3966700000.0,6567300000.0,4380600000.0,16829500000,180900000.0,62000000.0,18000000.0,-538800000.0,,,,,-277900000.0,-25200000.0,-200000.0,-19600000.0,-43700000.0,-73100000.0,-8700000.0,-239000000.0,-329200000.0,-686600000,2010-03-31,38.5,39.29999923706055,37.9900016784668,38.810001373291016,28.11534118652344,4734700.0
2010-06-30,3041200000.0,,3041200000.0,-2625800000.0,,,,415400000.0,-23700000.0,-23700000.0,391700000,,391700000,-133200000.0,268800000,,243300000,243300000,543100000.0,5140600000.0,711100000.0,7454800000.0,628500000.0,291300000.0,7954600000.0,8874400000.0,16329200000,7425500000.0,305800000.0,9219600000.0,1901600000.0,2900000000.0,12119600000,1442500000.0,-4146100000.0,6749800000.0,4209600000.0,16329200000,268800000.0,61200000.0,-5400000.0,-217300000.0,,,,,107300000.0,-37900000.0,-2400000.0,-56800000.0,-96800000.0,-81500000.0,-36900000.0,-232500000.0,-341900000.0,-366700000,2010-06-30,34.720001220703125,35.189998626708984,34.18000030517578,34.299999237060554,24.98200798034668,3380000.0
2010-09-30,2994600000.0,,2994600000.0,-2680500000.0,,,,314100000.0,-29800000.0,-29800000.0,284300000,,284300000,-96900000.0,195600000,,174600000,174600000,1698300000.0,5516900000.0,750600000.0,9132300000.0,637400000.0,280000000.0,8233000000.0,9150400000.0,18282700000,7694100000.0,316100000.0,9784200000.0,2904600000.0,3898600000.0,13682800000,1424000000.0,-4112400000.0,6863900000.0,4599900000.0,18282700000,195500000.0,62400000.0,-600000.0,-43200000.0,,,,,214100000.0,-35000000.0,100000.0,-39000000.0,-68700000.0,-79200000.0,1002600000.0,9700000.0,928400000.0,1155600000,2010-09-30,39.540000915527344,40.0,39.349998474121094,39.47999954223633,28.90218734741211,1945600.0
2010-12-31,3586700000.0,,3586700000.0,-3147000000.0,,,,439700000.0,-32200000.0,-32200000.0,407500000,,407500000,-139400000.0,278400000,,246400000,246400000,2300000000.0,5977200000.0,707600000.0,10194100000.0,653300000.0,299100000.0,8419600000.0,9372000000.0,19566100000,8914000000.0,51600000.0,11023100000.0,3124600000.0,4448800000.0,15471900000,1331500000.0,-4697100000.0,7052500000.0,4094200000.0,19566100000,278500000.0,67400000.0,-11000000.0,1109600000.0,,,,,1444500000.0,-55600000.0,2500000.0,-36700000.0,-84500000.0,-76900000.0,1600000.0,-711100000.0,-794600000.0,599400000,2010-12-31,45.81000137329102,45.95000076293945,45.65999984741211,45.79999923706055,33.67389678955078,1063000.0
2011-03-31,3151300000.0,,3151300000.0,-2829200000.0,,,,322100000.0,-32100000.0,-32100000.0,290000000,,290000000,-73900000.0,217100000,,201900000,201900000,1517800000.0,5470800000.0,803100000.0,9165900000.0,661600000.0,204100000.0,9136900000.0,10002600000.0,19168500000,8167500000.0,64100000.0,10396900000.0,3115200000.0,4572800000.0,14969700000,1312400000.0,-4985500000.0,7183000000.0,4198800000.0,19168500000,217100000.0,65200000.0,-106600000.0,-352600000.0,,,,,-176900000.0,-39100000.0,,-211400000.0,-239400000.0,-82800000.0,9700000.0,-305800000.0,-390000000.0,-776500000,2011-03-31,48.6500015258789,49.08000183105469,48.36999893188477,49.06000137329102,36.25317001342773,3542200.0
2011-06-30,3487400000.0,,3487400000.0,-2999300000.0,,,,488100000.0,-27600000.0,-27600000.0,460500000,,460500000,-158100000.0,307200000,,275100000,275100000,1003300000.0,5981000000.0,782400000.0,9034400000.0,663400000.0,209600000.0,9249300000.0,10122300000.0,19156700000,8389500000.0,65700000.0,10354800000.0,3147400000.0,4566000000.0,14920800000,1245500000.0,-5153500000.0,7388400000.0,4235900000.0,19156700000,307300000.0,68700000.0,-1100000.0,-460600000.0,,,,,-85700000.0,-42000000.0,-11400000.0,-50300000.0,-102600000.0,-96500000.0,300000.0,-272000000.0,-364100000.0,-525900000,2011-06-30,47.27000045776367,48.290000915527344,47.27000045776367,48.15999984741211,35.7811393737793,2023000.0
2011-09-30,3380900000.0,,3380900000.0,-3007500000.0,,,,373400000.0,-31900000.0,-31900000.0,341500000,,341500000,-117100000.0,228900000,,203700000,203700000,912000000.0,5971400000.0,799100000.0,8974700000.0,632100000.0,199000000.0,9130200000.0,9961300000.0,18936000000,8172500000.0,17400000.0,10200900000.0,3184200000.0,4628800000.0,14829700000,1261000000.0,-5171600000.0,7522000000.0,4106300000.0,18936000000,228800000.0,69700000.0,55300000.0,-90700000.0,,,,,263100000.0,-33100000.0,-200000.0,-53100000.0,-70700000.0,-89500000.0,-45500000.0,-35400000.0,-190600000.0,-85700000,2011-09-30,37.13000106811523,37.790000915527344,36.63000106811523,36.84000015258789,27.54670333862305,3065900.0
2011-12-31,3852900000.0,,3852900000.0,-3365400000.0,,,,487500000.0,-30500000.0,-30500000.0,457000000,,457000000,-156700000.0,307200000,,271900000,271900000,1805000000.0,6632000000.0,1017500000.0,10421500000.0,682900000.0,184200000.0,9216800000.0,10083900000.0,20505400000,9285300000.0,10200000.0,11671000000.0,3182900000.0,4652500000.0,16323500000,1103100000.0,-5131200000.0,7724100000.0,4181900000.0,20505400000,307200000.0,70100000.0,4400000.0,933100000.0,,,,,1314800000.0,-71300000.0,11600000.0,-88900000.0,-161900000.0,-101600000.0,-7700000.0,-118300000.0,-261000000.0,880600000,2011-12-30,44.36000061035156,44.68999862670898,44.06999969482422,44.58000183105469,33.53701019287109,1577000.0
