Report Date,Revenue,Cost of Revenue,Gross Profit,Operating Expenses,"Selling, General & Administrative",Research & Development,Depreciation & Amortization,Operating Income (Loss),Non-Operating Income (Loss),"Interest Expense, Net","Pretax Income (Loss), Adj.",Abnormal Gains (Losses),Pretax Income (Loss),"Income Tax (Expense) Benefit, Net",Income (Loss) from Continuing Operations,Net Extraordinary Gains (Losses),Net Income,Net Income (Common),"Cash, Cash Equivalents & Short Term Investments",Accounts & Notes Receivable,Inventories,Total Current Assets,"Property, Plant & Equipment, Net",Long Term Investments & Receivables,Other Long Term Assets,Total Noncurrent Assets,Total Assets,Payables & Accruals,Short Term Debt,Total Current Liabilities,Long Term Debt,Total Noncurrent Liabilities,Total Liabilities,Share Capital & Additional Paid-In Capital,Treasury Stock,Retained Earnings,Total Equity,Total Liabilities & Equity,Net Income/Starting Line,Depreciation & Amortization,Non-Cash Items,Change in Working Capital,Change in Accounts Receivable,Change in Inventories,Change in Accounts Payable,Change in Other,Net Cash from Operating Activities,Change in Fixed Assets & Intangibles,Net Change in Long Term Investment,Net Cash from Acquisitions & Divestitures,Net Cash from Investing Activities,Dividends Paid,Cash from (Repayment of) Debt,Cash from (Repurchase of) Equity,Net Cash from Financing Activities,Net Change in Cash,Price Date,Open,High,Low,Close,Adj Close,Volume
2013-12-31,30280000.0,-5938000.0,24342000.0,-25441000.0,-23646000.0,-829000.0,-966000.0,-1099000.0,-1284000.0,-2343000.0,-2383000,,-2383000,419000.0,-1964000,,-1951000,-1951000,13362000.0,1705000.0,578000.0,477748000.0,38671000.0,,59059000.0,97730000.0,575478000,12479000.0,9545000.0,482983000.0,11545000.0,87412000.0,570395000,34435000.0,,-29349000.0,5083000.0,575478000,-1964000.0,1450000.0,358000.0,5044000.0,,,,,4888000.0,-10933000.0,,,-224740000.0,-5409000.0,5487000.0,,212076000.0,-7776000,,,,,,,
2014-03-31,36985000.0,-6922000.0,30063000.0,-26922000.0,-24949000.0,-882000.0,-1091000.0,3141000.0,-1298000.0,-2067000.0,1843000,,1843000,-783000.0,1060000,,1060000,1060000,13125000.0,737000.0,452000.0,430951000.0,42514000.0,,58766000.0,101280000.0,532231000,12534000.0,13941000.0,438269000.0,11435000.0,87908000.0,526177000,4994000.0,,1060000.0,6054000.0,532231000,1060000.0,1721000.0,740000.0,-1790000.0,,,,,1731000.0,-5160000.0,,,41401000.0,,4286000.0,,-43369000.0,-237000,,,,,,,
2014-06-30,33306000.0,-6365000.0,26941000.0,-23847000.0,-21838000.0,-937000.0,-1072000.0,3094000.0,-87000.0,-674000.0,3007000,-4044000.0,-1037000,444000.0,-593000,,-593000,-593000,13968000.0,906000.0,519000.0,336492000.0,45358000.0,,58345000.0,103703000.0,440195000,9356000.0,893000.0,329398000.0,26528000.0,42959000.0,372357000,67371000.0,,467000.0,67838000.0,440195000,-593000.0,1680000.0,4047000.0,-972000.0,,,,,4162000.0,-4118000.0,,,89472000.0,,-62954000.0,,-92791000.0,843000,2014-06-30,14.270000457763672,14.65999984741211,13.90999984741211,14.59000015258789,14.59000015258789,169500.0
2014-09-30,36598000.0,-6436000.0,30162000.0,-25484000.0,-23266000.0,-1059000.0,-1159000.0,4678000.0,-299000.0,-338000.0,4379000,,4379000,-1689000.0,2690000,,2690000,2690000,18473000.0,1468000.0,384000.0,418331000.0,46642000.0,,57983000.0,104625000.0,522956000,8660000.0,845000.0,407892000.0,26341000.0,44448000.0,452340000,67459000.0,,3157000.0,70616000.0,522956000,2690000.0,1797000.0,1107000.0,1814000.0,,,,,7408000.0,-2670000.0,,,-80674000.0,,-235000.0,,77771000.0,4505000,2014-09-30,16.950000762939453,17.030000686645508,16.309999465942386,16.559999465942386,16.559999465942386,188700.0
2014-12-31,44040000.0,-7595000.0,36445000.0,-31658000.0,-28995000.0,-1447000.0,-1216000.0,4787000.0,-316000.0,-342000.0,4471000,0.0,4471000,-1965000.0,2506000,,2506000,2506000,25144000.0,2794000.0,195000.0,691948000.0,47919000.0,,57630000.0,105549000.0,797497000,9745000.0,855000.0,678772000.0,26123000.0,44587000.0,723359000,68475000.0,,5663000.0,74138000.0,797497000,2506000.0,1964000.0,1261000.0,3305000.0,,,,,9036000.0,-2322000.0,,,-269249000.0,,-209000.0,,266884000.0,6671000,2014-12-31,26.18000030517578,26.979999542236328,26.0,26.32999992370605,26.32999992370605,61900.0
2015-03-31,55222000.0,-8281000.0,46941000.0,-36403000.0,-33213000.0,-1867000.0,-1323000.0,10538000.0,-299000.0,-332000.0,10239000,,10239000,-4244000.0,5995000,,5995000,5995000,35673000.0,1684000.0,718000.0,633551000.0,48692000.0,,57346000.0,106038000.0,739589000,16349000.0,862000.0,613004000.0,25652000.0,46196000.0,659200000,68731000.0,,11658000.0,80389000.0,739589000,5995000.0,2133000.0,166000.0,4842000.0,,,,,13136000.0,-2502000.0,,,66863000.0,,-464000.0,,-69470000.0,10529000,2015-03-31,31.809999465942386,32.389999389648445,31.76000022888184,32.060001373291016,32.060001373291016,255900.0
2015-06-30,48973000.0,-8021000.0,40952000.0,-30144000.0,-26837000.0,-1907000.0,-1400000.0,10808000.0,-373000.0,-392000.0,10435000,,10435000,-4489000.0,5946000,,5946000,5946000,42667000.0,2562000.0,326000.0,591947000.0,50115000.0,,57120000.0,107235000.0,699182000,16330000.0,861000.0,565495000.0,25435000.0,47317000.0,612812000,68766000.0,,17604000.0,86370000.0,699182000,5946000.0,2287000.0,-7000.0,1417000.0,,,,,9643000.0,-2420000.0,,,46336000.0,,-218000.0,,-48985000.0,6994000,2015-06-30,34.790000915527344,35.029998779296875,33.299999237060554,34.150001525878906,34.150001525878906,547300.0
2015-09-30,55340000.0,-8909000.0,46431000.0,-39576000.0,-35770000.0,-2349000.0,-1457000.0,6855000.0,-245000.0,-343000.0,6610000,,6610000,-2763000.0,3847000,,3847000,3847000,48547000.0,3397000.0,639000.0,671220000.0,53674000.0,,56688000.0,110362000.0,781582000,16968000.0,875000.0,641576000.0,25206000.0,48327000.0,689903000,70228000.0,,21451000.0,91679000.0,781582000,3847000.0,2402000.0,257000.0,4844000.0,,,,,11350000.0,-5228000.0,,,-78316000.0,,-215000.0,,72846000.0,5880000,2015-09-30,34.939998626708984,36.0099983215332,34.700000762939446,35.90999984741211,35.90999984741211,820900.0
2015-12-31,65118000.0,-10262000.0,54856000.0,-48622000.0,-44560000.0,-2504000.0,-1558000.0,6234000.0,7000.0,-360000.0,6241000,,6241000,-1084000.0,5157000,,5157000,5157000,50714000.0,2354000.0,1093000.0,761138000.0,58858000.0,,56659000.0,115517000.0,876655000,17532000.0,886000.0,727534000.0,24856000.0,50807000.0,778341000,71706000.0,,26608000.0,98314000.0,876655000,5157000.0,2599000.0,1954000.0,-867000.0,,,,,8843000.0,-6399000.0,,,-87207000.0,,-221000.0,,80531000.0,2167000,2015-12-31,38.16999816894531,38.20000076293945,37.61999893188477,37.63000106811523,37.63000106811523,399000.0
2016-03-31,90126000.0,-11971000.0,78155000.0,-49451000.0,-43868000.0,-3860000.0,-1723000.0,28704000.0,-277000.0,-311000.0,28427000,,28427000,-9839000.0,18588000,,18588000,18588000,72075000.0,2580000.0,736000.0,1205803000.0,66990000.0,,58839000.0,125829000.0,1331632000,29496000.0,900000.0,1161793000.0,24650000.0,51475000.0,1213268000,73168000.0,,45196000.0,118364000.0,1331632000,18588000.0,2909000.0,-2389000.0,10840000.0,,,,,29948000.0,-8363000.0,,,-437279000.0,,-224000.0,,428692000.0,21361000,2016-03-31,35.18000030517578,35.88999938964844,34.950000762939446,35.599998474121094,35.599998474121094,352500.0
