Report Date,Revenue,Cost of Revenue,Gross Profit,Operating Expenses,"Selling, General & Administrative",Research & Development,Depreciation & Amortization,Operating Income (Loss),Non-Operating Income (Loss),"Interest Expense, Net","Pretax Income (Loss), Adj.",Abnormal Gains (Losses),Pretax Income (Loss),"Income Tax (Expense) Benefit, Net",Income (Loss) from Continuing Operations,Net Extraordinary Gains (Losses),Net Income,Net Income (Common),"Cash, Cash Equivalents & Short Term Investments",Accounts & Notes Receivable,Inventories,Total Current Assets,"Property, Plant & Equipment, Net",Long Term Investments & Receivables,Other Long Term Assets,Total Noncurrent Assets,Total Assets,Payables & Accruals,Short Term Debt,Total Current Liabilities,Long Term Debt,Total Noncurrent Liabilities,Total Liabilities,Share Capital & Additional Paid-In Capital,Treasury Stock,Retained Earnings,Total Equity,Total Liabilities & Equity,Net Income/Starting Line,Depreciation & Amortization,Non-Cash Items,Change in Working Capital,Change in Accounts Receivable,Change in Inventories,Change in Accounts Payable,Change in Other,Net Cash from Operating Activities,Change in Fixed Assets & Intangibles,Net Change in Long Term Investment,Net Cash from Acquisitions & Divestitures,Net Cash from Investing Activities,Dividends Paid,Cash from (Repayment of) Debt,Cash from (Repurchase of) Equity,Net Cash from Financing Activities,Net Change in Cash,Price Date,Open,High,Low,Close,Adj Close,Volume
2014-12-31,397086000.0,-206384000.0,190702000.0,-87067000.0,-29965000.0,-48865000.0,,103635000.0,-204000.0,-9000.0,103431000,,103431000,-15568000.0,87863000,,87863000,87863000,296703000.0,215248000.0,170019000.0,755257000.0,228579000.0,2150000.0,179629000.0,410358000.0,1165615000,198030000.0,,219753000.0,,50300000.0,270053000,1311184000.0,,-417445000.0,895562000.0,1165615000,87863000.0,12950000.0,8480000.0,-37155000.0,,,,,72138000.0,-20751000.0,-48470000.0,1500000.0,-68821000.0,,0.0,2880000.0,4200000.0,7418000,,,,,,,
2015-03-31,634892000.0,-446006000.0,188886000.0,-291431000.0,-145033000.0,-115476000.0,,-102545000.0,-948000.0,-368000.0,-103493000,,-103493000,109975000.0,6482000,,6482000,6482000,544644000.0,353830000.0,346900000.0,1500105000.0,883371000.0,4083000.0,4504820000.0,5392274000.0,6892379000,314339000.0,,325310000.0,0.0,393909000.0,719219000,6584247000.0,,-410963000.0,6173160000.0,6892379000,6482000.0,37215000.0,45531000.0,49297000.0,,,,,138525000.0,-127403000.0,-26402000.0,222824000.0,78264000.0,,0.0,-24141000.0,-34408000.0,181721000,2015-03-31,80.93000030517578,81.0,78.55000305175781,79.69999694824219,79.69999694824219,2006900.0
2015-06-30,673641000.0,-394124000.0,279517000.0,-280852000.0,-145728000.0,-117210000.0,,-1335000.0,3963000.0,-156000.0,2628000,,2628000,-592000.0,2036000,,2036000,2036000,558429000.0,408074000.0,363914000.0,1579986000.0,940070000.0,4397000.0,4385417000.0,5329884000.0,6909870000,334654000.0,,335496000.0,,396183000.0,731679000,6588201000.0,,-408927000.0,6178191000.0,6909870000,2036000.0,42738000.0,171589000.0,-74931000.0,,,,,141432000.0,-89255000.0,14118000.0,0.0,-75137000.0,,,-31623000.0,-40473000.0,25788000,2015-06-30,80.0,81.0,78.5770034790039,80.2699966430664,80.2699966430664,1955200.0
2015-09-30,708335000.0,-423487000.0,284848000.0,-266809000.0,-134994000.0,-118293000.0,,18039000.0,193000.0,-188000.0,18232000,,18232000,-13784000.0,4448000,,4448000,4448000,195557000.0,438266000.0,393760000.0,1275982000.0,972328000.0,28761000.0,4255026000.0,5256115000.0,6532097000,352183000.0,,355474000.0,75000000.0,464525000.0,819999000,6117858000.0,,-404479000.0,5712098000.0,6532097000,4448000.0,46069000.0,162507000.0,-44229000.0,,,,,168795000.0,-80431000.0,205845000.0,0.0,100669000.0,,75000000.0,-488609000.0,-425445000.0,-156005000,2015-09-30,44.22999954223633,45.47000122070313,44.040000915527344,45.04999923706055,45.04999923706055,1912100.0
2015-12-31,620681000.0,-389693000.0,230988000.0,-244201000.0,-126294000.0,-105992000.0,,-13213000.0,-7788000.0,-7149000.0,-21001000,,-21001000,9874000.0,-11127000,,-11127000,-11127000,1025166000.0,296592000.0,406692000.0,1843717000.0,1012836000.0,29287000.0,4125270000.0,5167393000.0,7011110000,299970000.0,,300685000.0,987888000.0,1216353000.0,1517038000,5911031000.0,,-415606000.0,5494072000.0,7011110000,-11127000.0,48522000.0,136682000.0,43929000.0,,,,,218006000.0,-61468000.0,-171907000.0,0.0,-207962000.0,,925000000.0,-239303000.0,672616000.0,682000000,2015-12-31,51.40999984741211,51.83000183105469,49.47999954223633,50.9000015258789,50.9000015258789,1540000.0
2016-03-31,608069000.0,-353869000.0,254200000.0,-245723000.0,-127083000.0,-107268000.0,,8477000.0,-11198000.0,-13755000.0,-2721000,,-2721000,-21481000.0,-24202000,,-24202000,-24202000,612689000.0,316356000.0,427551000.0,1509210000.0,1046888000.0,26050000.0,4014671000.0,5087609000.0,6596819000,343253000.0,,373801000.0,988130000.0,1223346000.0,1597147000,5442613000.0,,-439808000.0,4999672000.0,6596819000,-24202000.0,43033000.0,145610000.0,-4747000.0,,,,,159694000.0,-84470000.0,1426000.0,0.0,-96284000.0,,0.0,-488599000.0,-489682000.0,-425848000,2016-03-31,51.0099983215332,51.25,50.36999893188477,50.40999984741211,50.40999984741211,1029900.0
2016-06-30,698537000.0,-422062000.0,276475000.0,-270734000.0,-143595000.0,-117137000.0,,5741000.0,-15409000.0,-14909000.0,-9668000,,-9668000,3993000.0,-5675000,,-5675000,-5675000,446907000.0,400679000.0,455771000.0,1485420000.0,1160953000.0,26000000.0,4015614000.0,5202567000.0,6687987000,405987000.0,,420333000.0,988372000.0,1234078000.0,1654411000,5483200000.0,,-445483000.0,5033576000.0,6687987000,-5675000.0,46352000.0,153006000.0,-134294000.0,,,,,59389000.0,-130440000.0,172920000.0,-117498000.0,-75001000.0,,,25962000.0,23154000.0,7153000,2016-06-30,54.790000915527344,55.2599983215332,53.84000015258789,55.2599983215332,55.2599983215332,1450000.0
2016-09-30,864698000.0,-547899000.0,316799000.0,-271406000.0,-138583000.0,-126078000.0,,45393000.0,-15673000.0,-15362000.0,29720000,,29720000,-17873000.0,11847000,,11847000,11847000,469219000.0,491489000.0,437135000.0,1582536000.0,1240050000.0,34902000.0,3894134000.0,5169086000.0,6751622000,535916000.0,,557445000.0,988625000.0,1217801000.0,1775246000,5413742000.0,,-433636000.0,4976376000.0,6751622000,11847000.0,50825000.0,133496000.0,53830000.0,,,,,249998000.0,-119979000.0,13873000.0,-522000.0,-111824000.0,,,-90285000.0,-102186000.0,36339000,2016-09-30,54.11000061035156,56.209999084472656,53.86000061035156,55.7400016784668,55.7400016784668,2216500.0
2016-12-31,826347000.0,-515705000.0,310642000.0,-249261000.0,-130672000.0,-111951000.0,,61381000.0,-16840000.0,-14231000.0,44541000,,44541000,-123179000.0,-78638000,,-78638000,-78638000,495811000.0,421100000.0,404617000.0,1487917000.0,1335767000.0,34733000.0,3766494000.0,5136994000.0,6624911000,424952000.0,,548596000.0,988886000.0,1213199000.0,1761795000,5378944000.0,,-512274000.0,4863116000.0,6624911000,-78638000.0,56109000.0,133771000.0,109120000.0,,,,,220362000.0,-136536000.0,0.0,18000.0,-136429000.0,,0.0,-55751000.0,-56044000.0,26569000,2016-12-30,53.75,53.808998107910156,52.04999923706055,52.72999954223633,52.72999954223633,1223200.0
2017-03-31,642992000.0,-411396000.0,231596000.0,-256052000.0,-132738000.0,-115670000.0,,-24456000.0,-12832000.0,-13165000.0,-37288000,,-37288000,93196000.0,55908000,,55908000,55908000,545463000.0,357948000.0,430454000.0,1461605000.0,1391932000.0,35494000.0,3633292000.0,5060718000.0,6522323000,386830000.0,,418828000.0,989154000.0,1206773000.0,1625601000,5357394000.0,,-456366000.0,4896722000.0,6522323000,55908000.0,56539000.0,142419000.0,-7795000.0,,,,,247071000.0,-165747000.0,-469000.0,8000.0,-167094000.0,,0.0,-30135000.0,-30574000.0,49656000,2017-03-31,69.16000366210939,69.16000366210939,68.54000091552734,68.55999755859375,68.55999755859375,1060700.0
