Report Date,Revenue,Cost of Revenue,Gross Profit,Operating Expenses,"Selling, General & Administrative",Research & Development,Depreciation & Amortization,Operating Income (Loss),Non-Operating Income (Loss),"Interest Expense, Net","Pretax Income (Loss), Adj.",Abnormal Gains (Losses),Pretax Income (Loss),"Income Tax (Expense) Benefit, Net",Income (Loss) from Continuing Operations,Net Extraordinary Gains (Losses),Net Income,Net Income (Common),"Cash, Cash Equivalents & Short Term Investments",Accounts & Notes Receivable,Inventories,Total Current Assets,"Property, Plant & Equipment, Net",Long Term Investments & Receivables,Other Long Term Assets,Total Noncurrent Assets,Total Assets,Payables & Accruals,Short Term Debt,Total Current Liabilities,Long Term Debt,Total Noncurrent Liabilities,Total Liabilities,Share Capital & Additional Paid-In Capital,Treasury Stock,Retained Earnings,Total Equity,Total Liabilities & Equity,Net Income/Starting Line,Depreciation & Amortization,Non-Cash Items,Change in Working Capital,Change in Accounts Receivable,Change in Inventories,Change in Accounts Payable,Change in Other,Net Cash from Operating Activities,Change in Fixed Assets & Intangibles,Net Change in Long Term Investment,Net Cash from Acquisitions & Divestitures,Net Cash from Investing Activities,Dividends Paid,Cash from (Repayment of) Debt,Cash from (Repurchase of) Equity,Net Cash from Financing Activities,Net Change in Cash,Price Date,Open,High,Low,Close,Adj Close,Volume
2015-12-31,618688000.0,-380507000.0,238181000.0,-191653000.0,-177319000.0,-14334000.0,,46528000.0,-17300000.0,-17706000.0,29228000,194000.0,29422000,-8268000.0,21154000,,20045000,20045000,231360000.0,440858000.0,208306000.0,965708000.0,1053132000.0,,3331443000.0,4384575000.0,5350283000,359970000.0,,359970000.0,1639461000.0,2000490000.0,2360460000,1846700000.0,0.0,1203086000.0,2989823000.0,5350283000,21154000.0,44827000.0,-11597000.0,-29237000.0,,,,,25147000.0,-41827000.0,0.0,-383842000.0,-425669000.0,-14988000.0,488420000.0,2226000.0,474223000.0,69173000,2015-12-31,76.81999969482422,76.81999969482422,75.31999969482422,75.33999633789062,70.51576232910156,588100.0
2016-03-31,690277000.0,-426388000.0,263889000.0,-164407000.0,-150097000.0,-14310000.0,,99482000.0,-10847000.0,-11397000.0,88635000,-156000.0,88479000,-30610000.0,57869000,,57740000,57740000,248841000.0,471523000.0,192792000.0,972525000.0,1064319000.0,,3309572000.0,4373891000.0,5346416000,400606000.0,,400606000.0,1567796000.0,1906918000.0,2307524000,2151719000.0,,939459000.0,3038892000.0,5346416000,57869000.0,52815000.0,12572000.0,26800000.0,,,,,150056000.0,-43846000.0,0.0,661000.0,-43185000.0,-21475000.0,-71786000.0,133000.0,-92831000.0,17481000,2016-03-31,71.87000274658203,72.27999877929688,70.73999786376953,71.05000305175781,66.75618743896484,699300.0
2016-06-30,638378000.0,-398388000.0,239990000.0,-166314000.0,-151886000.0,-14428000.0,,73676000.0,-10578000.0,-11071000.0,63098000,-154000.0,62944000,-14234000.0,48710000,,48401000,48401000,242423000.0,439845000.0,209645000.0,945885000.0,1055706000.0,,3291580000.0,4347286000.0,5293171000,359460000.0,,359460000.0,1551838000.0,1885226000.0,2244686000,2161050000.0,,961924000.0,3048485000.0,5293171000,48710000.0,53784000.0,-12411000.0,-9767000.0,,,,,80316000.0,-30831000.0,-4564000.0,-250000.0,-35645000.0,-21538000.0,-16079000.0,609000.0,-43008000.0,-6418000,2016-06-30,67.84999847412111,68.77999877929689,67.19000244140625,68.75,64.8250732421875,804700.0
2016-09-30,646415000.0,-398507000.0,247908000.0,-178297000.0,-163680000.0,-14617000.0,,69611000.0,-10640000.0,-10924000.0,58971000,-48000.0,58923000,-18721000.0,40202000,,40416000,40416000,254351000.0,441294000.0,209935000.0,956196000.0,1039783000.0,,3214646000.0,4254429000.0,5210625000,370346000.0,,370346000.0,1504192000.0,1830716000.0,2201062000,2112834000.0,,979711000.0,3009563000.0,5210625000,40203000.0,50077000.0,38148000.0,-20243000.0,,,,,108185000.0,-38272000.0,-1792000.0,66964000.0,26900000.0,-24047000.0,-41567000.0,-52988000.0,-118602000.0,11928000,2016-09-30,72.55000305175781,73.69999694824219,72.5199966430664,73.0999984741211,69.20516204833984,622000.0
2016-12-31,646774000.0,-389165000.0,257609000.0,-173351000.0,-158760000.0,-14591000.0,,84258000.0,-10441000.0,-10980000.0,73817000,-58374000.0,15443000,-19790000.0,-4347000,,-4996000,-4996000,264857000.0,443661000.0,209714000.0,970341000.0,939590000.0,,2977015000.0,3916605000.0,4886946000,350053000.0,,350053000.0,1507039000.0,1766783000.0,2116836000,2082921000.0,,950300000.0,2770110000.0,4886946000,-4347000.0,31384000.0,110294000.0,-36427000.0,,,,,100904000.0,-38337000.0,0.0,4219000.0,-34118000.0,-23826000.0,11767000.0,-34566000.0,-46977000.0,10506000,2016-12-30,67.55000305175781,67.81999969482422,67.22000122070311,67.38999938964844,64.07029724121094,427000.0
2017-03-31,681189000.0,-400483000.0,280706000.0,-223474000.0,-207713000.0,-15761000.0,,57232000.0,-9901000.0,-11545000.0,47331000,5000.0,47336000,-21270000.0,26066000,,26144000,26144000,282918000.0,483451000.0,197837000.0,1017802000.0,915908000.0,,2990745000.0,3906653000.0,4924455000,381583000.0,,381583000.0,1478361000.0,1732839000.0,2114422000,2085134000.0,,954155000.0,2810033000.0,4924455000,26065000.0,52897000.0,46485000.0,9234000.0,,,,,134681000.0,-60615000.0,0.0,-777000.0,-61392000.0,-23782000.0,-323234000.0,288121000.0,-58512000.0,18061000,2017-03-31,69.06999969482422,69.77999877929689,68.98999786376953,69.45999908447266,66.30579376220703,437300.0
2017-06-30,607964000.0,-352198000.0,255766000.0,-170340000.0,-156336000.0,-14004000.0,,85426000.0,-11121000.0,-12466000.0,74305000,-51000.0,74254000,-16039000.0,58215000,,58077000,58077000,294840000.0,455627000.0,217434000.0,1029983000.0,942023000.0,,3084141000.0,4026164000.0,5056147000,353623000.0,,353623000.0,1496467000.0,1763069000.0,2116692000,2086647000.0,,988581000.0,2939455000.0,5056147000,58215000.0,43651000.0,2165000.0,-23378000.0,,,,,80653000.0,-36483000.0,0.0,-18399000.0,-54882000.0,-23858000.0,6131000.0,-2607000.0,-22254000.0,11922000,2017-06-30,82.19000244140625,82.31999969482422,81.5,81.5,78.07422637939453,421400.0
2017-09-30,634159000.0,-367762000.0,266397000.0,-167853000.0,-153879000.0,-13974000.0,,98544000.0,-11170000.0,-12683000.0,87374000,-27000.0,87347000,-22903000.0,64444000,,64459000,64459000,295628000.0,449371000.0,224795000.0,1027235000.0,962515000.0,,3130526000.0,4093041000.0,5120276000,367470000.0,,367470000.0,1445297000.0,1712001000.0,2079471000,2081494000.0,,1028543000.0,3040805000.0,5120276000,64444000.0,45548000.0,14669000.0,12063000.0,,,,,136724000.0,-36862000.0,0.0,-9797000.0,-46659000.0,-26422000.0,-59330000.0,-11339000.0,-97091000.0,788000,2017-09-29,87.66999816894531,88.43000030517578,87.30999755859375,88.4000015258789,84.9941635131836,454700.0
2017-12-31,661900000.0,-383683000.0,278217000.0,-174859000.0,-159664000.0,-15195000.0,,103358000.0,-11344000.0,-12461000.0,92014000,-78000.0,91936000,3404000.0,95340000,,94781000,94781000,283844000.0,472060000.0,219495000.0,1032927000.0,983841000.0,,3140236000.0,4124077000.0,5157004000,366616000.0,,366616000.0,1420049000.0,1672600000.0,2039216000,2063870000.0,,1097726000.0,3117788000.0,5157004000,95340000.0,44656000.0,-2344000.0,-27174000.0,,,,,110478000.0,-38072000.0,0.0,-9220000.0,-47292000.0,-26353000.0,-28030000.0,-21900000.0,-76471000.0,-11784000,2017-12-29,88.2300033569336,88.80000305175781,87.43000030517578,87.47000122070312,84.3968276977539,207600.0
2018-03-31,715973000.0,-423607000.0,292366000.0,-179708000.0,-162099000.0,-17609000.0,,112658000.0,-11266000.0,-13019000.0,101392000,53000.0,101445000,-27822000.0,73623000,,73598000,73598000,201534000.0,528066000.0,205731000.0,989657000.0,1010524000.0,,3200153000.0,4210677000.0,5200334000,398462000.0,,398462000.0,1316001000.0,1584572000.0,1983034000,2048037000.0,,1146223000.0,3217300000.0,5200334000,73623000.0,44477000.0,32333000.0,-20656000.0,,,,,129777000.0,-51946000.0,0.0,33000.0,-54996000.0,-26296000.0,-112206000.0,-18481000.0,-160368000.0,-82310000,2018-03-29,91.62000274658205,93.75,91.4000015258789,93.36000061035156,90.3826141357422,533700.0
