Report Date,Revenue,Cost of Revenue,Gross Profit,Operating Expenses,"Selling, General & Administrative",Research & Development,Depreciation & Amortization,Operating Income (Loss),Non-Operating Income (Loss),"Interest Expense, Net","Pretax Income (Loss), Adj.",Abnormal Gains (Losses),Pretax Income (Loss),"Income Tax (Expense) Benefit, Net",Income (Loss) from Continuing Operations,Net Extraordinary Gains (Losses),Net Income,Net Income (Common),"Cash, Cash Equivalents & Short Term Investments",Accounts & Notes Receivable,Inventories,Total Current Assets,"Property, Plant & Equipment, Net",Long Term Investments & Receivables,Other Long Term Assets,Total Noncurrent Assets,Total Assets,Payables & Accruals,Short Term Debt,Total Current Liabilities,Long Term Debt,Total Noncurrent Liabilities,Total Liabilities,Share Capital & Additional Paid-In Capital,Treasury Stock,Retained Earnings,Total Equity,Total Liabilities & Equity,Net Income/Starting Line,Depreciation & Amortization,Non-Cash Items,Change in Working Capital,Change in Accounts Receivable,Change in Inventories,Change in Accounts Payable,Change in Other,Net Cash from Operating Activities,Change in Fixed Assets & Intangibles,Net Change in Long Term Investment,Net Cash from Acquisitions & Divestitures,Net Cash from Investing Activities,Dividends Paid,Cash from (Repayment of) Debt,Cash from (Repurchase of) Equity,Net Cash from Financing Activities,Net Change in Cash,Price Date,Open,High,Low,Close,Adj Close,Volume
2016-03-31,1443000000.0,-544000000.0,899000000.0,-555000000.0,-243000000.0,,,344000000.0,-34000000.0,-42000000.0,310000000,-2000000.0,308000000,-82000000.0,226000000,138000000.0,364000000,364000000,934000000.0,418000000.0,210000000.0,1963000000.0,4111000000.0,,2147000000.0,6258000000.0,8221000000,2205000000.0,2321000000.0,4648000000.0,2510000000.0,3356000000.0,8004000000,2000000.0,,454000000.0,217000000.0,8221000000,226000000.0,73000000.0,-10000000.0,20000000.0,,,,,309000000.0,8000000.0,,,-67000000.0,-192000000.0,793000000.0,-925000000.0,-378000000.0,-133000000,2016-03-31,59.16606903076172,59.3961181640625,58.52624130249024,58.84255981445313,53.46786499023438,3889375.0
2016-06-30,1509000000.0,-570000000.0,939000000.0,-577000000.0,-254000000.0,,,362000000.0,-45000000.0,-51000000.0,317000000,47000000.0,364000000,-98000000.0,266000000,70000000.0,336000000,336000000,795000000.0,395000000.0,255000000.0,1879000000.0,4096000000.0,,2209000000.0,6305000000.0,8184000000,2138000000.0,39000000.0,2279000000.0,5324000000.0,6236000000.0,8515000000,,,-123000000.0,-331000000.0,8184000000,266000000.0,74000000.0,-41000000.0,-21000000.0,,,,,278000000.0,76000000.0,,,-23000000.0,-187000000.0,4518000000.0,-1142000000.0,3198000000.0,3449000000,2016-06-30,59.41049575805664,59.62616729736328,58.80661392211914,59.61178970336914,54.47222518920898,5201505.0
2016-09-30,1518000000.0,-563000000.0,955000000.0,-578000000.0,-270000000.0,,,377000000.0,-96000000.0,-98000000.0,281000000,20000000.0,301000000,-83000000.0,218000000,422000000.0,640000000,640000000,2885000000.0,440000000.0,255000000.0,4003000000.0,4010000000.0,,2419000000.0,6429000000.0,10432000000,2115000000.0,48000000.0,2299000000.0,9119000000.0,9963000000.0,12262000000,,,-1572000000.0,-1830000000.0,10432000000,218000000.0,77000000.0,43000000.0,11000000.0,,,,,349000000.0,63000000.0,,,-37000000.0,-180000000.0,-6000000.0,-2249000000.0,-2378000000.0,-2073000000,2016-09-30,64.61538696289061,65.78001403808594,64.58663177490234,65.28396606445311,59.97531127929688,5022623.0
2016-12-31,1886000000.0,-1812000000.0,74000000.0,380000000.0,-362000000.0,,,454000000.0,-180000000.0,-116000000.0,274000000,98000000.0,372000000,-64000000.0,308000000,-5000000.0,303000000,303000000,725000000.0,370000000.0,37000000.0,1505000000.0,2113000000.0,,1835000000.0,3948000000.0,5453000000,1103000000.0,66000000.0,1306000000.0,9059000000.0,9762000000.0,11068000000,,,-5157000000.0,-5615000000.0,5453000000,308000000.0,86000000.0,-29000000.0,-53000000.0,,,,,312000000.0,223000000.0,,,123000000.0,-185000000.0,-13000000.0,-1087000000.0,-1186000000.0,-777000000,2016-12-30,63.93000030517578,63.93999862670898,63.15999984741211,63.33000183105469,58.51486587524414,1887100.0
2017-03-31,1417000000.0,-758000000.0,659000000.0,-283000000.0,-237000000.0,,,376000000.0,-140000000.0,-110000000.0,236000000,111000000.0,347000000,-67000000.0,280000000,,280000000,280000000,525000000.0,355000000.0,34000000.0,1277000000.0,2084000000.0,,1790000000.0,3874000000.0,5151000000,1017000000.0,393000000.0,1558000000.0,8715000000.0,9405000000.0,10963000000,,,-5433000000.0,-5812000000.0,5151000000,280000000.0,70000000.0,-43000000.0,-19000000.0,,,,,288000000.0,185000000.0,,,104000000.0,-106000000.0,-8000000.0,-461000000.0,-629000000.0,-220000000,2017-03-31,64.01999664306639,64.37000274658203,63.9000015258789,63.9000015258789,59.31537628173828,2410400.0
2017-06-30,1448000000.0,-748000000.0,700000000.0,-301000000.0,-247000000.0,,,399000000.0,-107000000.0,-105000000.0,292000000,19000000.0,311000000,-105000000.0,206000000,,206000000,206000000,970000000.0,356000000.0,31000000.0,1785000000.0,2021000000.0,,1790000000.0,3811000000.0,5596000000,942000000.0,375000000.0,1478000000.0,9474000000.0,10220000000.0,11698000000,,,-5710000000.0,-6102000000.0,5596000000,206000000.0,65000000.0,48000000.0,-168000000.0,,,,,151000000.0,136000000.0,,,69000000.0,-105000000.0,736000000.0,-395000000.0,219000000.0,445000000,2017-06-30,73.54000091552734,74.1500015258789,73.54000091552734,73.76000213623047,68.78974914550781,1727000.0
2017-09-30,1436000000.0,-717000000.0,719000000.0,-276000000.0,-215000000.0,,,443000000.0,-120000000.0,-110000000.0,323000000,201000000.0,524000000,-106000000.0,418000000,,418000000,418000000,980000000.0,358000000.0,15000000.0,1999000000.0,1861000000.0,,1594000000.0,3455000000.0,5454000000,850000000.0,372000000.0,1403000000.0,9479000000.0,10172000000.0,11575000000,,,-5817000000.0,-6121000000.0,5454000000,418000000.0,60000000.0,-103000000.0,-96000000.0,,,,,279000000.0,395000000.0,,,316000000.0,-104000000.0,23000000.0,-492000000.0,-619000000.0,-5000000,2017-09-29,73.5,73.94000244140625,73.20999908447266,73.61000061035156,68.92941284179689,1942300.0
2017-12-31,1577000000.0,-731000000.0,846000000.0,-376000000.0,-300000000.0,,,470000000.0,-130000000.0,-120000000.0,340000000,752000000.0,1092000000,-656000000.0,436000000,,436000000,436000000,1522000000.0,400000000.0,,2507000000.0,1594000000.0,,1210000000.0,2804000000.0,5311000000,936000000.0,375000000.0,1512000000.0,9429000000.0,10133000000.0,11645000000,,,-6063000000.0,-6334000000.0,5311000000,436000000.0,58000000.0,-208000000.0,26000000.0,,,,,312000000.0,1057000000.0,,,983000000.0,-101000000.0,-48000000.0,-612000000.0,-766000000.0,548000000,2017-12-29,82.63999938964844,82.70999908447266,81.58999633789062,81.61000061035156,76.70932006835938,1347600.0
2018-03-31,1371000000.0,-438000000.0,933000000.0,-538000000.0,-219000000.0,,,395000000.0,-42000000.0,-107000000.0,353000000,156000000.0,509000000,-76000000.0,433000000,,433000000,433000000,982000000.0,501000000.0,,1889000000.0,1651000000.0,,1296000000.0,2947000000.0,4836000000,1048000000.0,61000000.0,1109000000.0,9419000000.0,10481000000.0,11590000000,,,-6539000000.0,-6754000000.0,4836000000,433000000.0,37000000.0,-177000000.0,-104000000.0,,,,,189000000.0,205000000.0,,,164000000.0,-120000000.0,-327000000.0,-498000000.0,-976000000.0,-585000000,2018-03-29,84.72000122070312,85.66999816894531,84.05999755859375,85.12999725341797,80.38863372802734,1718900.0
2018-06-30,1368000000.0,-421000000.0,947000000.0,-522000000.0,-208000000.0,,,425000000.0,-97000000.0,-112000000.0,328000000,29000000.0,357000000,-36000000.0,321000000,,321000000,321000000,313000000.0,527000000.0,,1203000000.0,1533000000.0,,1590000000.0,3123000000.0,4326000000,870000000.0,54000000.0,924000000.0,9612000000.0,10649000000.0,11573000000,,,-6965000000.0,-7247000000.0,4326000000,321000000.0,34000000.0,-81000000.0,-82000000.0,,,,,192000000.0,47000000.0,,,-206000000.0,-116000000.0,194000000.0,-670000000.0,-603000000.0,-674000000,2018-06-29,78.05000305175781,78.8499984741211,77.7300033569336,78.22000122070312,74.18294525146484,3246400.0
