Report Date,Revenue,Cost of Revenue,Gross Profit,Operating Expenses,"Selling, General & Administrative",Research & Development,Depreciation & Amortization,Operating Income (Loss),Non-Operating Income (Loss),"Interest Expense, Net","Pretax Income (Loss), Adj.",Abnormal Gains (Losses),Pretax Income (Loss),"Income Tax (Expense) Benefit, Net",Income (Loss) from Continuing Operations,Net Extraordinary Gains (Losses),Net Income,Net Income (Common),"Cash, Cash Equivalents & Short Term Investments",Accounts & Notes Receivable,Inventories,Total Current Assets,"Property, Plant & Equipment, Net",Long Term Investments & Receivables,Other Long Term Assets,Total Noncurrent Assets,Total Assets,Payables & Accruals,Short Term Debt,Total Current Liabilities,Long Term Debt,Total Noncurrent Liabilities,Total Liabilities,Share Capital & Additional Paid-In Capital,Treasury Stock,Retained Earnings,Total Equity,Total Liabilities & Equity,Net Income/Starting Line,Depreciation & Amortization,Non-Cash Items,Change in Working Capital,Change in Accounts Receivable,Change in Inventories,Change in Accounts Payable,Change in Other,Net Cash from Operating Activities,Change in Fixed Assets & Intangibles,Net Change in Long Term Investment,Net Cash from Acquisitions & Divestitures,Net Cash from Investing Activities,Dividends Paid,Cash from (Repayment of) Debt,Cash from (Repurchase of) Equity,Net Cash from Financing Activities,Net Change in Cash,Price Date,Open,High,Low,Close,Adj Close,Volume
2001-06-30,112935000.0,-60601000.0,52334000.0,-30537000.0,-21625000.0,-7615000.0,-1297000.0,21797000.0,1346000.0,-28000.0,23143000,-532000.0,22611000,-8140000.0,14471000,,14471000,14471000,183580000.0,79517000.0,47974000.0,318139000.0,41244000.0,,78342000.0,119586000.0,437725000,30833000.0,385000.0,31218000.0,292000.0,610000.0,31828000,61030000.0,-43566000.0,392427000.0,405897000.0,437725000,14471000.0,3970000.0,416000.0,-16952000.0,,,,,1905000.0,-2909000.0,,,-2909000.0,,58000.0,,1567000.0,367000,2001-06-29,21.37777709960937,23.13777732849121,21.004444122314453,21.831111907958984,21.831111907958984,492750.0
2001-09-30,110318000.0,-58281000.0,52037000.0,-28012000.0,-19837000.0,-6849000.0,-1326000.0,24025000.0,-468000.0,-12000.0,23557000,-305000.0,23252000,-8370000.0,14882000,,14882000,14882000,211099000.0,82831000.0,43247000.0,345284000.0,41877000.0,,75374000.0,117251000.0,462535000,35964000.0,390000.0,36354000.0,292000.0,639000.0,36993000,59820000.0,-40603000.0,407308000.0,425542000.0,462535000,14881000.0,3828000.0,3415000.0,-25739000.0,,,,,-3615000.0,-3134000.0,,,-3134000.0,,-51000.0,,1702000.0,-3993000,2001-09-28,16.226667404174805,16.808889389038086,16.022222518920902,16.648889541625973,16.648889541625973,650025.0
2001-12-31,111611000.0,-60111000.0,51500000.0,-28540000.0,-20089000.0,-7124000.0,-1327000.0,22960000.0,1031000.0,-99000.0,23991000,-169000.0,23822000,-8576000.0,15246000,,15246000,15246000,249349000.0,67160000.0,39923000.0,364338000.0,40742000.0,,74476000.0,115218000.0,479556000,33528000.0,300000.0,33828000.0,408000.0,721000.0,34549000,59327000.0,-35482000.0,422555000.0,445007000.0,479556000,15247000.0,4049000.0,2119000.0,-6033000.0,,,,,15382000.0,-1588000.0,,,-1588000.0,,-46000.0,,3309000.0,16896000,2001-12-31,24.773332595825195,25.11111068725586,24.51111030578613,24.67111015319824,24.67111015319824,425700.0
2002-03-31,110185000.0,-58173000.0,52012000.0,-29101000.0,-21279000.0,-7455000.0,-367000.0,22911000.0,3799000.0,-55000.0,26710000,-3373000.0,23337000,-8397000.0,14940000,,14940000,14940000,270292000.0,72317000.0,36817000.0,386380000.0,40418000.0,,70703000.0,111121000.0,497501000,37580000.0,387000.0,37967000.0,233000.0,881000.0,38848000,58537000.0,-33810000.0,437495000.0,458653000.0,497501000,14940000.0,3005000.0,-1144000.0,-21728000.0,,,,,-4927000.0,-2314000.0,,,-2314000.0,,221000.0,,1103000.0,-6323000,2002-03-28,23.74666786193848,24.399999618530273,23.74666786193848,24.040000915527344,24.040000915527344,745875.0
2002-06-30,115951000.0,-60202000.0,55749000.0,-30783000.0,-22944000.0,-7472000.0,-367000.0,24966000.0,743000.0,-32000.0,25709000,,25709000,-9249000.0,16460000,,16460000,16460000,289329000.0,73556000.0,39949000.0,410731000.0,39986000.0,,69620000.0,109606000.0,520337000,35176000.0,401000.0,35577000.0,242000.0,1167000.0,36744000,55320000.0,-25030000.0,453955000.0,483593000.0,520337000,16460000.0,3019000.0,-432000.0,-26868000.0,,,,,-7821000.0,-1797000.0,,,-1797000.0,,234000.0,,5797000.0,-2952000,2002-06-28,22.16444396972656,22.755556106567386,21.053333282470703,21.431110382080078,21.431110382080078,2158425.0
2002-09-30,123151000.0,-62729000.0,60422000.0,-31538000.0,-23556000.0,-7609000.0,-373000.0,28884000.0,1680000.0,-114000.0,30564000,,30564000,-10697000.0,19867000,,19867000,19867000,311205000.0,78380000.0,36733000.0,434709000.0,38692000.0,,69656000.0,108348000.0,543057000,36292000.0,400000.0,36692000.0,216000.0,1378000.0,38070000,54636000.0,-22509000.0,473824000.0,504987000.0,543057000,19869000.0,3077000.0,914000.0,-27824000.0,,,,,-3964000.0,-1378000.0,,,-1378000.0,,-641000.0,,1196000.0,-4074000,2002-09-30,23.60444450378418,23.68000030517578,23.27555656433105,23.41777801513672,23.41777801513672,561375.0
2002-12-31,126324000.0,-63760000.0,62564000.0,-34147000.0,-27086000.0,-6674000.0,-387000.0,28417000.0,2856000.0,-118000.0,31273000,0.0,31273000,-10945000.0,20328000,,20328000,20328000,348577000.0,71299000.0,38066000.0,464580000.0,39462000.0,,69046000.0,108508000.0,573088000,36759000.0,145000.0,36904000.0,605000.0,2029000.0,38933000,56793000.0,-16760000.0,494150000.0,534155000.0,573088000,20326000.0,3158000.0,4681000.0,-28302000.0,,,,,-137000.0,-2992000.0,3499000.0,,507000.0,,69000.0,,4893000.0,5439000,2002-12-31,24.96444320678711,25.86222267150879,24.86666679382324,25.46666717529297,25.46666717529297,863325.0
2003-03-31,124685000.0,-60336000.0,64349000.0,-32705000.0,-24755000.0,-7579000.0,-371000.0,31644000.0,2264000.0,-38000.0,33908000,,33908000,-11868000.0,22040000,,22040000,22040000,375927000.0,78281000.0,40221000.0,504176000.0,38738000.0,,68379000.0,107117000.0,611293000,50402000.0,446000.0,50848000.0,416000.0,2090000.0,52938000,55952000.0,-12902000.0,516190000.0,558355000.0,611293000,22040000.0,2909000.0,-66000.0,1790000.0,,,,,26673000.0,-1935000.0,-19259000.0,,-21194000.0,,-184000.0,,2833000.0,8091000,2003-03-31,28.56444358825684,28.755556106567386,28.31111145019531,28.622222900390625,28.622222900390625,687150.0
2003-06-30,129863000.0,-63305000.0,66558000.0,-34933000.0,-27002000.0,-7560000.0,-371000.0,31625000.0,2624000.0,-14000.0,34249000,,34249000,-11987000.0,22262000,,22262000,22262000,401348000.0,79555000.0,40030000.0,531687000.0,39162000.0,,68265000.0,107427000.0,639114000,40909000.0,792000.0,41701000.0,379000.0,2701000.0,44402000,57914000.0,-2913000.0,538452000.0,594712000.0,639114000,22262000.0,2874000.0,2609000.0,-9766000.0,,,,,17979000.0,-2612000.0,-32813000.0,,-35425000.0,,-41000.0,,9052000.0,-7392000,2003-06-30,33.59999847412109,33.59999847412109,32.91110992431641,33.444442749023445,33.444442749023445,623700.0
2003-09-30,134649000.0,-66876000.0,67773000.0,-34077000.0,-25808000.0,-7898000.0,-371000.0,33696000.0,-1327000.0,-64000.0,32369000,,32369000,-9370000.0,22999000,,22999000,22999000,422622000.0,82862000.0,39072000.0,555525000.0,38472000.0,,75762000.0,114234000.0,669759000,45382000.0,167000.0,45549000.0,409000.0,3055000.0,48604000,58286000.0,-1142000.0,561451000.0,621155000.0,669759000,22999000.0,2836000.0,1281000.0,-5763000.0,,,,,21353000.0,-1746000.0,-20508000.0,,-22254000.0,,27000.0,,1666000.0,766000,2003-09-30,33.633331298828125,35.04666519165039,33.040000915527344,34.31999969482422,34.31999969482422,832950.0
