Report Date,Revenue,Cost of Revenue,Gross Profit,Operating Expenses,"Selling, General & Administrative",Operating Income (Loss),Non-Operating Income (Loss),"Interest Expense, Net","Pretax Income (Loss), Adj.",Abnormal Gains (Losses),Pretax Income (Loss),"Income Tax (Expense) Benefit, Net",Income (Loss) from Continuing Operations,Net Income,Net Income (Common),"Cash, Cash Equivalents & Short Term Investments",Accounts & Notes Receivable,Inventories,Total Current Assets,"Property, Plant & Equipment, Net",Long Term Investments & Receivables,Other Long Term Assets,Total Noncurrent Assets,Total Assets,Payables & Accruals,Short Term Debt,Total Current Liabilities,Long Term Debt,Total Noncurrent Liabilities,Total Liabilities,Share Capital & Additional Paid-In Capital,Retained Earnings,Total Equity,Total Liabilities & Equity,Net Income/Starting Line,Depreciation & Amortization.1,Non-Cash Items,Change in Working Capital,Change in Accounts Receivable,Change in Inventories,Change in Accounts Payable,Change in Other,Net Cash from Operating Activities,Change in Fixed Assets & Intangibles,Net Change in Long Term Investment,Net Cash from Acquisitions & Divestitures,Net Cash from Investing Activities,Dividends Paid,Cash from (Repayment of) Debt,Cash from (Repurchase of) Equity,Net Cash from Financing Activities,Net Change in Cash,Price Date,Open,High,Low,Close,Adj Close,Volume
2012-03-31,21155000000.0,-20147000000.0,1008000000.0,-402000000.0,-402000000.0,606000000.0,47000000.0,-90000000.0,653000000,-85000000.0,568000000,-163000000.0,405000000,399000000,399000000,1826000000.0,10336000000.0,11122000000.0,27279000000.0,9655000000.0,3508000000.0,1006000000.0,14169000000.0,41448000000,7371000000.0,2819000000.0,14479000000.0,6678000000.0,8560000000.0,23039000000,6408000000.0,12349000000.0,18409000000.0,41448000000,405000000.0,214000000.0,-184000000.0,-1218000000.0,2170000000.0,-629000000.0,-1071000000.0,-1688000000.0,-783000000.0,-326000000.0,201000000.0,-33000000.0,-163000000.0,-115000000.0,1065000000.0,-56000000.0,900000000.0,-46000000,2012-03-30,31.489999771118164,31.770000457763672,31.26000022888184,31.65999984741211,24.331647872924805,4037200.0
2012-06-30,22675000000.0,-21862000000.0,813000000.0,-394000000.0,-394000000.0,419000000.0,-3000000.0,-92000000.0,416000000,0.0,416000000,-123000000.0,293000000,284000000,284000000,1467000000.0,3439000000.0,12192000000.0,26954000000.0,9812000000.0,3650000000.0,1137000000.0,14599000000.0,41553000000,2474000000.0,3785000000.0,14626000000.0,6535000000.0,8758000000.0,23384000000,6102000000.0,12774000000.0,18169000000.0,41553000000,293000000.0,220000000.0,386000000.0,-262000000.0,-455000000.0,837000000.0,-591000000.0,-53000000.0,637000000.0,-275000000.0,252000000.0,-2000000.0,-25000000.0,-116000000.0,29000000.0,-44000000.0,-139000000.0,473000000,2012-06-29,29.56999969482422,29.56999969482422,29.209999084472656,29.520000457763672,22.807756423950195,4365300.0
2012-12-31,24921000000.0,-23925000000.0,996000000.0,-479000000.0,-479000000.0,517000000.0,197000000.0,-78000000.0,714000000,-12000000.0,702000000,-192000000.0,510000000,510000000,510000000,2290000000.0,3450000000.0,13836000000.0,29762000000.0,10123000000.0,3887000000.0,1364000000.0,15374000000.0,45136000000,9388000000.0,3084000000.0,16993000000.0,6456000000.0,9012000000.0,26005000000,6134000000.0,13236000000.0,19131000000.0,45136000000,510000000.0,218000000.0,27000000.0,1240000000.0,-434000000.0,-97000000.0,1113000000.0,658000000.0,1995000000.0,125000000.0,-579000000.0,-5000000.0,-411000000.0,-115000000.0,-795000000.0,0.0,-1105000000.0,479000000,2012-12-31,27.0,27.399999618530273,26.899999618530273,27.38999938964844,21.45450782775879,4589000.0
2013-06-30,22541000000.0,-21734000000.0,807000000.0,-452000000.0,-452000000.0,355000000.0,-38000000.0,-78000000.0,317000000,0.0,317000000,-91000000.0,226000000,223000000,223000000,2029000000.0,3520000000.0,10194000000.0,25036000000.0,10091000000.0,3865000000.0,1246000000.0,15202000000.0,40238000000,2971000000.0,2158000000.0,13123000000.0,5366000000.0,8102000000.0,21225000000,6150000000.0,13478000000.0,19013000000.0,40238000000,226000000.0,227000000.0,-4000000.0,1542000000.0,49000000.0,2241000000.0,-507000000.0,-241000000.0,1991000000.0,-178000000.0,-67000000.0,0.0,-111000000.0,-125000000.0,-1353000000.0,-11000000.0,-1480000000.0,400000000,2013-06-28,33.56999969482422,34.220001220703125,33.5,33.90999984741211,26.87352180480957,4589000.0
2013-09-30,21393000000.0,-20237000000.0,1156000000.0,-429000000.0,-429000000.0,727000000.0,5000000.0,-93000000.0,732000000,-23000000.0,709000000,-228000000.0,481000000,476000000,476000000,3494000000.0,3447000000.0,9278000000.0,26090000000.0,10125000000.0,3868000000.0,1365000000.0,15358000000.0,41448000000,2942000000.0,1520000000.0,13753000000.0,5364000000.0,8129000000.0,21882000000,6108000000.0,13828000000.0,19566000000.0,41448000000,481000000.0,227000000.0,-190000000.0,2003000000.0,189000000.0,1161000000.0,-95000000.0,748000000.0,2521000000.0,-207000000.0,-28000000.0,-19000000.0,-232000000.0,-126000000.0,-704000000.0,-84000000.0,-885000000.0,1404000000,2013-09-30,37.0,37.02000045776367,36.45000076293945,36.84000015258789,29.34797286987305,3589900.0
2013-12-31,24143000000.0,-22973000000.0,1170000000.0,-442000000.0,-442000000.0,728000000.0,131000000.0,-61000000.0,859000000,-236000000.0,623000000,-246000000.0,377000000,374000000,374000000,3554000000.0,3224000000.0,11441000000.0,28530000000.0,10137000000.0,4046000000.0,1039000000.0,15222000000.0,43752000000,9345000000.0,1523000000.0,15658000000.0,5347000000.0,7900000000.0,23558000000,6136000000.0,14077000000.0,20194000000.0,43752000000,377000000.0,228000000.0,280000000.0,-528000000.0,204000000.0,-2247000000.0,1863000000.0,-348000000.0,357000000.0,-204000000.0,-192000000.0,-9000000.0,-403000000.0,-125000000.0,18000000.0,-6000000.0,-85000000.0,-131000000,2013-12-31,43.77000045776367,43.90999984741211,43.2400016784668,43.400001525878906,34.734317779541016,2203500.0
2014-06-30,21494000000.0,-20322000000.0,1172000000.0,-426000000.0,-426000000.0,746000000.0,20000000.0,-55000000.0,766000000,-31000000.0,735000000,-203000000.0,532000000,533000000,533000000,1996000000.0,4089000000.0,9024000000.0,24658000000.0,10110000000.0,3958000000.0,1204000000.0,15272000000.0,39930000000,8280000000.0,253000000.0,11891000000.0,5369000000.0,7820000000.0,19711000000,5692000000.0,14562000000.0,20219000000.0,39930000000,532000000.0,213000000.0,-63000000.0,659000000.0,-1329000000.0,2373000000.0,-751000000.0,366000000.0,1341000000.0,-197000000.0,91000000.0,-31000000.0,-112000000.0,-157000000.0,-74000000.0,-318000000.0,-682000000.0,547000000,2014-06-30,43.77000045776367,44.33000183105469,43.68999862670898,44.11000061035156,35.7033576965332,4049600.0
2014-09-30,18117000000.0,-16647000000.0,1470000000.0,-451000000.0,-451000000.0,1019000000.0,14000000.0,-63000000.0,1033000000,0.0,1033000000,-285000000.0,748000000,747000000,747000000,4887000000.0,2121000000.0,8034000000.0,26639000000.0,9995000000.0,4031000000.0,1156000000.0,15182000000.0,41821000000,8879000000.0,195000000.0,13751000000.0,5346000000.0,7809000000.0,21560000000,5541000000.0,15154000000.0,20261000000.0,41821000000,748000000.0,214000000.0,-473000000.0,2952000000.0,1853000000.0,780000000.0,295000000.0,24000000.0,3441000000.0,-197000000.0,16000000.0,-5000000.0,-163000000.0,-155000000.0,-54000000.0,-209000000.0,-369000000.0,2909000000,2014-09-30,51.25,51.38999938964844,50.9900016784668,51.099998474121094,41.561519622802734,1956200.0
2014-12-31,20894000000.0,-19443000000.0,1451000000.0,-663000000.0,-663000000.0,788000000.0,282000000.0,-56000000.0,1070000000,-74000000.0,996000000,-291000000.0,705000000,701000000,701000000,1614000000.0,2704000000.0,9374000000.0,26028000000.0,9851000000.0,4377000000.0,3741000000.0,17969000000.0,43997000000,10200000000.0,132000000.0,15602000000.0,5528000000.0,8765000000.0,24367000000,5115000000.0,15701000000.0,19630000000.0,43997000000,705000000.0,248000000.0,-357000000.0,-77000000.0,-532000000.0,-1907000000.0,1213000000.0,1149000000.0,519000000.0,96000000.0,-171000000.0,-2906000000.0,-2987000000.0,-154000000.0,-364000000.0,-481000000.0,-991000000.0,-3459000000,2014-12-31,52.9000015258789,52.95000076293945,51.86999893188477,52.0,42.48965835571289,2595200.0
2015-03-31,17506000000.0,-16404000000.0,1102000000.0,-498000000.0,-498000000.0,604000000.0,86000000.0,-63000000.0,690000000,0.0,690000000,-197000000.0,493000000,493000000,493000000,1296000000.0,2036000000.0,8372000000.0,23896000000.0,9833000000.0,4466000000.0,3520000000.0,17819000000.0,41715000000,8990000000.0,866000000.0,14235000000.0,5575000000.0,8723000000.0,22958000000,4584000000.0,16019000000.0,18757000000.0,41715000000,493000000.0,216000000.0,-1000000.0,-663000000.0,550000000.0,739000000.0,-1071000000.0,-881000000.0,45000000.0,-238000000.0,100000000.0,0.0,-261000000.0,-177000000.0,743000000.0,-566000000.0,7000000.0,-209000000,2015-03-31,47.06000137329102,47.61000061035156,46.9900016784668,47.4000015258789,38.96348571777344,4968000.0
