Report Date,Revenue,Cost of Revenue,Gross Profit,Operating Expenses,Depreciation & Amortization,Operating Income (Loss),Non-Operating Income (Loss),"Interest Expense, Net","Pretax Income (Loss), Adj.",Abnormal Gains (Losses),Pretax Income (Loss),"Income Tax (Expense) Benefit, Net",Income (Loss) from Continuing Operations,Net Income,Net Income (Common),"Cash, Cash Equivalents & Short Term Investments",Accounts & Notes Receivable,Inventories,Total Current Assets,"Property, Plant & Equipment, Net",Other Long Term Assets,Total Noncurrent Assets,Total Assets,Payables & Accruals,Short Term Debt,Total Current Liabilities,Long Term Debt,Total Noncurrent Liabilities,Total Liabilities,Share Capital & Additional Paid-In Capital,Retained Earnings,Total Equity,Total Liabilities & Equity,Net Income/Starting Line,Depreciation & Amortization.1,Non-Cash Items,Change in Working Capital,Net Cash from Operating Activities,Net Change in Long Term Investment,Net Cash from Investing Activities,Dividends Paid,Cash from (Repayment of) Debt,Cash from (Repurchase of) Equity,Net Cash from Financing Activities,Net Change in Cash,Price Date,Open,High,Low,Close,Adj Close,Volume
2010-09-30,4064000000.0,-1436000000.0,2628000000.0,-1603000000.0,-424000000.0,1025000000.0,-230000000.0,-248000000.0,795000000,17000000.0,812000000,-258000000.0,557000000,556000000,555000000,1416000000.0,1816000000.0,1409000000.0,5421000000.0,34998000000.0,9473000000.0,44471000000.0,49892000000,1139000000.0,2752000000.0,6148000000.0,15995000000.0,30028000000.0,36176000000,9133000000.0,4887000000.0,13716000000.0,49892000000,557000000.0,424000000.0,-323000000.0,462000000.0,1120000000.0,-76000000.0,-583000000.0,-204000000.0,-104000000.0,23000000.0,-285000000.0,252000000,2010-09-30,36.63000106811523,36.68000030517578,36.06999969482422,36.22999954223633,23.73867416381836,3122300.0
2010-12-31,3434000000.0,-1219000000.0,2215000000.0,-1729000000.0,-404000000.0,486000000.0,-216000000.0,-235000000.0,270000000,17000000.0,287000000,-113000000.0,178000000,177000000,176000000,710000000.0,1923000000.0,1448000000.0,5016000000.0,35674000000.0,9765000000.0,45439000000.0,50455000000,1342000000.0,2655000000.0,6518000000.0,15502000000.0,30255000000.0,36773000000,9161000000.0,4842000000.0,13682000000.0,50455000000,178000000.0,404000000.0,298000000.0,80000000.0,960000000.0,-36000000.0,-948000000.0,-223000000.0,-611000000.0,28000000.0,-808000000.0,-796000000,2010-12-31,36.02999877929688,36.16999816894531,35.93000030517578,35.97999954223633,23.866065979003906,1287300.0
2011-03-31,3730000000.0,-1331000000.0,2399000000.0,-1567000000.0,-403000000.0,832000000.0,-225000000.0,-240000000.0,607000000,20000000.0,627000000,-278000000.0,355000000,354000000,353000000,921000000.0,1749000000.0,1328000000.0,4789000000.0,35766000000.0,10005000000.0,45771000000.0,50560000000,1132000000.0,2854000000.0,5989000000.0,15631000000.0,30732000000.0,36721000000,9179000000.0,4973000000.0,13839000000.0,50560000000,355000000.0,403000000.0,30000000.0,42000000.0,830000000.0,30000000.0,-613000000.0,-224000000.0,307000000.0,31000000.0,114000000.0,331000000,2011-03-31,35.41999816894531,35.540000915527344,35.09999847412109,35.139999389648445,23.610239028930664,3466900.0
2011-06-30,3609000000.0,-1267000000.0,2342000000.0,-1625000000.0,-410000000.0,717000000.0,-219000000.0,-236000000.0,498000000,23000000.0,521000000,-174000000.0,353000000,352000000,352000000,728000000.0,1866000000.0,1305000000.0,4754000000.0,36064000000.0,9934000000.0,45998000000.0,50752000000,1251000000.0,2710000000.0,5887000000.0,15564000000.0,30866000000.0,36753000000,9198000000.0,5103000000.0,13999000000.0,50752000000,353000000.0,410000000.0,260000000.0,-121000000.0,902000000.0,37000000.0,-667000000.0,-223000000.0,-238000000.0,18000000.0,-443000000.0,-208000000,2011-06-30,37.68999862670898,37.709999084472656,37.349998474121094,37.68000030517578,25.638540267944336,2539900.0
2011-09-30,4333000000.0,-1665000000.0,2668000000.0,-1688000000.0,-445000000.0,980000000.0,68000000.0,-223000000.0,1048000000,-64000000.0,984000000,-334000000.0,657000000,929000000,928000000,786000000.0,1860000000.0,1173000000.0,4374000000.0,36417000000.0,10396000000.0,46813000000.0,51187000000,1238000000.0,2546000000.0,5684000000.0,15183000000.0,30790000000.0,36474000000,9223000000.0,5810000000.0,14713000000.0,51187000000,930000000.0,445000000.0,-242000000.0,473000000.0,1606000000.0,3000000.0,-687000000.0,-223000000.0,-591000000.0,21000000.0,-790000000.0,129000000,2011-09-30,38.310001373291016,38.54999923706055,38.0099983215332,38.02000045776367,26.20248794555664,3386800.0
2011-12-31,3444000000.0,-1349000000.0,2095000000.0,-1703000000.0,-397000000.0,392000000.0,-137000000.0,-207000000.0,255000000,-20000000.0,235000000,-32000000.0,211000000,311000000,308000000,515000000.0,1834000000.0,1292000000.0,4182000000.0,36971000000.0,11070000000.0,48041000000.0,52223000000,1374000000.0,3083000000.0,6611000000.0,15083000000.0,30947000000.0,37558000000,9244000000.0,5890000000.0,14665000000.0,52223000000,311000000.0,397000000.0,-557000000.0,299000000.0,450000000.0,-12000000.0,-923000000.0,-230000000.0,418000000.0,22000000.0,148000000.0,-325000000,2011-12-30,41.63000106811523,41.650001525878906,41.29999923706055,41.310001373291016,28.81044769287109,1680800.0
2012-03-31,3625000000.0,-1313000000.0,2312000000.0,-1558000000.0,-423000000.0,754000000.0,-207000000.0,-227000000.0,547000000,23000000.0,570000000,-189000000.0,390000000,389000000,389000000,503000000.0,1670000000.0,1418000000.0,4214000000.0,37432000000.0,11256000000.0,48688000000.0,52902000000,1215000000.0,3030000000.0,6342000000.0,15340000000.0,31703000000.0,38045000000,9278000000.0,6050000000.0,14857000000.0,52902000000,390000000.0,423000000.0,325000000.0,-262000000.0,876000000.0,-19000000.0,-792000000.0,-229000000.0,175000000.0,31000000.0,-19000000.0,65000000,2012-03-30,38.31999969482422,38.58000183105469,38.2599983215332,38.58000183105469,27.22736740112305,3798400.0
2012-06-30,3551000000.0,-1172000000.0,2379000000.0,-1638000000.0,-460000000.0,741000000.0,-222000000.0,-233000000.0,519000000,24000000.0,543000000,-190000000.0,363000000,362000000,362000000,594000000.0,1762000000.0,1494000000.0,4483000000.0,37828000000.0,11110000000.0,48938000000.0,53421000000,1187000000.0,3191000000.0,6407000000.0,15319000000.0,32006000000.0,38413000000,9297000000.0,6185000000.0,15008000000.0,53421000000,363000000.0,460000000.0,245000000.0,-231000000.0,837000000.0,-10000000.0,-738000000.0,-229000000.0,121000000.0,19000000.0,-88000000.0,11000000,2012-06-29,40.25,40.25,39.709999084472656,39.900001525878906,28.506765365600586,3527700.0
2012-09-30,4156000000.0,-1507000000.0,2649000000.0,-1724000000.0,-470000000.0,925000000.0,-220000000.0,-231000000.0,705000000,10000000.0,715000000,-241000000.0,488000000,487000000,487000000,721000000.0,1855000000.0,1462000000.0,4648000000.0,38133000000.0,11062000000.0,49195000000.0,53843000000,1237000000.0,3488000000.0,6795000000.0,14955000000.0,31742000000.0,38537000000,9316000000.0,6444000000.0,15306000000.0,53843000000,488000000.0,470000000.0,285000000.0,-44000000.0,1199000000.0,-17000000.0,-751000000.0,-229000000.0,-87000000.0,14000000.0,-302000000.0,146000000,2012-09-28,43.79999923706055,44.02999877929688,43.56999969482422,43.93999862670898,31.74758338928223,2553100.0
2012-12-31,3613000000.0,-1288000000.0,2325000000.0,-1789000000.0,-429000000.0,536000000.0,-278000000.0,-289000000.0,258000000,-264000000.0,-6000000,16000000.0,21000000,21000000,21000000,603000000.0,1871000000.0,1519000000.0,4589000000.0,38763000000.0,11015000000.0,49778000000.0,54367000000,1438000000.0,3152000000.0,6823000000.0,15586000000.0,32307000000.0,39130000000,9338000000.0,6236000000.0,15237000000.0,54367000000,21000000.0,429000000.0,121000000.0,321000000.0,892000000.0,-13000000.0,-1110000000.0,-229000000.0,264000000.0,19000000.0,54000000.0,-164000000,2012-12-31,42.11999893188477,42.72999954223633,41.91999816894531,42.68000030517578,31.175457000732425,3289000.0
