Report Date,Revenue,Cost of Revenue,Gross Profit,Operating Expenses,"Selling, General & Administrative",Operating Income (Loss),Non-Operating Income (Loss),"Interest Expense, Net","Pretax Income (Loss), Adj.",Abnormal Gains (Losses),Pretax Income (Loss),"Income Tax (Expense) Benefit, Net",Income (Loss) from Continuing Operations,Net Extraordinary Gains (Losses),Net Income,Net Income (Common),"Cash, Cash Equivalents & Short Term Investments",Accounts & Notes Receivable,Inventories,Total Current Assets,"Property, Plant & Equipment, Net",Other Long Term Assets,Total Noncurrent Assets,Total Assets,Payables & Accruals,Short Term Debt,Total Current Liabilities,Long Term Debt,Total Noncurrent Liabilities,Total Liabilities,Share Capital & Additional Paid-In Capital,Treasury Stock,Retained Earnings,Total Equity,Total Liabilities & Equity,Net Income/Starting Line,Depreciation & Amortization.1,Non-Cash Items,Change in Working Capital,Change in Accounts Receivable,Change in Inventories,Change in Accounts Payable,Change in Other,Net Cash from Operating Activities,Change in Fixed Assets & Intangibles,Net Cash from Acquisitions & Divestitures,Net Cash from Investing Activities,Dividends Paid,Cash from (Repayment of) Debt,Net Cash from Financing Activities,Net Change in Cash,Price Date,Open,High,Low,Close,Adj Close,Volume
2010-12-31,3610000000.0,-2720000000.0,890000000.0,-112000000.0,-112000000.0,778000000.0,-353000000.0,-196000000.0,425000000,-10000000.0,415000000,-44000000.0,382000000,-551000000.0,-436000000,-436000000,4243000000.0,2256000000.0,552000000.0,9446000000.0,23429000000.0,7636000000.0,31065000000.0,40511000000,4738000000.0,2996000000.0,8065000000.0,15792000000.0,21973000000.0,30038000000,8452000000.0,-216000000.0,620000000.0,10473000000.0,40511000000,-169000000.0,302000000.0,456000000.0,460000000.0,38000000.0,1000000.0,132000000.0,289000000.0,1049000000.0,-770000000.0,189000000.0,-693000000.0,0.0,-352000000.0,-728000000.0,-309000000,2010-12-31,12.15999984741211,12.270000457763672,12.149999618530273,12.18000030517578,9.285330772399902,2171400.0
2011-12-31,3200000000.0,-2155000000.0,1045000000.0,-64000000.0,-64000000.0,981000000.0,-225000000.0,-288000000.0,756000000,-71000000.0,685000000,-199000000.0,473000000,-28000000.0,-209000000,-209000000,3051000000.0,2522000000.0,775000000.0,9229000000.0,25001000000.0,11116000000.0,36117000000.0,45346000000,5724000000.0,2428000000.0,8438000000.0,19592000000.0,27101000000.0,35539000000,8515000000.0,-489000000.0,678000000.0,9807000000.0,45346000000,445000000.0,315000000.0,-368000000.0,179000000.0,-51000000.0,-23000000.0,122000000.0,131000000.0,571000000.0,-570000000.0,-2588000000.0,-3172000000.0,0.0,1283000000.0,1065000000.0,-1584000000,2011-12-30,11.850000381469727,11.960000038146973,11.8100004196167,11.84000015258789,9.026132583618164,1541900.0
2012-03-31,4586000000.0,-3514000000.0,1072000000.0,-87000000.0,-87000000.0,985000000.0,-336000000.0,-325000000.0,649000000,120000000.0,769000000,-268000000.0,514000000,1000000.0,341000000,341000000,3428000000.0,2735000000.0,799000000.0,9559000000.0,25589000000.0,10283000000.0,35872000000.0,45431000000,5561000000.0,2215000000.0,7978000000.0,20020000000.0,26904000000.0,34882000000,8524000000.0,-479000000.0,1019000000.0,10549000000.0,45431000000,515000000.0,360000000.0,-14000000.0,-327000000.0,-189000000.0,-11000000.0,266000000.0,-393000000.0,534000000.0,-575000000.0,63000000.0,-725000000.0,0.0,68000000.0,37000000.0,-30000000,2012-03-30,13.130000114440918,13.130000114440918,12.989999771118164,13.06999969482422,9.96381378173828,4678900.0
2012-06-30,4089000000.0,-3396000000.0,693000000.0,-74000000.0,-74000000.0,619000000.0,-404000000.0,-302000000.0,215000000,-14000000.0,201000000,-75000000.0,137000000,70000000.0,140000000,140000000,2610000000.0,2628000000.0,826000000.0,8317000000.0,25097000000.0,9335000000.0,34432000000.0,42749000000,4741000000.0,2298000000.0,7039000000.0,19428000000.0,26131000000.0,33170000000,8538000000.0,-709000000.0,1159000000.0,9579000000.0,42749000000,207000000.0,346000000.0,-31000000.0,58000000.0,14000000.0,-32000000.0,-38000000.0,114000000.0,580000000.0,-494000000.0,256000000.0,373000000.0,0.0,-132000000.0,-899000000.0,30000000,2012-06-29,12.829999923706055,12.880000114440918,12.710000038146973,12.829999923706055,9.780853271484377,5722000.0
2012-09-30,4355000000.0,-3388000000.0,967000000.0,-64000000.0,-64000000.0,903000000.0,-323000000.0,-308000000.0,580000000,-1863000000.0,-1283000000,-172000000.0,-1430000000,28000000.0,-1568000000,-1568000000,2816000000.0,2671000000.0,796000000.0,8684000000.0,25484000000.0,7188000000.0,32672000000.0,41356000000,5191000000.0,2335000000.0,7526000000.0,19225000000.0,25916000000.0,33442000000,8548000000.0,-780000000.0,-439000000.0,7914000000.0,41356000000,-1402000000.0,332000000.0,1879000000.0,206000000.0,-16000000.0,33000000.0,75000000.0,114000000.0,1015000000.0,-508000000.0,95000000.0,-324000000.0,0.0,-203000000.0,-481000000.0,259000000,2012-09-28,10.850000381469727,11.020000457763672,10.829999923706056,10.970000267028807,8.362898826599121,5213100.0
2012-12-31,4134000000.0,-3283000000.0,851000000.0,-49000000.0,-49000000.0,802000000.0,-287000000.0,-261000000.0,515000000,28000000.0,543000000,-170000000.0,359000000,-36000000.0,175000000,175000000,2593000000.0,2539000000.0,719000000.0,8465000000.0,24635000000.0,8730000000.0,33365000000.0,41830000000,5179000000.0,2505000000.0,8319000000.0,18216000000.0,25919000000.0,34238000000,8533000000.0,-780000000.0,-264000000.0,7592000000.0,41830000000,323000000.0,356000000.0,98000000.0,-5000000.0,-50000000.0,34000000.0,27000000.0,-16000000.0,772000000.0,-485000000.0,116000000.0,-219000000.0,-30000000.0,-223000000.0,-524000000.0,17000000,2012-12-31,10.5,10.739999771118164,10.40999984741211,10.699999809265137,8.188406944274902,3652800.0
2013-03-31,4150000000.0,-3401000000.0,749000000.0,-54000000.0,-54000000.0,695000000.0,-293000000.0,-305000000.0,402000000,-92000000.0,310000000,-83000000.0,231000000,-32000000.0,82000000,82000000,3152000000.0,2633000000.0,755000000.0,9258000000.0,26012000000.0,7448000000.0,33460000000.0,42718000000,5617000000.0,3615000000.0,9286000000.0,18269000000.0,25613000000.0,34899000000,8535000000.0,-768000000.0,-182000000.0,7819000000.0,42718000000,199000000.0,329000000.0,239000000.0,-149000000.0,42000000.0,-4000000.0,174000000.0,-361000000.0,618000000.0,-395000000.0,1000000.0,-581000000.0,-30000000.0,497000000.0,310000000.0,356000000,2013-03-28,12.56999969482422,12.609999656677244,12.470000267028807,12.56999969482422,9.655560493469238,4020600.0
2013-06-30,3945000000.0,-3044000000.0,901000000.0,-53000000.0,-53000000.0,848000000.0,-296000000.0,-274000000.0,552000000,-145000000.0,407000000,-76000000.0,333000000,0.0,167000000,167000000,2314000000.0,2417000000.0,763000000.0,7810000000.0,25868000000.0,7158000000.0,33026000000.0,40836000000,5232000000.0,3041000000.0,8273000000.0,18029000000.0,24678000000.0,32951000000,8489000000.0,-786000000.0,-15000000.0,7885000000.0,40836000000,333000000.0,332000000.0,63000000.0,-161000000.0,149000000.0,-8000000.0,-426000000.0,124000000.0,567000000.0,-428000000.0,131000000.0,-125000000.0,-30000000.0,-706000000.0,-1109000000.0,-707000000,2013-06-28,11.979999542236328,12.109999656677244,11.869999885559082,11.989999771118164,9.237467765808104,7134900.0
2013-09-30,3996000000.0,-3069000000.0,927000000.0,-53000000.0,-53000000.0,874000000.0,-231000000.0,-273000000.0,643000000,-193000000.0,450000000,-126000000.0,339000000,-116000000.0,71000000,71000000,2929000000.0,2326000000.0,711000000.0,8251000000.0,25082000000.0,7917000000.0,32999000000.0,41250000000,4668000000.0,2503000000.0,8009000000.0,18533000000.0,25197000000.0,33206000000,8505000000.0,-830000000.0,56000000.0,8044000000.0,41250000000,223000000.0,321000000.0,256000000.0,55000000.0,-56000000.0,6000000.0,-326000000.0,431000000.0,855000000.0,-455000000.0,32000000.0,-561000000.0,-29000000.0,523000000.0,164000000.0,475000000,2013-09-30,13.390000343322756,13.43000030517578,13.239999771118164,13.289999961853027,10.27216339111328,3764000.0
2013-12-31,3800000000.0,-3130000000.0,670000000.0,-60000000.0,-60000000.0,610000000.0,-360000000.0,-355000000.0,250000000,-369000000.0,-119000000,-58000000.0,-173000000,-31000000.0,-206000000,-206000000,2310000000.0,2363000000.0,684000000.0,7739000000.0,25112000000.0,7560000000.0,32672000000.0,40411000000,4636000000.0,2180000000.0,7653000000.0,18869000000.0,25029000000.0,32682000000,8451000000.0,-1089000000.0,-150000000.0,7729000000.0,40411000000,-204000000.0,312000000.0,656000000.0,-89000000.0,11000000.0,22000000.0,-180000000.0,58000000.0,675000000.0,-710000000.0,-1000000.0,-507000000.0,-30000000.0,91000000.0,-501000000.0,-382000000,2013-12-31,14.449999809265135,14.550000190734865,14.390000343322756,14.510000228881836,11.246591567993164,2330800.0
2014-03-31,4262000000.0,-3468000000.0,794000000.0,-51000000.0,-51000000.0,743000000.0,-325000000.0,-310000000.0,418000000,-300000000.0,118000000,-54000000.0,89000000,-23000000.0,-58000000,-58000000,2034000000.0,2586000000.0,687000000.0,7989000000.0,25353000000.0,7631000000.0,32984000000.0,40973000000,4953000000.0,2075000000.0,7840000000.0,19410000000.0,25414000000.0,33254000000,8432000000.0,-1064000000.0,-208000000.0,7719000000.0,40973000000,66000000.0,306000000.0,451000000.0,-602000000.0,-219000000.0,-12000000.0,415000000.0,-786000000.0,221000000.0,-399000000.0,29000000.0,-326000000.0,-36000000.0,154000000.0,-132000000.0,-229000000,2014-03-31,14.399999618530273,14.4399995803833,14.18000030517578,14.279999732971193,11.108715057373047,6983300.0
2014-06-30,4311000000.0,-3492000000.0,819000000.0,-52000000.0,-52000000.0,767000000.0,-227000000.0,-250000000.0,540000000,-122000000.0,418000000,-157000000.0,281000000,-6000000.0,133000000,133000000,1939000000.0,2689000000.0,710000000.0,7407000000.0,25628000000.0,6398000000.0,32026000000.0,39433000000,4572000000.0,2095000000.0,6667000000.0,19628000000.0,25180000000.0,31847000000,8404000000.0,-1095000000.0,-75000000.0,7586000000.0,39433000000,275000000.0,319000000.0,79000000.0,-441000000.0,-93000000.0,-27000000.0,-609000000.0,288000000.0,232000000.0,-493000000.0,133000000.0,-65000000.0,-36000000.0,199000000.0,-118000000.0,102000000,2014-06-30,15.5,15.649999618530273,15.329999923706055,15.550000190734865,12.138972282409668,5983200.0
2014-09-30,4441000000.0,-3674000000.0,767000000.0,-45000000.0,-45000000.0,722000000.0,-400000000.0,-321000000.0,322000000,284000000.0,606000000,-92000000.0,508000000,0.0,488000000,488000000,2356000000.0,2755000000.0,741000000.0,7887000000.0,25067000000.0,6029000000.0,31096000000.0,38983000000,4726000000.0,2347000000.0,7073000000.0,18719000000.0,24266000000.0,31339000000,8363000000.0,-1203000000.0,413000000.0,7644000000.0,38983000000,508000000.0,312000000.0,-146000000.0,89000000.0,-182000000.0,-36000000.0,180000000.0,127000000.0,763000000.0,-468000000.0,778000000.0,27000000.0,-36000000.0,-219000000.0,-594000000.0,155000000,2014-09-30,14.25,14.34000015258789,14.050000190734865,14.18000030517578,11.10626983642578,3619200.0
2014-12-31,3110000000.0,-2510000000.0,600000000.0,-39000000.0,-39000000.0,561000000.0,-112000000.0,-250000000.0,449000000,-148000000.0,301000000,-68000000.0,213000000,85000000.0,206000000,206000000,2248000000.0,2709000000.0,702000000.0,7826000000.0,25151000000.0,5989000000.0,31140000000.0,38966000000,4864000000.0,2133000000.0,6997000000.0,18725000000.0,24566000000.0,31563000000,8417000000.0,-1371000000.0,512000000.0,7403000000.0,38966000000,298000000.0,308000000.0,37000000.0,-68000000.0,-26000000.0,27000000.0,-71000000.0,2000000.0,575000000.0,-656000000.0,139000000.0,-292000000.0,-36000000.0,-26000000.0,-418000000.0,-147000000,2014-12-31,14.029999732971193,14.029999732971193,13.75,13.770000457763672,10.825505256652832,3758600.0
2015-06-30,3656000000.0,-2901000000.0,755000000.0,-50000000.0,-50000000.0,705000000.0,-155000000.0,-171000000.0,550000000,-154000000.0,396000000,-123000000.0,274000000,-10000000.0,69000000,69000000,1461000000.0,2877000000.0,734000000.0,7515000000.0,23440000000.0,7629000000.0,31069000000.0,38584000000,4555000000.0,1999000000.0,6563000000.0,18764000000.0,24399000000.0,30962000000,8713000000.0,-1662000000.0,258000000.0,7622000000.0,38584000000,264000000.0,299000000.0,58000000.0,-468000000.0,-107000000.0,-19000000.0,-94000000.0,-248000000.0,153000000.0,-549000000.0,1000000.0,-350000000.0,-71000000.0,137000000.0,-124000000.0,-296000000,2015-06-30,13.210000038146973,13.300000190734865,13.050000190734865,13.260000228881836,10.58895778656006,6799700.0
2015-09-30,3522000000.0,-2857000000.0,665000000.0,-45000000.0,-45000000.0,620000000.0,-233000000.0,-239000000.0,387000000,-227000000.0,160000000,-43000000.0,198000000,5000000.0,180000000,180000000,1890000000.0,2477000000.0,670000000.0,7220000000.0,22463000000.0,7317000000.0,29780000000.0,37000000000,4204000000.0,2300000000.0,6534000000.0,18398000000.0,23467000000.0,30001000000,8718000000.0,-1763000000.0,370000000.0,6999000000.0,37000000000,203000000.0,283000000.0,236000000.0,193000000.0,130000000.0,43000000.0,59000000.0,-39000000.0,915000000.0,-519000000.0,95000000.0,-569000000.0,-68000000.0,361000000.0,97000000.0,417000000,2015-09-30,9.529999732971193,9.81999969482422,9.470000267028807,9.789999961853027,7.879353046417236,11244700.0
2015-12-31,98000000.0,424000000.0,522000000.0,-46000000.0,-46000000.0,476000000.0,-34000000.0,-206000000.0,442000000,-344000000.0,98000000,-150000000.0,-44000000,85000000.0,-85000000,-85000000,1726000000.0,2302000000.0,671000000.0,6842000000.0,22022000000.0,7606000000.0,29628000000.0,36470000000,4093000000.0,2172000000.0,6926000000.0,17909000000.0,22835000000.0,29761000000,8726000000.0,-1837000000.0,143000000.0,6709000000.0,36470000000,41000000.0,264000000.0,274000000.0,50000000.0,-64000000.0,-15000000.0,-207000000.0,336000000.0,629000000.0,-621000000.0,39000000.0,-727000000.0,-67000000.0,112000000.0,-58000000.0,-150000000,2015-12-31,9.5,9.729999542236328,9.369999885559082,9.56999969482422,7.772182464599608,5060200.0
2016-03-31,3271000000.0,-2762000000.0,509000000.0,-48000000.0,-48000000.0,461000000.0,-180000000.0,-225000000.0,281000000,-108000000.0,173000000,-96000000.0,83000000,-9000000.0,126000000,126000000,1813000000.0,2581000000.0,682000000.0,6947000000.0,23416000000.0,6537000000.0,29953000000.0,36900000000,4352000000.0,2220000000.0,6572000000.0,18337000000.0,23472000000.0,30044000000,8714000000.0,-1904000000.0,198000000.0,6856000000.0,36900000000,74000000.0,290000000.0,137000000.0,139000000.0,37000000.0,-24000000.0,-72000000.0,198000000.0,640000000.0,-640000000.0,109000000.0,-548000000.0,-73000000.0,-71000000.0,-180000000.0,-78000000,2016-03-31,11.619999885559082,11.800000190734865,11.56999969482422,11.800000190734865,9.69973850250244,5656000.0
2016-06-30,3229000000.0,-2655000000.0,574000000.0,-47000000.0,-47000000.0,527000000.0,-297000000.0,-252000000.0,230000000,-252000000.0,-22000000,7000000.0,-8000000,-379000000.0,-482000000,-482000000,1809000000.0,2087000000.0,655000000.0,7381000000.0,23035000000.0,6558000000.0,29593000000.0,36974000000,3765000000.0,1610000000.0,6216000000.0,19170000000.0,24332000000.0,30548000000,8722000000.0,-1904000000.0,-284000000.0,6426000000.0,36974000000,-387000000.0,296000000.0,679000000.0,135000000.0,329000000.0,36000000.0,-485000000.0,255000000.0,723000000.0,-615000000.0,36000000.0,-778000000.0,-72000000.0,423000000.0,137000000.0,86000000,2016-06-30,12.079999923706055,12.479999542236328,12.0,12.479999542236328,10.35883331298828,10361000.0
2016-09-30,3542000000.0,-2854000000.0,688000000.0,-40000000.0,-40000000.0,648000000.0,-259000000.0,-244000000.0,389000000,-95000000.0,294000000,-75000000.0,230000000,-1000000.0,175000000,175000000,1921000000.0,2081000000.0,637000000.0,7294000000.0,23283000000.0,6531000000.0,29814000000.0,37108000000,3820000000.0,1091000000.0,5713000000.0,19740000000.0,24852000000.0,30565000000,8653000000.0,-1904000000.0,-114000000.0,6543000000.0,37108000000,229000000.0,291000000.0,109000000.0,190000000.0,-31000000.0,24000000.0,-10000000.0,207000000.0,819000000.0,-515000000.0,-49000000.0,-543000000.0,-73000000.0,-39000000.0,-215000000.0,60000000,2016-09-30,12.90999984741211,13.010000228881836,12.81999969482422,12.850000381469727,10.76164436340332,5867900.0
2016-12-31,239000000.0,373000000.0,612000000.0,-59000000.0,-59000000.0,553000000.0,-184000000.0,-168000000.0,369000000,-627000000.0,-258000000,132000000.0,-114000000,-579000000.0,-949000000,-949000000,1774000000.0,1421000000.0,622000000.0,6416000000.0,20415000000.0,9293000000.0,29708000000.0,36124000000,2571000000.0,1052000000.0,5277000000.0,18402000000.0,24365000000.0,29642000000,8600000000.0,-1904000000.0,-1146000000.0,6482000000.0,36124000000,-693000000.0,299000000.0,1020000000.0,89000000.0,-98000000.0,6000000.0,-52000000.0,233000000.0,715000000.0,-575000000.0,384000000.0,-267000000.0,-72000000.0,-277000000.0,-489000000.0,-59000000,2016-12-30,11.729999542236328,11.789999961853027,11.59000015258789,11.619999885559082,9.822957992553713,3245200.0
2017-03-31,2581000000.0,-2024000000.0,557000000.0,-54000000.0,-54000000.0,503000000.0,-195000000.0,-224000000.0,308000000,-151000000.0,157000000,-67000000.0,97000000,1000000.0,-23000000,-23000000,2222000000.0,2134000000.0,645000000.0,6401000000.0,23148000000.0,6959000000.0,30107000000.0,36508000000,4065000000.0,1137000000.0,5243000000.0,19197000000.0,24362000000.0,29605000000,8739000000.0,-1892000000.0,-1139000000.0,6903000000.0,36508000000,98000000.0,291000000.0,217000000.0,102000000.0,50000000.0,-16000000.0,-65000000.0,133000000.0,708000000.0,-474000000.0,4000000.0,-317000000.0,-79000000.0,74000000.0,-79000000.0,288000000,2017-03-31,11.109999656677246,11.270000457763672,11.09000015258789,11.18000030517578,9.551544189453123,13804600.0
2017-06-30,2613000000.0,-1990000000.0,623000000.0,-49000000.0,-49000000.0,574000000.0,-198000000.0,-217000000.0,376000000,-150000000.0,226000000,-86000000.0,142000000,8000000.0,53000000,53000000,1953000000.0,2173000000.0,633000000.0,6318000000.0,23192000000.0,6959000000.0,30151000000.0,36469000000,3802000000.0,2572000000.0,6411000000.0,18195000000.0,23193000000.0,29604000000,8740000000.0,-1892000000.0,-1086000000.0,6865000000.0,36469000000,150000000.0,290000000.0,210000000.0,-396000000.0,-170000000.0,-27000000.0,-66000000.0,-133000000.0,254000000.0,-649000000.0,-16000000.0,-779000000.0,-79000000.0,455000000.0,143000000.0,-367000000,2017-06-30,11.18000030517578,11.25,11.109999656677246,11.109999656677246,9.59227180480957,4224400.0
2017-09-30,2693000000.0,-2053000000.0,640000000.0,-52000000.0,-52000000.0,588000000.0,-232000000.0,-234000000.0,356000000,-52000000.0,304000000,-93000000.0,235000000,26000000.0,152000000,152000000,1961000000.0,2357000000.0,660000000.0,6660000000.0,24356000000.0,7818000000.0,32174000000.0,38834000000,4464000000.0,2257000000.0,6736000000.0,19776000000.0,24952000000.0,31688000000,8678000000.0,-1892000000.0,-934000000.0,7146000000.0,38834000000,261000000.0,303000000.0,60000000.0,115000000.0,-159000000.0,-23000000.0,293000000.0,4000000.0,739000000.0,-464000000.0,-588000000.0,-859000000.0,-80000000.0,753000000.0,614000000.0,417000000,2017-09-29,11.079999923706056,11.119999885559082,11.010000228881836,11.020000457763672,9.617799758911133,5082100.0
