Report Date,Revenue,Cost of Revenue,Gross Profit,Operating Expenses,"Selling, General & Administrative",Research & Development,Operating Income (Loss),Non-Operating Income (Loss),"Interest Expense, Net","Pretax Income (Loss), Adj.",Abnormal Gains (Losses),Pretax Income (Loss),"Income Tax (Expense) Benefit, Net",Income (Loss) from Continuing Operations,Net Income,Net Income (Common),"Cash, Cash Equivalents & Short Term Investments",Accounts & Notes Receivable,Inventories,Total Current Assets,"Property, Plant & Equipment, Net",Long Term Investments & Receivables,Other Long Term Assets,Total Noncurrent Assets,Total Assets,Payables & Accruals,Short Term Debt,Total Current Liabilities,Long Term Debt,Total Noncurrent Liabilities,Total Liabilities,Share Capital & Additional Paid-In Capital,Retained Earnings,Total Equity,Total Liabilities & Equity,Net Income/Starting Line,Depreciation & Amortization.1,Non-Cash Items,Change in Working Capital,Net Cash from Operating Activities,Change in Fixed Assets & Intangibles,Net Cash from Acquisitions & Divestitures,Net Cash from Investing Activities,Dividends Paid,Cash from (Repayment of) Debt,Cash from (Repurchase of) Equity,Net Cash from Financing Activities,Net Change in Cash,Price Date,Open,High,Low,Close,Adj Close,Volume
2010-06-30,592483000.0,-404316000.0,188167000.0,-81532000.0,-66865000.0,-14667000.0,106635000.0,-6713000.0,-5984000.0,99922000,0.0,99922000,-24331000.0,86086000,81751000,81751000,324123000.0,357963000.0,324695000.0,1081086000.0,977344000.0,160042000.0,512598000.0,1649984000.0,2731070000,308545000.0,8603000.0,317148000.0,784959000.0,1164460000.0,1481608000,4418000.0,1407480000.0,1249462000.0,2731070000,86086000.0,23710000.0,6132000.0,132000.0,116060000.0,-17789000.0,0.0,-17967000.0,-12728000.0,-12423000.0,-5518000.0,-33138000.0,56806000,2010-06-30,40.0099983215332,41.099998474121094,39.599998474121094,39.709999084472656,33.51103973388672,735600.0
2010-09-30,585036000.0,-388213000.0,196823000.0,-76260000.0,-61924000.0,-14336000.0,120563000.0,-4836000.0,-6139000.0,115727000,0.0,115727000,-27886000.0,97020000,93689000,93689000,424673000.0,339185000.0,373406000.0,1212062000.0,1009864000.0,174528000.0,540206000.0,1724598000.0,2936660000,337562000.0,10182000.0,347744000.0,755552000.0,1150875000.0,1498619000,12132000.0,1488369000.0,1438041000.0,2936660000,97020000.0,23075000.0,74350000.0,-52857000.0,141588000.0,-16076000.0,1644000.0,-14707000.0,-12754000.0,-30422000.0,2908000.0,-37928000.0,100550000,2010-09-30,46.4900016784668,47.1500015258789,46.18999862670898,46.81000137329102,39.63792037963867,2219400.0
2010-12-31,604975000.0,-412526000.0,192449000.0,-93968000.0,-79296000.0,-14672000.0,98481000.0,-6270000.0,-7474000.0,92211000,0.0,92211000,-18839000.0,81397000,77030000,77030000,529650000.0,340888000.0,389210000.0,1348198000.0,1006313000.0,180690000.0,532880000.0,1719883000.0,3068081000,355194000.0,8983000.0,364177000.0,851927000.0,1228158000.0,1592335000,19751000.0,1560519000.0,1475746000.0,3068081000,81397000.0,24092000.0,-22463000.0,-27449000.0,55577000.0,-25472000.0,-4930000.0,-31596000.0,-12760000.0,99163000.0,2456000.0,89570000.0,104977000,2010-12-31,56.06000137329102,56.31999969482422,55.7599983215332,55.77999877929688,47.353233337402344,301100.0
2011-12-31,707390000.0,-495420000.0,211970000.0,-145942000.0,-126955000.0,-18987000.0,66028000.0,-9175000.0,-8998000.0,56853000,0.0,56853000,-3711000.0,59778000,55277000,55277000,469416000.0,355372000.0,431495000.0,1355620000.0,1129480000.0,198427000.0,520297000.0,1848204000.0,3203824000,386762000.0,14416000.0,401178000.0,749257000.0,1123819000.0,1524997000,16082000.0,1514866000.0,1678827000.0,3203824000,59778000.0,24827000.0,44306000.0,72981000.0,201892000.0,-63463000.0,-2119000.0,-65541000.0,-14661000.0,-33316000.0,1127000.0,-137646000.0,-11842000,2011-12-30,51.54999923706055,52.02999877929688,51.27000045776367,51.5099983215332,44.28609085083008,425300.0
2012-06-30,684894000.0,-435606000.0,249288000.0,-82646000.0,-61735000.0,-20911000.0,166642000.0,-9174000.0,-8486000.0,157468000,-94703000.0,62765000,-21882000.0,53595000,50089000,50089000,461751000.0,379260000.0,499680000.0,1451675000.0,1176970000.0,196095000.0,477967000.0,1851032000.0,3302707000,400731000.0,12572000.0,413303000.0,742252000.0,1095760000.0,1509063000,29152000.0,1908177000.0,1793644000.0,3302707000,53595000.0,25214000.0,52346000.0,-69790000.0,61365000.0,-71839000.0,-2250000.0,-84211000.0,-17821000.0,-1620000.0,-2834000.0,-24600000.0,-57608000,2012-06-29,59.540000915527344,59.88000106811523,59.13999938964844,59.63999938964844,51.61278533935547,803800.0
2012-09-30,661226000.0,-443476000.0,217750000.0,-73235000.0,-53404000.0,-19831000.0,144515000.0,-5544000.0,-7914000.0,138971000,0.0,138971000,-32472000.0,114434000,109459000,109459000,402642000.0,378938000.0,491930000.0,1386852000.0,1253139000.0,199864000.0,522800000.0,1975803000.0,3362655000,369940000.0,12572000.0,382512000.0,701162000.0,1078860000.0,1461372000,11183000.0,1989586000.0,1901283000.0,3362655000,114434000.0,24979000.0,-13866000.0,-3974000.0,121573000.0,-92085000.0,-104000.0,-104591000.0,-17888000.0,-2932000.0,-20228000.0,-76621000.0,-59109000,2012-09-28,52.0,52.79999923706055,51.77000045776367,52.68000030517578,45.75071716308594,807900.0
2012-12-31,461330000.0,-280505000.0,180825000.0,-138441000.0,-119313000.0,-19128000.0,42384000.0,-8001000.0,-7666000.0,34383000,-16982000.0,17401000,12949000.0,39184000,37726000,37726000,477696000.0,378973000.0,428145000.0,1407313000.0,1296571000.0,207141000.0,526266000.0,2029978000.0,3437291000,372309000.0,12700000.0,385009000.0,686588000.0,1120274000.0,1505283000,3650000.0,1744684000.0,1932008000.0,3437291000,43465000.0,24592000.0,55445000.0,58782000.0,182284000.0,-62165000.0,8774000.0,-56328000.0,-17826000.0,-2689000.0,-21934000.0,-53943000.0,75054000,2012-12-31,60.61000061035156,62.36000061035156,60.61000061035156,62.11999893188477,54.12974166870117,343700.0
2013-06-30,576842000.0,-385172000.0,191670000.0,-83290000.0,-61725000.0,-21565000.0,108380000.0,-9193000.0,-7608000.0,99187000,0.0,99187000,-20396000.0,88500000,82739000,82739000,314659000.0,407842000.0,451998000.0,1281878000.0,1333765000.0,206755000.0,513551000.0,2054071000.0,3335949000,366228000.0,9355000.0,375583000.0,1067852000.0,1494973000.0,1870556000,3819000.0,1292993000.0,1465393000.0,3335949000,91128000.0,26573000.0,2880000.0,-40377000.0,80204000.0,-47833000.0,-250000.0,-48136000.0,-21241000.0,114224000.0,-519303000.0,-159921000.0,-120245000,2013-06-28,62.56999969482422,63.790000915527344,61.709999084472656,62.290000915527344,54.68821334838867,996300.0
2013-09-30,591196000.0,-381585000.0,209611000.0,-80809000.0,-61368000.0,-19441000.0,128802000.0,-9864000.0,-9496000.0,118938000,0.0,118938000,-26963000.0,97313000,90512000,90512000,401427000.0,409206000.0,485804000.0,1394706000.0,1348976000.0,208077000.0,518306000.0,2075359000.0,3470065000,391235000.0,19602000.0,410837000.0,1060282000.0,1482079000.0,1892916000,6830000.0,1363970000.0,1577149000.0,3470065000,97844000.0,27660000.0,-502000.0,13665000.0,138667000.0,-31860000.0,0.0,-31414000.0,-19525000.0,-87533000.0,593000.0,-25085000.0,86768000,2013-09-30,62.099998474121094,63.040000915527344,62.02000045776367,62.93999862670898,55.466590881347656,643200.0
2013-12-31,584607000.0,-335007000.0,249600000.0,8367000.0,29654000.0,-21287000.0,257967000.0,-9736000.0,-9224000.0,248231000,-33361000.0,214870000,-60894000.0,160397000,155933000,155933000,477239000.0,446864000.0,436049000.0,1482915000.0,1357069000.0,212178000.0,532635000.0,2101882000.0,3584797000,411809000.0,24554000.0,436363000.0,1054310000.0,1405658000.0,1842021000,10758000.0,1500358000.0,1742776000.0,3584797000,161346000.0,27893000.0,-82251000.0,8350000.0,115338000.0,-20318000.0,250000.0,-23678000.0,-19533000.0,-41820000.0,1043000.0,-19008000.0,75812000,2013-12-31,63.18000030517578,63.54999923706055,63.11999893188477,63.38999938964844,56.05675888061523,386900.0
