Report Date,Revenue,Cost of Revenue,Gross Profit,Operating Expenses,"Selling, General & Administrative",Research & Development,Operating Income (Loss),Non-Operating Income (Loss),"Pretax Income (Loss), Adj.",Pretax Income (Loss),"Income Tax (Expense) Benefit, Net",Income (Loss) from Continuing Operations,Net Income,Net Income (Common),"Cash, Cash Equivalents & Short Term Investments",Accounts & Notes Receivable,Inventories,Total Current Assets,"Property, Plant & Equipment, Net",Long Term Investments & Receivables,Other Long Term Assets,Total Noncurrent Assets,Total Assets,Payables & Accruals,Total Current Liabilities,Total Noncurrent Liabilities,Total Liabilities,Share Capital & Additional Paid-In Capital,Retained Earnings,Total Equity,Total Liabilities & Equity,Net Income/Starting Line,Depreciation & Amortization.1,Non-Cash Items,Change in Working Capital,Net Cash from Operating Activities,Change in Fixed Assets & Intangibles,Net Change in Long Term Investment,Net Cash from Investing Activities,Cash from (Repurchase of) Equity,Net Cash from Financing Activities,Net Change in Cash,Price Date,Open,High,Low,Close,Adj Close,Volume
2010-09-30,95947000.0,-21014000.0,74933000.0,-49700000.0,-43108000.0,-6592000.0,25233000.0,-83000.0,25150000,21840000,-5025000.0,16815000,16815000,16815000,272320000.0,63811000.0,2382000.0,357942000.0,28102000.0,7829000.0,51362000.0,87293000.0,445235000,49900000.0,80036000.0,5797000.0,85833000,547236000.0,-188151000.0,359402000.0,445235000,16815000.0,3439000.0,4870000.0,10639000.0,35763000.0,-3083000.0,-6248000.0,-10515000.0,3694000.0,3654000.0,29123000,2010-09-30,19.950000762939453,19.950000762939453,19.299999237060547,19.57999992370605,19.57999992370605,646000.0
2010-12-31,92893000.0,-21137000.0,71756000.0,-55747000.0,-48854000.0,-6893000.0,16009000.0,-251000.0,15758000,14519000,-4614000.0,9905000,9905000,9905000,303279000.0,65430000.0,2544000.0,388611000.0,30684000.0,9089000.0,48559000.0,88332000.0,476943000,59126000.0,92974000.0,6222000.0,99196000,555859000.0,-178246000.0,377747000.0,476943000,9905000.0,3392000.0,-149000.0,19377000.0,32525000.0,-6099000.0,-2476000.0,-7364000.0,915000.0,4689000.0,29740000,2010-12-31,20.040000915527344,20.239999771118164,19.5,19.540000915527344,19.540000915527344,349300.0
2011-03-31,104856000.0,-22630000.0,82226000.0,-61203000.0,-51813000.0,-9390000.0,21023000.0,89000.0,21112000,21112000,-5271000.0,15841000,15841000,15841000,316936000.0,73904000.0,2867000.0,417941000.0,30722000.0,5615000.0,42704000.0,79041000.0,496982000,50795000.0,87994000.0,6883000.0,94877000,563886000.0,-162405000.0,402105000.0,496982000,15841000.0,3679000.0,8100000.0,-10372000.0,17248000.0,-2825000.0,3767000.0,-7226000.0,5068000.0,3749000.0,13944000,2011-03-31,20.350000381469727,20.6200008392334,20.100000381469727,20.479999542236328,20.479999542236328,671100.0
2011-06-30,120086000.0,-28949000.0,91137000.0,-73950000.0,-64680000.0,-9270000.0,17187000.0,-306000.0,16881000,16289000,-5127000.0,11162000,11162000,11162000,175362000.0,82130000.0,6272000.0,286573000.0,37122000.0,4112000.0,219242000.0,260476000.0,547049000,66427000.0,109451000.0,7816000.0,117267000,580282000.0,-151243000.0,429782000.0,547049000,11162000.0,4605000.0,8962000.0,4967000.0,29696000.0,-5697000.0,3092000.0,-180980000.0,11480000.0,11379000.0,-140001000,2011-06-30,22.54999923706055,22.86000061035156,22.440000534057614,22.79999923706055,22.79999923706055,443200.0
2011-09-30,125894000.0,-33524000.0,92370000.0,-65190000.0,-56264000.0,-8926000.0,27180000.0,-118000.0,27062000,26194000,-6930000.0,19264000,19264000,19264000,210414000.0,86648000.0,8278000.0,327134000.0,46388000.0,677000.0,211721000.0,258786000.0,585920000,72419000.0,120187000.0,8857000.0,129044000,588509000.0,-131979000.0,456876000.0,585920000,19264000.0,4823000.0,4506000.0,6954000.0,35547000.0,-12507000.0,1983000.0,-11091000.0,3334000.0,9261000.0,33622000,2011-09-30,15.479999542236328,15.8100004196167,15.149999618530273,15.170000076293945,15.170000076293945,385900.0
2011-12-31,128905000.0,-33355000.0,95550000.0,-70580000.0,-61012000.0,-9568000.0,24970000.0,-84000.0,24886000,26346000,-5897000.0,20449000,20449000,20449000,248070000.0,91537000.0,9402000.0,384816000.0,53965000.0,0.0,210483000.0,264448000.0,649264000,95865000.0,148117000.0,10366000.0,158483000,607248000.0,-116513000.0,490781000.0,649264000,20449000.0,4370000.0,-5380000.0,28539000.0,47978000.0,-9375000.0,1475000.0,-12309000.0,-2135000.0,2852000.0,38446000,2011-12-30,24.020000457763672,24.059999465942386,23.5,23.729999542236328,23.729999542236328,696200.0
2012-03-31,135079000.0,-34319000.0,100760000.0,-72754000.0,-62228000.0,-10526000.0,28006000.0,-812000.0,27194000,27194000,-6210000.0,20984000,20984000,20984000,240379000.0,94441000.0,13434000.0,385496000.0,62912000.0,16804000.0,205224000.0,284940000.0,670436000,81178000.0,135828000.0,11586000.0,147414000,619999000.0,-97170000.0,523022000.0,670436000,20984000.0,3899000.0,1479000.0,-18981000.0,7381000.0,-12559000.0,-25439000.0,-37995000.0,7656000.0,14291000.0,-16314000,2012-03-30,27.59000015258789,27.959999084472656,27.45000076293945,27.54999923706055,27.54999923706055,674200.0
2012-06-30,145626000.0,-36826000.0,108800000.0,-72788000.0,-62108000.0,-10680000.0,36012000.0,541000.0,36553000,36553000,-8061000.0,28492000,28492000,28492000,283551000.0,102149000.0,14623000.0,435135000.0,72207000.0,20475000.0,216346000.0,309028000.0,744163000,84433000.0,143836000.0,14032000.0,157868000,655315000.0,-68680000.0,586295000.0,744163000,28492000.0,4252000.0,1530000.0,1100000.0,35374000.0,-13219000.0,-8416000.0,-18915000.0,13509000.0,21992000.0,38438000,2012-06-29,32.75,33.459999084472656,32.290000915527344,33.459999084472656,33.459999084472656,1022100.0
2012-09-30,136496000.0,-36146000.0,100350000.0,-95847000.0,-61230000.0,-9952000.0,4503000.0,-353000.0,4150000,4150000,-4494000.0,-344000,-344000,-344000,328049000.0,105902000.0,15137000.0,484246000.0,75248000.0,20802000.0,187868000.0,283918000.0,768164000,86364000.0,151688000.0,14311000.0,165999000,676613000.0,-74429000.0,602165000.0,768164000,-344000.0,4393000.0,34925000.0,1291000.0,40265000.0,-5707000.0,-2644000.0,-8738000.0,9233000.0,10536000.0,42108000,2012-09-28,37.27999877929688,37.40999984741211,36.77999877929688,36.97000122070313,36.97000122070313,541100.0
2012-12-31,142840000.0,-36362000.0,106478000.0,-89407000.0,-65770000.0,-11711000.0,17071000.0,-672000.0,16399000,16399000,-6840000.0,9559000,9559000,9559000,334871000.0,98992000.0,15122000.0,485793000.0,79191000.0,21252000.0,170076000.0,270519000.0,756312000,93796000.0,155771000.0,19224000.0,174995000,670740000.0,-89626000.0,581317000.0,756312000,9559000.0,5267000.0,25253000.0,10679000.0,50758000.0,-6848000.0,-5814000.0,-12652000.0,-35274000.0,-36614000.0,1479000,2012-12-31,27.0,27.770000457763672,26.920000076293945,27.75,27.75,587100.0
