Report Date,Revenue,Cost of Revenue,Gross Profit,Operating Expenses,"Selling, General & Administrative",Operating Income (Loss),Non-Operating Income (Loss),"Interest Expense, Net","Pretax Income (Loss), Adj.",Pretax Income (Loss),"Income Tax (Expense) Benefit, Net",Income (Loss) from Continuing Operations,Net Income,Net Income (Common),"Cash, Cash Equivalents & Short Term Investments",Inventories,Total Current Assets,"Property, Plant & Equipment, Net",Other Long Term Assets,Total Noncurrent Assets,Total Assets,Payables & Accruals,Total Current Liabilities,Long Term Debt,Total Noncurrent Liabilities,Total Liabilities,Share Capital & Additional Paid-In Capital,Treasury Stock,Retained Earnings,Total Equity,Total Liabilities & Equity,Net Income/Starting Line,Depreciation & Amortization.1,Non-Cash Items,Change in Working Capital,Change in Accounts Receivable,Change in Inventories,Change in Accounts Payable,Change in Other,Net Cash from Operating Activities,Change in Fixed Assets & Intangibles,Net Change in Long Term Investment,Net Cash from Acquisitions & Divestitures,Net Cash from Investing Activities,Cash from (Repayment of) Debt,Cash from (Repurchase of) Equity,Net Cash from Financing Activities,Net Change in Cash,Price Date,Open,High,Low,Close,Adj Close,Volume
2006-09-30,2307000000.0,-1758000000.0,549000000.0,-509000000.0,-118000000.0,40000000.0,-3000000.0,-7000000.0,37000000,38000000,-19000000.0,19000000,19000000,19000000,1219000000.0,736000000.0,2495000000.0,449000000.0,324000000.0,773000000.0,3268000000,1768000000.0,1768000000.0,1304000000.0,1304000000.0,3072000000,2381000000.0,-252000000.0,-1934000000.0,196000000.0,3268000000,19000000.0,63000000.0,-8000000.0,56000000.0,-53000000.0,-218000000.0,252000000.0,75000000.0,130000000.0,-62000000.0,211000000.0,-2000000.0,147000000.0,-29000000.0,-248000000.0,-268000000.0,10000000,2006-09-29,32.009998321533196,32.34000015258789,31.540000915527344,32.11999893188477,32.11999893188477,5227200.0
2006-12-31,3986000000.0,-3135000000.0,851000000.0,-655000000.0,-138000000.0,196000000.0,3000000.0,0.0,199000000,189000000,-91000000.0,98000000,98000000,98000000,2019000000.0,877000000.0,3572000000.0,457000000.0,334000000.0,791000000.0,4363000000,2532000000.0,2532000000.0,1247000000.0,1400000000.0,3932000000,2521000000.0,-252000000.0,-1837000000.0,431000000.0,4363000000,98000000.0,59000000.0,-79000000.0,667000000.0,-116000000.0,-127000000.0,588000000.0,322000000.0,745000000.0,-50000000.0,-471000000.0,-2000000.0,-523000000.0,9000000.0,17000000.0,91000000.0,329000000,2006-12-29,40.060001373291016,40.25,39.349998474121094,39.459999084472656,39.459999084472656,4197000.0
2007-03-31,3015000000.0,-2296000000.0,719000000.0,-574000000.0,-128000000.0,145000000.0,1000000.0,1000000.0,146000000,144000000,-33000000.0,111000000,111000000,111000000,1420000000.0,754000000.0,2825000000.0,442000000.0,394000000.0,836000000.0,3661000000,1847000000.0,1847000000.0,1251000000.0,1461000000.0,3308000000,2590000000.0,-500000000.0,-1740000000.0,353000000.0,3661000000,111000000.0,62000000.0,-29000000.0,-423000000.0,66000000.0,126000000.0,-602000000.0,-13000000.0,-279000000.0,-34000000.0,270000000.0,-1000000.0,235000000.0,-17000000.0,-239000000.0,-232000000.0,-274000000,2007-03-30,39.75,40.2400016784668,39.41999816894531,39.790000915527344,39.790000915527344,5996900.0
2007-06-30,2886000000.0,-2185000000.0,701000000.0,-585000000.0,-123000000.0,116000000.0,-5000000.0,1000000.0,111000000,111000000,-33000000.0,78000000,78000000,78000000,1665000000.0,735000000.0,3083000000.0,443000000.0,458000000.0,901000000.0,3984000000,1936000000.0,1936000000.0,1256000000.0,1498000000.0,3434000000,2708000000.0,-500000000.0,-1661000000.0,550000000.0,3984000000,306000000.0,244000000.0,-147000000.0,492000000.0,-113000000.0,-193000000.0,319000000.0,479000000.0,895000000.0,-195000000.0,-9000000.0,-26000000.0,-230000000.0,-64000000.0,-435000000.0,-366000000.0,321000000,2007-06-29,69.02999877929689,69.19000244140625,68.15000152587889,68.41000366210939,68.41000366210939,5316600.0
2007-09-30,3262000000.0,-2500000000.0,762000000.0,-639000000.0,-131000000.0,123000000.0,1000000.0,4000000.0,124000000,124000000,-44000000.0,80000000,80000000,80000000,1909000000.0,970000000.0,3655000000.0,491000000.0,472000000.0,963000000.0,4618000000,2319000000.0,2319000000.0,1273000000.0,1538000000.0,3857000000,2831000000.0,-500000000.0,-1581000000.0,761000000.0,4618000000,80000000.0,61000000.0,-26000000.0,122000000.0,-73000000.0,-223000000.0,304000000.0,114000000.0,237000000.0,-69000000.0,127000000.0,-24000000.0,34000000.0,4000000.0,35000000.0,73000000.0,362000000,2007-09-28,92.7699966430664,93.5999984741211,91.6999969482422,93.1500015258789,93.1500015258789,4813700.0
2007-12-31,5672000000.0,-4501000000.0,1171000000.0,-900000000.0,-197000000.0,271000000.0,8000000.0,7000000.0,279000000,281000000,-74000000.0,207000000,207000000,207000000,3112000000.0,1200000000.0,5424000000.0,543000000.0,518000000.0,1061000000.0,6485000000,3697000000.0,3714000000.0,1282000000.0,1574000000.0,5288000000,3067000000.0,-500000000.0,-1375000000.0,1197000000.0,6485000000,-21000000.0,-121000000.0,-158000000.0,852000000.0,-135000000.0,-13000000.0,907000000.0,93000000.0,552000000.0,74000000.0,-47000000.0,-24000000.0,3000000.0,118000000.0,391000000.0,575000000.0,1108000000,2007-12-31,93.80999755859376,94.37000274658205,92.4499969482422,92.63999938964844,92.63999938964844,5755200.0
2008-03-31,4135000000.0,-3179000000.0,956000000.0,-758000000.0,-164000000.0,198000000.0,9000000.0,4000000.0,207000000,207000000,-62000000.0,143000000,143000000,143000000,2151000000.0,1077000000.0,4245000000.0,594000000.0,1044000000.0,1638000000.0,5883000000,2645000000.0,3551000000.0,467000000.0,862000000.0,4413000000,3195000000.0,-500000000.0,-1232000000.0,1470000000.0,5883000000,143000000.0,65000000.0,-91000000.0,-762000000.0,139000000.0,148000000.0,-1003000000.0,-46000000.0,-645000000.0,-61000000.0,-111000000.0,-355000000.0,-527000000.0,26000000.0,2000000.0,92000000.0,-1043000000,2008-03-31,70.25,71.63999938964844,69.62999725341797,71.30000305175781,71.30000305175781,5470300.0
2008-12-31,6704000000.0,-5356000000.0,1348000000.0,-1075000000.0,-240000000.0,273000000.0,31000000.0,5000000.0,304000000,304000000,-80000000.0,226000000,226000000,226000000,3727000000.0,1399000000.0,6302000000.0,854000000.0,1158000000.0,2012000000.0,8314000000,4746000000.0,4746000000.0,409000000.0,896000000.0,5642000000,4125000000.0,-600000000.0,-730000000.0,2672000000.0,8314000000,-204000000.0,-113000000.0,377000000.0,770000000.0,-151000000.0,204000000.0,891000000.0,-174000000.0,830000000.0,102000000.0,-155000000.0,321000000.0,268000000.0,-33000000.0,-102000000.0,-397000000.0,627000000,2008-12-31,50.7400016784668,51.68999862670898,49.90999984741211,51.27999877929688,51.27999877929688,7792200.0
2009-03-31,4889000000.0,-3741000000.0,1148000000.0,-904000000.0,-196000000.0,244000000.0,4000000.0,0.0,248000000,248000000,-69000000.0,177000000,177000000,177000000,2730000000.0,1266000000.0,4893000000.0,889000000.0,1198000000.0,2087000000.0,6980000000,3410000000.0,3410000000.0,74000000.0,652000000.0,4062000000,4214000000.0,-600000000.0,-553000000.0,2918000000.0,6980000000,177000000.0,87000000.0,-78000000.0,-771000000.0,167000000.0,107000000.0,-1129000000.0,84000000.0,-585000000.0,-55000000.0,-77000000.0,-15000000.0,-147000000.0,-340000000.0,0.0,-291000000.0,-1068000000,2009-03-31,72.61000061035156,74.5,72.12000274658203,73.44000244140625,73.44000244140625,8918200.0
2009-06-30,4651000000.0,-3518000000.0,1133000000.0,-974000000.0,-206000000.0,159000000.0,20000000.0,1000000.0,179000000,179000000,-39000000.0,142000000,142000000,142000000,3212000000.0,1325000000.0,5422000000.0,981000000.0,1272000000.0,2253000000.0,7675000000,3636000000.0,3636000000.0,109000000.0,783000000.0,4419000000,4325000000.0,-600000000.0,-411000000.0,3256000000.0,7675000000,663000000.0,323000000.0,-201000000.0,1093000000.0,-149000000.0,-261000000.0,625000000.0,878000000.0,1878000000.0,-336000000.0,-332000000.0,-129000000.0,-797000000.0,-619000000.0,-100000000.0,-597000000.0,388000000,2009-06-30,83.62000274658203,84.91999816894531,82.47000122070312,83.66000366210938,83.66000366210938,7984800.0
2011-12-31,17431000000.0,-13830000000.0,3601000000.0,-3341000000.0,-776000000.0,260000000.0,12000000.0,-7000000.0,272000000,272000000,-86000000.0,176000000,176000000,176000000,9576000000.0,4992000000.0,17518000000.0,4417000000.0,3343000000.0,7760000000.0,25278000000,14896000000.0,14896000000.0,255000000.0,2625000000.0,17521000000,6995000000.0,-877000000.0,1955000000.0,7757000000.0,25278000000,-671000000.0,-163000000.0,319000000.0,2002000000.0,-846000000.0,-403000000.0,2963000000.0,288000000.0,1487000000.0,390000000.0,-310000000.0,403000000.0,483000000.0,38000000.0,-277000000.0,-382000000.0,1434000000,2011-12-30,173.36000061035156,175.1699981689453,172.49000549316406,173.10000610351562,173.10000610351562,4279800.0
2012-12-31,21268000000.0,-16137000000.0,5131000000.0,-4726000000.0,-1085000000.0,405000000.0,-69000000.0,-20000000.0,336000000,336000000,-193000000.0,98000000,98000000,98000000,11448000000.0,6031000000.0,21296000000.0,7060000000.0,4199000000.0,11259000000.0,32555000000,18210000000.0,19002000000.0,3084000000.0,5361000000.0,24363000000,8352000000.0,-1837000000.0,1916000000.0,8192000000.0,32555000000,-272000000.0,-431000000.0,-308000000.0,3464000000.0,-619000000.0,125000000.0,3652000000.0,306000000.0,2453000000.0,-560000000.0,-1714000000.0,112000000.0,-2162000000.0,3151000000.0,1237000000.0,4585000000.0,4863000000,2012-12-31,243.75,252.41000366210938,242.75,250.8699951171875,250.8699951171875,3419000.0
