Report Date,Revenue,Cost of Revenue,Gross Profit,Operating Expenses,"Selling, General & Administrative",Research & Development,Depreciation & Amortization,Operating Income (Loss),Non-Operating Income (Loss),"Interest Expense, Net","Pretax Income (Loss), Adj.",Pretax Income (Loss),"Income Tax (Expense) Benefit, Net",Income (Loss) from Continuing Operations,Net Income,Net Income (Common),"Cash, Cash Equivalents & Short Term Investments",Accounts & Notes Receivable,Total Current Assets,"Property, Plant & Equipment, Net",Other Long Term Assets,Total Noncurrent Assets,Total Assets,Payables & Accruals,Total Current Liabilities,Total Noncurrent Liabilities,Total Liabilities,Share Capital & Additional Paid-In Capital,Treasury Stock,Retained Earnings,Total Equity,Total Liabilities & Equity,Net Income/Starting Line,Depreciation & Amortization.1,Non-Cash Items,Change in Working Capital,Net Cash from Operating Activities,Change in Fixed Assets & Intangibles,Net Cash from Acquisitions & Divestitures,Net Cash from Investing Activities,Cash from (Repurchase of) Equity,Net Cash from Financing Activities,Net Change in Cash,Price Date,Open,High,Low,Close,Adj Close,Volume
2010-09-30,139843000.0,-25279000.0,114564000.0,-62687000.0,-36954000.0,-21696000.0,-4037000.0,51877000.0,-985000.0,-411000.0,50892000,50892000,-14762000.0,36130000,36130000,36130000,495836000.0,54042000.0,686392000.0,34715000.0,1397375000.0,1432090000.0,2118482000,149398000.0,355543000.0,302799000.0,658342000,837602000.0,0.0,606193000.0,1460140000.0,2118482000,36130000.0,15152000.0,-5154000.0,26135000.0,72263000.0,-4736000.0,0.0,-4714000.0,2803000.0,-1340000.0,79228000,2010-09-30,42.52000045776367,42.83000183105469,42.18000030517578,42.25,42.25,1092500.0
2011-12-31,198209000.0,-33342000.0,164867000.0,-91724000.0,-56571000.0,-29751000.0,-5402000.0,73143000.0,-23000.0,-198000.0,73120000,73120000,-25663000.0,47457000,47457000,47457000,472404000.0,84602000.0,740033000.0,45638000.0,1662799000.0,1708437000.0,2448470000,105173000.0,438751000.0,255246000.0,693997000,906589000.0,0.0,836008000.0,1754473000.0,2448470000,47457000.0,19039000.0,3669000.0,7449000.0,77614000.0,-9539000.0,267000.0,-9311000.0,7962000.0,332000.0,65530000,2011-12-30,56.97000122070313,57.56000137329102,56.86999893188477,57.27999877929688,57.27999877929688,475900.0
2012-06-30,195016000.0,-34737000.0,160279000.0,-89145000.0,-48980000.0,-33415000.0,-6750000.0,71134000.0,125000.0,164000.0,71259000,71259000,-20997000.0,50262000,50262000,50262000,551952000.0,83935000.0,841153000.0,51659000.0,1620410000.0,1672069000.0,2513222000,90585000.0,463917000.0,228456000.0,692373000,935908000.0,-54192000.0,931809000.0,1820849000.0,2513222000,50262000.0,21205000.0,-1707000.0,5109000.0,74869000.0,-9587000.0,0.0,-9510000.0,-55950000.0,-64514000.0,-6362000,2012-06-29,61.88000106811523,63.52999877929688,61.88000106811523,63.11000061035156,63.11000061035156,630000.0
2012-09-30,196909000.0,-33756000.0,163153000.0,-89501000.0,-49195000.0,-33506000.0,-6800000.0,73652000.0,-213000.0,142000.0,73439000,73439000,-21820000.0,51619000,51619000,51619000,555341000.0,77861000.0,825831000.0,51178000.0,1681295000.0,1732473000.0,2558304000,97515000.0,453107000.0,208707000.0,661814000,936307000.0,-37618000.0,983428000.0,1896490000.0,2558304000,51619000.0,21752000.0,-503000.0,-2507000.0,70361000.0,-3552000.0,-46395000.0,-49911000.0,6885000.0,-20972000.0,3403000,2012-09-28,72.75,73.61000061035156,72.18000030517578,73.4000015258789,73.4000015258789,507600.0
2012-12-31,220748000.0,-36681000.0,184067000.0,-102428000.0,-61754000.0,-34206000.0,-6468000.0,81639000.0,-85000.0,310000.0,81554000,81554000,-25491000.0,56063000,56063000,56063000,577155000.0,96598000.0,913359000.0,52253000.0,1641805000.0,1694058000.0,2607417000,117036000.0,477387000.0,189739000.0,667126000,928300000.0,-36151000.0,1039491000.0,1940291000.0,2607417000,56063000.0,21753000.0,-2887000.0,-5341000.0,69588000.0,-6095000.0,1320000.0,-4791000.0,-21175000.0,-41762000.0,21816000,2012-12-31,67.02999877929689,67.77999877929689,66.88999938964844,67.33999633789061,67.33999633789061,284300.0
2013-03-31,197732000.0,-36234000.0,161498000.0,-91949000.0,-50013000.0,-36007000.0,-5929000.0,69549000.0,40000.0,361000.0,69589000,69589000,-18566000.0,51023000,51023000,51023000,651481000.0,80291000.0,931608000.0,50822000.0,1617270000.0,1668092000.0,2599700000,85204000.0,419306000.0,174506000.0,593812000,917268000.0,-1620000.0,1090514000.0,2005888000.0,2599700000,51023000.0,20683000.0,3464000.0,20264000.0,95434000.0,-4087000.0,0.0,-4117000.0,14194000.0,-11883000.0,74290000,2013-03-28,80.0,81.55000305175781,78.69000244140625,81.41999816894531,81.41999816894531,403200.0
2013-06-30,214850000.0,-36680000.0,178170000.0,-99745000.0,-55262000.0,-38670000.0,-5813000.0,78425000.0,200000.0,373000.0,78625000,78625000,-22680000.0,55945000,55945000,55945000,659864000.0,84101000.0,915484000.0,50279000.0,1610273000.0,1660552000.0,2576036000,94475000.0,425666000.0,152535000.0,578201000,922555000.0,-65528000.0,1146459000.0,1997835000.0,2576036000,55945000.0,20702000.0,816000.0,9685000.0,87148000.0,-4593000.0,-4224000.0,-8835000.0,-69474000.0,-67513000.0,8410000,2013-06-28,74.05000305175781,74.05000305175781,72.70999908447266,73.0999984741211,73.0999984741211,571900.0
2013-09-30,212658000.0,-35169000.0,177489000.0,-95852000.0,-51345000.0,-38882000.0,-5625000.0,81637000.0,73000.0,430000.0,81710000,81710000,-19280000.0,62430000,62430000,62430000,707774000.0,79912000.0,959956000.0,54952000.0,1603371000.0,1658323000.0,2618279000,101817000.0,386956000.0,143025000.0,529981000,922712000.0,-43129000.0,1208889000.0,2088298000.0,2618279000,62430000.0,19878000.0,-3283000.0,-13585000.0,65440000.0,-5467000.0,0.0,-5469000.0,11443000.0,-16294000.0,47931000,2013-09-30,86.48999786376953,87.33000183105469,85.13999938964844,86.5199966430664,86.5199966430664,371900.0
2013-12-31,236020000.0,-38609000.0,197411000.0,-105159000.0,-62287000.0,-37880000.0,-4992000.0,92252000.0,313000.0,508000.0,92565000,92565000,-16636000.0,75929000,75929000,75929000,742986000.0,97845000.0,1067596000.0,60538000.0,1594248000.0,1654786000.0,2722382000,130607000.0,440431000.0,145705000.0,586136000,926963000.0,-72891000.0,1284818000.0,2136246000.0,2722382000,75929000.0,19438000.0,1843000.0,-12249000.0,84961000.0,-14701000.0,0.0,-14756000.0,-35301000.0,-34069000.0,35152000,2013-12-31,87.19999694824219,87.56999969482422,86.62000274658203,87.19999694824219,87.19999694824219,310100.0
2014-03-31,215271000.0,-37745000.0,177526000.0,-98464000.0,-53550000.0,-40120000.0,-4794000.0,79062000.0,395000.0,593000.0,79457000,79457000,-22915000.0,56542000,56542000,56542000,858243000.0,83418000.0,1132262000.0,59631000.0,1601336000.0,1660967000.0,2793229000,109075000.0,441747000.0,142769000.0,584516000,916929000.0,-48456000.0,1341360000.0,2208713000.0,2793229000,56542000.0,19458000.0,4472000.0,51167000.0,131639000.0,-4092000.0,-18398000.0,-22533000.0,8572000.0,5501000.0,115198000,2014-03-31,76.6500015258789,77.19000244140625,75.98999786376953,77.0199966430664,77.0199966430664,887200.0
