Report Date,Revenue,Cost of Revenue,Gross Profit,Operating Expenses,"Selling, General & Administrative",Depreciation & Amortization,Operating Income (Loss),Non-Operating Income (Loss),"Interest Expense, Net","Pretax Income (Loss), Adj.",Abnormal Gains (Losses),Pretax Income (Loss),"Income Tax (Expense) Benefit, Net",Income (Loss) from Continuing Operations,Net Income,Net Income (Common),"Cash, Cash Equivalents & Short Term Investments",Accounts & Notes Receivable,Inventories,Total Current Assets,"Property, Plant & Equipment, Net",Other Long Term Assets,Total Noncurrent Assets,Total Assets,Payables & Accruals,Short Term Debt,Total Current Liabilities,Long Term Debt,Total Noncurrent Liabilities,Total Liabilities,Share Capital & Additional Paid-In Capital,Retained Earnings,Total Equity,Total Liabilities & Equity,Net Income/Starting Line,Depreciation & Amortization.1,Non-Cash Items,Change in Working Capital,Net Cash from Operating Activities,Change in Fixed Assets & Intangibles,Net Cash from Acquisitions & Divestitures,Net Cash from Investing Activities,Dividends Paid,Cash from (Repayment of) Debt,Cash from (Repurchase of) Equity,Net Cash from Financing Activities,Net Change in Cash,Price Date,Open,High,Low,Close,Adj Close,Volume
2011-12-31,3900000000.0,-3221000000.0,679000000.0,-257000000.0,-234000000.0,-23000000.0,422000000.0,-67000000.0,-39000000.0,355000000,-11000000.0,344000000,-29000000.0,312000000,290000000,290000000,1363000000.0,2459000000.0,1054000000.0,5501000000.0,2315000000.0,1312000000.0,3627000000.0,9128000000,3605000000.0,107000000.0,3712000000.0,1996000000.0,3245000000.0,6957000000,1761000000.0,110000000.0,2171000000.0,9128000000,312000000.0,119000000.0,-138000000.0,175000000.0,468000000.0,-176000000.0,5000000.0,-185000000.0,-93000000.0,-70000000.0,0.0,-286000000.0,-23000000,2011-12-30,17.988264083862305,18.139144897460934,17.67812156677246,18.055322647094727,16.499847412109375,152704.0
2012-03-31,4092000000.0,-3373000000.0,719000000.0,-249000000.0,-228000000.0,-21000000.0,470000000.0,-28000000.0,-35000000.0,442000000,-6000000.0,436000000,-77000000.0,363000000,342000000,342000000,1412000000.0,2854000000.0,1137000000.0,6016000000.0,2403000000.0,1269000000.0,3672000000.0,9688000000,3799000000.0,89000000.0,3888000000.0,1996000000.0,3155000000.0,7043000000,1765000000.0,452000000.0,2645000000.0,9688000000,363000000.0,114000000.0,19000000.0,-203000000.0,293000000.0,-260000000.0,-16000000.0,-240000000.0,0.0,-18000000.0,0.0,-23000000.0,49000000,2012-03-30,26.890193939208984,26.965633392333984,26.345348358154297,26.48784637451172,24.205907821655273,12048107.0
2012-06-30,3997000000.0,-3272000000.0,725000000.0,-249000000.0,-230000000.0,-19000000.0,476000000.0,-28000000.0,-33000000.0,448000000,-8000000.0,440000000,-98000000.0,350000000,330000000,330000000,1523000000.0,2635000000.0,1106000000.0,5850000000.0,2367000000.0,1220000000.0,3587000000.0,9437000000,3627000000.0,69000000.0,3696000000.0,1995000000.0,3078000000.0,6774000000,1745000000.0,660000000.0,2663000000.0,9437000000,350000000.0,113000000.0,-5000000.0,3000000.0,461000000.0,-140000000.0,0.0,-126000000.0,0.0,-20000000.0,-150000000.0,-170000000.0,111000000,2012-06-29,21.63453483581543,22.028499603271484,21.123218536376953,21.374685287475586,19.533246994018555,2895172.0
2012-09-30,3663000000.0,-3058000000.0,605000000.0,-235000000.0,-215000000.0,-20000000.0,370000000.0,-29000000.0,-32000000.0,341000000,-3000000.0,338000000,-52000000.0,292000000,269000000,269000000,1634000000.0,2540000000.0,1121000000.0,5897000000.0,2466000000.0,1276000000.0,3742000000.0,9639000000,3578000000.0,92000000.0,3670000000.0,1998000000.0,3099000000.0,6769000000,1724000000.0,796000000.0,2870000000.0,9639000000,292000000.0,113000000.0,4000000.0,5000000.0,414000000.0,-163000000.0,0.0,-160000000.0,0.0,17000000.0,-150000000.0,-167000000.0,111000000,2012-09-28,26.202850341796875,26.26152610778809,25.84241485595703,25.98491287231445,23.746299743652344,1754784.0
2012-12-31,3767000000.0,-3158000000.0,609000000.0,-278000000.0,-254000000.0,-24000000.0,331000000.0,-46000000.0,-36000000.0,285000000,-154000000.0,131000000,15000000.0,155000000,136000000,136000000,1105000000.0,2425000000.0,1066000000.0,5227000000.0,2860000000.0,2089000000.0,4949000000.0,10176000000,3519000000.0,140000000.0,3659000000.0,2324000000.0,3687000000.0,7346000000,1726000000.0,856000000.0,2830000000.0,10176000000,155000000.0,146000000.0,14000000.0,-5000000.0,310000000.0,-142000000.0,-980000000.0,-1105000000.0,0.0,366000000.0,-103000000.0,255000000.0,-529000000,2012-12-31,31.55909538269043,32.087173461914055,31.46689033508301,32.062026977539055,29.29986572265625,5708982.0
2013-03-31,4024000000.0,-3339000000.0,685000000.0,-256000000.0,-230000000.0,-26000000.0,429000000.0,-70000000.0,-36000000.0,359000000,-32000000.0,327000000,-37000000.0,298000000,276000000,276000000,830000000.0,2795000000.0,1148000000.0,5387000000.0,2843000000.0,2043000000.0,4886000000.0,10273000000,3571000000.0,103000000.0,3674000000.0,2375000000.0,3702000000.0,7376000000,1719000000.0,971000000.0,2897000000.0,10273000000,298000000.0,131000000.0,49000000.0,-329000000.0,149000000.0,-213000000.0,2000000.0,-205000000.0,-53000000.0,-19000000.0,-122000000.0,-216000000.0,-275000000,2013-03-28,37.31768798828125,37.31768798828125,36.89857482910156,37.217098236083984,34.145721435546875,2360470.0
2013-06-30,4240000000.0,-3464000000.0,776000000.0,-267000000.0,-241000000.0,-26000000.0,509000000.0,-31000000.0,-36000000.0,478000000,-26000000.0,452000000,-73000000.0,389000000,367000000,367000000,1001000000.0,2868000000.0,1162000000.0,5633000000.0,2875000000.0,2043000000.0,4918000000.0,10551000000,3750000000.0,59000000.0,3809000000.0,2367000000.0,3700000000.0,7509000000,1721000000.0,1177000000.0,3042000000.0,10551000000,389000000.0,132000000.0,8000000.0,-6000000.0,523000000.0,-123000000.0,0.0,-122000000.0,-53000000.0,-53000000.0,-118000000.0,-224000000.0,171000000,2013-06-28,42.74937057495117,42.958927154541016,42.47275924682617,42.48952102661133,39.12955856323242,3692096.0
2013-09-30,4017000000.0,-3338000000.0,679000000.0,-255000000.0,-228000000.0,-27000000.0,424000000.0,-30000000.0,-34000000.0,394000000,-37000000.0,357000000,-72000000.0,293000000,271000000,271000000,1053000000.0,2856000000.0,1233000000.0,5787000000.0,2982000000.0,2042000000.0,5024000000.0,10811000000,3798000000.0,59000000.0,3857000000.0,2359000000.0,3731000000.0,7588000000,1721000000.0,1287000000.0,3223000000.0,10811000000,293000000.0,138000000.0,28000000.0,-61000000.0,398000000.0,-176000000.0,-12000000.0,-168000000.0,-53000000.0,-8000000.0,-113000000.0,-192000000.0,52000000,2013-09-30,48.57501983642578,49.03604507446289,48.03855895996094,48.96898651123047,45.23202896118164,2496949.0
2013-12-31,2770000000.0,-2133000000.0,637000000.0,-235000000.0,-217000000.0,-18000000.0,402000000.0,-30000000.0,-37000000.0,372000000,-42000000.0,330000000,-58000000.0,261000000,298000000,298000000,1389000000.0,2662000000.0,1093000000.0,5752000000.0,3216000000.0,2079000000.0,5295000000.0,11047000000,3833000000.0,61000000.0,3894000000.0,2351000000.0,3719000000.0,7613000000,1702000000.0,1446000000.0,3434000000.0,11047000000,261000000.0,98000000.0,-95000000.0,322000000.0,680000000.0,-105000000.0,12000000.0,-160000000.0,-52000000.0,-5000000.0,-104000000.0,-190000000.0,336000000,2013-12-31,50.226318359375,50.46940612792969,50.00838088989258,50.40234756469727,46.69990158081055,837486.0
2014-06-30,4062000000.0,-3262000000.0,800000000.0,-284000000.0,-261000000.0,-23000000.0,516000000.0,-30000000.0,-33000000.0,486000000,-54000000.0,432000000,-56000000.0,379000000,382000000,382000000,1166000000.0,3049000000.0,1262000000.0,6082000000.0,3311000000.0,2059000000.0,5370000000.0,11452000000,3966000000.0,32000000.0,3998000000.0,2420000000.0,3770000000.0,7768000000,1698000000.0,1646000000.0,3684000000.0,11452000000,379000000.0,135000000.0,34000000.0,49000000.0,627000000.0,-145000000.0,0.0,-166000000.0,-76000000.0,3000000.0,-205000000.0,-278000000.0,188000000,2014-06-30,57.31768798828125,57.96311950683594,57.01592636108398,57.61944580078125,53.79712677001953,4777011.0
