Report Date,Revenue,Cost of Revenue,Gross Profit,Operating Expenses,"Selling, General & Administrative",Depreciation & Amortization,Operating Income (Loss),Non-Operating Income (Loss),"Interest Expense, Net","Pretax Income (Loss), Adj.",Abnormal Gains (Losses),Pretax Income (Loss),Income (Loss) from Continuing Operations,Net Extraordinary Gains (Losses),Net Income,Net Income (Common),"Cash, Cash Equivalents & Short Term Investments",Accounts & Notes Receivable,Total Current Assets,"Property, Plant & Equipment, Net",Long Term Investments & Receivables,Other Long Term Assets,Total Noncurrent Assets,Total Assets,Payables & Accruals,Short Term Debt,Total Current Liabilities,Long Term Debt,Total Noncurrent Liabilities,Total Liabilities,Share Capital & Additional Paid-In Capital,Total Equity,Total Liabilities & Equity,Net Income/Starting Line,Depreciation & Amortization.1,Non-Cash Items,Change in Working Capital,Net Cash from Operating Activities,Change in Fixed Assets & Intangibles,Net Change in Long Term Investment,Net Cash from Acquisitions & Divestitures,Net Cash from Investing Activities,Dividends Paid,Cash from (Repayment of) Debt,Cash from (Repurchase of) Equity,Net Cash from Financing Activities,Net Change in Cash,Price Date,Open,High,Low,Close,Adj Close,Volume
2010-06-30,117010000.0,-30335000.0,86675000.0,-38565000.0,-8266000.0,-30299000.0,48110000.0,-18778000.0,-18778000.0,29332000,-41496000.0,-12164000,-12164000,-60000.0,-13154000,-20393000,73254000.0,3059000.0,113973000.0,5120553000.0,77088000.0,253545000.0,5451186000.0,5565159000,323718000.0,859831000.0,2629549000.0,378580000.0,378580000.0,3008129000,2159087000.0,2557030000.0,5565159000,-12224000.0,30342000.0,44170000.0,12396000.0,74684000.0,-122919000.0,-2140000.0,-786000.0,-122187000.0,-22615000.0,86540000.0,-3351000.0,49777000.0,2274000,2010-06-30,63.81999969482422,64.68000030517578,63.06999969482422,63.36999893188477,45.30560302734375,975400.0
2010-09-30,120314000.0,-33154000.0,87160000.0,-39800000.0,-8042000.0,-31758000.0,47360000.0,-16078000.0,-16078000.0,31282000,-1300000.0,29982000,29982000,479000.0,29541000,22235000,110811000.0,4929000.0,151035000.0,5237709000.0,80941000.0,278940000.0,5597590000.0,5748625000,320387000.0,841317000.0,2465704000.0,374146000.0,374146000.0,2839850000,2504914000.0,2908775000.0,5748625000,30461000.0,32009000.0,-77000.0,-25905000.0,36488000.0,-108207000.0,-3052000.0,-749000.0,-139563000.0,-24586000.0,-179977000.0,343172000.0,140632000.0,37557000,2010-09-30,69.94999694824219,71.0,69.26000213623047,70.0,50.29656219482422,968400.0
2010-12-31,106804000.0,-28272000.0,78532000.0,-37996000.0,-8558000.0,-29438000.0,40536000.0,-17091000.0,-17091000.0,23445000,-2372000.0,21073000,21073000,70927000.0,91056000,83557000,91232000.0,5492000.0,125078000.0,5444814000.0,83899000.0,252070000.0,5780783000.0,5905861000,335371000.0,790869000.0,1126240000.0,1793293000.0,1793293000.0,2919533000,2566788000.0,2986328000.0,5905861000,92000000.0,34551000.0,-62307000.0,310000.0,64554000.0,168983000.0,-1771000.0,-717000.0,-102187000.0,-26460000.0,43376000.0,204000.0,17623000.0,-19579000,2010-12-31,73.19999694824219,73.83000183105469,73.04000091552734,73.26000213623047,52.96337890625,220100.0
2011-03-31,139920000.0,-41061000.0,98859000.0,-46079000.0,-9497000.0,-36582000.0,52780000.0,-17810000.0,-17810000.0,34970000,-2495000.0,32475000,32475000,150000.0,31696000,24365000,78196000.0,7018000.0,115727000.0,5498465000.0,88694000.0,280457000.0,5867616000.0,5983343000,314185000.0,787945000.0,2781130000.0,202521000.0,202521000.0,2983651000,2569527000.0,2999692000.0,5983343000,32625000.0,36707000.0,-3060000.0,-21804000.0,44468000.0,-74287000.0,-4019000.0,-757000.0,-86262000.0,-32012000.0,-380581000.0,796000.0,29700000.0,-13036000,2011-03-31,77.04000091552734,78.1500015258789,77.04000091552734,77.97000122070312,56.70456314086914,402100.0
2011-06-30,143321000.0,-40595000.0,102726000.0,-50937000.0,-10764000.0,-40173000.0,51789000.0,-16567000.0,-16567000.0,35222000,-1248000.0,33974000,33974000,337000.0,33373000,25986000,60925000.0,4487000.0,88844000.0,5855352000.0,88862000.0,310226000.0,6254440000.0,6343284000,334098000.0,774691000.0,2683789000.0,203638000.0,203638000.0,2887427000,3025217000.0,3455857000.0,6343284000,34311000.0,40363000.0,1955000.0,-10869000.0,65760000.0,-87475000.0,-121000.0,-1281000.0,-389521000.0,-32062000.0,-1365623000.0,451907000.0,305650000.0,-17271000,2011-06-30,77.5,78.25,77.33999633789062,77.41999816894531,56.6368293762207,400300.0
2011-09-30,138054000.0,-40859000.0,97195000.0,-49036000.0,-10289000.0,-38747000.0,48159000.0,-14273000.0,-14273000.0,33886000,-2742000.0,31144000,31144000,1851000.0,32029000,24662000,73056000.0,6599000.0,107584000.0,5925292000.0,88777000.0,333903000.0,6347972000.0,6455556000,365331000.0,760882000.0,1126213000.0,1898484000.0,1898484000.0,3024697000,3026058000.0,3430859000.0,6455556000,32995000.0,39990000.0,1720000.0,-4961000.0,69744000.0,-114587000.0,-1027000.0,-1218000.0,-119719000.0,-34981000.0,-179733000.0,1000.0,61979000.0,12131000,2011-09-30,61.9900016784668,63.13000106811523,61.31999969482422,61.38999938964844,45.25358581542969,632800.0
2011-12-31,115485000.0,-35119000.0,80366000.0,-45966000.0,-10562000.0,-35404000.0,34400000.0,-14723000.0,-14723000.0,19677000,0.0,19677000,19677000,15785000.0,34320000,26960000,78539000.0,7480000.0,109351000.0,6008440000.0,95777000.0,360561000.0,6464778000.0,6574129000,361972000.0,724305000.0,1086277000.0,2054959000.0,2054959000.0,3141236000,3029174000.0,3432893000.0,6574129000,35462000.0,40966000.0,-4902000.0,-4538000.0,66988000.0,-133611000.0,-5983000.0,-2000000.0,-138077000.0,-36191000.0,2109649000.0,952000.0,81827000.0,5483000,2011-12-30,69.31999969482422,69.86000061035156,68.76000213623047,68.97000122070311,51.20024108886719,335600.0
2012-03-31,135711000.0,-40453000.0,95258000.0,-52143000.0,-10357000.0,-41786000.0,43115000.0,-16226000.0,-16226000.0,26889000,-623000.0,26266000,26266000,6509000.0,32064000,18368000,77361000.0,8836000.0,126000000.0,6113252000.0,98152000.0,380687000.0,6592091000.0,6718091000,359964000.0,721715000.0,1081679000.0,2067772000.0,2197410000.0,3279089000,3022858000.0,3439002000.0,6718091000,32775000.0,43405000.0,-3834000.0,-22661000.0,49685000.0,-120585000.0,-653000.0,18336000.0,-124248000.0,-37475000.0,5160000.0,112000.0,71351000.0,-1178000,2012-03-30,72.73999786376953,73.27999877929688,72.48999786376953,73.12999725341797,54.65652847290039,398900.0
2012-06-30,145593000.0,-42102000.0,103491000.0,-63039000.0,-12298000.0,-50741000.0,40452000.0,-17922000.0,-17922000.0,22530000,-1602000.0,20928000,20928000,4713000.0,24790000,17616000,80937000.0,6143000.0,128977000.0,6208354000.0,104454000.0,399954000.0,6712762000.0,6841739000,386394000.0,719977000.0,1106371000.0,2278783000.0,2278783000.0,3385154000,3053891000.0,3456585000.0,6841739000,25641000.0,52355000.0,-247000.0,16093000.0,93842000.0,-136990000.0,1868000.0,-1004000.0,-168483000.0,-37494000.0,209163000.0,37428000.0,77217000.0,3576000,2012-06-29,72.0,72.75,71.62999725341797,72.72000122070312,54.75175857543945,317900.0
2012-09-30,142850000.0,-44203000.0,98647000.0,-59054000.0,-12470000.0,-46584000.0,39593000.0,-17092000.0,-17092000.0,22501000,0.0,22501000,22501000,-4196000.0,17477000,10646000,94904000.0,10124000.0,149891000.0,6300027000.0,107808000.0,407291000.0,6815126000.0,6965017000,416253000.0,719350000.0,1135603000.0,2312794000.0,2312794000.0,3448397000,3095619000.0,3516620000.0,6965017000,18305000.0,48173000.0,9712000.0,7773000.0,83963000.0,-112312000.0,-3307000.0,-124000.0,-115664000.0,-39122000.0,38158000.0,61058000.0,47636000.0,13967000,2012-09-28,73.06999969482422,73.94000244140625,72.87999725341797,73.5199966430664,55.75448608398438,424900.0
