Report Date,Revenue,Cost of Revenue,Gross Profit,Operating Expenses,"Selling, General & Administrative",Depreciation & Amortization,Operating Income (Loss),Non-Operating Income (Loss),"Pretax Income (Loss), Adj.",Pretax Income (Loss),"Income Tax (Expense) Benefit, Net",Income (Loss) from Continuing Operations,Net Income,Net Income (Common),"Cash, Cash Equivalents & Short Term Investments",Accounts & Notes Receivable,Total Current Assets,"Property, Plant & Equipment, Net",Other Long Term Assets,Total Noncurrent Assets,Total Assets,Payables & Accruals,Total Current Liabilities,Total Noncurrent Liabilities,Total Liabilities,Share Capital & Additional Paid-In Capital,Treasury Stock,Retained Earnings,Total Equity,Total Liabilities & Equity,Net Income/Starting Line,Depreciation & Amortization.1,Non-Cash Items,Change in Working Capital,Net Cash from Operating Activities,Change in Fixed Assets & Intangibles,Net Change in Long Term Investment,Net Cash from Investing Activities,Dividends Paid,Cash from (Repurchase of) Equity,Net Cash from Financing Activities,Net Change in Cash,Price Date,Open,High,Low,Close,Adj Close,Volume
2011-06-30,120290000.0,-10373000.0,109917000.0,-53465000.0,-26872000.0,-8996000.0,56452000.0,-162000.0,56290000,56290000,-22889000.0,33401000,33401000,32609000,106545000.0,45801000.0,177550000.0,81489000.0,48227000.0,141872000.0,319422000,32615000.0,60921000.0,31207000.0,92128000,50391000.0,-3075000.0,180903000.0,227294000.0,319422000,33401000.0,8996000.0,2628000.0,-30685000.0,14340000.0,-11200000.0,0.0,-11181000.0,-9228000.0,0.0,-12303000.0,-9144000,2011-06-30,24.35000038146973,25.0,24.21999931335449,24.60000038146973,21.938920974731445,531800.0
2011-09-30,143604000.0,-13956000.0,129648000.0,-54682000.0,-28361000.0,-8897000.0,74966000.0,-401000.0,74565000,74565000,-33238000.0,41327000,41327000,40597000,147220000.0,46013000.0,207319000.0,77586000.0,47773000.0,137324000.0,344643000,46344000.0,65146000.0,33796000.0,98942000,53367000.0,-17962000.0,211210000.0,245701000.0,344643000,41327000.0,8896000.0,1525000.0,19985000.0,71733000.0,-5151000.0,0.0,-5151000.0,-11020000.0,-14887000.0,-25907000.0,40675000,2011-09-30,25.209999084472656,25.209999084472656,23.6200008392334,24.46999931335449,21.92840385437012,1737900.0
2011-12-31,120208000.0,-12347000.0,107861000.0,-55182000.0,-31612000.0,-7505000.0,52679000.0,-342000.0,52337000,52337000,-20530000.0,31807000,31807000,31287000,134936000.0,37578000.0,189682000.0,76798000.0,47083000.0,138186000.0,327868000,46071000.0,52287000.0,39311000.0,91598000,56377000.0,-51329000.0,232121000.0,236270000.0,327868000,31807000.0,7506000.0,5091000.0,-5572000.0,38832000.0,-5658000.0,0.0,-6853000.0,-10896000.0,-32103000.0,-44263000.0,-12284000,2011-12-30,25.809999465942386,26.0,25.11000061035156,25.86000061035156,23.280048370361328,527900.0
2012-03-31,121392000.0,-11191000.0,110201000.0,-52786000.0,-27457000.0,-8320000.0,57415000.0,-453000.0,56962000,56962000,-23545000.0,33417000,33417000,32863000,148629000.0,48438000.0,214874000.0,76627000.0,47718000.0,138567000.0,353441000,52150000.0,82639000.0,39600000.0,122239000,59314000.0,-81971000.0,254793000.0,231200000.0,353439000,33417000.0,8320000.0,2285000.0,19561000.0,63583000.0,-7869000.0,-394000.0,-8503000.0,-10745000.0,-30641000.0,-41387000.0,13693000,2012-03-30,28.649999618530273,28.649999618530273,28.31999969482422,28.420000076293945,25.69516181945801,603000.0
2012-06-30,132549000.0,-12001000.0,120548000.0,-54479000.0,-28603000.0,-8320000.0,66069000.0,-411000.0,65658000,65658000,-27162000.0,38496000,38496000,37903000,127137000.0,48429000.0,201947000.0,79256000.0,48391000.0,141859000.0,343806000,38375000.0,63908000.0,39991000.0,103899000,62343000.0,-104200000.0,282686000.0,239907000.0,343806000,38496000.0,8320000.0,2978000.0,-26643000.0,23151000.0,-11623000.0,-428000.0,-11811000.0,-10603000.0,-19103000.0,-32832000.0,-21492000,2012-06-29,27.809999465942386,27.8700008392334,27.520000457763672,27.68000030517578,25.14383888244629,415300.0
2012-09-30,128319000.0,-11304000.0,117015000.0,-56154000.0,-29714000.0,-8634000.0,60861000.0,-327000.0,60534000,60534000,-14776000.0,45758000,45758000,45243000,160281000.0,45379000.0,238448000.0,77527000.0,47294000.0,139078000.0,377526000,38307000.0,56089000.0,45916000.0,102005000,65425000.0,-104200000.0,315203000.0,275521000.0,377526000,45758000.0,8634000.0,5520000.0,-5778000.0,54134000.0,-7337000.0,-412000.0,-7749000.0,-13241000.0,0.0,-13241000.0,33144000,2012-09-28,29.63999938964844,29.63999938964844,29.290000915527344,29.399999618530273,26.8455810546875,486000.0
2012-12-31,130078000.0,-11639000.0,118439000.0,-58687000.0,-28428000.0,-6211000.0,59752000.0,-355000.0,59397000,59397000,-19673000.0,39724000,39724000,39245000,135597000.0,45666000.0,202909000.0,74044000.0,47635000.0,135949000.0,338858000,45148000.0,52150000.0,47586000.0,99736000,68725000.0,-104201000.0,275491000.0,239122000.0,338858000,39724000.0,6211000.0,2854000.0,10878000.0,59667000.0,-3237000.0,1234000.0,-4914000.0,-13239000.0,0.0,-79437000.0,-24684000,2012-12-31,29.399999618530273,29.489999771118164,29.290000915527344,29.459999084472656,27.037708282470703,618600.0
2013-03-31,142705000.0,-13169000.0,129536000.0,-60106000.0,-32901000.0,-8282000.0,69430000.0,-721000.0,68709000,68709000,-26336000.0,42373000,42373000,41789000,210486000.0,51136000.0,275424000.0,72277000.0,47703000.0,134201000.0,409625000,55040000.0,85752000.0,49147000.0,134899000,75464000.0,-104204000.0,304567000.0,274726000.0,409625000,42373000.0,8282000.0,6979000.0,37663000.0,95297000.0,-6440000.0,-676000.0,-7108000.0,-13297000.0,0.0,-13300000.0,74889000,2013-03-28,36.560001373291016,36.9900016784668,36.41999816894531,36.93999862670898,34.04587936401367,303200.0
2013-06-30,150772000.0,-14518000.0,136254000.0,-60896000.0,-33831000.0,-8622000.0,75358000.0,-473000.0,74885000,74885000,-28724000.0,46161000,46161000,45477000,207766000.0,55733000.0,296676000.0,71281000.0,47731000.0,133186000.0,429862000,44112000.0,70271000.0,49685000.0,119956000,83880000.0,-110310000.0,337420000.0,309906000.0,429862000,46160000.0,8622000.0,5739000.0,-38958000.0,21563000.0,-6632000.0,-444000.0,-7076000.0,-13307000.0,0.0,-17207000.0,-2720000,2013-06-28,47.13000106811523,47.13000106811523,46.34000015258789,46.63999938964844,43.14482879638672,1304800.0
2013-09-30,136743000.0,-13844000.0,122899000.0,-54472000.0,-29845000.0,-8476000.0,68427000.0,-517000.0,67910000,67910000,-26554000.0,41356000,41356000,40955000,226378000.0,50131000.0,308929000.0,69251000.0,48936000.0,132221000.0,441150000,46985000.0,65397000.0,50354000.0,115751000,87948000.0,-124314000.0,362831000.0,325399000.0,441150000,41356000.0,8476000.0,1585000.0,4087000.0,55504000.0,-6695000.0,-398000.0,-7093000.0,-15945000.0,-13977000.0,-29799000.0,18612000,2013-09-30,44.91999816894531,45.43000030517578,44.900001525878906,45.22999954223633,41.840492248535156,455700.0
