Report Date,Revenue,Cost of Revenue,Gross Profit,Operating Expenses,"Selling, General & Administrative",Depreciation & Amortization,Operating Income (Loss),Non-Operating Income (Loss),"Interest Expense, Net","Pretax Income (Loss), Adj.",Abnormal Gains (Losses),Pretax Income (Loss),"Income Tax (Expense) Benefit, Net",Income (Loss) from Continuing Operations,Net Income,Net Income (Common),"Cash, Cash Equivalents & Short Term Investments",Accounts & Notes Receivable,Inventories,Total Current Assets,"Property, Plant & Equipment, Net",Other Long Term Assets,Total Noncurrent Assets,Total Assets,Payables & Accruals,Short Term Debt,Total Current Liabilities,Long Term Debt,Total Noncurrent Liabilities,Total Liabilities,Share Capital & Additional Paid-In Capital,Retained Earnings,Total Equity,Total Liabilities & Equity,Net Income/Starting Line,Depreciation & Amortization.1,Non-Cash Items,Change in Working Capital,Net Cash from Operating Activities,Change in Fixed Assets & Intangibles,Net Cash from Acquisitions & Divestitures,Net Cash from Investing Activities,Dividends Paid,Cash from (Repayment of) Debt,Net Cash from Financing Activities,Net Change in Cash,Price Date,Open,High,Low,Close,Adj Close,Volume
2009-06-30,1640000000.0,-710000000.0,930000000.0,-677000000.0,-398000000.0,-188000000.0,253000000.0,-133000000.0,-129000000.0,120000000,9000000.0,129000000,-43000000.0,86000000,86000000,86000000,390000000.0,689000000.0,231000000.0,1928000000.0,10524000000.0,6265000000.0,16789000000.0,18717000000,472000000.0,419000000.0,2094000000.0,7357000000.0,14386000000.0,16480000000,3350000000.0,-988000000.0,2237000000.0,18717000000,86000000.0,188000000.0,44000000.0,305000000.0,623000000.0,-244000000.0,-1000000.0,-243000000.0,-67000000.0,-385000000.0,-294000000.0,86000000,2009-06-30,11.270000457763672,11.399999618530273,10.960000038146973,11.079999923706056,6.622455596923827,4148300.0
2009-09-30,1576000000.0,-582000000.0,994000000.0,-707000000.0,-415000000.0,-208000000.0,287000000.0,-152000000.0,-126000000.0,135000000,17000000.0,152000000,-38000000.0,114000000,114000000,114000000,347000000.0,609000000.0,373000000.0,1995000000.0,10548000000.0,6110000000.0,16658000000.0,18653000000,489000000.0,600000000.0,2312000000.0,6667000000.0,13753000000.0,16065000000,3654000000.0,-944000000.0,2588000000.0,18653000000,114000000.0,208000000.0,172000000.0,-113000000.0,381000000.0,-305000000.0,-112000000.0,-78000000.0,-69000000.0,-624000000.0,-393000000.0,-90000000,2009-09-30,12.59000015258789,12.640000343322756,12.350000381469727,12.43000030517578,7.543828010559082,6102900.0
2010-03-31,3023000000.0,-1935000000.0,1088000000.0,-731000000.0,-414000000.0,-200000000.0,357000000.0,-152000000.0,-122000000.0,205000000,11000000.0,216000000,-102000000.0,114000000,114000000,114000000,667000000.0,933000000.0,166000000.0,2384000000.0,10928000000.0,6039000000.0,16967000000.0,19351000000,748000000.0,1174000000.0,3202000000.0,5745000000.0,13440000000.0,16642000000,3705000000.0,-875000000.0,2709000000.0,19351000000,114000000.0,200000000.0,-31000000.0,152000000.0,435000000.0,-258000000.0,-20000000.0,-303000000.0,-77000000.0,-494000000.0,-543000000.0,-411000000,2010-03-31,14.369999885559082,14.5,14.3100004196167,14.359999656677244,8.972772598266602,3647700.0
2010-06-30,1756000000.0,-778000000.0,978000000.0,-715000000.0,-410000000.0,-217000000.0,263000000.0,-147000000.0,-121000000.0,116000000,10000000.0,126000000,-45000000.0,81000000,81000000,81000000,899000000.0,716000000.0,303000000.0,2352000000.0,11217000000.0,5952000000.0,17169000000.0,19521000000,548000000.0,1199000000.0,3032000000.0,5745000000.0,13428000000.0,16460000000,4051000000.0,-871000000.0,3061000000.0,19521000000,81000000.0,217000000.0,1000000.0,84000000.0,383000000.0,-469000000.0,-2000000.0,-416000000.0,-77000000.0,23000000.0,287000000.0,254000000,2010-06-30,13.260000228881836,13.4399995803833,13.109999656677244,13.15999984741211,8.337617874145508,5145800.0
2010-09-30,1908000000.0,-808000000.0,1100000000.0,-773000000.0,-444000000.0,-243000000.0,327000000.0,-142000000.0,-121000000.0,185000000,14000000.0,199000000,-76000000.0,123000000,123000000,123000000,434000000.0,691000000.0,404000000.0,2143000000.0,11420000000.0,5836000000.0,17256000000.0,19399000000,526000000.0,1051000000.0,2881000000.0,5745000000.0,13389000000.0,16270000000,4075000000.0,-830000000.0,3129000000.0,19399000000,123000000.0,243000000.0,151000000.0,-352000000.0,165000000.0,-326000000.0,1000000.0,-295000000.0,-82000000.0,-294000000.0,-354000000.0,-484000000,2010-09-30,15.850000381469727,15.979999542236328,15.699999809265135,15.720000267028807,10.093047142028807,5474700.0
2011-03-31,2587000000.0,-1476000000.0,1111000000.0,-747000000.0,-439000000.0,-201000000.0,364000000.0,-138000000.0,-116000000.0,226000000,9000000.0,235000000,-87000000.0,148000000,148000000,148000000,494000000.0,852000000.0,194000000.0,2014000000.0,11857000000.0,5723000000.0,17580000000.0,19594000000,589000000.0,421000000.0,2201000000.0,6361000000.0,14127000000.0,16328000000,4106000000.0,-725000000.0,3266000000.0,19594000000,148000000.0,201000000.0,76000000.0,202000000.0,627000000.0,-333000000.0,-3000000.0,-308000000.0,-84000000.0,-274000000.0,-423000000.0,-104000000,2011-03-31,17.65999984741211,17.75,17.559999465942386,17.559999465942386,11.549769401550293,2981900.0
2011-06-30,1837000000.0,-778000000.0,1059000000.0,-756000000.0,-446000000.0,-223000000.0,303000000.0,-131000000.0,-111000000.0,172000000,18000000.0,190000000,-71000000.0,119000000,119000000,119000000,607000000.0,750000000.0,309000000.0,2042000000.0,11981000000.0,5654000000.0,17635000000.0,19677000000,533000000.0,577000000.0,2361000000.0,6139000000.0,14003000000.0,16364000000,4115000000.0,-690000000.0,3313000000.0,19677000000,119000000.0,223000000.0,128000000.0,40000000.0,510000000.0,-300000000.0,-4000000.0,-264000000.0,-84000000.0,-69000000.0,-151000000.0,95000000,2011-06-30,19.399999618530273,19.51000022888184,19.239999771118164,19.350000381469727,12.860357284545898,4932700.0
2011-09-30,1881000000.0,-735000000.0,1146000000.0,-789000000.0,-448000000.0,-253000000.0,357000000.0,-127000000.0,-114000000.0,230000000,360000000.0,590000000,-204000000.0,386000000,973000000,973000000,440000000.0,722000000.0,418000000.0,1982000000.0,12158000000.0,6811000000.0,18969000000.0,20951000000,601000000.0,567000000.0,2319000000.0,6282000000.0,14425000000.0,16744000000,4118000000.0,199000000.0,4207000000.0,20951000000,973000000.0,253000000.0,-799000000.0,-115000000.0,312000000.0,-327000000.0,-2000000.0,-276000000.0,-84000000.0,-26000000.0,-123000000.0,-87000000,2011-09-30,19.780000686645508,20.100000381469727,19.6200008392334,19.6200008392334,13.176183700561525,5593700.0
2012-03-31,2084000000.0,-969000000.0,1115000000.0,-777000000.0,-455000000.0,-224000000.0,338000000.0,-132000000.0,-110000000.0,206000000,13000000.0,219000000,-72000000.0,147000000,147000000,147000000,1528000000.0,713000000.0,255000000.0,2968000000.0,12512000000.0,6871000000.0,19383000000.0,22351000000,530000000.0,1018000000.0,2735000000.0,5319000000.0,15330000000.0,18065000000,4126000000.0,291000000.0,4286000000.0,22351000000,147000000.0,224000000.0,69000000.0,-16000000.0,424000000.0,-264000000.0,-4000000.0,-292000000.0,-87000000.0,831000000.0,744000000.0,876000000,2012-03-30,19.450000762939453,19.739999771118164,19.38999938964844,19.71999931335449,13.522659301757812,4899800.0
2012-06-30,1525000000.0,-409000000.0,1116000000.0,-814000000.0,-451000000.0,-275000000.0,302000000.0,-124000000.0,-104000000.0,178000000,22000000.0,200000000,-74000000.0,126000000,126000000,126000000,1568000000.0,643000000.0,269000000.0,2955000000.0,12739000000.0,6781000000.0,19520000000.0,22475000000,463000000.0,1418000000.0,3206000000.0,4955000000.0,14937000000.0,18143000000,4129000000.0,331000000.0,4332000000.0,22475000000,126000000.0,275000000.0,6000000.0,96000000.0,503000000.0,-260000000.0,-89000000.0,-365000000.0,-86000000.0,-25000000.0,-111000000.0,27000000,2012-06-29,20.86000061035156,21.0,20.549999237060547,20.670000076293945,14.317709922790527,3668000.0
