Report Date,Revenue,Cost of Revenue,Gross Profit,Operating Expenses,"Selling, General & Administrative",Depreciation & Amortization,Operating Income (Loss),Non-Operating Income (Loss),"Interest Expense, Net","Pretax Income (Loss), Adj.",Abnormal Gains (Losses),Pretax Income (Loss),"Income Tax (Expense) Benefit, Net",Income (Loss) from Continuing Operations,Net Income,Net Income (Common),"Cash, Cash Equivalents & Short Term Investments",Accounts & Notes Receivable,Inventories,Total Current Assets,"Property, Plant & Equipment, Net",Other Long Term Assets,Total Noncurrent Assets,Total Assets,Payables & Accruals,Short Term Debt,Total Current Liabilities,Long Term Debt,Total Noncurrent Liabilities,Total Liabilities,Total Equity,Total Liabilities & Equity,Net Cash from Operating Activities,Change in Fixed Assets & Intangibles,Net Change in Long Term Investment,Net Cash from Investing Activities,Cash from (Repayment of) Debt,Net Cash from Financing Activities,Net Change in Cash
2011-09-30,2189700000.0,-1171100000.0,1018600000.0,-796800000.0,-544300000.0,-216000000.0,221800000.0,-443200000.0,-450300000.0,-221400000,-40900000.0,-262300000,77700000.0,-184600000,-164000000,-164000000,1150700000.0,414200000.0,49000000.0,2027700000.0,17362500000.0,9475900000.0,26838400000.0,28866100000,1746400000.0,45500000.0,1791900000.0,19575100000.0,25832300000.0,27624200000,1241900000.0,28866100000,186100000.0,-94600000.0,-9800000.0,-83800000.0,-10900000.0,-4500000.0,110200000
2011-12-31,2036200000.0,-1082300000.0,953900000.0,-772500000.0,-515200000.0,-192600000.0,181400000.0,-668500000.0,-673400000.0,-487100000,-20100000.0,-507200000,270800000.0,-236400000,-258000000,-258000000,891200000.0,488400000.0,44600000.0,1837200000.0,16485600000.0,10192800000.0,26678400000.0,28515600000,1548900000.0,40400000.0,1602800000.0,19759500000.0,25859400000.0,27462200000,1053400000.0,28515600000,-205200000.0,-110900000.0,-3300000.0,-174200000.0,143100000.0,127300000.0,-246100000
2012-03-31,2206100000.0,-1161700000.0,1044400000.0,-785700000.0,-510800000.0,-222700000.0,258700000.0,-560900000.0,-562000000.0,-302200000,-144500000.0,-446700000,158300000.0,-288400000,-280600000,-280600000,1134900000.0,483600000.0,44500000.0,2103000000.0,17001800000.0,9304900000.0,26306700000.0,28409700000,1688500000.0,100500000.0,1789000000.0,19791300000.0,25771500000.0,27560500000,849200000.0,28409700000,143300000.0,-82700000.0,-4700000.0,-14800000.0,87500000.0,85700000.0,230100000
2012-06-30,2163700000.0,-1148500000.0,1015200000.0,-780900000.0,-520900000.0,-218700000.0,234300000.0,-493200000.0,-496500000.0,-258900000,-8300000.0,-267200000,105900000.0,-161300000,-241700000,-241700000,985100000.0,492800000.0,50400000.0,1969000000.0,16676100000.0,9393100000.0,26069200000.0,28038200000,1621400000.0,42800000.0,1673800000.0,19900800000.0,25757200000.0,27431000000,607200000.0,28038200000,-71800000.0,-109300000.0,-1300000.0,-85400000.0,8000000.0,6800000.0,-141000000
2012-09-30,2195800000.0,-1146300000.0,1049500000.0,-815000000.0,-519000000.0,-222000000.0,234500000.0,-509600000.0,-515800000.0,-275100000,-452800000.0,-727900000,225300000.0,-502600000,-505500000,-505500000,1189400000.0,495800000.0,49500000.0,2879800000.0,16588600000.0,8874500000.0,25463100000.0,28342900000,1819800000.0,797300000.0,2625300000.0,19961200000.0,25602900000.0,28228200000,114700000.0,28342900000,185900000.0,-111400000.0,-3000000.0,-742200000.0,755600000.0,757500000.0,202300000
2012-12-31,1620400000.0,-834500000.0,785900000.0,-632400000.0,-357300000.0,-180600000.0,153500000.0,-374300000.0,-525700000.0,-220800000,-141400000.0,-362200000,211500000.0,-150700000,-480200000,-480200000,1757500000.0,580500000.0,52000000.0,3493600000.0,15701700000.0,8802800000.0,24504500000.0,27998100000,1708400000.0,879900000.0,2588300000.0,20532200000.0,25741400000.0,28329700000,-331600000.0,27998100000,-224400000.0,-203600000.0,2000000.0,-382600000.0,649900000.0,623000000.0,566600000
2013-03-31,2141100000.0,-1071500000.0,1069600000.0,-819300000.0,-520500000.0,-203000000.0,250300000.0,-573600000.0,-574700000.0,-323300000,-141600000.0,-464900000,290200000.0,-174700000,-217600000,-217600000,2095400000.0,543900000.0,49700000.0,3131100000.0,15676200000.0,8667700000.0,24343900000.0,27475000000,1757500000.0,143000000.0,1904000000.0,21134100000.0,26131000000.0,28035000000,-560000000.0,27475000000,-47300000.0,-148100000.0,-700000.0,657800000.0,-200300000.0,-273600000.0,337900000
2013-06-30,2121300000.0,-1045000000.0,1076300000.0,-799800000.0,-509800000.0,-178200000.0,276500000.0,-549000000.0,-540000000.0,-272500000,-44900000.0,-317400000,113200000.0,-204200000,-212200000,-212200000,1810700000.0,486200000.0,46300000.0,2765600000.0,15461900000.0,8617300000.0,24079200000.0,26844800000,1769700000.0,158500000.0,1931800000.0,20912800000.0,25651100000.0,27582900000,-738100000.0,26844800000,-7400000.0,-172200000.0,15100000.0,-84300000.0,-234400000.0,-190000000.0,-284700000
2013-09-30,2087400000.0,-997700000.0,1089700000.0,-787400000.0,-511300000.0,-166400000.0,302300000.0,-566400000.0,-562900000.0,-264100000,-809300000.0,-1073400000,374200000.0,-699200000,-761400000,-761400000,1707900000.0,506900000.0,43300000.0,2724200000.0,14916400000.0,8455800000.0,23372200000.0,26096400000,1930400000.0,166400000.0,2097500000.0,21173800000.0,25495700000.0,27593200000,-1496800000.0,26096400000,43700000.0,-146400000.0,14700000.0,-348400000.0,142100000.0,133500000.0,-102600000
2013-12-31,1870200000.0,-932800000.0,937400000.0,-961500000.0,-401400000.0,-153400000.0,-24100000.0,-535000000.0,-574400000.0,-559100000,-1835200000.0,-2394300000,739400000.0,-1654900000,-1756800000,-1756800000,2771000000.0,620000000.0,45000000.0,3770000000.0,13238000000.0,7681000000.0,20919000000.0,24689000000,2045000000.0,197000000.0,2531000000.0,20918000000.0,24062000000.0,26593000000,-1904000000.0,24689000000,-88000000.0,-259300000.0,18900000.0,-160100000.0,-273400000.0,981100000.0,1058400000
