Report Date,Revenue,Cost of Revenue,Gross Profit,Operating Expenses,"Selling, General & Administrative",Operating Income (Loss),Non-Operating Income (Loss),"Interest Expense, Net","Pretax Income (Loss), Adj.",Pretax Income (Loss),"Income Tax (Expense) Benefit, Net",Income (Loss) from Continuing Operations,Net Income,Net Income (Common),"Cash, Cash Equivalents & Short Term Investments",Inventories,Total Current Assets,"Property, Plant & Equipment, Net",Other Long Term Assets,Total Noncurrent Assets,Total Assets,Payables & Accruals,Short Term Debt,Total Current Liabilities,Long Term Debt,Total Noncurrent Liabilities,Total Liabilities,Share Capital & Additional Paid-In Capital,Retained Earnings,Total Equity,Total Liabilities & Equity,Net Income/Starting Line,Depreciation & Amortization.1,Non-Cash Items,Change in Working Capital,Change in Inventories,Change in Accounts Payable,Change in Other,Net Cash from Operating Activities,Change in Fixed Assets & Intangibles,Net Cash from Investing Activities,Cash from (Repayment of) Debt,Cash from (Repurchase of) Equity,Net Cash from Financing Activities,Net Change in Cash,Price Date,Open,High,Low,Close,Adj Close,Volume
2011-01-31,3486104000.0,-2355951000.0,1130153000.0,-721902000.0,-721902000.0,408251000.0,-65655000.0,-65409000.0,342596000,342596000,-120050000.0,222546000,222546000,222546000,497446000.0,1765433000.0,2367825000.0,1524575000.0,5653822000.0,7178397000.0,9546222000,1327362000.0,1157000.0,1365373000.0,3287070000.0,4126370000.0,5491743000,3243843000.0,830932000.0,4054479000.0,9546222000,222546000.0,65188000.0,21838000.0,111316000.0,115094000.0,-23509000.0,19731000.0,420888000.0,-160572000.0,-160572000.0,-526000.0,5350000.0,-776000.0,259540000,2011-01-31,28.35000038146973,28.420000076293945,27.729999542236328,27.809999465942386,25.935283660888672,1477000.0
2012-01-31,4185073000.0,-2838704000.0,1346369000.0,-838129000.0,-838129000.0,508240000.0,-40120000.0,-40069000.0,468120000,468120000,-175610000.0,292510000,292510000,292510000,126126000.0,2009206000.0,2275074000.0,1794960000.0,5618486000.0,7413446000.0,9688520000,1505590000.0,590000.0,1509902000.0,2617891000.0,3504036000.0,5013938000,3262855000.0,1416918000.0,4674582000.0,9688520000,292510000.0,70637000.0,-3931000.0,86765000.0,59440000.0,-59894000.0,87219000.0,445981000.0,-151465000.0,-151465000.0,-103343000.0,-186597000.0,-286970000.0,7546000,2012-01-31,42.43000030517578,42.650001525878906,42.349998474121094,42.61000061035156,39.73758316040039,1342500.0
2012-04-30,3901205000.0,-2672949000.0,1228256000.0,-843932000.0,-843932000.0,384324000.0,-38745000.0,-37074000.0,345579000,345579000,-132164000.0,213415000,213415000,213415000,132530000.0,2000864000.0,2273735000.0,1878172000.0,5618301000.0,7496473000.0,9770208000,1396628000.0,459000.0,1411253000.0,2880920000.0,3767523000.0,5178776000,3257796000.0,1336298000.0,4591432000.0,9770208000,213415000.0,72271000.0,-10492000.0,-82555000.0,6499000.0,-82227000.0,-6827000.0,192639000.0,-145738000.0,-145738000.0,262898000.0,-300000000.0,-40497000.0,6404000,2012-04-30,48.68999862670898,48.7400016784668,47.4000015258789,47.459999084472656,44.260643005371094,2027200.0
2012-07-31,3948655000.0,-2685432000.0,1263223000.0,-876009000.0,-876009000.0,387214000.0,-62223000.0,-35666000.0,324991000,324991000,-110851000.0,214140000,214140000,214140000,134157000.0,2147837000.0,2514444000.0,1972205000.0,5616825000.0,7589030000.0,10103474000,1510793000.0,344000.0,1526683000.0,2887251000.0,3766381000.0,5293064000,3265143000.0,1550438000.0,4810410000.0,10103474000,214140000.0,73989000.0,-5411000.0,-101865000.0,-146497000.0,150742000.0,-106110000.0,180853000.0,-157824000.0,-157824000.0,-20544000.0,0.0,-21402000.0,1627000,2012-07-31,51.0,51.2599983215332,50.31999969482422,51.0099983215332,47.57131576538086,2716100.0
2012-10-31,3964647000.0,-2738524000.0,1226123000.0,-864734000.0,-864734000.0,361389000.0,-29454000.0,-27726000.0,331935000,331935000,-124250000.0,207685000,207685000,207685000,142580000.0,2330436000.0,2618192000.0,2047434000.0,5608051000.0,7655485000.0,10273677000,1593163000.0,891000.0,1633839000.0,3023367000.0,3904976000.0,5538815000,3270936000.0,1468534000.0,4734862000.0,10273677000,207685000.0,76138000.0,10314000.0,23257000.0,-186078000.0,62218000.0,147117000.0,317394000.0,-148920000.0,-148920000.0,133220000.0,-296442000.0,-160051000.0,8423000,2012-10-31,48.4000015258789,49.0,47.91999816894531,48.61999893188477,45.34244155883789,4080400.0
2013-01-31,4207621000.0,-2839822000.0,1367799000.0,-845450000.0,-845450000.0,522349000.0,-27460000.0,-27460000.0,494889000,494889000,-177467000.0,317422000,317422000,317422000,140809000.0,2397175000.0,2677113000.0,2088665000.0,5601904000.0,7690569000.0,10367682000,1714432000.0,892000.0,1738547000.0,2771336000.0,3643805000.0,5382352000,3277536000.0,1710732000.0,4985330000.0,10367682000,317422000.0,80513000.0,-25710000.0,68241000.0,-65333000.0,63302000.0,70272000.0,440466000.0,-117354000.0,-117354000.0,-252029000.0,-75017000.0,-324883000.0,-1771000,2013-01-31,46.63000106811523,46.83000183105469,46.18999862670898,46.22000122070313,43.1042366027832,3008800.0
2013-04-30,4233733000.0,-2938585000.0,1295148000.0,-900148000.0,-900148000.0,395000000.0,-43387000.0,-24516000.0,351613000,351613000,-131530000.0,220083000,220083000,220083000,155526000.0,2414411000.0,2724476000.0,2177264000.0,5591957000.0,7769221000.0,10493697000,1567973000.0,909000.0,1600402000.0,2835303000.0,3714396000.0,5314798000,3279445000.0,1911160000.0,5178899000.0,10493697000,220083000.0,80493000.0,10695000.0,-164045000.0,-16411000.0,-138227000.0,-9407000.0,147226000.0,-149577000.0,-149577000.0,63961000.0,-20000000.0,17068000.0,14717000,2013-04-30,52.2400016784668,52.31000137329102,51.70000076293945,52.09000015258789,48.57852172851562,1553400.0
2013-07-31,4394651000.0,-3017361000.0,1377290000.0,-964468000.0,-964468000.0,412822000.0,-20631000.0,-20631000.0,392191000,392191000,-146716000.0,245475000,245475000,245475000,169220000.0,2533766000.0,2864743000.0,2244651000.0,5590236000.0,7834887000.0,10699630000,1685690000.0,25927000.0,1740190000.0,2845138000.0,3727964000.0,5468154000,3281905000.0,1960068000.0,5231476000.0,10699630000,245475000.0,82744000.0,289000.0,8381000.0,-117003000.0,127372000.0,-1988000.0,336889000.0,-158691000.0,-158691000.0,34780000.0,-199981000.0,-164504000.0,13694000,2013-07-31,54.20000076293945,54.84000015258789,54.16999816894531,54.66999816894531,50.9846076965332,2868800.0
2013-10-31,4381838000.0,-3053345000.0,1328493000.0,-938252000.0,-938252000.0,390241000.0,-21524000.0,-21524000.0,368717000,368717000,-131332000.0,237385000,237385000,237385000,165717000.0,2591552000.0,2904302000.0,2287410000.0,5584262000.0,7871672000.0,10775974000,1666914000.0,50945000.0,1753049000.0,2873967000.0,3747971000.0,5501020000,3284797000.0,2000488000.0,5274954000.0,10775974000,237385000.0,84435000.0,-973000.0,-44387000.0,-54076000.0,7749000.0,1940000.0,276460000.0,-134760000.0,-134760000.0,53776000.0,-199993000.0,-145203000.0,-3503000,2013-10-31,58.5,58.790000915527344,57.70000076293945,57.77999877929688,53.88494491577149,2837700.0
2014-01-31,4493945000.0,-3059134000.0,1434811000.0,-896689000.0,-896689000.0,538122000.0,-22313000.0,-22313000.0,515809000,515809000,-193636000.0,322173000,322173000,322173000,505566000.0,2552993000.0,3205607000.0,2080305000.0,5581612000.0,7661917000.0,10867524000,1714210000.0,75966000.0,1811971000.0,2742788000.0,3653360000.0,5465331000,3286650000.0,2125453000.0,5402193000.0,10867524000,322173000.0,85165000.0,-50767000.0,95919000.0,42547000.0,40048000.0,13324000.0,452490000.0,193050000.0,193050000.0,-106231000.0,-200078000.0,-305691000.0,339849000,2014-01-31,55.91999816894531,56.72000122070313,55.08000183105469,56.31999969482422,52.52337265014648,5360100.0
