Report Date,Revenue,Cost of Revenue,Gross Profit,Operating Expenses,"Selling, General & Administrative",Research & Development,Operating Income (Loss),Non-Operating Income (Loss),"Interest Expense, Net","Pretax Income (Loss), Adj.",Pretax Income (Loss),"Income Tax (Expense) Benefit, Net",Income (Loss) from Continuing Operations,Net Extraordinary Gains (Losses),Net Income,Net Income (Common),"Cash, Cash Equivalents & Short Term Investments",Accounts & Notes Receivable,Inventories,Total Current Assets,"Property, Plant & Equipment, Net",Other Long Term Assets,Total Noncurrent Assets,Total Assets,Payables & Accruals,Short Term Debt,Total Current Liabilities,Long Term Debt,Total Noncurrent Liabilities,Total Liabilities,Share Capital & Additional Paid-In Capital,Retained Earnings,Total Equity,Total Liabilities & Equity,Net Income/Starting Line,Depreciation & Amortization.1,Non-Cash Items,Change in Working Capital,Change in Accounts Receivable,Change in Inventories,Change in Accounts Payable,Change in Other,Net Cash from Operating Activities,Change in Fixed Assets & Intangibles,Net Change in Long Term Investment,Net Cash from Acquisitions & Divestitures,Net Cash from Investing Activities,Dividends Paid,Cash from (Repayment of) Debt,Cash from (Repurchase of) Equity,Net Cash from Financing Activities,Net Change in Cash,Price Date,Open,High,Low,Close,Adj Close,Volume
2011-12-31,4716644000.0,-2389527000.0,2327117000.0,-1569756000.0,-1287662000.0,-282094000.0,757361000.0,-15200000.0,-37074000.0,742161000,742148000,-178581000.0,563567000,7183000.0,570750000,570750000,537000000.0,3049900000.0,1781400000.0,6272400000.0,2101000000.0,21576100000.0,23677100000.0,29949500000,4073600000.0,98400000.0,4172000000.0,5206800000.0,8805700000.0,12977700000,3884800000.0,13056900000.0,16971800000.0,29949500000,563567000.0,203698000.0,29643000.0,19349000.0,-135851000.0,148408000.0,9117000.0,-2325000.0,827226000.0,-119678000.0,0.0,-123713000.0,-243554000.0,-17171000.0,-569862000.0,52228000.0,-534805000.0,52612000,2011-12-30,35.868080139160156,35.96664047241211,35.633056640625,35.66337966918945,34.107349395751946,2181626.0
2012-12-31,4975200000.0,-2429900000.0,2545300000.0,-1701200000.0,-1406500000.0,-294700000.0,844100000.0,-20700000.0,-39700000.0,823400000,823400000,-193000000.0,630400000,0.0,630400000,630400000,1678700000.0,3267300000.0,1813400000.0,7587800000.0,2140900000.0,23212300000.0,25353200000.0,32941000000,4150600000.0,55500000.0,4206100000.0,5287600000.0,9651000000.0,13857100000,3695800000.0,15379900000.0,19083900000.0,32941000000,630400000.0,219400000.0,36600000.0,-55600000.0,-214200000.0,123300000.0,18500000.0,16800000.0,799700000.0,-124900000.0,0.0,-824000000.0,-942100000.0,-34400000.0,632800000.0,-321100000.0,277300000.0,137400000,2012-12-31,41.56937026977539,42.41849899291992,41.37225341796875,42.380592346191406,40.6075325012207,3194090.0
2013-12-31,4431800000.0,-2335700000.0,2096100000.0,-1362500000.0,-1175800000.0,-186700000.0,733600000.0,405500000.0,-25800000.0,1139100000,909300000,-224400000.0,684900000,104400000.0,789300000,789300000,3115200000.0,3451600000.0,1783500000.0,9113700000.0,2211300000.0,23347200000.0,25558500000.0,34672200000,4465100000.0,62300000.0,4527400000.0,3436700000.0,7693400000.0,12220800000,4165500000.0,18005300000.0,22451400000.0,34672200000,684900000.0,188900000.0,-177600000.0,264100000.0,-29800000.0,162500000.0,75600000.0,55800000.0,1078200000.0,-146300000.0,266600000.0,-13900000.0,19500000.0,-17400000.0,3800000.0,28700000.0,15100000.0,1119600000,2013-12-31,58.46095657348633,58.62774658203125,58.26383590698242,58.52919006347656,56.1646728515625,1390358.0
2014-09-30,4707100000.0,-2254800000.0,2452300000.0,-1586100000.0,-1298000000.0,-288100000.0,866200000.0,12200000.0,-26000000.0,878400000,878400000,-197100000.0,681300000,-700000.0,680600000,680600000,4025300000.0,3498100000.0,1874000000.0,9989500000.0,2161600000.0,23384800000.0,25546400000.0,35535900000,4399700000.0,71400000.0,4471100000.0,2964700000.0,7254700000.0,11725800000,4388800000.0,19731700000.0,23810100000.0,35535900000,637500000.0,204400000.0,-10200000.0,116200000.0,52200000.0,-30300000.0,-11800000.0,106100000.0,1016100000.0,-130700000.0,12400000.0,-25700000.0,-149100000.0,-70000000.0,800000.0,14100000.0,-55100000.0,704200000,2014-09-30,57.41470718383789,58.49127960205078,57.346473693847656,57.60424423217773,55.49306106567383,6947569.0
2014-12-31,-1466500000.0,790600000.0,-675900000.0,176500000.0,8000000.0,168500000.0,-499400000.0,66900000.0,1700000.0,-432500000,-432500000,133800000.0,-298700000,960400000.0,661700000,661700000,3005600000.0,3445800000.0,1782800000.0,9431300000.0,2171900000.0,25388500000.0,27560400000.0,36991700000,5016500000.0,71900000.0,5396400000.0,3401500000.0,8145500000.0,13541900000,4488800000.0,20323000000.0,23449800000.0,36991700000,-254900000.0,53600000.0,-63500000.0,485200000.0,63800000.0,157900000.0,142500000.0,121000000.0,1239400000.0,-56100000.0,129700000.0,-2207000000.0,-2446100000.0,-70300000.0,313700000.0,57900000.0,280400000.0,-1019700000,2014-12-31,65.62547302246094,65.82259368896484,64.95830535888672,64.98104858398439,62.67147827148438,2734683.0
2015-03-31,4694700000.0,-2226500000.0,2468200000.0,-1713100000.0,-1413700000.0,-299400000.0,755100000.0,-27000000.0,-27000000.0,728100000,728100000,-170100000.0,558000000,11800000.0,569800000,569800000,2511000000.0,3446900000.0,1897200000.0,8774400000.0,2135900000.0,25162000000.0,27297900000.0,36072300000,4829000000.0,123700000.0,4952700000.0,3053800000.0,7728900000.0,12681600000,4631600000.0,20797300000.0,23390700000.0,36072300000,558000000.0,235500000.0,30300000.0,-294200000.0,104200000.0,-111100000.0,-84800000.0,-202500000.0,523600000.0,-117000000.0,-87100000.0,-482600000.0,-690700000.0,-70400000.0,-248700000.0,61600000.0,-260800000.0,-494600000,2015-03-31,64.73844146728516,64.82941436767578,64.32904052734375,64.366943359375,62.17689895629883,3315307.0
2015-06-30,4960200000.0,-2316200000.0,2644000000.0,-1709600000.0,-1405000000.0,-304600000.0,934400000.0,-26700000.0,-26700000.0,907700000,907700000,-192200000.0,715500000,-19800000.0,695700000,695700000,3342000000.0,3565200000.0,1912200000.0,9654500000.0,2161300000.0,25171000000.0,27332300000.0,36986800000,4945500000.0,110100000.0,5055600000.0,3052700000.0,7759200000.0,12814800000,4736100000.0,21397200000.0,24172000000.0,36986800000,715500000.0,237000000.0,28200000.0,120600000.0,-102900000.0,8500000.0,10000000.0,205000000.0,1094000000.0,-136200000.0,0.0,-110200000.0,-246900000.0,-95500000.0,-13000000.0,69900000.0,-38600000.0,831000000,2015-06-30,64.6474609375,65.10993194580078,64.48066711425781,64.89006805419922,62.78107833862305,7411065.0
2015-09-30,3512200000.0,-1618800000.0,1893400000.0,-1413400000.0,-1201200000.0,-212200000.0,480000000.0,-26100000.0,-38500000.0,453900000,453900000,-74000000.0,379900000,1023400000.0,1403300000,1403300000,1833500000.0,3906100000.0,2340600000.0,8931800000.0,2791600000.0,37984500000.0,40776100000.0,49707900000,5093900000.0,3489300000.0,8625600000.0,11522700000.0,17898500000.0,26524100000,4895300000.0,20416400000.0,23183800000.0,49707900000,-47800000.0,136300000.0,6000000.0,163100000.0,83800000.0,61800000.0,-67400000.0,84900000.0,952600000.0,-98400000.0,43000000.0,-13614300000.0,-13753000000.0,-95700000.0,11358400000.0,66600000.0,11329300000.0,-1508500000,2015-09-30,63.76800537109375,64.66262054443361,63.55572509765625,64.60197448730469,62.60393905639648,7109410.0
2015-12-31,1266600000.0,-501100000.0,765500000.0,-772800000.0,-727600000.0,-45200000.0,-7300000.0,-43000000.0,-43000000.0,-50300000,-50300000,143600000.0,93300000,595300000.0,688600000,688600000,790800000.0,2985100000.0,1573100000.0,7836700000.0,2302700000.0,38082800000.0,40385500000.0,48222200000,4001300000.0,845200000.0,6170400000.0,12025200000.0,18287800000.0,24458200000,4989200000.0,21012300000.0,23764000000.0,48222200000,521000000.0,272000000.0,30500000.0,120200000.0,-84300000.0,187300000.0,192500000.0,-175300000.0,1231600000.0,-100900000.0,0.0,-40700000.0,-260400000.0,-92500000.0,-1938100000.0,50900000.0,-1979700000.0,-1042700000,2015-12-31,70.43972778320312,71.02350616455078,70.31084442138672,70.41698455810547,68.33712005615234,2294401.0
2016-03-31,3924100000.0,-1756800000.0,2167300000.0,-1554200000.0,-1328100000.0,-226100000.0,613100000.0,170500000.0,-52900000.0,783600000,783600000,-197800000.0,585800000,172600000.0,758400000,758400000,664300000.0,3871200000.0,2237700000.0,7747200000.0,2872500000.0,37765900000.0,40638400000.0,48385600000,5124300000.0,197000000.0,5321300000.0,12194700000.0,18487200000.0,23808500000,5080600000.0,21660600000.0,24577100000.0,48385600000,585800000.0,267700000.0,-193800000.0,-52600000.0,83500000.0,-85600000.0,-116000000.0,65500000.0,772800000.0,-122600000.0,264800000.0,-94700000.0,8300000.0,-92700000.0,-815100000.0,43900000.0,-890600000.0,-126500000,2016-03-31,72.14556121826172,72.17588806152344,71.75132751464844,71.91812133789062,69.91182708740234,2853261.0
2016-06-30,4241900000.0,-1860600000.0,2381300000.0,-1671200000.0,-1431300000.0,-239900000.0,710100000.0,-55500000.0,-55500000.0,654600000,654600000,-236600000.0,418000000,238700000.0,656700000,656700000,4097600000.0,3994800000.0,2240200000.0,11231000000.0,2784800000.0,37487900000.0,40272700000.0,51503700000,5381400000.0,2644500000.0,8025900000.0,12007700000.0,18357500000.0,26383400000,5229500000.0,22206800000.0,25120300000.0,51503700000,418000000.0,277600000.0,35300000.0,250500000.0,-145000000.0,-19300000.0,73300000.0,341500000.0,1281800000.0,-145700000.0,0.0,2000000.0,-174200000.0,-110100000.0,2373900000.0,100900000.0,2364700000.0,3433300000,2016-06-30,75.98180389404297,76.57315826416016,75.95147705078125,76.57315826416016,74.55827331542969,5762975.0
2016-09-30,4132100000.0,-1846100000.0,2286000000.0,-1586900000.0,-1345800000.0,-241100000.0,699100000.0,-43600000.0,-43600000.0,655500000,476700000,-74100000.0,402600000,-11000000.0,391600000,391600000,971400000.0,3081800000.0,1712200000.0,6493200000.0,2255100000.0,32549200000.0,34804300000.0,41297500000,3954300000.0,809100000.0,4763400000.0,7503100000.0,13269700000.0,18033100000,5270800000.0,20043100000.0,23264400000.0,41297500000,402600000.0,277200000.0,210200000.0,-40000000.0,-33300000.0,-33600000.0,4600000.0,22300000.0,818200000.0,-146600000.0,0.0,-6900000.0,-153600000.0,-110500000.0,-3006300000.0,11800000.0,-3778400000.0,-3126200000,2016-09-30,77.44999694824219,78.70999908447266,77.41999816894531,78.38999938964844,76.4504165649414,3411300.0
2016-12-31,4584300000.0,-2084300000.0,2500000000.0,-1787100000.0,-1519100000.0,-268000000.0,712900000.0,-16500000.0,-32200000.0,696400000,696400000,50600000.0,747000000,0.0,747000000,747000000,963700000.0,3186100000.0,1709400000.0,6665100000.0,2354000000.0,36276200000.0,38630200000.0,45295300000,4279200000.0,2594800000.0,6874000000.0,9674200000.0,15344500000.0,22218500000,5321000000.0,20703500000.0,23076800000.0,45295300000,747000000.0,305600000.0,45500000.0,-449100000.0,-88300000.0,147900000.0,116200000.0,-624900000.0,649000000.0,-164900000.0,0.0,-4780500000.0,-4923500000.0,-86500000.0,4425900000.0,7900000.0,4347000000.0,-7700000,2016-12-30,78.55999755859375,78.55999755859375,77.66000366210938,77.83999633789062,76.03459930419922,2014500.0
