Report Date,Revenue,Cost of Revenue,Gross Profit,Operating Expenses,"Selling, General & Administrative",Research & Development,Depreciation & Amortization,Operating Income (Loss),Non-Operating Income (Loss),"Pretax Income (Loss), Adj.",Abnormal Gains (Losses),Pretax Income (Loss),"Income Tax (Expense) Benefit, Net",Income (Loss) from Continuing Operations,Net Income,Net Income (Common),"Cash, Cash Equivalents & Short Term Investments",Accounts & Notes Receivable,Inventories,Total Current Assets,"Property, Plant & Equipment, Net",Other Long Term Assets,Total Noncurrent Assets,Total Assets,Payables & Accruals,Total Current Liabilities,Long Term Debt,Total Noncurrent Liabilities,Total Liabilities,Share Capital & Additional Paid-In Capital,Retained Earnings,Total Equity,Total Liabilities & Equity,Net Income/Starting Line,Depreciation & Amortization.1,Non-Cash Items,Change in Working Capital,Net Cash from Operating Activities,Change in Fixed Assets & Intangibles,Net Cash from Investing Activities,Cash from (Repurchase of) Equity,Net Cash from Financing Activities,Net Change in Cash,Price Date,Open,High,Low,Close,Adj Close,Volume
2011-09-30,715000000.0,-432000000.0,283000000.0,-641000000.0,-310000000.0,-318000000.0,-13000000.0,-358000000.0,-6000000.0,-364000000,-16000000.0,-380000000,40000000.0,-340000000,-340000000,-340000000,1499000000.0,562000000.0,90000000.0,2568000000.0,532000000.0,2335000000.0,2867000000.0,5435000000,1005000000.0,1854000000.0,529000000.0,1041000000.0,2895000000,2554000000.0,-272000000.0,2540000000.0,5435000000,-340000000.0,51000000.0,-1000000.0,79000000.0,-211000000.0,-26000000.0,-511000000.0,-77000000.0,499000000.0,-243000000,2011-09-30,20.420000076293945,20.989999771118164,20.32999992370605,20.450000762939453,20.373233795166016,6719700.0
2011-12-31,1061000000.0,-552000000.0,509000000.0,-703000000.0,-367000000.0,-325000000.0,-11000000.0,-194000000.0,-10000000.0,-204000000,11000000.0,-193000000,-12000000.0,-205000000,-205000000,-205000000,1791000000.0,526000000.0,69000000.0,2806000000.0,547000000.0,2343000000.0,2890000000.0,5696000000,958000000.0,2397000000.0,534000000.0,1034000000.0,3431000000,2552000000.0,-477000000.0,2265000000.0,5696000000,-205000000.0,54000000.0,38000000.0,588000000.0,475000000.0,-44000000.0,-114000000.0,-37000000.0,-36000000.0,312000000,2011-12-30,20.850000381469727,20.959999084472656,20.57999992370605,20.600000381469727,20.52267074584961,2027200.0
2012-03-31,1368000000.0,-374000000.0,994000000.0,-627000000.0,-369000000.0,-252000000.0,-6000000.0,367000000.0,-4000000.0,363000000,-2000000.0,361000000,39000000.0,400000000,400000000,400000000,1849000000.0,366000000.0,59000000.0,2609000000.0,568000000.0,2314000000.0,2882000000.0,5491000000,1072000000.0,2120000000.0,539000000.0,913000000.0,3033000000,2362000000.0,-77000000.0,2458000000.0,5491000000,400000000.0,68000000.0,-5000000.0,-176000000.0,287000000.0,-44000000.0,0.0,-223000000.0,-248000000.0,51000000,2012-03-30,16.559999465942386,16.780000686645508,16.430000305175778,16.489999771118164,16.428098678588867,4035000.0
2012-06-30,955000000.0,-205000000.0,750000000.0,-528000000.0,-239000000.0,-282000000.0,-7000000.0,222000000.0,-5000000.0,217000000,-7000000.0,210000000,-9000000.0,201000000,201000000,201000000,1439000000.0,111000000.0,60000000.0,1951000000.0,558000000.0,2316000000.0,2874000000.0,4825000000,752000000.0,1336000000.0,544000000.0,937000000.0,2273000000,2313000000.0,124000000.0,2552000000.0,4825000000,201000000.0,56000000.0,16000000.0,-517000000.0,-244000000.0,-31000000.0,-40000000.0,-71000000.0,-72000000.0,-374000000,2012-06-29,12.15999984741211,12.369999885559082,11.93000030517578,12.350000381469727,12.303640365600586,6509300.0
2012-09-30,711000000.0,-445000000.0,266000000.0,-632000000.0,-319000000.0,-306000000.0,-7000000.0,-366000000.0,-4000000.0,-370000000,2000000.0,-368000000,-13000000.0,-381000000,-381000000,-381000000,1315000000.0,643000000.0,71000000.0,2332000000.0,561000000.0,2298000000.0,2859000000.0,5191000000,1093000000.0,2046000000.0,549000000.0,991000000.0,3037000000,2262000000.0,-257000000.0,2154000000.0,5191000000,-381000000.0,56000000.0,44000000.0,253000000.0,-28000000.0,-25000000.0,82000000.0,-90000000.0,-117000000.0,-48000000,2012-09-28,12.6899995803833,12.720000267028807,12.449999809265135,12.6899995803833,12.642363548278807,4994400.0
2012-12-31,922000000.0,-429000000.0,493000000.0,-575000000.0,-290000000.0,-278000000.0,-7000000.0,-82000000.0,-8000000.0,-90000000,57000000.0,-33000000,-12000000.0,-45000000,-45000000,-45000000,1492000000.0,382000000.0,59000000.0,2229000000.0,550000000.0,2260000000.0,2810000000.0,5039000000,933000000.0,2146000000.0,554000000.0,935000000.0,3081000000,2141000000.0,-302000000.0,1958000000.0,5039000000,-45000000.0,66000000.0,-21000000.0,363000000.0,363000000.0,-25000000.0,77000000.0,-156000000.0,-158000000.0,287000000,2012-12-31,13.890000343322756,14.550000190734865,13.829999923706055,14.520000457763672,14.465494155883787,7190800.0
2013-03-31,1209000000.0,-309000000.0,900000000.0,-590000000.0,-294000000.0,-287000000.0,-9000000.0,310000000.0,-4000000.0,306000000,24000000.0,330000000,-7000000.0,323000000,323000000,323000000,1680000000.0,312000000.0,42000000.0,2325000000.0,548000000.0,2197000000.0,2745000000.0,5070000000,873000000.0,1917000000.0,559000000.0,886000000.0,2803000000,2177000000.0,21000000.0,2267000000.0,5070000000,323000000.0,86000000.0,24000000.0,-200000000.0,233000000.0,-25000000.0,-87000000.0,2000000.0,2000000.0,134000000,2013-03-28,17.6299991607666,17.729999542236328,17.389999389648438,17.700000762939453,17.63355827331543,6487400.0
2013-06-30,949000000.0,-194000000.0,755000000.0,-514000000.0,-232000000.0,-278000000.0,-4000000.0,241000000.0,-5000000.0,236000000,-8000000.0,228000000,-6000000.0,222000000,222000000,222000000,1411000000.0,120000000.0,41000000.0,1884000000.0,537000000.0,2184000000.0,2721000000.0,4605000000,636000000.0,1226000000.0,564000000.0,887000000.0,2113000000,2193000000.0,243000000.0,2492000000.0,4605000000,222000000.0,56000000.0,42000000.0,-568000000.0,-248000000.0,-29000000.0,-2000000.0,22000000.0,21000000.0,-236000000,2013-06-28,21.93000030517578,23.1200008392334,21.93000030517578,22.989999771118164,22.90369987487793,7366900.0
2013-09-30,695000000.0,-413000000.0,282000000.0,-580000000.0,-293000000.0,-283000000.0,-4000000.0,-298000000.0,-8000000.0,-306000000,46000000.0,-260000000,-13000000.0,-273000000,-273000000,-273000000,1418000000.0,594000000.0,58000000.0,2340000000.0,532000000.0,2164000000.0,2696000000.0,5036000000,916000000.0,1851000000.0,570000000.0,899000000.0,2750000000,2254000000.0,-30000000.0,2286000000.0,5036000000,-273000000.0,56000000.0,-3000000.0,214000000.0,-6000000.0,-24000000.0,3000000.0,28000000.0,28000000.0,34000000,2013-09-30,25.59000015258789,25.76000022888184,25.15999984741211,25.54999923706055,25.45408821105957,5138800.0
2013-12-31,808000000.0,-517000000.0,291000000.0,-584000000.0,-305000000.0,-275000000.0,-4000000.0,-293000000.0,-6000000.0,-299000000,1000000.0,-298000000,-10000000.0,-308000000,-308000000,-308000000,2070000000.0,526000000.0,55000000.0,2921000000.0,518000000.0,2134000000.0,2652000000.0,5573000000,960000000.0,2659000000.0,575000000.0,910000000.0,3569000000,2290000000.0,-338000000.0,2004000000.0,5573000000,-308000000.0,58000000.0,41000000.0,892000000.0,683000000.0,-28000000.0,-26000000.0,1000000.0,1000000.0,654000000,2013-12-31,23.0,23.15999984741211,22.6299991607666,22.940000534057607,22.8538875579834,3337400.0
2014-03-31,1123000000.0,-223000000.0,900000000.0,-553000000.0,-260000000.0,-289000000.0,-4000000.0,347000000.0,-7000000.0,340000000,-3000000.0,337000000,30000000.0,367000000,367000000,367000000,2365000000.0,327000000.0,56000000.0,3138000000.0,510000000.0,2068000000.0,2578000000.0,5716000000,900000000.0,2390000000.0,580000000.0,904000000.0,3294000000,2356000000.0,29000000.0,2422000000.0,5716000000,367000000.0,57000000.0,53000000.0,-194000000.0,283000000.0,-16000000.0,-276000000.0,26000000.0,39000000.0,38000000,2014-03-31,28.6299991607666,29.34000015258789,28.38999938964844,29.01000022888184,28.90110206604004,3594900.0
2014-06-30,1214000000.0,-367000000.0,847000000.0,-486000000.0,-218000000.0,-265000000.0,-3000000.0,361000000.0,-8000000.0,353000000,1000000.0,354000000,-19000000.0,335000000,335000000,335000000,2316000000.0,219000000.0,37000000.0,2930000000.0,503000000.0,2043000000.0,2546000000.0,5476000000,735000000.0,1786000000.0,586000000.0,977000000.0,2763000000,2288000000.0,364000000.0,2713000000.0,5476000000,335000000.0,56000000.0,29000000.0,-416000000.0,4000000.0,-27000000.0,-207000000.0,-45000000.0,-33000000.0,-228000000,2014-06-30,35.91999816894531,36.0,35.560001373291016,35.86999893188477,35.73534774780273,3521700.0
2014-09-30,990000000.0,-427000000.0,563000000.0,-540000000.0,-275000000.0,-261000000.0,-4000000.0,23000000.0,-6000000.0,17000000,1000000.0,18000000,-15000000.0,3000000,3000000,3000000,2388000000.0,829000000.0,67000000.0,3532000000.0,483000000.0,2016000000.0,2499000000.0,6031000000,1106000000.0,2387000000.0,591000000.0,974000000.0,3361000000,2250000000.0,367000000.0,2670000000.0,6031000000,3000000.0,56000000.0,42000000.0,82000000.0,183000000.0,-21000000.0,-26000000.0,-74000000.0,-72000000.0,70000000,2014-09-30,35.779998779296875,36.11999893188477,35.5099983215332,35.61000061035156,35.4763298034668,2146400.0
2014-12-31,1126000000.0,-401000000.0,725000000.0,-563000000.0,-276000000.0,-283000000.0,-4000000.0,162000000.0,-6000000.0,156000000,0.0,156000000,-14000000.0,142000000,142000000,142000000,2940000000.0,488000000.0,39000000.0,3754000000.0,461000000.0,1952000000.0,2413000000.0,6167000000,890000000.0,3069000000.0,37000000.0,411000000.0,3480000000,2155000000.0,509000000.0,2687000000.0,6167000000,142000000.0,53000000.0,44000000.0,443000000.0,682000000.0,-15000000.0,-27000000.0,-92000000.0,-90000000.0,542000000,2014-12-31,47.5,47.95000076293945,46.97000122070313,47.02000045776367,46.8434944152832,1842300.0
2015-03-31,1185000000.0,-234000000.0,951000000.0,-552000000.0,-264000000.0,-285000000.0,-3000000.0,399000000.0,-3000000.0,396000000,1000000.0,397000000,-2000000.0,395000000,395000000,395000000,3021000000.0,362000000.0,36000000.0,3720000000.0,459000000.0,1968000000.0,2427000000.0,6147000000,862000000.0,2747000000.0,31000000.0,364000000.0,3111000000,2130000000.0,904000000.0,3036000000.0,6147000000,395000000.0,55000000.0,27000000.0,-279000000.0,198000000.0,-32000000.0,-210000000.0,-66000000.0,-60000000.0,-98000000,2015-03-31,59.0,59.43999862670898,58.4900016784668,58.81999969482422,58.59920120239258,2471000.0
