Report Date,Revenue,Cost of Revenue,Gross Profit,Operating Expenses,"Selling, General & Administrative",Depreciation & Amortization,Operating Income (Loss),Non-Operating Income (Loss),"Interest Expense, Net","Pretax Income (Loss), Adj.",Abnormal Gains (Losses),Pretax Income (Loss),Income (Loss) from Continuing Operations,Net Income,Net Income (Common),"Cash, Cash Equivalents & Short Term Investments",Accounts & Notes Receivable,Total Current Assets,"Property, Plant & Equipment, Net",Long Term Investments & Receivables,Other Long Term Assets,Total Noncurrent Assets,Total Assets,Payables & Accruals,Short Term Debt,Total Current Liabilities,Total Noncurrent Liabilities,Total Liabilities,Share Capital & Additional Paid-In Capital,Total Equity,Total Liabilities & Equity,Net Income/Starting Line,Depreciation & Amortization.1,Non-Cash Items,Change in Working Capital,Net Cash from Operating Activities,Change in Fixed Assets & Intangibles,Net Change in Long Term Investment,Net Cash from Acquisitions & Divestitures,Net Cash from Investing Activities,Dividends Paid,Cash from (Repayment of) Debt,Cash from (Repurchase of) Equity,Net Cash from Financing Activities,Net Change in Cash,Price Date,Open,High,Low,Close,Adj Close,Volume
2010-09-30,104327000.0,-27600000.0,76727000.0,-47812000.0,-6175000.0,-31531000.0,28915000.0,-17040000.0,-21025000.0,11875000,-1615000.0,10260000,10260000,6920000,6377000,14668000.0,55605000.0,91927000.0,3169771000.0,95933000.0,146122000.0,3411826000.0,3503753000,92422000.0,1711242000.0,2251220000.0,7558000.0,2258778000,1379062000.0,1244975000.0,3503753000,10426000.0,31637000.0,38364000.0,18840000.0,99267000.0,-151383000.0,-18000.0,-20222000.0,-168759000.0,-31114000.0,80286000.0,54534000.0,75793000.0,6301000,2010-09-30,109.3499984741211,111.04000091552734,108.9000015258789,109.44000244140624,79.28666687011719,610200.0
2010-12-31,104583000.0,-26677000.0,77906000.0,-52762000.0,-5243000.0,-35047000.0,25144000.0,-17117000.0,-20734000.0,8027000,-687000.0,7340000,7340000,5320000,4778000,13753000.0,49444000.0,85138000.0,3406539000.0,92310000.0,148900000.0,3647749000.0,3732887000,81155000.0,1832745000.0,2373524000.0,4349000.0,2377873000,1515471000.0,1355014000.0,3732887000,8628000.0,36326000.0,1834000.0,-18239000.0,28549000.0,-237354000.0,-31680000.0,-11046000.0,-260653000.0,-31679000.0,198783000.0,136471000.0,231189000.0,-915000,2010-12-31,114.11000061035156,115.12000274658205,114.0,114.22000122070312,83.5003662109375,116300.0
2011-06-30,116326000.0,-28946000.0,87380000.0,-54533000.0,-5385000.0,-37250000.0,32847000.0,-22092000.0,-22710000.0,10755000,-253000.0,10502000,10502000,13749000,10325000,8809000.0,49956000.0,82803000.0,3428778000.0,75673000.0,238601000.0,3743052000.0,3825855000,87552000.0,2044461000.0,2374754000.0,4349000.0,2379103000,1687694000.0,1446752000.0,3825855000,16053000.0,37510000.0,-2853000.0,-3216000.0,47494000.0,-58174000.0,0.0,-21218000.0,-66383000.0,-34496000.0,-128419000.0,206205000.0,-69985000.0,-88874000,2011-06-30,134.19999694824222,135.50999450683594,133.83999633789062,135.28999328613278,100.54155731201172,364700.0
2011-09-30,119166000.0,-29642000.0,89524000.0,-55219000.0,-4966000.0,-37881000.0,34305000.0,-21974000.0,-22096000.0,12331000,-567000.0,11764000,11764000,9054000,7687000,9020000.0,51599000.0,84616000.0,3429799000.0,75624000.0,315126000.0,3820549000.0,3905165000,102021000.0,2015439000.0,2394593000.0,4349000.0,2398942000,1776549000.0,1506223000.0,3905165000,11088000.0,38137000.0,8851000.0,11849000.0,69925000.0,-28574000.0,-1243000.0,-84478000.0,-111975000.0,-35299000.0,-3919000.0,88929000.0,42261000.0,211000,2011-09-30,121.55999755859376,123.1500015258789,120.0,120.04000091552734,89.96234893798828,400300.0
2011-12-31,119516000.0,-27308000.0,92208000.0,-55894000.0,-5069000.0,-38220000.0,36314000.0,-23382000.0,-25077000.0,12932000,-343000.0,12589000,12589000,15306000,13938000,12889000.0,66369000.0,101832000.0,3437318000.0,74275000.0,423539000.0,3935132000.0,4036964000,87935000.0,2210858000.0,2478887000.0,4349000.0,2483236000,1844614000.0,1553728000.0,4036964000,17868000.0,39864000.0,14897000.0,-13643000.0,58986000.0,-43317000.0,0.0,-136800000.0,-180380000.0,-35832000.0,99242000.0,67195000.0,125263000.0,3869000,2011-12-30,141.0,142.72999572753906,140.41000366210938,140.50999450683594,106.0851821899414,181700.0
2012-03-31,127918000.0,-28751000.0,99167000.0,-59187000.0,-5400000.0,-40734000.0,39980000.0,-22776000.0,-24658000.0,17204000,0.0,17204000,17204000,24090000,22722000,13744000.0,48053000.0,96384000.0,3434645000.0,80000000.0,440349000.0,3954994000.0,4051378000,104188000.0,2189317000.0,2473579000.0,4349000.0,2477928000,1877376000.0,1573450000.0,4051378000,27241000.0,40828000.0,-1582000.0,11964000.0,78451000.0,-56604000.0,-5438000.0,-14145000.0,-50342000.0,-36459000.0,-18590000.0,32523000.0,-27254000.0,855000,2012-03-30,151.0800018310547,151.5399932861328,150.24000549316406,151.50999450683594,115.23695373535156,847200.0
2012-06-30,132561000.0,-30718000.0,101843000.0,-60875000.0,-5764000.0,-41801000.0,40968000.0,-18975000.0,-24659000.0,21993000,20497000.0,42490000,42490000,38446000,37078000,4132000.0,50895000.0,78705000.0,3664605000.0,114166000.0,481640000.0,4260411000.0,4339116000,106344000.0,2230645000.0,2624412000.0,4349000.0,2628761000,2017448000.0,1710355000.0,4339116000,42488000.0,41801000.0,-14862000.0,-11056000.0,58371000.0,-63494000.0,-28925000.0,-192641000.0,-273266000.0,-38972000.0,110017000.0,139821000.0,205283000.0,-9612000,2012-06-29,153.85000610351562,154.2100067138672,152.77999877929688,153.9199981689453,117.92835998535156,270700.0
2012-09-30,137590000.0,-32763000.0,104827000.0,-62125000.0,-5276000.0,-42897000.0,42702000.0,-21441000.0,-25064000.0,21261000,-1211000.0,20050000,20050000,17587000,16219000,1943000.0,50316000.0,77193000.0,3780021000.0,141573000.0,535885000.0,4457479000.0,4534672000,121205000.0,2533829000.0,2749232000.0,4349000.0,2753581000,2116534000.0,1781091000.0,4534672000,20221000.0,43040000.0,5633000.0,21964000.0,90858000.0,-101762000.0,-39372000.0,-52759000.0,-202803000.0,-40013000.0,59569000.0,98683000.0,109756000.0,-2189000,2012-09-28,148.32000732421875,149.1999969482422,147.64999389648438,148.24000549316406,114.4198226928711,168500.0
2012-12-31,137084000.0,-31581000.0,105503000.0,-59913000.0,-8133000.0,-43741000.0,45590000.0,6882000.0,-37507000.0,52472000,-4563000.0,47909000,47909000,45161000,43793000,18606000.0,66163000.0,108289000.0,4019006000.0,92713000.0,627215000.0,4738934000.0,4847223000,109910000.0,2677683000.0,2962758000.0,4349000.0,2967107000,2204781000.0,1880116000.0,4847223000,49640000.0,45017000.0,-36476000.0,-18362000.0,39819000.0,-293122000.0,0.0,-85608000.0,-285727000.0,-40806000.0,223540000.0,89336000.0,262571000.0,16663000,2012-12-31,145.6699981689453,146.91000366210938,145.36000061035156,146.64999389648438,114.0413818359375,147900.0
2013-03-31,148005000.0,-32253000.0,115752000.0,-68800000.0,-6239000.0,-46787000.0,46952000.0,-18907000.0,-25211000.0,28045000,1116000.0,29161000,29161000,26571000,25203000,30844000.0,11359000.0,66993000.0,4160267000.0,80432000.0,628767000.0,4869466000.0,4936459000,136857000.0,2671238000.0,2947895000.0,4349000.0,2952244000,2329386000.0,1984215000.0,4936459000,29703000.0,47144000.0,36210000.0,10665000.0,123722000.0,-189528000.0,-6541000.0,-49537000.0,-143767000.0,-41152000.0,-44572000.0,124272000.0,32283000.0,12238000,2013-03-28,150.74000549316406,151.1199951171875,149.24000549316406,150.5800018310547,118.05306243896484,352800.0
