Report Date,Revenue,Cost of Revenue,Gross Profit,Operating Expenses,"Selling, General & Administrative",Research & Development,Operating Income (Loss),Non-Operating Income (Loss),"Pretax Income (Loss), Adj.",Pretax Income (Loss),"Income Tax (Expense) Benefit, Net",Income (Loss) from Continuing Operations,Net Income,Net Income (Common),"Cash, Cash Equivalents & Short Term Investments",Accounts & Notes Receivable,Inventories,Total Current Assets,"Property, Plant & Equipment, Net",Long Term Investments & Receivables,Other Long Term Assets,Total Noncurrent Assets,Total Assets,Payables & Accruals,Total Current Liabilities,Total Noncurrent Liabilities,Total Liabilities,Share Capital & Additional Paid-In Capital,Retained Earnings,Total Equity,Total Liabilities & Equity,Net Income/Starting Line,Depreciation & Amortization.1,Non-Cash Items,Change in Working Capital,Change in Accounts Receivable,Change in Inventories,Change in Other,Net Cash from Operating Activities,Change in Fixed Assets & Intangibles,Net Change in Long Term Investment,Net Cash from Investing Activities,Cash from (Repurchase of) Equity,Net Cash from Financing Activities,Net Change in Cash,Price Date,Open,High,Low,Close,Adj Close,Volume
2010-06-30,230474000.0,-44579000.0,185895000.0,-125766000.0,-94877000.0,-30889000.0,60129000.0,3561000.0,63690000,63690000,-23195000.0,40495000,40495000,40495000,398356000.0,102829000.0,17747000.0,560086000.0,35991000.0,382295000.0,288901000.0,707187000.0,1267273000,70647000.0,259308000.0,66363000.0,325671000,504708000.0,441489000.0,941602000.0,1267273000,40495000.0,5835000.0,22158000.0,6821000.0,-12981000.0,-1274000.0,21076000.0,75309000.0,-3279000.0,-72555000.0,-75838000.0,-9811000.0,-3092000.0,-4711000,2010-06-30,69.09999847412111,70.5199966430664,67.72000122070311,68.56999969482422,68.56999969482422,2086200.0
2010-09-30,254274000.0,-46828000.0,207446000.0,-131143000.0,-99572000.0,-31571000.0,76303000.0,68000.0,76371000,76371000,-28136000.0,48235000,48235000,48235000,428496000.0,112132000.0,18815000.0,605955000.0,34157000.0,433570000.0,288510000.0,756237000.0,1362192000,82948000.0,287085000.0,71409000.0,358494000,517215000.0,489724000.0,1003698000.0,1362192000,48235000.0,5910000.0,17770000.0,14476000.0,-9715000.0,-1069000.0,25260000.0,86391000.0,-2506000.0,-54758000.0,-54708000.0,-17668000.0,-7555000.0,24941000,2010-09-30,105.08999633789062,107.3000030517578,102.55999755859376,103.80999755859376,103.80999755859376,2583100.0
2010-12-31,268934000.0,-48963000.0,219971000.0,-140115000.0,-107509000.0,-32606000.0,79856000.0,2545000.0,82401000,82401000,-26738000.0,55663000,55663000,55663000,485572000.0,141986000.0,18184000.0,684539000.0,35520000.0,466702000.0,289076000.0,791298000.0,1475837000,95350000.0,327866000.0,72872000.0,400738000,534194000.0,545387000.0,1075099000.0,1475837000,55663000.0,5250000.0,22068000.0,20158000.0,-30082000.0,632000.0,49608000.0,103139000.0,-5491000.0,-91649000.0,-97179000.0,-16156000.0,-6026000.0,-621000,2010-12-31,132.35000610351562,132.44000244140622,129.13999938964844,130.16000366210938,130.16000366210938,1017300.0
2011-03-31,277572000.0,-50673000.0,226899000.0,-143685000.0,-109178000.0,-34507000.0,83214000.0,1568000.0,84782000,84782000,-29207000.0,55575000,55575000,55575000,475256000.0,142903000.0,18154000.0,690839000.0,37533000.0,521920000.0,288231000.0,847684000.0,1538523000,93928000.0,342085000.0,84135000.0,426220000,515973000.0,600962000.0,1112303000.0,1538523000,55575000.0,5286000.0,21362000.0,9006000.0,-675000.0,29000.0,9652000.0,91229000.0,-6293000.0,-7304000.0,-13520000.0,-46152000.0,-39996000.0,38082000,2011-03-31,101.0,103.0,100.0199966430664,102.56999969482422,102.56999969482422,5067600.0
2011-06-30,290713000.0,-52448000.0,238265000.0,-150004000.0,-114759000.0,-35245000.0,88261000.0,1889000.0,90150000,90150000,-27601000.0,62549000,62549000,62549000,585334000.0,154741000.0,17941000.0,797228000.0,42323000.0,471567000.0,286016000.0,799906000.0,1597134000,93791000.0,349017000.0,82949000.0,431966000,505117000.0,663511000.0,1165168000.0,1597134000,62549000.0,5179000.0,24046000.0,9302000.0,-12305000.0,213000.0,21394000.0,101076000.0,-8840000.0,35907000.0,26623000.0,-38087000.0,-34152000.0,93589000,2011-06-30,110.9499969482422,111.8000030517578,110.0,110.25,110.25,1977400.0
2011-09-30,314615000.0,-55920000.0,258695000.0,-159364000.0,-122812000.0,-36552000.0,99331000.0,4087000.0,103418000,103418000,-35808000.0,67610000,67610000,67610000,542550000.0,165676000.0,17149000.0,763673000.0,47998000.0,470203000.0,286675000.0,804876000.0,1568549000,101427000.0,372307000.0,90806000.0,463113000,380737000.0,731121000.0,1105436000.0,1568549000,67610000.0,5172000.0,27577000.0,21135000.0,-11464000.0,792000.0,31807000.0,121494000.0,-15536000.0,-40532000.0,-55643000.0,-149892000.0,-146490000.0,-83020000,2011-09-30,73.26000213623047,74.12000274658203,71.05000305175781,71.05000305175781,71.05000305175781,1906100.0
2011-12-31,322432000.0,-55606000.0,266826000.0,-167037000.0,-127915000.0,-39122000.0,99789000.0,1861000.0,101650000,101650000,-35158000.0,66492000,66492000,66492000,556537000.0,187862000.0,17493000.0,804102000.0,50870000.0,558307000.0,285410000.0,894587000.0,1698689000,129934000.0,432754000.0,95745000.0,528499000,379349000.0,797613000.0,1170190000.0,1698689000,66492000.0,5822000.0,22519000.0,37046000.0,-22601000.0,-344000.0,59991000.0,131879000.0,-5857000.0,-61511000.0,-67371000.0,-24896000.0,-23497000.0,40704000,2011-12-30,106.61000061035156,107.5500030517578,105.98999786376952,106.12000274658205,106.12000274658205,931000.0
2012-03-31,339622000.0,-57594000.0,282028000.0,-177348000.0,-133780000.0,-43568000.0,104680000.0,1428000.0,106108000,106108000,-37467000.0,68641000,68641000,68641000,489611000.0,184043000.0,17023000.0,746518000.0,52279000.0,543932000.0,415542000.0,1011753000.0,1758271000,108522000.0,433886000.0,107167000.0,541053000,357026000.0,866254000.0,1217218000.0,1758271000,68641000.0,9113000.0,22394000.0,1456000.0,4462000.0,469000.0,-3475000.0,101604000.0,-7211000.0,31298000.0,-104270000.0,-49787000.0,-45730000.0,-48029000,2012-03-30,135.66999816894528,136.46000671386722,132.63999938964844,134.96000671386722,134.96000671386722,1217000.0
2012-06-30,352634000.0,-60287000.0,292347000.0,-182347000.0,-135362000.0,-46985000.0,110000000.0,1713000.0,111713000,111713000,-39377000.0,72336000,72336000,72336000,519657000.0,193705000.0,17038000.0,782887000.0,54257000.0,587342000.0,413580000.0,1055179000.0,1838066000,101715000.0,446640000.0,109258000.0,555898000,349411000.0,938590000.0,1282168000.0,1838066000,72336000.0,10052000.0,24648000.0,6363000.0,-10090000.0,-14000.0,16467000.0,113399000.0,-5726000.0,-89751000.0,-95482000.0,-35151000.0,-31181000.0,-13852000,2012-06-29,96.58000183105469,99.6500015258789,96.41000366210938,99.55999755859376,99.55999755859376,2149500.0
2012-09-30,362559000.0,-62681000.0,299878000.0,-188044000.0,-140313000.0,-47731000.0,111834000.0,909000.0,112743000,112743000,-45026000.0,67717000,67717000,67717000,532151000.0,185172000.0,17410000.0,776081000.0,59604000.0,662803000.0,412713000.0,1135120000.0,1911201000,113435000.0,466029000.0,115772000.0,581801000,326922000.0,1006307000.0,1329400000.0,1911201000,67717000.0,10152000.0,23612000.0,47074000.0,8022000.0,-373000.0,39425000.0,148555000.0,-11323000.0,-73844000.0,-85156000.0,-49768000.0,-48823000.0,15574000,2012-09-28,106.41000366210938,107.26000213623048,104.20999908447266,104.63999938964844,104.63999938964844,1923500.0
