Report Date,Revenue,Cost of Revenue,Gross Profit,Operating Expenses,"Selling, General & Administrative",Research & Development,Operating Income (Loss),Non-Operating Income (Loss),"Interest Expense, Net","Pretax Income (Loss), Adj.",Pretax Income (Loss),"Income Tax (Expense) Benefit, Net",Income (Loss) from Continuing Operations,Net Income,Net Income (Common),"Cash, Cash Equivalents & Short Term Investments",Accounts & Notes Receivable,Inventories,Total Current Assets,"Property, Plant & Equipment, Net",Long Term Investments & Receivables,Other Long Term Assets,Total Noncurrent Assets,Total Assets,Payables & Accruals,Short Term Debt,Total Current Liabilities,Long Term Debt,Total Noncurrent Liabilities,Total Liabilities,Share Capital & Additional Paid-In Capital,Retained Earnings,Total Equity,Total Liabilities & Equity,Net Income/Starting Line,Depreciation & Amortization.1,Non-Cash Items,Change in Working Capital,Net Cash from Operating Activities,Change in Fixed Assets & Intangibles,Net Change in Long Term Investment,Net Cash from Investing Activities,Cash from (Repayment of) Debt,Cash from (Repurchase of) Equity,Net Cash from Financing Activities,Net Change in Cash,Price Date,Open,High,Low,Close,Adj Close,Volume
2009-06-30,1647155000.0,-383045000.0,1264110000.0,-503049000.0,-261411000.0,-241638000.0,761061000.0,-5561000.0,-18484000.0,755500000,755500000,-186355000.0,569145000,571398000,571398000,1244268000.0,1242899000.0,969971000.0,4001307000.0,697426000.0,1654178000.0,2034181000.0,4385785000.0,8387092000,1325915000.0,405622000.0,1777882000.0,1126401000.0,1295241000.0,3073123000,4146719000.0,1019839000.0,5313969000.0,8387092000,569145000.0,52635000.0,62133000.0,-60996000.0,622917000.0,-20874000.0,205512000.0,-1063178000.0,94573000.0,-177033000.0,-156293000.0,-622772000,2009-06-30,23.565000534057607,23.75,23.32500076293945,23.420000076293945,19.291608810424805,17196600.0
2009-09-30,1801389000.0,-409700000.0,1391689000.0,-497283000.0,-227427000.0,-269856000.0,894406000.0,-3200000.0,-17217000.0,891206000,891206000,-220728000.0,670478000,673033000,673033000,1355312000.0,1339165000.0,1017827000.0,4297610000.0,701371000.0,1936818000.0,2001181000.0,4639370000.0,8936980000,1634274000.0,205613000.0,1889249000.0,1140887000.0,1295574000.0,3184823000,4265124000.0,1420613000.0,5752157000.0,8936980000,670478000.0,57051000.0,46429000.0,86573000.0,860531000.0,-18125000.0,-408524000.0,-426649000.0,-205550000.0,-229416000.0,-425325000.0,-16275000,2009-09-30,23.274999618530273,23.34000015258789,22.95000076293945,23.25,19.151567459106445,13156000.0
2009-12-31,2032379000.0,-473399000.0,1558980000.0,-493542000.0,-253897000.0,-239645000.0,1065438000.0,-5991000.0,-17290000.0,1059447000,1059447000,-260054000.0,799393000,802212000,802212000,1656975000.0,1389534000.0,1051771000.0,4812558000.0,699970000.0,2247871000.0,1938160000.0,4886001000.0,9698559000,1743323000.0,5587000.0,1871631000.0,1155443000.0,1321770000.0,3193401000,4377551000.0,1995272000.0,6505158000.0,9698559000,799393000.0,64110000.0,8120000.0,83653000.0,955276000.0,-26987000.0,-370697000.0,-397684000.0,-200090000.0,-180200000.0,-324079000.0,248359000,2009-12-31,21.989999771118164,21.989999771118164,21.625,21.63500022888184,17.821258544921875,10998800.0
2010-03-31,2085853000.0,-440430000.0,1645423000.0,-484282000.0,-265618000.0,-218664000.0,1161141000.0,-1310000.0,-16955000.0,1159831000,1159831000,-307737000.0,852094000,854901000,854901000,1652188000.0,1491332000.0,1223945000.0,5124228000.0,695601000.0,2967727000.0,1908442000.0,5571770000.0,10695998000,1758323000.0,7088000.0,1887651000.0,1170099000.0,1305675000.0,3193326000,4569844000.0,2688679000.0,7502672000.0,10695998000,852094000.0,60106000.0,82207000.0,-323838000.0,670569000.0,-11666000.0,-1057112000.0,-1068778000.0,-19000.0,-59158000.0,16032000.0,-336078000,2010-03-31,22.82999992370605,22.875,22.665000915527344,22.73500061035156,18.727354049682614,14102400.0
2010-06-30,1927224000.0,-455525000.0,1471699000.0,-479072000.0,-248006000.0,-231066000.0,992627000.0,521000.0,-17764000.0,993148000,993148000,-284021000.0,709127000,712061000,712061000,2000925000.0,1482900000.0,1356606000.0,5709014000.0,695043000.0,2216610000.0,1876041000.0,4787694000.0,10496708000,1865133000.0,1124230000.0,3105723000.0,562612000.0,690985000.0,3796708000,4541490000.0,1831381000.0,6700000000.0,10496708000,709127000.0,58801000.0,48293000.0,-117142000.0,699079000.0,-16051000.0,949023000.0,932972000.0,494463000.0,-1650632000.0,-1165536000.0,545759000,2010-06-30,17.415000915527347,17.565000534057614,17.129999160766598,17.139999389648438,14.118618965148926,19945800.0
2010-09-30,1937656000.0,-477584000.0,1460072000.0,-480999000.0,-250559000.0,-230440000.0,979073000.0,-18027000.0,-33620000.0,961046000,961046000,-258883000.0,702163000,704876000,704876000,2307531000.0,1670405000.0,1273389000.0,6031947000.0,692032000.0,2744150000.0,1987462000.0,5423644000.0,11455591000,1861928000.0,632386000.0,2590108000.0,2818708000.0,2986711000.0,5576819000,4576799000.0,1122030000.0,5878772000.0,11455591000,702163000.0,69053000.0,40587000.0,-72381000.0,739422000.0,-10806000.0,-1292323000.0,-1394129000.0,-344608000.0,-1530439000.0,270450000.0,-459646000,2010-09-30,17.920000076293945,18.155000686645508,17.75,17.80500030517578,14.666394233703613,19965400.0
2010-12-31,1998687000.0,-496337000.0,1502350000.0,-672969000.0,-280209000.0,-392760000.0,829381000.0,-29858000.0,-40622000.0,799523000,799523000,-173158000.0,626365000,629419000,629419000,2098668000.0,1621966000.0,1203809000.0,5708082000.0,701235000.0,3219403000.0,1963910000.0,5884548000.0,11592630000,1715430000.0,646345000.0,2464950000.0,2838573000.0,3005843000.0,5470793000,4649088000.0,1183730000.0,6121837000.0,11592630000,626365000.0,77517000.0,187980000.0,-167019000.0,724843000.0,-23361000.0,-384455000.0,-407816000.0,2462303000.0,-561141000.0,-459656000.0,-115114000,2010-12-31,18.09499931335449,18.174999237060547,18.0,18.1200008392334,14.925872802734375,9501200.0
2011-03-31,1926094000.0,-474111000.0,1451983000.0,-550014000.0,-295568000.0,-254446000.0,901969000.0,-27384000.0,-41216000.0,874585000,874585000,-227282000.0,647303000,651141000,651141000,3011299000.0,1801212000.0,1304457000.0,6851132000.0,703794000.0,3344999000.0,2087429000.0,6136222000.0,12987354000,2018299000.0,653093000.0,2768765000.0,3850130000.0,4043228000.0,6811993000,4727100000.0,1320335000.0,6175361000.0,12987354000,647303000.0,80914000.0,60648000.0,31677000.0,820542000.0,-14870000.0,-64406000.0,-300381000.0,985837000.0,-489820000.0,485110000.0,928099000,2011-03-31,21.170000076293945,21.440000534057614,21.104999542236328,21.23500061035156,17.491765975952152,22282600.0
2011-06-30,2137253000.0,-533863000.0,1603390000.0,-586672000.0,-304269000.0,-282403000.0,1016718000.0,-34129000.0,-46107000.0,982589000,982589000,-240130000.0,742459000,746227000,746227000,2270318000.0,1938645000.0,1321615000.0,6219045000.0,721884000.0,3228994000.0,2524217000.0,6475095000.0,12694140000,2240253000.0,7345000.0,2310841000.0,3870846000.0,4171968000.0,6482809000,4784216000.0,1395908000.0,6211331000.0,12694140000,742459000.0,74892000.0,82603000.0,43301000.0,943255000.0,-26635000.0,-75652000.0,-469790000.0,-650021000.0,-667130000.0,-1371962000.0,-930199000,2011-06-30,20.78499984741211,20.86000061035156,20.65999984741211,20.70499992370605,17.055192947387695,11183400.0
2011-09-30,2121660000.0,-531989000.0,1589671000.0,-585993000.0,-295927000.0,-290066000.0,1003678000.0,-28691000.0,-43097000.0,974987000,974987000,-237449000.0,737538000,741124000,741124000,2257135000.0,1867092000.0,1337751000.0,6147267000.0,761190000.0,3224981000.0,2506460000.0,6492631000.0,12639898000,2154171000.0,1587000.0,2224431000.0,3891758000.0,4182261000.0,6406692000,4810509000.0,1321796000.0,6233206000.0,12639898000,737538000.0,73001000.0,89417000.0,-2850000.0,897106000.0,-64289000.0,-16031000.0,-80320000.0,-52000.0,-841646000.0,-876199000.0,3580000,2011-09-30,19.38999938964844,19.68000030517578,19.28499984741211,19.399999618530273,15.980228424072266,14526600.0
2011-12-31,2200378000.0,-584446998.0,1615931002.0,-748455000.0,-346219000.0,-402236000.0,867476002.0,-48633000.0,-74998000.0,818843002,818843002,-157084000.0,661759002,665145002,665145002,9900268000.0,1951167000.0,1389983000.0,13918785000.0,774406000.0,63704000.0,2546239000.0,3384349000.0,17303134000,2438553000.0,1572000.0,2514790000.0,7605734000.0,7920995000.0,10435785000,4903896000.0,1776760000.0,6867349000.0,17303134000,661759000.0,73425000.0,103198000.0,139725000.0,978107000.0,-26110000.0,4466446000.0,4440336000.0,3637241000.0,-172799000.0,3526620000.0,8974418000,2011-12-30,20.165000915527344,20.530000686645508,20.125,20.46500015258789,16.857500076293945,9839800.0
2012-03-31,2282449000.0,-580931000.0,1701518000.0,-901332000.0,-443121000.0,-458211000.0,800186000.0,-131355000.0,-97270000.0,668831000,668831000,-231300000.0,437531000,441956000,441956000,1451942000.0,2163659000.0,1418033000.0,5826532000.0,782867000.0,48168000.0,13292819000.0,14123854000.0,19950386000,2736140000.0,1351573000.0,4187904000.0,8077246000.0,8398398000.0,12586302000,5101382000.0,2178639000.0,7364084000.0,19950386000,437531000.0,66167000.0,108732000.0,-159461000.0,452969000.0,-23199000.0,31719000.0,-10743116000.0,1794121000.0,111760000.0,1855590000.0,-8431835000,2012-03-30,24.0,24.489999771118164,23.96500015258789,24.43000030517578,20.123558044433594,14474600.0
2012-06-30,2405186000.0,-617345000.0,1787841000.0,-728749000.0,-332505000.0,-396244000.0,1059092000.0,-89493000.0,-88418000.0,969599000,969599000,-263525000.0,706074000,711564000,711564000,1707544000.0,1702818000.0,1603401000.0,5844102000.0,811799000.0,564130000.0,13281919000.0,14657848000.0,20501950000,2920198000.0,1972816000.0,4986674000.0,7126377000.0,7431889000.0,12418563000,5214666000.0,2663077000.0,8083387000.0,20501950000,706074000.0,67412000.0,6797000.0,510368000.0,1290651000.0,-37392000.0,-597572000.0,-634964000.0,-351539000.0,-171760000.0,-474879000.0,173558000,2012-06-29,25.56999969482422,25.68000030517578,25.21500015258789,25.63999938964844,21.120271682739254,10835600.0
2012-09-30,2426597000.0,-597269000.0,1829328000.0,-785414000.0,-319583000.0,-465831000.0,1043914000.0,-92827000.0,-89322000.0,951087000,951087000,-280052000.0,671035000,675505000,675505000,1695485000.0,1766091000.0,1617369000.0,5880379000.0,856184000.0,955603000.0,13271663000.0,15083450000.0,20963829000,2972205000.0,1730895000.0,4802148000.0,7040382000.0,7411519000.0,12213667000,5436000000.0,3139393000.0,8750162000.0,20963829000,671035000.0,70996000.0,51852000.0,-48515000.0,745368000.0,-66584000.0,-451460000.0,-518044000.0,-350016000.0,-56736000.0,-307514000.0,-74790000,2012-09-28,33.235000610351555,33.30500030517578,32.794998168945305,33.165000915527344,27.318790435791016,12538000.0
2012-12-31,2587768000.0,-675455000.0,1912313000.0,-805505000.0,-365791000.0,-439714000.0,1106808000.0,-84325000.0,-85990000.0,1022483000,1022483000,-263123000.0,759360000,762975000,762975000,1862250000.0,1751388000.0,1744982000.0,6156347000.0,1100259000.0,719836000.0,13263396000.0,15083491000.0,21239838000,2965245000.0,1169490000.0,4237897000.0,7054555000.0,7458219000.0,11696116000,5643463000.0,3704744000.0,9543722000.0,21239838000,759360000.0,73425000.0,67619000.0,-194392000.0,706012000.0,-269825000.0,320313000.0,50124000.0,-787566000.0,-84264000.0,-510197000.0,253067000,2012-12-31,36.125,36.86000061035156,35.85499954223633,36.724998474121094,30.25124168395996,8548000.0
2013-03-31,2531635000.0,-634448000.0,1897187000.0,-871928000.0,-374296000.0,-497632000.0,1025259000.0,-85111000.0,-81787000.0,940148000,940148000,-222438000.0,717710000,722186000,722186000,1942776000.0,1945189000.0,1799618000.0,6663097000.0,1125794000.0,688254000.0,13734523000.0,15548571000.0,22211668000,3223035000.0,942811000.0,4290215000.0,7054796000.0,7528980000.0,11819195000,5829886000.0,4301539000.0,10392473000.0,22211668000,717710000.0,74326000.0,113513000.0,-233448000.0,672101000.0,-38854000.0,10243000.0,-407256000.0,-347916000.0,3810000.0,-199001000.0,60278000,2013-03-28,47.86000061035156,49.47999954223633,47.849998474121094,48.93999862670898,40.313026428222656,18502100.0
2013-06-30,2767394000.0,-684663000.0,2082731000.0,-928893000.0,-404991000.0,-523902000.0,1153838000.0,-78239000.0,-78008000.0,1075599000,1075599000,-307981000.0,767618000,772605000,772605000,2287370000.0,1895913000.0,1935147000.0,7072529000.0,1135993000.0,688428000.0,13727424000.0,15551845000.0,22624374000,3336794000.0,1488225000.0,4937138000.0,5849552000.0,6343852000.0,11280990000,5995790000.0,5065839000.0,11343384000.0,22624374000,767618000.0,73177000.0,58152000.0,54057000.0,953004000.0,-45276000.0,-10201000.0,-55477000.0,-1787659000.0,60293000.0,-557648000.0,338204000,2013-06-28,50.95000076293945,51.61000061035156,50.61999893188477,51.27000045776367,42.23229217529297,9086200.0
