Report Date,Revenue,Cost of Revenue,Gross Profit,Operating Expenses,"Selling, General & Administrative",Operating Income (Loss),Non-Operating Income (Loss),"Interest Expense, Net","Pretax Income (Loss), Adj.",Pretax Income (Loss),"Income Tax (Expense) Benefit, Net",Income (Loss) from Continuing Operations,Net Income,Net Income (Common),"Cash, Cash Equivalents & Short Term Investments",Accounts & Notes Receivable,Inventories,Total Current Assets,"Property, Plant & Equipment, Net",Other Long Term Assets,Total Noncurrent Assets,Total Assets,Payables & Accruals,Short Term Debt,Total Current Liabilities,Long Term Debt,Total Noncurrent Liabilities,Total Liabilities,Share Capital & Additional Paid-In Capital,Retained Earnings,Total Equity,Total Liabilities & Equity,Net Cash from Operating Activities,Change in Fixed Assets & Intangibles,Net Change in Long Term Investment,Net Cash from Investing Activities,Dividends Paid,Cash from (Repayment of) Debt,Cash from (Repurchase of) Equity,Net Cash from Financing Activities,Net Change in Cash,Price Date,Open,High,Low,Close,Adj Close,Volume
2011-09-30,36719000000.0,-31971000000.0,4748000000.0,-2942000000.0,-2942000000.0,1806000000.0,428000000.0,-101000000.0,2234000000,2199000000,-107000000.0,2092000000,2107000000,2107000000,31977000000.0,10512000000.0,15220000000.0,64010000000.0,21556000000.0,62931000000.0,84487000000.0,148497000000,50205000000.0,1543000000.0,51748000000.0,2667000000.0,51133000000.0,102881000000,26346000000.0,6595000000.0,45616000000.0,148497000000,2037000000.0,-1729000000.0,562000000.0,-1317000000.0,-214000000.0,-358000000.0,0.0,-576000000.0,-393000000,2011-09-30,20.440000534057614,20.5,20.100000381469727,20.18000030517578,15.59699821472168,10151100.0
2011-12-31,37990000000.0,-33346000000.0,4644000000.0,-3303000000.0,-3303000000.0,1341000000.0,-59000000.0,-135000000.0,1282000000,454000000,293000000.0,747000000,725000000,-665000000,32219000000.0,9964000000.0,14324000000.0,64923000000.0,23005000000.0,56675000000.0,79680000000.0,144603000000,47426000000.0,5800000000.0,53226000000.0,8033000000.0,52386000000.0,105612000000,26407000000.0,7183000000.0,38991000000.0,144603000000,1442000000.0,-2429000000.0,-4489000000.0,-6236000000.0,-267000000.0,543000000.0,0.0,298000000.0,-4533000000,2011-12-30,20.1200008392334,20.3700008392334,20.049999237060547,20.270000457763672,15.66655731201172,6971400.0
2012-09-30,37576000000.0,-33046000000.0,4530000000.0,-2849000000.0,-2849000000.0,1681000000.0,608000000.0,-128000000.0,2289000000,2211000000,-357000000.0,1854000000,1833000000,1476000000,33731000000.0,13015000000.0,15672000000.0,72107000000.0,26578000000.0,56771000000.0,83349000000.0,155456000000,51345000000.0,6278000000.0,57623000000.0,10375000000.0,55204000000.0,112827000000,26459000000.0,11533000000.0,42629000000.0,155456000000,3383000000.0,-2156000000.0,1259000000.0,-3456000000.0,-220000000.0,1397000000.0,0.0,1157000000.0,1136000000,2012-09-28,23.0,23.10000038146973,22.709999084472656,22.75,17.583330154418945,8614500.0
2012-12-31,39307000000.0,-42278000000.0,-2971000000.0,-5362000000.0,-5362000000.0,-8333000000.0,401000000.0,-133000000.0,-7932000000,-34614000000,35645000000.0,1031000000,1194000000,892000000,27410000000.0,10395000000.0,14714000000.0,69996000000.0,24196000000.0,55230000000.0,79426000000.0,149422000000,48474000000.0,5518000000.0,53992000000.0,10532000000.0,58430000000.0,112422000000,23848000000.0,10057000000.0,37000000000.0,149422000000,781000000.0,-2254000000.0,1351000000.0,776000000.0,-260000000.0,-1030000000.0,-5098000000.0,-6464000000.0,-4898000000,2012-12-31,27.76000022888184,28.899999618530273,27.6200008392334,28.82999992370605,22.282527923583984,13243300.0
2013-09-30,38983000000.0,-33791000000.0,5192000000.0,-2876000000.0,-2876000000.0,2316000000.0,289000000.0,-65000000.0,2605000000,2547000000,-842000000.0,1705000000,1717000000,698000000,28570000000.0,11067000000.0,15357000000.0,81164000000.0,26247000000.0,61128000000.0,87375000000.0,168539000000,51124000000.0,11439000000.0,62563000000.0,20684000000.0,68615000000.0,131178000000,23892000000.0,12903000000.0,37361000000.0,168539000000,3860000000.0,-2496000000.0,-1873000000.0,-4788000000.0,-1045000000.0,4983000000.0,-2438000000.0,1466000000.0,658000000,2013-09-30,35.709999084472656,36.310001373291016,35.61999893188477,35.970001220703125,27.800989151000977,17724400.0
2013-12-31,40485000000.0,-36210000000.0,4275000000.0,-3629000000.0,-3629000000.0,646000000.0,996000000.0,-117000000.0,1642000000,1187000000,-134000000.0,1053000000,1040000000,1007000000,28993000000.0,8535000000.0,14039000000.0,81501000000.0,25867000000.0,58976000000.0,84843000000.0,166344000000,48254000000.0,14158000000.0,62412000000.0,22025000000.0,60758000000.0,123170000000,28795000000.0,13816000000.0,43174000000.0,166344000000,3058000000.0,-2231000000.0,-491000000.0,-3773000000.0,-168000000.0,583000000.0,0.0,412000000.0,-334000000,2013-12-31,40.70000076293945,41.040000915527344,40.58000183105469,40.86999893188477,31.588165283203125,11100900.0
2014-03-31,37408000000.0,-35002000000.0,2406000000.0,-2941000000.0,-2941000000.0,-535000000.0,591000000.0,-103000000.0,56000000,56000000,224000000.0,280000000,213000000,125000000,28142000000.0,11734000000.0,14837000000.0,86825000000.0,26367000000.0,60414000000.0,86781000000.0,173606000000,54373000000.0,14849000000.0,69222000000.0,22918000000.0,61544000000.0,130766000000,28794000000.0,13457000000.0,42840000000.0,173606000000,1976000000.0,-2256000000.0,194000000.0,-2837000000.0,-571000000.0,1303000000.0,0.0,718000000.0,-595000000,2014-03-31,34.529998779296875,34.790000915527344,33.950000762939446,34.419998168945305,26.83919334411621,24292600.0
2014-06-30,39649000000.0,-36777000000.0,2872000000.0,-3343000000.0,-3343000000.0,-471000000.0,504000000.0,-100000000.0,33000000,33000000,254000000.0,287000000,278000000,190000000,29799000000.0,11480000000.0,15200000000.0,91643000000.0,27023000000.0,60432000000.0,87455000000.0,179098000000,56544000000.0,15803000000.0,72347000000.0,24273000000.0,64166000000.0,136513000000,28856000000.0,13162000000.0,42585000000.0,179098000000,3830000000.0,-2707000000.0,-1155000000.0,-4763000000.0,-622000000.0,1929000000.0,0.0,1300000000.0,438000000,2014-06-30,36.59000015258789,36.900001525878906,35.97999954223633,36.29999923706055,28.54120635986328,20862200.0
2014-09-30,39255000000.0,-35107000000.0,4148000000.0,-2921000000.0,-2921000000.0,1227000000.0,640000000.0,-96000000.0,1867000000,1869000000,-427000000.0,1442000000,1471000000,1384000000,27630000000.0,10892000000.0,15210000000.0,86640000000.0,27375000000.0,62893000000.0,90268000000.0,176908000000,53943000000.0,13386000000.0,67329000000.0,27719000000.0,66016000000.0,133345000000,28848000000.0,13975000000.0,43563000000.0,176908000000,1088000000.0,-2900000000.0,270000000.0,-3825000000.0,-588000000.0,2154000000.0,-168000000.0,1342000000.0,-1804000000,2014-09-30,32.240001678466804,32.540000915527344,31.670000076293945,31.940000534057607,25.3328914642334,24790800.0
2014-12-31,39617000000.0,-35235000000.0,4382000000.0,-2953000000.0,-2953000000.0,1429000000.0,779000000.0,-104000000.0,2208000000,2288000000,-279000000.0,2009000000,1987000000,1105000000,28176000000.0,9078000000.0,13642000000.0,83626000000.0,27743000000.0,66132000000.0,93875000000.0,177501000000,50713000000.0,14944000000.0,65657000000.0,31721000000.0,75820000000.0,141477000000,28953000000.0,14577000000.0,36024000000.0,177501000000,3167000000.0,-3471000000.0,292000000.0,-3934000000.0,-1384000000.0,6854000000.0,-3109000000.0,2315000000.0,1108000000,2014-12-31,35.2400016784668,35.45000076293945,34.889999389648445,34.90999984741211,27.93552017211914,12004200.0
