Report Date,Revenue,Cost of Revenue,Gross Profit,Operating Expenses,"Selling, General & Administrative",Operating Income (Loss),Non-Operating Income (Loss),"Interest Expense, Net","Pretax Income (Loss), Adj.",Abnormal Gains (Losses),Pretax Income (Loss),"Income Tax (Expense) Benefit, Net",Income (Loss) from Continuing Operations,Net Extraordinary Gains (Losses),Net Income,Net Income (Common),"Cash, Cash Equivalents & Short Term Investments",Accounts & Notes Receivable,Inventories,Total Current Assets,"Property, Plant & Equipment, Net",Other Long Term Assets,Total Noncurrent Assets,Total Assets,Payables & Accruals,Total Current Liabilities,Long Term Debt,Total Noncurrent Liabilities,Total Liabilities,Share Capital & Additional Paid-In Capital,Treasury Stock,Retained Earnings,Total Equity,Total Liabilities & Equity,Net Income/Starting Line,Depreciation & Amortization.1,Non-Cash Items,Change in Working Capital,Net Cash from Operating Activities,Change in Fixed Assets & Intangibles,Net Change in Long Term Investment,Net Cash from Investing Activities,Dividends Paid,Cash from (Repurchase of) Equity,Net Cash from Financing Activities,Net Change in Cash,Price Date,Open,High,Low,Close,Adj Close,Volume
2009-12-31,3686000000.0,-3200000000.0,486000000.0,-58000000.0,-58000000.0,428000000.0,-82000000.0,-78000000.0,346000000,0.0,346000000,-98000000.0,248000000,-4000000.0,243000000,243000000,3394000000.0,2964000000.0,1598000000.0,8428000000.0,5759000000.0,2351000000.0,8110000000.0,16538000000,1301000000.0,2889000000.0,3824000000.0,4892000000.0,7781000000,3080000000.0,-5002000000.0,10863000000.0,8757000000.0,16538000000,253000000.0,254000000.0,26000000.0,243000000.0,776000000.0,-474000000.0,198000000.0,-233000000.0,-81000000.0,57000000.0,-120000000.0,407000000,2009-12-31,30.309999465942386,30.520000457763672,29.989999771118164,30.09000015258789,25.147706985473643,7678700.0
2010-03-31,3761000000.0,-3259000000.0,502000000.0,-58000000.0,-58000000.0,444000000.0,-116000000.0,-76000000.0,328000000,5000000.0,333000000,-121000000.0,212000000,-5000000.0,206000000,206000000,3191000000.0,3176000000.0,1658000000.0,8566000000.0,5980000000.0,2434000000.0,8414000000.0,16980000000,1484000000.0,3145000000.0,3824000000.0,4875000000.0,8020000000,3064000000.0,-4915000000.0,10988000000.0,8960000000.0,16980000000,207000000.0,261000000.0,-20000000.0,-131000000.0,317000000.0,-404000000.0,-500000000.0,-970000000.0,-81000000.0,34000000.0,-37000000.0,-699000000,2010-03-31,30.25,30.32999992370605,29.940000534057607,30.1299991607666,25.25691032409668,10508700.0
2010-12-31,5160000000.0,-4113000000.0,1047000000.0,-62000000.0,-62000000.0,985000000.0,-70000000.0,-69000000.0,915000000,-5000000.0,910000000,-283000000.0,627000000,-20000000.0,605000000,605000000,2051000000.0,3924000000.0,1940000000.0,8629000000.0,6842000000.0,2826000000.0,9668000000.0,18297000000,1855000000.0,2757000000.0,3824000000.0,5153000000.0,7910000000,3013000000.0,-4771000000.0,12371000000.0,10387000000.0,18297000000,627000000.0,302000000.0,114000000.0,-193000000.0,850000000.0,-430000000.0,225000000.0,-500000000.0,-82000000.0,-117000000.0,-818000000.0,-477000000,2010-12-31,40.91999816894531,41.13999938964844,40.58000183105469,40.83000183105469,34.53392791748047,4376500.0
2011-12-31,7064000000.0,-5567000000.0,1497000000.0,-67000000.0,-67000000.0,1430000000.0,-76000000.0,-69000000.0,1354000000,0.0,1354000000,-447000000.0,907000000,0.0,906000000,906000000,2698000000.0,5084000000.0,2570000000.0,11256000000.0,8492000000.0,3929000000.0,12421000000.0,23677000000,2688000000.0,4121000000.0,4820000000.0,6340000000.0,10461000000,3138000000.0,-4547000000.0,14880000000.0,13216000000.0,23677000000,907000000.0,368000000.0,318000000.0,-275000000.0,1318000000.0,-629000000.0,250000000.0,-1312000000.0,-83000000.0,160000000.0,921000000.0,923000000,2011-12-30,33.709999084472656,34.860000610351555,33.700000762939446,34.509998321533196,29.43699073791504,9549200.0
2012-06-30,7234000000.0,-5966000000.0,1268000000.0,-67000000.0,-67000000.0,1201000000.0,-97000000.0,-80000000.0,1104000000,0.0,1104000000,-357000000.0,747000000,-8000000.0,737000000,737000000,2172000000.0,5674000000.0,3297000000.0,12534000000.0,9363000000.0,3674000000.0,13037000000.0,25571000000,2902000000.0,4440000000.0,4820000000.0,6570000000.0,11010000000,3107000000.0,-4383000000.0,16077000000.0,14561000000.0,25571000000,739000000.0,406000000.0,394000000.0,-1140000000.0,399000000.0,-869000000.0,50000000.0,-790000000.0,-84000000.0,0.0,-93000000.0,-485000000,2012-06-29,28.399999618530273,28.61000061035156,28.10000038146973,28.38999938964844,24.35037612915039,17674200.0
2012-09-30,7111000000.0,-6090000000.0,1021000000.0,-67000000.0,-67000000.0,954000000.0,-77000000.0,-71000000.0,877000000,0.0,877000000,-267000000.0,610000000,-6000000.0,602000000,602000000,2032000000.0,5870000000.0,3539000000.0,12766000000.0,9678000000.0,3868000000.0,13546000000.0,26312000000,2963000000.0,4598000000.0,4820000000.0,6523000000.0,11121000000,3137000000.0,-4303000000.0,16596000000.0,15191000000.0,26312000000,604000000.0,406000000.0,-398000000.0,168000000.0,780000000.0,-868000000.0,-21000000.0,-941000000.0,-83000000.0,0.0,24000000.0,-138000000,2012-09-28,34.09000015258789,34.09999847412109,33.5,33.689998626708984,28.975717544555664,11070400.0
2012-12-31,7290000000.0,-6236000000.0,1054000000.0,-73000000.0,-73000000.0,981000000.0,-82000000.0,-73000000.0,899000000,0.0,899000000,-307000000.0,592000000,80000000.0,669000000,669000000,2484000000.0,5787000000.0,3186000000.0,12735000000.0,10257000000.0,4418000000.0,14675000000.0,27410000000,2971000000.0,4752000000.0,4820000000.0,6868000000.0,11620000000,3168000000.0,-4276000000.0,17182000000.0,15790000000.0,27410000000,672000000.0,431000000.0,284000000.0,354000000.0,1741000000.0,-652000000.0,-327000000.0,-1230000000.0,-83000000.0,107000000.0,-54000000.0,452000000,2012-12-31,33.880001068115234,34.75,33.740001678466804,34.689998626708984,29.91718292236328,8671800.0
2013-03-31,6974000000.0,-6000000000.0,974000000.0,-72000000.0,-72000000.0,902000000.0,-85000000.0,-71000000.0,817000000,-1000000000.0,-183000000,172000000.0,-11000000,-5000000.0,-18000000,-18000000,2029000000.0,6210000000.0,3257000000.0,13152000000.0,10509000000.0,4023000000.0,14532000000.0,27684000000,2968000000.0,4666000000.0,4820000000.0,7281000000.0,11947000000,3166000000.0,-4201000000.0,17048000000.0,15737000000.0,27684000000,-16000000.0,448000000.0,235000000.0,-318000000.0,349000000.0,-685000000.0,-19000000.0,-651000000.0,-116000000.0,-50000000.0,-145000000.0,-455000000,2013-03-28,40.58000183105469,40.709999084472656,40.11999893188477,40.40999984741211,34.95774459838867,7127300.0
2013-06-30,7317000000.0,-6246000000.0,1071000000.0,-87000000.0,-87000000.0,984000000.0,-82000000.0,-71000000.0,902000000,0.0,902000000,-256000000.0,646000000,2000000.0,644000000,644000000,1412000000.0,6359000000.0,3341000000.0,12621000000.0,10753000000.0,4044000000.0,14797000000.0,27418000000,3118000000.0,4777000000.0,4820000000.0,7276000000.0,12053000000,3048000000.0,-4986000000.0,17577000000.0,15365000000.0,27418000000,648000000.0,474000000.0,222000000.0,-222000000.0,1122000000.0,-711000000.0,141000000.0,-540000000.0,-115000000.0,-965000000.0,-1184000000.0,-617000000,2013-06-28,41.70000076293945,42.18000030517578,41.5,41.72000122070313,36.199119567871094,9596000.0
2013-09-30,7472000000.0,-6284000000.0,1188000000.0,-80000000.0,-80000000.0,1108000000.0,-103000000.0,-91000000.0,1005000000,0.0,1005000000,-296000000.0,709000000,-1000000.0,706000000,706000000,1491000000.0,6626000000.0,3399000000.0,12890000000.0,10949000000.0,4109000000.0,15058000000.0,27948000000,3206000000.0,4762000000.0,7816000000.0,10368000000.0,15130000000,3082000000.0,-8171000000.0,18177000000.0,12818000000.0,27948000000,708000000.0,481000000.0,172000000.0,-283000000.0,1078000000.0,-679000000.0,4000000.0,-676000000.0,-106000000.0,-3341000000.0,-338000000.0,79000000,2013-09-30,47.93999862670898,48.4900016784668,47.459999084472656,48.1500015258789,41.88608932495117,6375300.0
