Report Date,Revenue,Cost of Revenue,Gross Profit,Operating Expenses,"Selling, General & Administrative",Depreciation & Amortization,Operating Income (Loss),Non-Operating Income (Loss),"Interest Expense, Net","Pretax Income (Loss), Adj.",Abnormal Gains (Losses),Pretax Income (Loss),"Income Tax (Expense) Benefit, Net",Income (Loss) from Continuing Operations,Net Income,Net Income (Common),"Cash, Cash Equivalents & Short Term Investments",Accounts & Notes Receivable,Inventories,Total Current Assets,"Property, Plant & Equipment, Net",Long Term Investments & Receivables,Other Long Term Assets,Total Noncurrent Assets,Total Assets,Payables & Accruals,Short Term Debt,Total Current Liabilities,Long Term Debt,Total Noncurrent Liabilities,Total Liabilities,Share Capital & Additional Paid-In Capital,Retained Earnings,Total Equity,Total Liabilities & Equity,Net Income/Starting Line,Depreciation & Amortization.1,Non-Cash Items,Change in Working Capital,Net Cash from Operating Activities,Change in Fixed Assets & Intangibles,Net Cash from Acquisitions & Divestitures,Net Cash from Investing Activities,Cash from (Repayment of) Debt,Cash from (Repurchase of) Equity,Net Cash from Financing Activities,Net Change in Cash,Price Date,Open,High,Low,Close,Adj Close,Volume
2011-03-31,7406000000.0,-1275000000.0,6131000000.0,-4975000000.0,-3295000000.0,-358000000.0,1156000000.0,-457000000.0,-533000000.0,699000000,-182000000.0,517000000,-183000000.0,334000000,240000000,240000000,553000000.0,4060000000.0,881000000.0,6986000000.0,11347000000.0,1442000000.0,4034000000.0,16823000000.0,23809000000,3721000000.0,546000000.0,4267000000.0,24820000000.0,27330000000.0,31597000000,3062000000.0,-11648000000.0,-7788000000.0,23809000000,334000000.0,358000000.0,1000000000.0,-774000000.0,918000000.0,-329000000.0,33000000.0,-273000000.0,-2900000000.0,2506000000.0,-503000000.0,142000000,2011-03-31,34.0,34.110000610351555,33.669998168945305,33.86999893188477,26.221250534057607,1960600.0
2011-06-30,7249000000.0,-1295000000.0,5954000000.0,-4965000000.0,-3320000000.0,-358000000.0,989000000.0,-447000000.0,-520000000.0,542000000,-75000000.0,467000000,-147000000.0,320000000,229000000,229000000,539000000.0,3946000000.0,887000000.0,6891000000.0,11584000000.0,1358000000.0,4044000000.0,16986000000.0,23877000000,3589000000.0,689000000.0,4278000000.0,24631000000.0,27133000000.0,31411000000,3077000000.0,-11419000000.0,-7534000000.0,23877000000,320000000.0,358000000.0,872000000.0,-802000000.0,748000000.0,-447000000.0,-147000000.0,-539000000.0,-132000000.0,0.0,-223000000.0,-14000000,2011-06-30,32.779998779296875,33.389999389648445,32.630001068115234,33.0,25.54772186279297,1479200.0
2011-09-30,7258000000.0,-1263000000.0,5995000000.0,-5013000000.0,-3333000000.0,-362000000.0,982000000.0,-451000000.0,-519000000.0,531000000,-408000000.0,123000000,23000000.0,146000000,61000000,61000000,359000000.0,3925000000.0,891000000.0,6693000000.0,11645000000.0,1382000000.0,4036000000.0,17063000000.0,23756000000,3546000000.0,725000000.0,4271000000.0,25871000000.0,28547000000.0,32818000000,1588000000.0,-11358000000.0,-9062000000.0,23756000000,146000000.0,362000000.0,1132000000.0,-760000000.0,880000000.0,-394000000.0,-40000000.0,-428000000.0,1035000000.0,-1503000000.0,-632000000.0,-180000000,2011-09-30,19.520000457763672,20.309999465942386,19.46999931335449,20.15999984741211,15.607336044311525,4126700.0
2011-12-31,7769000000.0,-1346000000.0,6423000000.0,-5212000000.0,-3492000000.0,-387000000.0,1211000000.0,-424000000.0,-465000000.0,787000000,1667000000.0,2454000000,-412000000.0,2042000000,1935000000,1935000000,373000000.0,4533000000.0,1054000000.0,7233000000.0,12834000000.0,649000000.0,6182000000.0,19665000000.0,26898000000,4147000000.0,1407000000.0,5554000000.0,25645000000.0,28358000000.0,33912000000,1605000000.0,-9423000000.0,-7014000000.0,26898000000,2042000000.0,387000000.0,-425000000.0,-617000000.0,1387000000.0,-509000000.0,-1247000000.0,-1755000000.0,408000000.0,0.0,382000000.0,14000000,2011-12-30,21.21999931335449,22.350000381469727,21.21999931335449,22.030000686645508,17.055036544799805,1972500.0
2013-12-31,8836000000.0,-1564000000.0,7272000000.0,-6019000000.0,-3965000000.0,-461000000.0,1253000000.0,-456000000.0,-456000000.0,797000000,3000000.0,800000000,-246000000.0,554000000,424000000,424000000,414000000.0,5208000000.0,1179000000.0,8037000000.0,13619000000.0,569000000.0,6606000000.0,20794000000.0,28831000000,4909000000.0,786000000.0,5695000000.0,27590000000.0,30064000000.0,35759000000,1390000000.0,-9403000000.0,-6928000000.0,28831000000,554000000.0,461000000.0,1164000000.0,-953000000.0,1226000000.0,-596000000.0,-16000000.0,-672000000.0,-22000000.0,-500000000.0,-624000000.0,-70000000,2013-12-31,47.25,47.97999954223633,47.18000030517578,47.709999084472656,46.087486267089844,1499800.0
2014-06-30,9230000000.0,-1532000000.0,7698000000.0,-6161000000.0,-4098000000.0,-454000000.0,1537000000.0,-418000000.0,-427000000.0,1119000000,-215000000.0,904000000,-272000000.0,632000000,483000000,483000000,658000000.0,5472000000.0,1211000000.0,8772000000.0,13721000000.0,576000000.0,6753000000.0,21050000000.0,29822000000,4849000000.0,1046000000.0,5895000000.0,27942000000.0,30515000000.0,36410000000,781000000.0,-8572000000.0,-6588000000.0,29822000000,632000000.0,454000000.0,754000000.0,-590000000.0,1250000000.0,-513000000.0,1000000.0,-455000000.0,-160000000.0,-750000000.0,-987000000.0,-192000000,2014-06-30,55.61999893188477,56.83000183105469,55.52000045776367,56.38000106811523,54.462646484375,3023600.0
2014-09-30,9220000000.0,-1539000000.0,7681000000.0,-6327000000.0,-4211000000.0,-460000000.0,1354000000.0,-413000000.0,-427000000.0,941000000,-12000000.0,929000000,-318000000.0,611000000,518000000,518000000,515000000.0,5524000000.0,1258000000.0,8527000000.0,13878000000.0,608000000.0,6812000000.0,21298000000.0,29825000000,4588000000.0,1044000000.0,5632000000.0,27426000000.0,30211000000.0,35843000000,876000000.0,-8054000000.0,-6018000000.0,29825000000,611000000.0,460000000.0,851000000.0,-794000000.0,1128000000.0,-569000000.0,-64000000.0,-648000000.0,-543000000.0,0.0,-623000000.0,-143000000,2014-09-30,72.0,72.19000244140625,70.43000030517578,70.5199966430664,68.12176513671875,3417100.0
2014-12-31,9636000000.0,-1659000000.0,7977000000.0,-6491000000.0,-4282000000.0,-459000000.0,1486000000.0,-418000000.0,-429000000.0,1068000000,-100000000.0,968000000,-292000000.0,676000000,527000000,527000000,566000000.0,5694000000.0,1279000000.0,8930000000.0,14355000000.0,659000000.0,7036000000.0,22050000000.0,30980000000,5142000000.0,338000000.0,5480000000.0,29088000000.0,31998000000.0,37478000000,4000000.0,-7575000000.0,-6498000000.0,30980000000,676000000.0,459000000.0,980000000.0,-488000000.0,1627000000.0,-694000000.0,-656000000.0,-1406000000.0,961000000.0,-1000000000.0,-170000000.0,51000000,2014-12-31,74.54000091552734,74.91999816894531,73.30000305175781,73.38999938964844,70.89415740966797,1456300.0
2015-03-31,9676000000.0,-1638000000.0,8038000000.0,-6569000000.0,-4398000000.0,-473000000.0,1469000000.0,-400000000.0,-419000000.0,1069000000,9000000.0,1078000000,-358000000.0,720000000,591000000,591000000,586000000.0,5928000000.0,1287000000.0,9130000000.0,14392000000.0,616000000.0,7150000000.0,22158000000.0,31288000000,5135000000.0,2037000000.0,7172000000.0,27406000000.0,30338000000.0,37510000000,4000000.0,-7280000000.0,-6222000000.0,31288000000,720000000.0,473000000.0,1138000000.0,-1313000000.0,1018000000.0,-446000000.0,-13000000.0,-432000000.0,-51000000.0,-366000000.0,-566000000.0,20000000,2015-03-31,76.05999755859375,76.69000244140625,75.22000122070312,75.2300033569336,72.67159271240234,2111600.0
2015-06-30,9897000000.0,-1670000000.0,8227000000.0,-6698000000.0,-4492000000.0,-469000000.0,1529000000.0,-415000000.0,-425000000.0,1114000000,-130000000.0,984000000,-319000000.0,665000000,507000000,507000000,673000000.0,5804000000.0,1348000000.0,9293000000.0,14560000000.0,586000000.0,7271000000.0,22417000000.0,31710000000,4936000000.0,1374000000.0,6310000000.0,28363000000.0,31355000000.0,37665000000,4000000.0,-7120000000.0,-5955000000.0,31710000000,665000000.0,469000000.0,706000000.0,-783000000.0,1057000000.0,-558000000.0,-60000000.0,-577000000.0,155000000.0,-574000000.0,-393000000.0,87000000,2015-06-30,91.58000183105469,91.58000183105469,90.30999755859376,90.72000122070312,87.63479614257812,4654600.0
