Report Date,Revenue,Cost of Revenue,Gross Profit,Operating Expenses,"Selling, General & Administrative",Operating Income (Loss),Non-Operating Income (Loss),"Interest Expense, Net","Pretax Income (Loss), Adj.",Pretax Income (Loss),"Income Tax (Expense) Benefit, Net",Income (Loss) from Continuing Operations,Net Income,Net Income (Common),"Cash, Cash Equivalents & Short Term Investments",Accounts & Notes Receivable,Inventories,Total Current Assets,"Property, Plant & Equipment, Net",Other Long Term Assets,Total Noncurrent Assets,Total Assets,Payables & Accruals,Total Current Liabilities,Long Term Debt,Total Noncurrent Liabilities,Total Liabilities,Share Capital & Additional Paid-In Capital,Retained Earnings,Total Equity,Total Liabilities & Equity,Net Income/Starting Line,Depreciation & Amortization.1,Non-Cash Items,Change in Working Capital,Net Cash from Operating Activities,Change in Fixed Assets & Intangibles,Net Cash from Acquisitions & Divestitures,Net Cash from Investing Activities,Dividends Paid,Cash from (Repurchase of) Equity,Net Cash from Financing Activities,Net Change in Cash,Price Date,Open,High,Low,Close,Adj Close,Volume
2010-07-31,1730451000.0,-1445536000.0,284915000.0,-146523000.0,-146523000.0,138392000.0,-3961000.0,-6493000.0,134431000,134431000,-48067000.0,86364000,85370000,85370000,427131000.0,383892000.0,790875000.0,1710582000.0,928163000.0,1206281000.0,2134444000.0,3845026000,666111000.0,1016111000.0,0.0,521193000.0,1537304000,7798000.0,2483635000.0,2307722000.0,3845026000,86364000.0,30647000.0,-1845000.0,-22882000.0,92284000.0,-22799000.0,166000.0,-22458000.0,-28029000.0,-20766000.0,-48090000.0,21736000,2010-07-30,10.595000267028807,10.760000228881836,10.56999969482422,10.729999542236328,8.72541332244873,2092000.0
2011-04-30,1959041000.0,-1632814000.0,326227000.0,-160136000.0,-160136000.0,166091000.0,1457000.0,-7187000.0,167548000,167548000,-56846000.0,110702000,109579000,109579000,964706000.0,405792000.0,810388000.0,2287204000.0,905521000.0,1258692000.0,2164213000.0,4451417000,655936000.0,1005936000.0,250000000.0,802233000.0,1808169000,27798000.0,2759116000.0,2643248000.0,4451417000,110702000.0,31084000.0,-16554000.0,-14645000.0,110587000.0,-18264000.0,0.0,-13942000.0,-34021000.0,-1238000.0,217758000.0,314891000,2011-04-29,14.625,14.739999771118164,14.595000267028807,14.704999923706055,12.129798889160154,1140000.0
2011-07-31,1910592000.0,-1612737000.0,297855000.0,-156595000.0,-156595000.0,141260000.0,78000.0,-5623000.0,141338000,141338000,-41374000.0,99964000,98481000,98481000,573489000.0,427927000.0,865875000.0,1977121000.0,895895000.0,1276513000.0,2172408000.0,4149529000,700963000.0,700963000.0,250000000.0,781951000.0,1482914000,7803000.0,2806391000.0,2666615000.0,4149529000,99964000.0,30646000.0,3032000.0,-90136000.0,43506000.0,-19036000.0,0.0,-40491000.0,-34066000.0,-39154000.0,-419977000.0,-416340000,2011-07-29,14.515000343322756,14.625,14.399999618530273,14.484999656677244,11.999286651611328,1953200.0
2011-10-31,2103898000.0,-1767872000.0,336026000.0,-156694000.0,-156694000.0,179332000.0,1007000.0,-3273000.0,180339000,180339000,-61844000.0,118495000,117309000,117309000,539207000.0,461110000.0,885823000.0,1998231000.0,907090000.0,1339070000.0,2246160000.0,4244391000,778186000.0,778186000.0,250000000.0,806389000.0,1584575000,7734000.0,2824331000.0,2659816000.0,4244391000,118495000.0,31238000.0,-1856000.0,23177000.0,171054000.0,-39768000.0,0.0,-98031000.0,-33984000.0,-69042000.0,-106410000.0,-34234000,2011-10-31,14.890000343322756,14.954999923706055,14.729999542236328,14.734999656677244,12.260501861572266,1378400.0
2012-01-31,2039439000.0,-1702030000.0,337409000.0,-152477000.0,-152477000.0,184932000.0,9377000.0,-3214000.0,194309000,194309000,-64976000.0,129333000,128395000,128395000,625001000.0,422505000.0,882828000.0,2021731000.0,908282000.0,1340281000.0,2248563000.0,4270294000,724586000.0,724586000.0,250000000.0,806602000.0,1531188000,7731000.0,2912503000.0,2739106000.0,4270294000,129333000.0,30815000.0,3052000.0,-11040000.0,152160000.0,-29403000.0,-168000.0,-28573000.0,-33600000.0,-7232000.0,-38903000.0,85488000,2012-01-31,14.4350004196167,14.5600004196167,14.350000381469727,14.390000343322756,12.035154342651367,2215400.0
2012-04-30,2012859000.0,-1677252000.0,335607000.0,-148684000.0,-148684000.0,186923000.0,6871000.0,-3283000.0,193794000,193794000,-64859000.0,128935000,127887000,127887000,601590000.0,439348000.0,912672000.0,2060075000.0,908529000.0,1346059000.0,2254588000.0,4314663000,699968000.0,699968000.0,250000000.0,808872000.0,1508840000,7713000.0,2980353000.0,2805823000.0,4314663000,128935000.0,28892000.0,-7595000.0,-89361000.0,60871000.0,-27011000.0,0.0,-23263000.0,-39586000.0,-24828000.0,-61709000.0,-23839000,2012-04-30,14.510000228881836,14.529999732971193,14.414999961853027,14.529999732971193,12.217002868652346,1057000.0
2012-07-31,2008188000.0,-1701132000.0,307056000.0,-145022000.0,-145022000.0,162034000.0,7460000.0,-3207000.0,169494000,169494000,-57087000.0,112407000,111167000,111167000,610230000.0,474425000.0,927047000.0,2117258000.0,915792000.0,1349569000.0,2265361000.0,4382619000,676710000.0,676710000.0,250000000.0,809710000.0,1486420000,7713000.0,3050070000.0,2896199000.0,4382619000,112407000.0,28920000.0,1286000.0,-71591000.0,71022000.0,-33991000.0,0.0,-21076000.0,-39497000.0,-4722000.0,-41252000.0,8438000,2012-07-31,14.050000190734865,14.079999923706055,13.9350004196167,13.954999923706055,11.794963836669922,2042000.0
2012-10-31,2170184000.0,-1818405000.0,351779000.0,-159685000.0,-159685000.0,192094000.0,8644000.0,-3155000.0,200738000,200738000,-66452000.0,134286000,132601000,132601000,759775000.0,507041000.0,950521000.0,2320684000.0,924480000.0,1318802000.0,2243282000.0,4563966000,786300000.0,786300000.0,250000000.0,952741000.0,1739041000,7707000.0,3135317000.0,2824925000.0,4563966000,134286000.0,30867000.0,10521000.0,58054000.0,233728000.0,-37334000.0,0.0,-33852000.0,-39521000.0,-9884000.0,-50885000.0,149171000,2012-10-31,14.774999618530273,14.880000114440918,14.65999984741211,14.765000343322756,12.54304313659668,1601200.0
2013-04-30,2152686000.0,-1799885000.0,352801000.0,-173066000.0,-173066000.0,179735000.0,5168000.0,-3142000.0,184903000,184903000,-58262000.0,126641000,125520000,125520000,262748000.0,462239000.0,998931000.0,1832340000.0,957759000.0,1877542000.0,2835301000.0,4667641000,707894000.0,707894000.0,250000000.0,941915000.0,1649809000,34434000.0,3300597000.0,3017832000.0,4667641000,126641000.0,31317000.0,5868000.0,-48081000.0,115745000.0,-22049000.0,-663128000.0,-698112000.0,-44967000.0,-2535000.0,-42625000.0,-624929000,2013-04-30,20.584999084472656,20.645000457763672,20.440000534057614,20.63500022888184,17.690196990966797,2103800.0
2013-07-31,2159525000.0,-1829219000.0,330306000.0,-150999000.0,-150999000.0,179307000.0,-2231000.0,-3122000.0,177076000,177076000,-63171000.0,113905000,113635000,113635000,329496000.0,514398000.0,1003736000.0,1951590000.0,949021000.0,1860638000.0,2809659000.0,4761249000,789484000.0,789484000.0,250000000.0,917881000.0,1707365000,7737000.0,3363363000.0,3053884000.0,4761249000,113905000.0,31825000.0,11415000.0,14146000.0,171291000.0,-21029000.0,-2287000.0,-23110000.0,-45021000.0,-37087000.0,-81316000.0,66748000,2013-07-31,21.09000015258789,21.26499938964844,20.989999771118164,21.174999237060547,18.228429794311523,1078600.0
