Report Date,Revenue,Cost of Revenue,Gross Profit,Operating Expenses,Depreciation & Amortization,Operating Income (Loss),Non-Operating Income (Loss),"Interest Expense, Net","Pretax Income (Loss), Adj.",Abnormal Gains (Losses),Pretax Income (Loss),"Income Tax (Expense) Benefit, Net",Income (Loss) from Continuing Operations,Net Income,Net Income (Common),"Cash, Cash Equivalents & Short Term Investments",Total Current Assets,"Property, Plant & Equipment, Net",Other Long Term Assets,Total Noncurrent Assets,Total Assets,Payables & Accruals,Total Current Liabilities,Long Term Debt,Total Noncurrent Liabilities,Total Liabilities,Share Capital & Additional Paid-In Capital,Retained Earnings,Total Equity,Total Liabilities & Equity,Net Income/Starting Line,Depreciation & Amortization.1,Non-Cash Items,Change in Working Capital,Change in Other,Net Cash from Operating Activities,Change in Fixed Assets & Intangibles,Net Cash from Acquisitions & Divestitures,Net Cash from Investing Activities,Dividends Paid,Cash from (Repayment of) Debt,Cash from (Repurchase of) Equity,Net Cash from Financing Activities,Net Change in Cash,Price Date,Open,High,Low,Close,Adj Close,Volume
2009-09-30,903000000.0,-661000000.0,242000000.0,-250000000.0,-137000000.0,-8000000.0,-96000000.0,-94000000.0,-104000000,12000000.0,-92000000,25000000.0,-67000000,-55000000,-57000000,1019000000.0,1166000000.0,10475000000.0,426000000.0,10901000000.0,12067000000,130000000.0,331000000.0,5539000000.0,5539000000.0,5870000000,6523000000.0,-575000000.0,6197000000.0,12067000000,-58000000.0,138000000.0,-34000000.0,69000000.0,69000000.0,115000000.0,68000000.0,13000000.0,16000000.0,-3000000.0,-522000000.0,108000000.0,-458000000.0,-327000000,2009-09-30,11.522271156311035,11.727850914001465,11.238374710083008,11.522271156311035,8.149569511413574,15445999.0
2009-12-31,1317000000.0,-920000000.0,397000000.0,-364000000.0,-184000000.0,33000000.0,-108000000.0,-113000000.0,-75000000,0.0,-75000000,10000000.0,-65000000,-70000000,-73000000,1642000000.0,1781000000.0,10355000000.0,419000000.0,10774000000.0,12555000000,174000000.0,368000000.0,5837000000.0,5837000000.0,6205000000,6881000000.0,-801000000.0,6350000000.0,12555000000,-71000000.0,188000000.0,2000000.0,63000000.0,63000000.0,182000000.0,-226000000.0,-7000000.0,-81000000.0,-18000000.0,258000000.0,179000000.0,522000000.0,623000000,2009-12-31,11.949999809265135,12.119999885559082,11.649999618530273,11.670000076293945,8.274670600891112,5173000.0
2010-09-30,1003000000.0,-702000000.0,301000000.0,-278000000.0,-134000000.0,23000000.0,-88000000.0,-87000000.0,-65000000,-1000000.0,-66000000,5000000.0,-61000000,-58000000,-58000000,838000000.0,1020000000.0,10605000000.0,470000000.0,11075000000.0,12095000000,187000000.0,388000000.0,5424000000.0,5424000000.0,5812000000,7033000000.0,-946000000.0,6283000000.0,12095000000,-62000000.0,134000000.0,6000000.0,29000000.0,29000000.0,107000000.0,-49000000.0,-292000000.0,-340000000.0,-7000000.0,-164000000.0,103000000.0,-95000000.0,-328000000,2010-09-30,14.59000015258789,14.850000381469727,14.31999969482422,14.479999542236328,10.288488388061523,9838400.0
2010-12-31,1423000000.0,-945000000.0,478000000.0,-389000000.0,-173000000.0,89000000.0,-107000000.0,-112000000.0,-18000000,4000000.0,-14000000,10000000.0,-4000000,-6000000,-6000000,1113000000.0,1243000000.0,10666000000.0,502000000.0,11168000000.0,12411000000,161000000.0,411000000.0,5477000000.0,5477000000.0,5888000000,7243000000.0,-965000000.0,6523000000.0,12411000000,-6000000.0,184000000.0,10000000.0,9000000.0,9000000.0,197000000.0,-160000000.0,-51000000.0,-208000000.0,-6000000.0,-3000000.0,248000000.0,284000000.0,273000000,2010-12-31,17.770000457763672,17.969999313354492,17.729999542236328,17.8700008392334,12.704326629638672,3073600.0
2011-03-31,893000000.0,-614000000.0,279000000.0,-282000000.0,-140000000.0,-3000000.0,-80000000.0,-78000000.0,-83000000,3000000.0,-80000000,20000000.0,-60000000,-60000000,-60000000,154000000.0,290000000.0,11706000000.0,497000000.0,12203000000.0,12493000000,166000000.0,379000000.0,5538000000.0,5538000000.0,5917000000,7363000000.0,-1039000000.0,6576000000.0,12493000000,-60000000.0,141000000.0,-14000000.0,-30000000.0,-30000000.0,37000000.0,-94000000.0,-994000000.0,-1138000000.0,-7000000.0,50000000.0,99000000.0,142000000.0,-959000000,2011-03-31,17.469999313354492,17.6299991607666,17.299999237060547,17.610000610351562,12.534058570861815,5832300.0
2011-06-30,1284000000.0,-826000000.0,458000000.0,-306000000.0,-148000000.0,152000000.0,-80000000.0,-84000000.0,72000000,3000000.0,75000000,-8000000.0,67000000,62000000,62000000,634000000.0,787000000.0,11807000000.0,509000000.0,12316000000.0,13103000000,178000000.0,387000000.0,5888000000.0,5888000000.0,6275000000,7573000000.0,-999000000.0,6826000000.0,13101000000,64000000.0,152000000.0,7000000.0,-4000000.0,-4000000.0,219000000.0,-146000000.0,-59000000.0,-152000000.0,-14000000.0,245000000.0,189000000.0,413000000.0,480000000,2011-06-30,16.629999160766598,17.049999237060547,16.579999923706055,16.950000762939453,12.086599349975586,8677400.0
2011-09-30,1131000000.0,-780000000.0,351000000.0,-297000000.0,-147000000.0,54000000.0,-87000000.0,-82000000.0,-33000000,1000000.0,-32000000,-3000000.0,-35000000,-33000000,-33000000,524000000.0,638000000.0,11610000000.0,557000000.0,12167000000.0,12805000000,173000000.0,398000000.0,5488000000.0,5488000000.0,5886000000,7767000000.0,-1032000000.0,6919000000.0,12805000000,-36000000.0,149000000.0,16000000.0,-1000000.0,-1000000.0,128000000.0,-89000000.0,28000000.0,-52000000.0,-21000000.0,-162000000.0,1000000.0,-186000000.0,-110000000,2011-09-30,11.079999923706056,11.210000038146973,10.869999885559082,10.9399995803833,7.828373432159424,11248700.0
2011-12-31,1406000000.0,-913000000.0,493000000.0,-389000000.0,-174000000.0,104000000.0,-100000000.0,-107000000.0,4000000,5000000.0,9000000,-8000000.0,1000000,16000000,16000000,826000000.0,954000000.0,11549000000.0,587000000.0,12136000000.0,13090000000,175000000.0,466000000.0,5753000000.0,5753000000.0,6219000000,7757000000.0,-1079000000.0,6871000000.0,13090000000,16000000.0,213000000.0,19000000.0,30000000.0,30000000.0,278000000.0,-167000000.0,-71000000.0,-234000000.0,-28000000.0,266000000.0,34000000.0,259000000.0,302000000,2011-12-30,14.75,14.859999656677244,14.65999984741211,14.770000457763672,10.605165481567383,4573700.0
2012-06-30,1326000000.0,-835000000.0,491000000.0,-314000000.0,-153000000.0,177000000.0,-86000000.0,-91000000.0,91000000,1000000.0,92000000,-12000000.0,80000000,82000000,82000000,465000000.0,629000000.0,11516000000.0,591000000.0,12107000000.0,12736000000,95000000.0,373000000.0,5226000000.0,5226000000.0,5599000000,7990000000.0,-1042000000.0,7137000000.0,12736000000,83000000.0,159000000.0,16000000.0,-29000000.0,-29000000.0,229000000.0,-179000000.0,-19000000.0,-177000000.0,-43000000.0,-907000000.0,49000000.0,-899000000.0,-847000000,2012-06-29,15.68000030517578,15.81999969482422,15.539999961853027,15.81999969482422,11.45350456237793,7780900.0
2012-09-30,1158000000.0,-775000000.0,383000000.0,-322000000.0,-155000000.0,61000000.0,-90000000.0,-89000000.0,-29000000,0.0,-29000000,-11000000.0,-40000000,-34000000,-34000000,254000000.0,444000000.0,11915000000.0,683000000.0,12598000000.0,13042000000,105000000.0,446000000.0,5495000000.0,5495000000.0,5941000000,8015000000.0,-1126000000.0,7101000000.0,13042000000,-35000000.0,161000000.0,22000000.0,-26000000.0,-26000000.0,122000000.0,-110000000.0,-434000000.0,-553000000.0,-51000000.0,255000000.0,33000000.0,219000000.0,-211000000,2012-09-28,15.989999771118164,16.149999618530273,15.960000038146973,16.049999237060547,11.677902221679688,6887600.0
2012-12-31,1623000000.0,-1050000000.0,573000000.0,-476000000.0,-265000000.0,97000000.0,-88000000.0,-88000000.0,9000000,19000000.0,28000000,-21000000.0,7000000,15000000,15000000,417000000.0,586000000.0,11742000000.0,666000000.0,12408000000.0,12994000000,194000000.0,566000000.0,5411000000.0,5411000000.0,5977000000,8047000000.0,-1234000000.0,7017000000.0,12994000000,15000000.0,281000000.0,5000000.0,56000000.0,56000000.0,357000000.0,-135000000.0,-101000000.0,-64000000.0,-58000000.0,-87000000.0,19000000.0,-130000000.0,163000000,2012-12-31,15.359999656677244,15.699999809265135,15.279999732971193,15.670000076293945,11.4674072265625,4329500.0
2013-03-31,1224000000.0,-841000000.0,383000000.0,-293000000.0,-173000000.0,90000000.0,-77000000.0,-75000000.0,13000000,14000000.0,27000000,7000000.0,34000000,56000000,56000000,1075000000.0,1259000000.0,11441000000.0,637000000.0,12078000000.0,13337000000,165000000.0,518000000.0,5534000000.0,5534000000.0,6052000000,8310000000.0,-1253000000.0,7285000000.0,13337000000,60000000.0,177000000.0,-25000000.0,-36000000.0,-36000000.0,176000000.0,156000000.0,-1000000.0,147000000.0,-65000000.0,298000000.0,103000000.0,334000000.0,658000000,2013-03-28,17.34000015258789,17.5,17.299999237060547,17.489999771118164,12.875075340270994,5405300.0
2013-06-30,1399000000.0,-894000000.0,505000000.0,-300000000.0,-171000000.0,205000000.0,-96000000.0,-102000000.0,109000000,22000000.0,131000000,-15000000.0,116000000,119000000,119000000,393000000.0,604000000.0,11395000000.0,666000000.0,12061000000.0,12665000000,175000000.0,559000000.0,4724000000.0,4724000000.0,5283000000,8407000000.0,-1216000000.0,7382000000.0,12665000000,121000000.0,174000000.0,0.0,-11000000.0,-11000000.0,284000000.0,58000000.0,-188000000.0,-172000000.0,-75000000.0,-798000000.0,89000000.0,-788000000.0,-682000000,2013-06-28,16.84000015258789,17.049999237060547,16.670000076293945,16.870000839233402,12.502015113830565,7021000.0
2013-09-30,1211000000.0,-833000000.0,378000000.0,-299000000.0,-175000000.0,79000000.0,-65000000.0,-64000000.0,14000000,-1000000.0,13000000,-11000000.0,2000000,19000000,19000000,354000000.0,560000000.0,11298000000.0,705000000.0,12003000000.0,12563000000,193000000.0,566000000.0,4560000000.0,4560000000.0,5126000000,8514000000.0,-1288000000.0,7437000000.0,12563000000,18000000.0,178000000.0,10000000.0,31000000.0,31000000.0,237000000.0,-107000000.0,-21000000.0,-127000000.0,-82000000.0,-180000000.0,111000000.0,-152000000.0,-39000000,2013-09-30,17.6299991607666,17.889999389648438,17.600000381469727,17.670000076293945,13.18276596069336,6002000.0
2013-12-31,1332000000.0,-892000000.0,440000000.0,-302000000.0,-178000000.0,138000000.0,-79000000.0,-59000000.0,59000000,1000000.0,60000000,-2000000.0,58000000,123000000,123000000,861000000.0,987000000.0,11168000000.0,659000000.0,11827000000.0,12814000000,214000000.0,603000000.0,4759000000.0,4759000000.0,5362000000,8500000000.0,-1263000000.0,7452000000.0,12814000000,126000000.0,178000000.0,-39000000.0,57000000.0,57000000.0,322000000.0,100000000.0,-30000000.0,77000000.0,-91000000.0,204000000.0,0.0,113000000.0,507000000,2013-12-31,19.32999992370605,19.530000686645508,19.280000686645508,19.440000534057614,14.60102081298828,5478600.0
2014-03-31,1309000000.0,-875000000.0,434000000.0,-303000000.0,-172000000.0,131000000.0,-65000000.0,-57000000.0,66000000,115000000.0,181000000,4000000.0,185000000,179000000,179000000,392000000.0,575000000.0,10966000000.0,668000000.0,11634000000.0,12209000000,185000000.0,571000000.0,4093000000.0,4093000000.0,4664000000,8502000000.0,-1189000000.0,7545000000.0,12209000000,185000000.0,172000000.0,-104000000.0,-82000000.0,-82000000.0,171000000.0,184000000.0,-87000000.0,134000000.0,-98000000.0,-676000000.0,1000000.0,-775000000.0,-469000000,2014-03-31,20.040000915527344,20.290000915527344,19.899999618530273,20.239999771118164,15.310522079467773,4707500.0
2014-06-30,1431000000.0,-905000000.0,526000000.0,-301000000.0,-174000000.0,225000000.0,-50000000.0,-54000000.0,175000000,-1000000.0,174000000,-15000000.0,159000000,155000000,155000000,440000000.0,641000000.0,10920000000.0,654000000.0,11574000000.0,12215000000,202000000.0,590000000.0,4030000000.0,4030000000.0,4620000000,8493000000.0,-1148000000.0,7595000000.0,12215000000,159000000.0,174000000.0,19000000.0,2000000.0,2000000.0,354000000.0,-93000000.0,-18000000.0,-122000000.0,-106000000.0,-72000000.0,-1000000.0,-185000000.0,48000000,2014-06-30,22.239999771118164,22.270000457763672,21.959999084472656,22.01000022888184,16.763374328613278,6521300.0
2014-12-31,1287000000.0,-879000000.0,408000000.0,-275000000.0,-169000000.0,133000000.0,-8000000.0,-42000000.0,125000000,124000000.0,249000000,3000000.0,252000000,254000000,254000000,684000000.0,754000000.0,10704000000.0,714000000.0,11418000000.0,12172000000,298000000.0,622000000.0,3957000000.0,3957000000.0,4579000000,8484000000.0,-1098000000.0,7593000000.0,12172000000,252000000.0,169000000.0,-117000000.0,72000000.0,72000000.0,376000000.0,82000000.0,-11000000.0,82000000.0,-151000000.0,-11000000.0,4000000.0,-154000000.0,301000000,2014-12-31,24.18000030517578,24.28000068664551,23.68000030517578,23.770000457763672,18.473751068115234,5643000.0
2015-06-30,1439000000.0,-920000000.0,519000000.0,-297000000.0,-178000000.0,222000000.0,-47000000.0,-71000000.0,175000000,52000000.0,227000000,-13000000.0,214000000,212000000,212000000,262000000.0,431000000.0,10927000000.0,683000000.0,11610000000.0,12041000000,230000000.0,540000000.0,4053000000.0,4053000000.0,4593000000,8403000000.0,-1089000000.0,7448000000.0,12041000000,214000000.0,178000000.0,-41000000.0,34000000.0,34000000.0,385000000.0,-9000000.0,-404000000.0,-399000000.0,-151000000.0,79000000.0,-131000000.0,-208000000.0,-223000000,2015-06-30,19.709999084472656,19.88999938964844,19.3799991607666,19.82999992370605,15.720006942749025,9626400.0
2015-09-30,1283000000.0,-859000000.0,424000000.0,-295000000.0,-177000000.0,129000000.0,-41000000.0,-46000000.0,88000000,8000000.0,96000000,-9000000.0,87000000,85000000,85000000,265000000.0,465000000.0,10848000000.0,667000000.0,11515000000.0,11980000000,248000000.0,566000000.0,4278000000.0,4278000000.0,4844000000,8231000000.0,-1152000000.0,7136000000.0,11980000000,87000000.0,177000000.0,2000000.0,-13000000.0,-13000000.0,253000000.0,-139000000.0,-2000000.0,-133000000.0,-150000000.0,245000000.0,-199000000.0,-111000000.0,3000000,2015-09-30,15.539999961853027,15.880000114440918,15.449999809265135,15.8100004196167,12.68937873840332,20161200.0
2015-12-31,1326000000.0,-878000000.0,448000000.0,-303000000.0,-180000000.0,145000000.0,-14000000.0,-58000000.0,131000000,30000000.0,161000000,4000000.0,165000000,163000000,163000000,221000000.0,347000000.0,10724000000.0,585000000.0,11309000000.0,11656000000,243000000.0,542000000.0,3867000000.0,3867000000.0,4409000000,8310000000.0,-1139000000.0,7247000000.0,11656000000,165000000.0,180000000.0,-51000000.0,64000000.0,64000000.0,358000000.0,-98000000.0,-36000000.0,-11000000.0,-148000000.0,158000000.0,-345000000.0,-340000000.0,5000000,2015-12-31,15.720000267028807,15.739999771118164,15.329999923706055,15.34000015258789,12.470196723937988,6264400.0
2016-03-31,1339000000.0,-890000000.0,449000000.0,-301000000.0,-181000000.0,148000000.0,-36000000.0,-38000000.0,112000000,63000000.0,175000000,9000000.0,184000000,182000000,182000000,234000000.0,414000000.0,10703000000.0,573000000.0,11276000000.0,11690000000,215000000.0,512000000.0,3961000000.0,3961000000.0,4473000000,8221000000.0,-1107000000.0,7217000000.0,11690000000,184000000.0,181000000.0,-55000000.0,-91000000.0,-91000000.0,219000000.0,-53000000.0,-1000000.0,-47000000.0,-150000000.0,80000000.0,-81000000.0,-152000000.0,24000000,2016-03-31,16.450000762939453,16.729999542236328,16.360000610351562,16.700000762939453,13.743993759155273,8362200.0
2016-06-30,1459000000.0,-915000000.0,544000000.0,-305000000.0,-178000000.0,239000000.0,-30000000.0,-39000000.0,209000000,174000000.0,383000000,-32000000.0,351000000,347000000,347000000,266000000.0,418000000.0,10625000000.0,549000000.0,11174000000.0,11592000000,228000000.0,516000000.0,3715000000.0,3715000000.0,4231000000,8153000000.0,-907000000.0,7361000000.0,11592000000,351000000.0,178000000.0,-151000000.0,14000000.0,14000000.0,392000000.0,185000000.0,-50000000.0,137000000.0,-150000000.0,-241000000.0,-81000000.0,-475000000.0,54000000,2016-06-30,16.059999465942386,16.209999084472653,15.789999961853027,16.209999084472653,13.523597717285154,10087600.0
