Report Date,Revenue,Cost of Revenue,Gross Profit,Operating Expenses,"Selling, General & Administrative",Research & Development,Operating Income (Loss),Non-Operating Income (Loss),"Interest Expense, Net","Pretax Income (Loss), Adj.",Pretax Income (Loss),"Income Tax (Expense) Benefit, Net",Income (Loss) from Continuing Operations,Net Income,Net Income (Common),"Cash, Cash Equivalents & Short Term Investments",Accounts & Notes Receivable,Inventories,Total Current Assets,"Property, Plant & Equipment, Net",Other Long Term Assets,Total Noncurrent Assets,Total Assets,Payables & Accruals,Total Current Liabilities,Long Term Debt,Total Noncurrent Liabilities,Total Liabilities,Share Capital & Additional Paid-In Capital,Retained Earnings,Total Equity,Total Liabilities & Equity,Net Income/Starting Line,Depreciation & Amortization.1,Non-Cash Items,Change in Working Capital,Net Cash from Operating Activities,Change in Fixed Assets & Intangibles,Net Change in Long Term Investment,Net Cash from Investing Activities,Cash from (Repurchase of) Equity,Net Cash from Financing Activities,Net Change in Cash,Price Date,Open,High,Low,Close,Adj Close,Volume
2012-06-30,86542000.0,-16000.0,86526000.0,-71307000.0,-19719000.0,-51588000.0,15219000.0,-11115000.0,-11115000.0,4104000,4104000,-67000.0,4037000,4037000,4037000,261807000.0,13841000.0,188000.0,294158000.0,6515000.0,11298000.0,17813000.0,311971000,54082000.0,139731000.0,318630000.0,389428000.0,529159000,1432051000.0,-1650959000.0,-217188000.0,311971000,4037000.0,7404000.0,9911000.0,-12628000.0,8724000.0,-1007000.0,97000.0,-910000.0,17894000.0,17894000.0,25708000,2012-06-29,22.940000534057607,23.06999969482422,22.440000534057614,22.70000076293945,22.70000076293945,743300.0
2012-09-30,60492000.0,-31000.0,60461000.0,-70599000.0,-20520000.0,-50079000.0,-10138000.0,-11546000.0,-11546000.0,-21684000,-21684000,-26000.0,-21710000,-21710000,-21710000,243599000.0,16540000.0,190000.0,278728000.0,6169000.0,11638000.0,17807000.0,296535000,60852000.0,137641000.0,324783000.0,378844000.0,516485000,1450570000.0,-1672669000.0,-219950000.0,296535000,-21710000.0,7576000.0,9583000.0,-22594000.0,-27145000.0,-406000.0,157000.0,-249000.0,8914000.0,8914000.0,-18480000,2012-09-28,17.75,18.1299991607666,17.709999084472656,18.049999237060547,18.049999237060547,1055100.0
2012-12-31,113846000.0,-99000.0,113747000.0,-83492000.0,-23728000.0,-59764000.0,30255000.0,-11395000.0,-11395000.0,18860000,18860000,-81000.0,18779000,18779000,18779000,228418000.0,70951000.0,278000.0,309514000.0,6348000.0,14557000.0,20905000.0,330419000,69995000.0,136074000.0,331076000.0,369302000.0,505376000,1477055000.0,-1653890000.0,-174957000.0,330419000,18779000.0,7765000.0,8515000.0,-57067000.0,-22008000.0,-930000.0,430000.0,-500000.0,7482000.0,7482000.0,-15026000,2012-12-31,16.079999923706055,16.65999984741211,15.989999771118164,16.610000610351562,16.610000610351562,1735400.0
2013-03-31,71077000.0,-150000.0,70927000.0,-75024000.0,-22261000.0,-52763000.0,-4097000.0,-11529000.0,-11529000.0,-15626000,-15626000,-43000.0,-15669000,-15669000,-15669000,270179000.0,28041000.0,189000.0,309113000.0,6485000.0,14684000.0,21169000.0,330282000,68729000.0,121283000.0,337513000.0,372525000.0,493808000,1504034000.0,-1669559000.0,-163526000.0,330282000,-15669000.0,7734000.0,9182000.0,23491000.0,24738000.0,-894000.0,136000.0,-758000.0,17777000.0,17777000.0,41757000,2013-03-28,22.61000061035156,23.440000534057607,22.59000015258789,23.40999984741211,23.40999984741211,903700.0
2013-06-30,101675000.0,-157000.0,101518000.0,-84199000.0,-23249000.0,-60950000.0,17319000.0,-10048000.0,-10048000.0,7271000,-2500000,-71000.0,-2571000,-2571000,-2571000,277453000.0,27522000.0,133000.0,313369000.0,6236000.0,14614000.0,20850000.0,334219000,63929000.0,102958000.0,223817000.0,259047000.0,362005000,1642351000.0,-1672130000.0,-27786000.0,334219000,-2571000.0,8053000.0,19719000.0,-17120000.0,8081000.0,-553000.0,-15149000.0,-15702000.0,9780000.0,9000.0,-7612000,2013-06-28,21.450000762939453,22.3799991607666,21.309999465942386,22.0,22.0,1401400.0
2013-09-30,85123000.0,-155000.0,84968000.0,-98151000.0,-26447000.0,-71704000.0,-13183000.0,-7314000.0,-7314000.0,-20497000,-21988000,-49000.0,-22037000,-22037000,-22037000,291174000.0,33197000.0,359000.0,333743000.0,6201000.0,17456000.0,23657000.0,357400000,83995000.0,109498000.0,187136000.0,219111000.0,328609000,1720949000.0,-1694166000.0,28791000.0,357400000,-22036000.0,4568000.0,10938000.0,-5420000.0,-11950000.0,-789000.0,-214000.0,-1003000.0,28364000.0,26873000.0,13920000,2013-09-30,37.08000183105469,38.86999893188477,36.93000030517578,38.150001525878906,38.150001525878906,1322600.0
2013-12-31,97072000.0,-168000.0,96904000.0,-113045000.0,-38026000.0,-75019000.0,-16141000.0,-8437000.0,-8437000.0,-24578000,-42734000,-136000.0,-42870000,-42870000,-42870000,509004000.0,35374000.0,406000.0,555799000.0,26848000.0,46921000.0,73769000.0,629568000,95152000.0,108042000.0,661567000.0,714634000.0,822676000,1541936000.0,-1737037000.0,-193108000.0,629568000,-42871000.0,8852000.0,27763000.0,-5433000.0,-11689000.0,-2031000.0,-17903000.0,-19934000.0,17236000.0,230930000.0,199307000,2013-12-31,50.7400016784668,51.25,50.2400016784668,50.63000106811523,50.63000106811523,603400.0
2014-03-31,89792000.0,-168000.0,89624000.0,-112559000.0,-36974000.0,-75585000.0,-22935000.0,-10708000.0,-10708000.0,-33643000,-33908000,-49000.0,-33957000,-33957000,-33957000,519231000.0,46394000.0,347000.0,581170000.0,38654000.0,47002000.0,85656000.0,666826000,94057000.0,106944000.0,665222000.0,722304000.0,829248000,1606532000.0,-1770994000.0,-162422000.0,666826000,-33957000.0,9623000.0,15643000.0,-23003000.0,-31694000.0,-2663000.0,-45024000.0,-47687000.0,44833000.0,44537000.0,-34844000,2014-03-31,50.34000015258789,53.81000137329102,50.27000045776367,53.52000045776367,53.52000045776367,2245000.0
2014-06-30,99582000.0,-187000.0,99395000.0,-125582000.0,-40899000.0,-84683000.0,-26187000.0,-10616000.0,-10616000.0,-36803000,-36803000,-70000.0,-36873000,-36873000,-36873000,508753000.0,47205000.0,269000.0,577145000.0,55607000.0,46355000.0,101962000.0,679107000,99662000.0,112547000.0,673315000.0,737558000.0,850105000,1634789000.0,-1807867000.0,-170998000.0,679107000,-36873000.0,9698000.0,15478000.0,-2860000.0,-14557000.0,-8699000.0,-19844000.0,-28543000.0,12779000.0,12779000.0,-30321000,2014-06-30,55.84000015258789,57.25,55.7400016784668,56.43999862670898,56.43999862670898,1022200.0
2014-09-30,198147000.0,-221000.0,197926000.0,-127983000.0,-39446000.0,-88537000.0,69943000.0,-10578000.0,-10578000.0,59365000,59365000,-72000.0,59293000,59293000,59293000,532359000.0,109599000.0,402000.0,662614000.0,75258000.0,47393000.0,122651000.0,785265000,111778000.0,124660000.0,681313000.0,750196000.0,874856000,1657070000.0,-1748575000.0,-89591000.0,785265000,59292000.0,9871000.0,15323000.0,-56699000.0,27787000.0,-10659000.0,-48032000.0,-58691000.0,6539000.0,6644000.0,-24260000,2014-09-30,50.77000045776367,50.84000015258789,49.02000045776367,49.04999923706055,49.04999923706055,995000.0
