Report Date,Revenue,Cost of Revenue,Gross Profit,Operating Expenses,"Selling, General & Administrative",Research & Development,Operating Income (Loss),Non-Operating Income (Loss),"Interest Expense, Net","Pretax Income (Loss), Adj.",Pretax Income (Loss),"Income Tax (Expense) Benefit, Net",Income (Loss) from Continuing Operations,Net Income,Net Income (Common),"Cash, Cash Equivalents & Short Term Investments",Accounts & Notes Receivable,Inventories,Total Current Assets,"Property, Plant & Equipment, Net",Other Long Term Assets,Total Noncurrent Assets,Total Assets,Payables & Accruals,Short Term Debt,Total Current Liabilities,Long Term Debt,Total Noncurrent Liabilities,Total Liabilities,Share Capital & Additional Paid-In Capital,Retained Earnings,Total Equity,Total Liabilities & Equity,Net Income/Starting Line,Depreciation & Amortization.1,Non-Cash Items,Change in Working Capital,Net Cash from Operating Activities,Change in Fixed Assets & Intangibles,Net Cash from Acquisitions & Divestitures,Net Cash from Investing Activities,Cash from (Repayment of) Debt,Cash from (Repurchase of) Equity,Net Cash from Financing Activities,Net Change in Cash,Price Date,Open,High,Low,Close,Adj Close,Volume
2011-09-30,129064000.0,-58605000.0,70459000.0,-23154000.0,-16653000.0,-6501000.0,47305000.0,1863000.0,-209000.0,49168000,49168000,-14899000.0,34269000,32869000,32869000,196586000.0,80361000.0,117276000.0,431612000.0,143339000.0,21373000.0,164712000.0,596324000,95518000.0,1546000.0,110658000.0,16296000.0,21052000.0,131710000,329421000.0,91753000.0,464614000.0,596324000,34269000.0,6227000.0,-1345000.0,-10148000.0,29003000.0,-11964000.0,0.0,-11887000.0,71000.0,4491000.0,1825000.0,8390000,2011-09-30,45.43999862670898,45.75,42.65999984741211,43.43999862670898,43.43999862670898,595600.0
2011-12-31,123524000.0,-57100000.0,66424000.0,-21803000.0,-15223000.0,-6580000.0,44621000.0,1561000.0,-96000.0,46182000,46182000,-14327000.0,31855000,31086000,31086000,205685000.0,75755000.0,116978000.0,434457000.0,155202000.0,18473000.0,173675000.0,608132000,79637000.0,1613000.0,93712000.0,15726000.0,24687000.0,118399000,332590000.0,122833000.0,489733000.0,608132000,31855000.0,5780000.0,3415000.0,-9694000.0,31356000.0,-18257000.0,-300000.0,-44088000.0,-928000.0,777000.0,372000.0,-16352000,2011-12-30,34.630001068115234,35.09000015258789,33.759998321533196,33.86999893188477,33.86999893188477,255700.0
2012-03-31,123192000.0,-54508000.0,68684000.0,-22221000.0,-15081000.0,-7140000.0,46463000.0,-2509000.0,-129000.0,43954000,43954000,-13406000.0,30548000,29915000,29915000,395522000.0,88426000.0,123430000.0,647678000.0,169876000.0,17351000.0,187227000.0,834905000,82222000.0,1575000.0,103139000.0,15132000.0,25013000.0,128152000,504248000.0,153241000.0,706753000.0,834905000,30548000.0,6215000.0,9362000.0,-19120000.0,27005000.0,-13779000.0,0.0,-6629000.0,2334000.0,749000.0,171699000.0,196837000,2012-03-30,52.11999893188477,52.540000915527344,51.5,52.04999923706055,52.04999923706055,297700.0
2012-06-30,137927000.0,-63017000.0,74910000.0,-21819000.0,-14590000.0,-7229000.0,53091000.0,3877000.0,615000.0,56968000,56968000,-17119000.0,39849000,37742000,37742000,355343000.0,86132000.0,121979000.0,602957000.0,177441000.0,17616000.0,195057000.0,798014000,90616000.0,1580000.0,103778000.0,14671000.0,24505000.0,128283000,499956000.0,190983000.0,669731000.0,798014000,39849000.0,6143000.0,1780000.0,3678000.0,51450000.0,-22187000.0,0.0,-13689000.0,-6553000.0,1500000.0,-60652000.0,-31493000,2012-06-29,44.560001373291016,46.1500015258789,43.43000030517578,43.59000015258789,43.59000015258789,952600.0
2012-09-30,156379000.0,-70420000.0,85959000.0,-24156000.0,-16394000.0,-7762000.0,61803000.0,-1536000.0,55000.0,60267000,60267000,-17832000.0,42435000,42435000,42435000,372569000.0,110649000.0,135121000.0,661106000.0,195153000.0,22126000.0,217279000.0,878385000,107628000.0,1572000.0,121281000.0,14341000.0,27532000.0,148813000,506859000.0,233418000.0,729572000.0,878385000,42435000.0,6810000.0,10335000.0,-21530000.0,38050000.0,-15749000.0,-11596000.0,-17854000.0,413000.0,2026000.0,5155000.0,26991000,2012-09-28,57.06000137329102,57.86999893188477,56.79999923706055,57.29999923706055,57.29999923706055,510800.0
2012-12-31,145030000.0,-69856000.0,75174000.0,-26281000.0,-17011000.0,-9270000.0,48893000.0,-867000.0,-222000.0,48026000,48026000,-13114000.0,34912000,34912000,34912000,384053000.0,96630000.0,139618000.0,664959000.0,210563000.0,19976000.0,230539000.0,895498000,111677000.0,1505000.0,125455000.0,14014000.0,27116000.0,152571000,511044000.0,234977000.0,742927000.0,895498000,34912000.0,6976000.0,9153000.0,7730000.0,58771000.0,-16469000.0,0.0,-17085000.0,-2741000.0,1205000.0,-34115000.0,11484000,2012-12-31,64.23000335693361,67.0,64.22000122070311,66.65000152587889,66.65000152587889,416500.0
2013-03-31,141852000.0,-66211000.0,75641000.0,-26476000.0,-17678000.0,-8798000.0,49165000.0,498000.0,-53000.0,49663000,49663000,-14536000.0,35127000,35127000,35127000,355715000.0,102793000.0,142096000.0,649371000.0,218995000.0,23892000.0,242887000.0,892258000,73904000.0,1529000.0,88110000.0,12525000.0,30923000.0,119033000,515760000.0,270104000.0,773225000.0,892258000,35127000.0,7217000.0,8600000.0,-62283000.0,-11339000.0,-17657000.0,-5555000.0,-22837000.0,5842000.0,720000.0,8026000.0,-28338000,2013-03-28,66.01000213623047,67.12999725341797,65.48999786376953,66.41000366210939,66.41000366210939,289500.0
2013-06-30,168171000.0,-78249000.0,89922000.0,-30157000.0,-19674000.0,-10483000.0,59765000.0,-164000.0,-35000.0,59601000,59601000,-17881000.0,41720000,41720000,41720000,369484000.0,114498000.0,154093000.0,691585000.0,225195000.0,22475000.0,247670000.0,939255000,89836000.0,1333000.0,95202000.0,12000000.0,28086000.0,123288000,521049000.0,311824000.0,815967000.0,939255000,41720000.0,7668000.0,1255000.0,-15030000.0,35613000.0,-16440000.0,0.0,-16408000.0,-8648000.0,1457000.0,-6299000.0,13769000,2013-06-28,59.93999862670898,60.88000106811523,59.31999969482422,60.72999954223633,60.72999954223633,333000.0
2013-09-30,172152000.0,-79339000.0,92813000.0,-31477000.0,-19976000.0,-11501000.0,61336000.0,-1282000.0,63000.0,60054000,60054000,-17716000.0,42338000,42338000,42338000,398355000.0,120640000.0,171268000.0,749208000.0,236507000.0,24081000.0,260588000.0,1009796000,100877000.0,1333000.0,105807000.0,11667000.0,28302000.0,134109000,526486000.0,354162000.0,875687000.0,1009796000,42338000.0,8529000.0,7092000.0,-21272000.0,36687000.0,-14034000.0,0.0,-13999000.0,-608000.0,1051000.0,1697000.0,28871000,2013-09-30,56.90999984741211,56.90999984741211,56.06000137329102,56.349998474121094,56.349998474121094,487700.0
2013-12-31,165859000.0,-84337000.0,81522000.0,-31105000.0,-20227000.0,-10878000.0,50417000.0,-1434000.0,24000.0,48983000,48983000,-12388000.0,36595000,36595000,36595000,448776000.0,103803000.0,172700000.0,786343000.0,252245000.0,22628000.0,274873000.0,1061216000,93341000.0,1333000.0,100079000.0,11333000.0,33168000.0,133247000,538913000.0,390757000.0,927969000.0,1061216000,36595000.0,8110000.0,9533000.0,4168000.0,58406000.0,-22552000.0,0.0,-22642000.0,1414000.0,4047000.0,10725000.0,50421000,2013-12-31,77.48999786376953,78.30999755859375,76.69000244140625,77.61000061035156,77.61000061035156,413400.0
