Report Date,Revenue,Cost of Revenue,Gross Profit,Operating Expenses,"Selling, General & Administrative",Operating Income (Loss),Non-Operating Income (Loss),"Interest Expense, Net","Pretax Income (Loss), Adj.",Pretax Income (Loss),"Income Tax (Expense) Benefit, Net",Income (Loss) from Continuing Operations,Net Income,Net Income (Common),"Cash, Cash Equivalents & Short Term Investments",Accounts & Notes Receivable,Total Current Assets,"Property, Plant & Equipment, Net",Other Long Term Assets,Total Noncurrent Assets,Total Assets,Payables & Accruals,Short Term Debt,Total Current Liabilities,Long Term Debt,Total Noncurrent Liabilities,Total Liabilities,Share Capital & Additional Paid-In Capital,Retained Earnings,Total Equity,Total Liabilities & Equity,Net Income/Starting Line,Depreciation & Amortization.1,Non-Cash Items,Change in Working Capital,Net Cash from Operating Activities,Change in Fixed Assets & Intangibles,Net Cash from Acquisitions & Divestitures,Net Cash from Investing Activities,Cash from (Repayment of) Debt,Cash from (Repurchase of) Equity,Net Cash from Financing Activities,Net Change in Cash,Price Date,Open,High,Low,Close,Adj Close,Volume
2009-06-30,2706724000.0,-2334861000.0,371863000.0,-225189000.0,-225189000.0,146674000.0,1393000.0,2063000.0,148067000,148067000,-53381000.0,94686000,94900000,94900000,1059470000.0,1650998000.0,2893060000.0,243431000.0,1289045000.0,1532476000.0,4425536000,1126018000.0,34530000.0,1426331000.0,13275000.0,378916000.0,1805247000,809066000.0,1938226000.0,2620289000.0,4425536000,94900000.0,19239000.0,7782000.0,158100000.0,280021000.0,-10263000.0,0.0,-37203000.0,15981000.0,10295000.0,27541000.0,286818000,2009-06-30,42.33000183105469,43.2400016784668,41.5,42.09000015258789,40.35908889770508,1587800.0
2009-09-30,2552547000.0,-2204570000.0,347977000.0,-225834000.0,-225834000.0,122143000.0,1714000.0,3001000.0,123857000,123857000,-44616000.0,79241000,79317000,79317000,1033619000.0,1618561000.0,2818449000.0,240350000.0,1369815000.0,1610165000.0,4428614000,1026257000.0,17495000.0,1295901000.0,737000.0,501238000.0,1797139000,828090000.0,2009338000.0,2631475000.0,4428614000,78676000.0,29699000.0,6492000.0,-64359000.0,50508000.0,-8327000.0,-22296000.0,-38757000.0,-27261000.0,10910000.0,-66223000.0,-25851000,2009-09-30,46.63000106811523,46.959999084472656,45.06000137329102,45.95000076293945,44.06034851074219,1240000.0
2009-12-31,2477785000.0,-2128576000.0,349209000.0,-235728000.0,-235728000.0,113481000.0,-333000.0,226000.0,113148000,113148000,-40747000.0,72401000,72437000,72437000,1055038000.0,1549760000.0,2772872000.0,221575000.0,1686089000.0,1907664000.0,4680536000,1060021000.0,113459000.0,1450312000.0,628000.0,506810000.0,1957122000,842741000.0,2081354000.0,2723414000.0,4680536000,72437000.0,22779000.0,5282000.0,139871000.0,240369000.0,3921000.0,-220131000.0,-327208000.0,97416000.0,7938000.0,107411000.0,21419000,2009-12-31,37.95000076293945,38.2400016784668,37.56999969482422,37.61000061035156,36.063323974609375,1046100.0
2010-03-31,2586974000.0,-2223793000.0,363181000.0,-241177000.0,-241177000.0,122004000.0,-844000.0,91000.0,121160000,121160000,-43593000.0,77567000,77500000,77500000,839057000.0,1698774000.0,2710330000.0,223776000.0,1716716000.0,1940492000.0,4650822000,1019442000.0,95579000.0,1352706000.0,561000.0,485829000.0,1838535000,860107000.0,2156895000.0,2812287000.0,4650822000,77531000.0,22062000.0,6214000.0,-229009000.0,-123202000.0,-15114000.0,-41719000.0,-78851000.0,-18348000.0,10124000.0,-14651000.0,-215981000,2010-03-31,45.20000076293945,45.5099983215332,45.0,45.18999862670898,43.33160400390625,1030700.0
2010-06-30,2507725000.0,-2235537000.0,272188000.0,-227105000.0,-227105000.0,45083000.0,-7844000.0,-6200000.0,37239000,37239000,-17999000.0,19240000,19043000,19043000,941680000.0,1661767000.0,2773201000.0,220153000.0,1667422000.0,1887575000.0,4660776000,1069212000.0,93610000.0,1366698000.0,517000.0,476286000.0,1842984000,878235000.0,2174378000.0,2817792000.0,4660776000,19240000.0,20873000.0,8170000.0,71760000.0,120043000.0,-16262000.0,3052000.0,9428000.0,-1996000.0,9580000.0,8954000.0,102623000,2010-06-30,36.61000061035156,37.47000122070313,36.36999893188477,36.43999862670898,34.94144058227539,1442200.0
2010-09-30,2343033000.0,-1995006000.0,348027000.0,-228512000.0,-228512000.0,119515000.0,872000.0,800000.0,120387000,120387000,-43308000.0,77079000,76994000,76994000,938842000.0,1659844000.0,2767042000.0,215032000.0,1701843000.0,1916875000.0,4683917000,965155000.0,79399000.0,1239453000.0,509000.0,579536000.0,1818989000,893423000.0,2251366000.0,2864928000.0,4683917000,77079000.0,22781000.0,27565000.0,-141014000.0,-13589000.0,-7241000.0,-694000.0,-1855000.0,-19199000.0,8567000.0,-8600000.0,-2838000,2010-09-30,39.02000045776367,39.27999877929688,38.400001525878906,38.70000076293945,37.10850524902344,1391000.0
2010-12-31,2356175000.0,-2025137000.0,331038000.0,-227419000.0,-227419000.0,103619000.0,104000.0,97000.0,103723000,103723000,-37026000.0,66697000,65823000,65823000,1039683000.0,1617830000.0,2837209000.0,207092000.0,1862335000.0,2069427000.0,4906636000,974070000.0,70587000.0,1254925000.0,11837000.0,696800000.0,1951725000,911448000.0,2317182000.0,2954911000.0,4906636000,66697000.0,20233000.0,6710000.0,52130000.0,145770000.0,-5078000.0,-57993000.0,-60783000.0,3527000.0,11074000.0,14902000.0,100841000,2010-12-31,45.81999969482422,46.11000061035156,45.70000076293945,45.849998474121094,43.96445846557617,491200.0
2011-03-31,2558016000.0,-2168835000.0,389181000.0,-261166000.0,-261166000.0,128015000.0,-1534000.0,-1571000.0,126481000,126481000,-45140000.0,81341000,80250000,80250000,747911000.0,1984258000.0,2933514000.0,234548000.0,2469551000.0,2704099000.0,5637613000,1140991000.0,54538000.0,1486324000.0,379696000.0,1101835000.0,2588159000,938519000.0,2386861000.0,3049454000.0,5637613000,81341000.0,23734000.0,-512000.0,-186536000.0,-81973000.0,-10591000.0,-555174000.0,-567065000.0,343536000.0,11078000.0,358143000.0,-291772000,2011-03-31,51.0,51.4900016784668,50.7400016784668,51.43000030517578,49.31499481201172,1299900.0
2011-06-30,2744178000.0,-2331466000.0,412712000.0,-273332000.0,-273332000.0,139380000.0,1921000.0,-1251000.0,141301000,141301000,-49365000.0,91936000,90676000,90676000,773819000.0,2177632000.0,3124726000.0,292870000.0,2621721000.0,2914591000.0,6039317000,1300008000.0,548743000.0,2129815000.0,2455000.0,756324000.0,2886139000,968101000.0,2470018000.0,3153178000.0,6039317000,91936000.0,25176000.0,-5835000.0,-50885000.0,60392000.0,-64843000.0,-92987000.0,-155162000.0,111302000.0,14014000.0,128250000.0,25908000,2011-06-30,42.540000915527344,43.459999084472656,42.41999816894531,43.25,41.47138977050781,1080700.0
2011-09-30,2723295000.0,-2296733000.0,426562000.0,-278658000.0,-278658000.0,147904000.0,-2748000.0,-1157000.0,145156000,145156000,-49909000.0,95247000,94280000,94280000,905633000.0,2077494000.0,3180091000.0,284633000.0,2734502000.0,3019135000.0,6199226000,1325756000.0,566031000.0,2168526000.0,2042000.0,707315000.0,2875841000,986245000.0,2564281000.0,3323385000.0,6199226000,95247000.0,26227000.0,17309000.0,-26482000.0,112301000.0,-14377000.0,-600000.0,-18826000.0,45788000.0,9777000.0,55638000.0,131814000,2011-09-30,33.939998626708984,34.189998626708984,32.240001678466804,32.290000915527344,30.962106704711914,2845000.0
