Report Date,Revenue,Cost of Revenue,Gross Profit,Operating Expenses,"Selling, General & Administrative",Depreciation & Amortization,Operating Income (Loss),Non-Operating Income (Loss),"Interest Expense, Net","Pretax Income (Loss), Adj.",Abnormal Gains (Losses),Pretax Income (Loss),"Income Tax (Expense) Benefit, Net",Income (Loss) from Continuing Operations,Net Income,Net Income (Common),"Cash, Cash Equivalents & Short Term Investments",Accounts & Notes Receivable,Inventories,Total Current Assets,"Property, Plant & Equipment, Net",Long Term Investments & Receivables,Other Long Term Assets,Total Noncurrent Assets,Total Assets,Payables & Accruals,Short Term Debt,Total Current Liabilities,Long Term Debt,Total Noncurrent Liabilities,Total Liabilities,Share Capital & Additional Paid-In Capital,Retained Earnings,Total Equity,Total Liabilities & Equity,Net Income/Starting Line,Depreciation & Amortization.1,Non-Cash Items,Change in Working Capital,Net Cash from Operating Activities,Change in Fixed Assets & Intangibles,Net Cash from Acquisitions & Divestitures,Net Cash from Investing Activities,Dividends Paid,Cash from (Repayment of) Debt,Cash from (Repurchase of) Equity,Net Cash from Financing Activities,Net Change in Cash,Price Date,Open,High,Low,Close,Adj Close,Volume
2011-06-30,1952000000.0,-843000000.0,1109000000.0,-873000000.0,-110000000.0,-258000000.0,236000000.0,-105000000.0,-168000000.0,131000000,-2000000.0,129000000,-87000000.0,42000000,132000000,132000000,354400000.0,919200000.0,80800000.0,1632600000.0,17227500000.0,4311700000.0,5798100000.0,27337300000.0,28969900000,1078100000.0,1390000000.0,5810800000.0,10415600000.0,14355700000.0,20166500000,3424000000.0,117500000.0,8803300000.0,28969800000,82000000.0,264000000.0,217000000.0,-92000000.0,471000000.0,-254000000.0,-44000000.0,-292000000.0,-99000000.0,-1305000000.0,0.0,-16000000.0,164000000,2011-06-30,28.43000030517578,28.78000068664551,28.309999465942386,28.729999542236328,18.06368637084961,809500.0
2011-09-30,2122000000.0,-914000000.0,1208000000.0,-827000000.0,-109000000.0,-281000000.0,381000000.0,-117000000.0,-170000000.0,264000000,-169000000.0,95000000,-66000000.0,29000000,152000000,152000000,273900000.0,830200000.0,101300000.0,1478200000.0,17715900000.0,3668700000.0,7294600000.0,28679200000.0,30157400000,911100000.0,3061000000.0,6337500000.0,10662200000.0,15072400000.0,21409900000,3431300000.0,56500000.0,8747400000.0,30157300000,84000000.0,287000000.0,382000000.0,-111000000.0,642000000.0,-293000000.0,-835000000.0,-1267000000.0,-212000000.0,-1918000000.0,0.0,563000000.0,-80000000,2011-09-30,26.1200008392334,26.25,25.71999931335449,25.88999938964844,16.453216552734375,769700.0
2011-12-31,1937000000.0,-728000000.0,1209000000.0,-768000000.0,-116000000.0,-279000000.0,441000000.0,-99000000.0,-175000000.0,342000000,-2000000.0,340000000,-112000000.0,228000000,155000000,155000000,411000000.0,914000000.0,172000000.0,1663000000.0,17926000000.0,3744000000.0,7384000000.0,29054000000.0,30717000000,1081000000.0,2899000000.0,4529000000.0,13161000000.0,17620000000.0,22149000000,3439000000.0,-3000000.0,8568000000.0,30717000000,293000000.0,285000000.0,111000000.0,81000000.0,770000000.0,-361000000.0,-234000000.0,-606000000.0,-213000000.0,4622000000.0,0.0,-34000000.0,137000000,2011-12-30,31.770000457763672,32.25,31.6299991607666,32.169998168945305,20.6530876159668,2006500.0
2012-03-31,1857000000.0,-580000000.0,1277000000.0,-761000000.0,-129000000.0,-274000000.0,516000000.0,-113000000.0,-179000000.0,403000000,-2000000.0,401000000,-96000000.0,305000000,21000000,21000000,494000000.0,761000000.0,177000000.0,3902000000.0,17304000000.0,2180000000.0,6984000000.0,26468000000.0,30370000000,951000000.0,2126000000.0,3708000000.0,14104000000.0,18540000000.0,22248000000,3446000000.0,-202000000.0,8122000000.0,30370000000,-73000000.0,281000000.0,376000000.0,-24000000.0,560000000.0,-354000000.0,-30000000.0,-365000000.0,-220000000.0,-18000000.0,0.0,-119000000.0,83000000,2012-03-30,39.150001525878906,39.25,38.34000015258789,38.650001525878906,25.04970550537109,1841800.0
2012-06-30,2167000000.0,-637000000.0,1530000000.0,-1270000000.0,-501000000.0,-333000000.0,260000000.0,-212000000.0,-291000000.0,48000000,-2000000.0,46000000,-9000000.0,37000000,-126000000,-126000000,675000000.0,1275000000.0,313000000.0,5331000000.0,30613000000.0,6114000000.0,27517000000.0,64244000000.0,69575000000,1673000000.0,3271000000.0,6132000000.0,30953000000.0,40253000000.0,46385000000,14818000000.0,-556000000.0,23190000000.0,69575000000,-243000000.0,333000000.0,435000000.0,-72000000.0,453000000.0,-431000000.0,-4970000000.0,-5425000000.0,-226000000.0,-853000000.0,-110000000.0,5162000000.0,181000000,2012-06-29,31.479999542236328,32.27000045776367,31.43000030517578,32.220001220703125,21.07002258300781,6552100.0
2012-09-30,2870000000.0,-854000000.0,2016000000.0,-1164000000.0,-186000000.0,-403000000.0,852000000.0,-401000000.0,-523000000.0,451000000,-5000000.0,446000000,-60000000.0,386000000,200000000,200000000,775000000.0,1296000000.0,322000000.0,5122000000.0,30881000000.0,6135000000.0,27915000000.0,64931000000.0,70053000000,1735000000.0,3949000000.0,6860000000.0,29680000000.0,39295000000.0,46155000000,14935000000.0,-733000000.0,23898000000.0,70053000000,255000000.0,403000000.0,387000000.0,-131000000.0,914000000.0,-574000000.0,-42000000.0,-575000000.0,-364000000.0,-1067000000.0,-26000000.0,-254000000.0,100000000,2012-09-28,35.4900016784668,35.72999954223633,35.36000061035156,35.52000045776367,23.457874298095703,3241800.0
2012-12-31,3079000000.0,-986000000.0,2093000000.0,-1128000000.0,-113000000.0,-409000000.0,965000000.0,-501000000.0,-406000000.0,464000000,-14000000.0,450000000,26000000.0,476000000,220000000,220000000,714000000.0,1333000000.0,374000000.0,3674000000.0,30996000000.0,5804000000.0,27771000000.0,64571000000.0,68245000000,1875000000.0,2401000000.0,5228000000.0,29409000000.0,38917000000.0,44145000000,14927000000.0,-943000000.0,24100000000.0,68245000000,488000000.0,409000000.0,72000000.0,-88000000.0,881000000.0,-509000000.0,-11000000.0,1268000000.0,-374000000.0,5331000000.0,-21000000.0,-2205000000.0,-61000000,2012-12-31,34.639999389648445,35.34000015258789,34.490001678466804,35.33000183105469,23.577009201049805,2766200.0
2013-03-31,3060000000.0,-970000000.0,2090000000.0,-1073000000.0,-140000000.0,-415000000.0,1017000000.0,-296000000.0,-402000000.0,721000000,216000000.0,937000000,-279000000.0,658000000,292000000,292000000,1106000000.0,1290000000.0,389000000.0,3686000000.0,31201000000.0,5773000000.0,27648000000.0,64622000000.0,68308000000,1488000000.0,2876000000.0,5582000000.0,28965000000.0,38418000000.0,44000000000,14867000000.0,-1035000000.0,24308000000.0,68308000000,656000000.0,415000000.0,-235000000.0,-69000000.0,767000000.0,-601000000.0,487000000.0,-116000000.0,-384000000.0,-392000000.0,-80000000.0,-253000000.0,392000000,2013-03-28,38.36000061035156,38.79999923706055,38.08000183105469,38.68000030517578,26.069595336914066,5106100.0
2013-06-30,3382000000.0,-1254000000.0,2128000000.0,-1356000000.0,-183000000.0,-445000000.0,772000000.0,-315000000.0,-427000000.0,457000000,549000000.0,1006000000,-225000000.0,781000000,277000000,277000000,1017000000.0,1488000000.0,428000000.0,3772000000.0,34599000000.0,6085000000.0,29664000000.0,70348000000.0,74120000000,1865000000.0,3964000000.0,7333000000.0,29245000000.0,38248000000.0,45581000000,14955000000.0,-1153000000.0,28539000000.0,74120000000,781000000.0,445000000.0,-3000000.0,-256000000.0,967000000.0,-721000000.0,-282000000.0,-1001000000.0,-395000000.0,-286000000.0,-51000000.0,-41000000.0,-89000000,2013-06-28,38.22999954223633,38.790000915527344,37.91999816894531,38.150001525878906,25.959125518798828,10660700.0
2013-09-30,3756000000.0,-1543000000.0,2213000000.0,-1172000000.0,-158000000.0,-467000000.0,1041000000.0,-307000000.0,-418000000.0,734000000,-12000000.0,722000000,-171000000.0,551000000,286000000,286000000,816000000.0,1420000000.0,435000000.0,3591000000.0,35275000000.0,6044000000.0,29665000000.0,70984000000.0,74575000000,1818000000.0,2973000000.0,6415000000.0,30814000000.0,39858000000.0,46273000000,14646000000.0,-1284000000.0,28302000000.0,74575000000,551000000.0,467000000.0,-62000000.0,102000000.0,1058000000.0,-874000000.0,-7000000.0,-936000000.0,-417000000.0,-58000000.0,-332000000.0,-331000000.0,-201000000,2013-09-30,35.650001525878906,35.720001220703125,35.34000015258789,35.56999969482422,24.45627593994141,4493200.0
