Report Date,Revenue,Cost of Revenue,Gross Profit,Operating Expenses,"Selling, General & Administrative",Depreciation & Amortization,Operating Income (Loss),Non-Operating Income (Loss),"Interest Expense, Net","Pretax Income (Loss), Adj.",Pretax Income (Loss),"Income Tax (Expense) Benefit, Net",Income (Loss) from Continuing Operations,Net Income,Net Income (Common),"Cash, Cash Equivalents & Short Term Investments",Accounts & Notes Receivable,Total Current Assets,"Property, Plant & Equipment, Net",Other Long Term Assets,Total Noncurrent Assets,Total Assets,Payables & Accruals,Short Term Debt,Total Current Liabilities,Long Term Debt,Total Noncurrent Liabilities,Total Liabilities,Share Capital & Additional Paid-In Capital,Retained Earnings,Total Equity,Total Liabilities & Equity,Net Income/Starting Line,Depreciation & Amortization.1,Non-Cash Items,Change in Working Capital,Change in Accounts Receivable,Change in Accounts Payable,Change in Other,Net Cash from Operating Activities,Change in Fixed Assets & Intangibles,Net Cash from Investing Activities,Dividends Paid,Cash from (Repayment of) Debt,Net Cash from Financing Activities,Net Change in Cash,Price Date,Open,High,Low,Close,Adj Close,Volume
2010-12-31,1721574000.0,-656895000.0,1064679000.0,-578909000.0,-214071000.0,-364838000.0,485770000.0,-127275000.0,-123775000.0,358495000,358495000,-133452000.0,225043000,225399000,225399000,173000000.0,713000000.0,1143000000.0,8754000000.0,12141000000.0,20895000000.0,22038000000,300000000.0,12000000.0,1011000000.0,7316000000.0,11380000000.0,12391000000,6486000000.0,3302000000.0,9647000000.0,22038000000,225000000.0,365000000.0,132000000.0,-158000000.0,13000000.0,6000000.0,-177000000.0,564000000.0,-264000000.0,-261000000.0,-221000000.0,-231000000.0,-373000000.0,-70000000,2010-12-31,46.27000045776367,46.43999862670898,46.1500015258789,46.16999816894531,19.676666259765625,1103000.0
2011-06-30,4406000000.0,-1781000000.0,2625000000.0,-2145000000.0,-968000000.0,-1177000000.0,480000000.0,-293000000.0,-280000000.0,187000000,186000000,-71000000.0,115000000,115000000,115000000,2546000000.0,1830000000.0,5007000000.0,18024000000.0,31811000000.0,49835000000.0,54842000000,1256000000.0,1610000000.0,5064000000.0,19734000000.0,28137000000.0,33201000000,18838000000.0,2958000000.0,21641000000.0,54842000000,115000000.0,1177000000.0,135000000.0,-79000000.0,-17000000.0,-23000000.0,-39000000.0,1348000000.0,-579000000.0,-154000000.0,-435000000.0,1528000000.0,1082000000.0,2276000000,2011-06-30,40.47999954223633,40.54999923706055,40.02999877929688,40.43000030517578,17.822961807250977,2807600.0
2011-09-30,4596000000.0,-1950000000.0,2646000000.0,-2098000000.0,-870000000.0,-1228000000.0,548000000.0,-317000000.0,-324000000.0,231000000,231000000,-93000000.0,138000000,138000000,138000000,1123000000.0,1998000000.0,3808000000.0,19290000000.0,33637000000.0,52927000000.0,56735000000,1360000000.0,1034000000.0,4737000000.0,21142000000.0,30022000000.0,34759000000,19471000000.0,2663000000.0,21976000000.0,56735000000,138000000.0,1228000000.0,119000000.0,-30000000.0,-74000000.0,10000000.0,34000000.0,1455000000.0,-721000000.0,-2387000000.0,-448000000.0,-28000000.0,-476000000.0,-1423000000,2011-09-30,33.400001525878906,33.889999389648445,33.09999847412109,33.11999893188477,14.899267196655273,4579500.0
2011-12-31,4653000000.0,-1968000000.0,2685000000.0,-2152000000.0,-900000000.0,-1252000000.0,533000000.0,-334000000.0,-340000000.0,199000000,192000000,-83000000.0,109000000,109000000,109000000,128000000.0,1950000000.0,3517000000.0,19444000000.0,33083000000.0,52527000000.0,56044000000,1400000000.0,480000000.0,4017000000.0,21356000000.0,31200000000.0,35217000000,19520000000.0,2319000000.0,20827000000.0,56044000000,109000000.0,1252000000.0,-385000000.0,-248000000.0,-36000000.0,-44000000.0,-168000000.0,728000000.0,-900000000.0,-898000000.0,-451000000.0,-322000000.0,-818000000.0,-995000000,2011-12-30,37.27999877929688,37.52999877929688,37.16999816894531,37.20000076293945,17.06978988647461,2344800.0
2012-03-31,4610000000.0,-1877000000.0,2733000000.0,-2079000000.0,-871000000.0,-1208000000.0,654000000.0,-331000000.0,-343000000.0,323000000,331000000,-131000000.0,200000000,200000000,200000000,1530000000.0,1879000000.0,4882000000.0,19295000000.0,32665000000.0,51960000000.0,56842000000,1026000000.0,2200000000.0,5643000000.0,20667000000.0,30561000000.0,36204000000,19571000000.0,2067000000.0,20638000000.0,56842000000,200000000.0,1208000000.0,119000000.0,56000000.0,18000000.0,-198000000.0,236000000.0,1583000000.0,-678000000.0,-663000000.0,-452000000.0,906000000.0,481000000.0,1402000000,2012-03-30,38.7599983215332,38.79999923706055,38.59000015258789,38.650001525878906,18.063371658325195,3300100.0
2012-06-30,4612000000.0,-1912000000.0,2700000000.0,-2043000000.0,-835000000.0,-1208000000.0,657000000.0,-332000000.0,-335000000.0,325000000,123000000,-49000000.0,74000000,74000000,74000000,281000000.0,1920000000.0,3847000000.0,19054000000.0,32189000000.0,51243000000.0,55090000000,1134000000.0,1903000000.0,5207000000.0,19682000000.0,29572000000.0,34779000000,19621000000.0,1688000000.0,20311000000.0,55090000000,74000000.0,1208000000.0,178000000.0,-244000000.0,-82000000.0,58000000.0,-220000000.0,1216000000.0,-494000000.0,-512000000.0,-453000000.0,-1202000000.0,-1954000000.0,-1249000000,2012-06-29,39.20000076293945,39.63000106811523,39.040000915527344,39.4900016784668,18.803543090820312,5520300.0
2012-09-30,4571000000.0,-1943000000.0,2628000000.0,-1892000000.0,-748000000.0,-1144000000.0,736000000.0,-314000000.0,-326000000.0,422000000,422000000,-152000000.0,270000000,270000000,270000000,194000000.0,1971000000.0,3833000000.0,19013000000.0,31786000000.0,50799000000.0,54632000000,1320000000.0,1198000000.0,4931000000.0,19508000000.0,29504000000.0,34435000000,19675000000.0,1506000000.0,20197000000.0,54632000000,270000000.0,1144000000.0,174000000.0,299000000.0,-72000000.0,188000000.0,183000000.0,1887000000.0,-719000000.0,-688000000.0,-452000000.0,-867000000.0,-1286000000.0,-87000000,2012-09-28,40.650001525878906,40.709999084472656,40.02000045776367,40.400001525878906,19.567142486572266,6139400.0
2012-12-31,4583000000.0,-1907000000.0,2676000000.0,-2010000000.0,-790000000.0,-1220000000.0,666000000.0,-307000000.0,-315000000.0,359000000,374000000,-141000000.0,233000000,233000000,233000000,211000000.0,1917000000.0,3638000000.0,18909000000.0,31393000000.0,50302000000.0,53940000000,1207000000.0,1205000000.0,4595000000.0,19400000000.0,30056000000.0,34651000000,19705000000.0,1285000000.0,19289000000.0,53940000000,233000000.0,1220000000.0,261000000.0,-335000000.0,-18000000.0,-120000000.0,-197000000.0,1379000000.0,-837000000.0,-827000000.0,-454000000.0,-50000000.0,-536000000.0,17000000,2012-12-31,38.4900016784668,39.13000106811523,38.459999084472656,39.11999893188477,19.30768585205078,4791000.0
2013-03-31,4513000000.0,-1796000000.0,2717000000.0,-1935000000.0,-818000000.0,-1117000000.0,782000000.0,-277000000.0,-316000000.0,505000000,505000000,-207000000.0,298000000,298000000,298000000,476000000.0,1924000000.0,3875000000.0,18825000000.0,31029000000.0,49854000000.0,53729000000,1094000000.0,1193000000.0,4583000000.0,19595000000.0,30290000000.0,34873000000,19307000000.0,1244000000.0,18856000000.0,53729000000,298000000.0,1117000000.0,1000000.0,-29000000.0,-34000000.0,-34000000.0,39000000.0,1387000000.0,-588000000.0,-584000000.0,-341000000.0,187000000.0,-538000000.0,265000000,2013-03-28,35.11999893188477,35.220001220703125,34.799999237060554,35.130001068115234,17.605472564697266,4864300.0
2013-06-30,4525000000.0,-1873000000.0,2652000000.0,-1937000000.0,-814000000.0,-1123000000.0,715000000.0,-321000000.0,-325000000.0,394000000,394000000,-125000000.0,269000000,269000000,269000000,214000000.0,1900000000.0,3648000000.0,18777000000.0,30829000000.0,49606000000.0,53254000000,1285000000.0,302000000.0,3748000000.0,20283000000.0,31106000000.0,34854000000,18895000000.0,1193000000.0,18400000000.0,53254000000,269000000.0,1123000000.0,147000000.0,-70000000.0,-14000000.0,157000000.0,-213000000.0,1469000000.0,-747000000.0,-728000000.0,-320000000.0,-240000000.0,-1003000000.0,-262000000,2013-06-28,35.2599983215332,35.790000915527344,35.209999084472656,35.349998474121094,17.984220504760742,4642400.0
