Report Date,Revenue,Cost of Revenue,Gross Profit,Operating Expenses,"Selling, General & Administrative",Depreciation & Amortization,Operating Income (Loss),Non-Operating Income (Loss),"Interest Expense, Net","Pretax Income (Loss), Adj.",Abnormal Gains (Losses),Pretax Income (Loss),"Income Tax (Expense) Benefit, Net",Income (Loss) from Continuing Operations,Net Income,Net Income (Common),"Cash, Cash Equivalents & Short Term Investments",Accounts & Notes Receivable,Total Current Assets,"Property, Plant & Equipment, Net",Other Long Term Assets,Total Noncurrent Assets,Total Assets,Payables & Accruals,Short Term Debt,Total Current Liabilities,Long Term Debt,Total Noncurrent Liabilities,Total Liabilities,Share Capital & Additional Paid-In Capital,Treasury Stock,Retained Earnings,Total Equity,Total Liabilities & Equity,Net Income/Starting Line,Depreciation & Amortization.1,Non-Cash Items,Change in Working Capital,Change in Accounts Receivable,Change in Other,Net Cash from Operating Activities,Change in Fixed Assets & Intangibles,Net Cash from Acquisitions & Divestitures,Net Cash from Investing Activities,Dividends Paid,Cash from (Repayment of) Debt,Cash from (Repurchase of) Equity,Net Cash from Financing Activities,Net Change in Cash,Price Date,Open,High,Low,Close,Adj Close,Volume
2009-06-30,450700000.0,-128000000.0,322700000.0,-132400000.0,-116700000.0,-15700000.0,190300000.0,-12600000.0,-6100000.0,177700000,-3100000.0,174600000,-63600000.0,111000000,109300000,109300000,397700000.0,407600000.0,900600000.0,267600000.0,705600000.0,973200000.0,1873800000,262000000.0,370400000.0,1305100000.0,750000000.0,1318200000.0,2623300000,384100000.0,-4310300000.0,3199000000.0,-749500000.0,1873800000,111000000.0,15700000.0,13600000.0,-10800000.0,-100000.0,-10700000.0,129500000.0,-22400000.0,0.0,-20000000.0,-23700000.0,-80500000.0,11100000.0,-90600000.0,51100000,2009-06-30,26.43000030517578,26.45000076293945,25.06999969482422,26.35000038146973,22.427928924560547,1988400.0
2009-09-30,451800000.0,-135100000.0,316700000.0,-140500000.0,-124300000.0,-16200000.0,176200000.0,-9800000.0,-11500000.0,166400000,-3700000.0,162700000,-61000000.0,101700000,100600000,100600000,429500000.0,378900000.0,896500000.0,278600000.0,699100000.0,977700000.0,1874200000,241900000.0,532900000.0,1202300000.0,748100000.0,1319400000.0,2521700000,391000000.0,-4304500000.0,3275800000.0,-647500000.0,1874200000,101700000.0,16200000.0,13500000.0,700000.0,35400000.0,-34700000.0,132100000.0,-29500000.0,0.0,-30800000.0,-23600000.0,-49600000.0,2200000.0,-70700000.0,29900000,2009-09-30,20.209999084472656,20.559999465942386,19.059999465942386,20.459999084472656,17.488605499267578,15093300.0
2009-12-31,485800000.0,-146900000.0,338900000.0,-161100000.0,-144500000.0,-16600000.0,177800000.0,-11600000.0,-12500000.0,166200000,1100000.0,167300000,-64000000.0,103300000,101900000,101900000,483900000.0,444900000.0,1012900000.0,293000000.0,697400000.0,990400000.0,2003300000,317200000.0,447500000.0,1236000000.0,746200000.0,1363400000.0,2599400000,394500000.0,-4288500000.0,3329000000.0,-596100000.0,2003300000,103300000.0,16600000.0,27700000.0,39600000.0,-66200000.0,105800000.0,187200000.0,-26400000.0,0.0,-29400000.0,-23700000.0,-87700000.0,5200000.0,-105200000.0,51200000,2009-12-31,27.15999984741211,27.26000022888184,26.790000915527344,26.79999923706055,23.00511932373047,888300.0
2010-12-31,564300000.0,-180900000.0,383400000.0,-186700000.0,-169500000.0,-17200000.0,196700000.0,-24000000.0,-17400000.0,172700000,-100000.0,172600000,-33700000.0,138900000,137400000,137400000,672300000.0,497500000.0,1343000000.0,319300000.0,878000000.0,1197300000.0,2540300000,414400000.0,11300000.0,933800000.0,1228300000.0,1904900000.0,2838700000,394900000.0,-4407300000.0,3736200000.0,-298400000.0,2540300000,138900000.0,17200000.0,3800000.0,18700000.0,-85500000.0,104200000.0,178600000.0,-24400000.0,-148600000.0,-173800000.0,-24500000.0,-17000000.0,-95300000.0,-136600000.0,-134100000,2010-12-31,26.399999618530273,26.56999969482422,26.29999923706055,26.540000915527344,23.18068504333496,888500.0
2011-06-30,605200000.0,-170500000.0,434700000.0,-164700000.0,-142900000.0,-21800000.0,270000000.0,-5900000.0,-14100000.0,264100000,100000.0,264200000,-73500000.0,190700000,189000000,189000000,949500000.0,492600000.0,1543100000.0,325200000.0,876300000.0,1201500000.0,2744600000,302100000.0,15000000.0,852000000.0,1228000000.0,1909200000.0,2761200000,372500000.0,-4448900000.0,4048800000.0,-16600000.0,2744600000,190700000.0,21800000.0,10600000.0,21900000.0,13200000.0,8700000.0,245000000.0,-16000000.0,-7100000.0,-27100000.0,-31900000.0,-1900000.0,23200000.0,-8000000.0,219000000,2011-06-30,37.790000915527344,38.47000122070313,37.77999877929688,38.349998474121094,33.7449951171875,2167000.0
2011-09-30,531300000.0,-171000000.0,360300000.0,-164000000.0,-145000000.0,-19000000.0,196300000.0,-11300000.0,-12900000.0,185000000,-200000.0,184800000,-52700000.0,132100000,130700000,130700000,867500000.0,400500000.0,1360000000.0,323700000.0,837600000.0,1161300000.0,2521300000,311200000.0,43100000.0,834900000.0,1200900000.0,1860600000.0,2695500000,390100000.0,-4651000000.0,4147400000.0,-174200000.0,2521300000,132100000.0,19000000.0,19800000.0,49500000.0,86300000.0,-36800000.0,220400000.0,-18000000.0,-3000000.0,-24900000.0,-31700000.0,-3700000.0,-203700000.0,-239300000.0,-84300000,2011-09-30,29.96999931335449,30.979999542236328,29.90999984741211,30.45000076293945,26.913957595825195,3452600.0
2011-12-31,567100000.0,-181200000.0,385900000.0,-213900000.0,-193200000.0,-20700000.0,172000000.0,-16500000.0,-16900000.0,155500000,100000.0,155600000,-57500000.0,98100000,96200000,96200000,774800000.0,489800000.0,1424400000.0,326800000.0,1124900000.0,1451700000.0,2876100000,452300000.0,71300000.0,1134000000.0,1172500000.0,1840000000.0,2974000000,397900000.0,-4635500000.0,4176100000.0,-97900000.0,2876100000,98100000.0,20700000.0,9600000.0,8600000.0,-80400000.0,89000000.0,137000000.0,-14100000.0,-187400000.0,-202300000.0,-31100000.0,-3800000.0,8800000.0,-25300000.0,-94200000,2011-12-30,34.02000045776367,34.080001831054695,33.639999389648445,33.68000030517578,29.88945579528809,1021800.0
2012-12-31,754200000.0,-221600000.0,532600000.0,-260200000.0,-236400000.0,-23800000.0,272400000.0,-23800000.0,-21600000.0,248600000,-12200000.0,236400000,-74400000.0,162000000,160100000,160100000,1773300000.0,621800000.0,2525700000.0,307100000.0,1128100000.0,1435200000.0,3960900000,555300000.0,63800000.0,1164900000.0,1607400000.0,2327100000.0,3492000000,368500000.0,-4614500000.0,4713300000.0,468900000.0,3960900000,162000000.0,23800000.0,32800000.0,108500000.0,-71200000.0,179700000.0,327100000.0,-9800000.0,0.0,-4100000.0,-35700000.0,-31900000.0,-26600000.0,-91800000.0,236900000,2012-12-31,49.43999862670898,50.36000061035156,49.43999862670898,50.31999969482422,45.37877655029297,1134300.0
2013-06-30,756000000.0,-197100000.0,558900000.0,-208100000.0,-185000000.0,-23100000.0,350800000.0,-14000000.0,-21700000.0,336800000,0.0,336800000,-108400000.0,228400000,225500000,225500000,1650900000.0,607700000.0,2442700000.0,287400000.0,1064200000.0,1351600000.0,3794300000,312800000.0,0.0,897100000.0,1605000000.0,2361700000.0,3258800000,362100000.0,-4846700000.0,5082100000.0,535500000.0,3794300000,228400000.0,23100000.0,2900000.0,-87900000.0,27400000.0,-115300000.0,166500000.0,-9500000.0,0.0,-16200000.0,-44600000.0,-31900000.0,-200000000.0,-270200000.0,-125000000,2013-06-28,60.68999862670898,61.47000122070313,60.56999969482422,60.93000030517578,55.34766006469727,2563800.0
2013-09-30,705500000.0,-203500000.0,502000000.0,-210500000.0,-187100000.0,-23400000.0,291500000.0,-28000000.0,-24400000.0,263500000,0.0,263500000,-76700000.0,186800000,183900000,183900000,2044700000.0,592000000.0,2782200000.0,284300000.0,1088000000.0,1372300000.0,4154500000,337900000.0,0.0,897200000.0,2098600000.0,2883900000.0,3781100000,380500000.0,-5209400000.0,5210600000.0,373400000.0,4154500000,186800000.0,23400000.0,-13200000.0,87400000.0,24400000.0,63000000.0,284400000.0,-12900000.0,0.0,-203800000.0,-54600000.0,497200000.0,-361400000.0,83000000.0,202100000,2013-09-30,69.84999847412111,70.75,69.37000274658203,70.33000183105469,64.13561248779297,935100.0
2017-03-31,975200000.0,-275300000.0,699900000.0,-253200000.0,-220700000.0,-32500000.0,446700000.0,-55100000.0,-47400000.0,391600000,59700000.0,451300000,-105400000.0,345900000,345600000,345600000,2262400000.0,953500000.0,3485500000.0,329100000.0,1621300000.0,1950400000.0,5435900000,392600000.0,213800000.0,1423800000.0,3861900000.0,4736300000.0,6160100000,450400000.0,-8051200000.0,7031000000.0,-724200000.0,5435900000,345900000.0,32500000.0,153700000.0,-1044500000.0,-61900000.0,-982600000.0,-512400000.0,-18700000.0,-5000000.0,18600000.0,-72600000.0,711800000.0,-32900000.0,553700000.0,78100000,2017-03-31,111.16000366210938,112.6999969482422,110.93000030517578,112.04000091552734,107.23451232910156,888700.0
2017-09-30,1062900000.0,-315600000.0,747300000.0,-288700000.0,-245700000.0,-43000000.0,458600000.0,-52600000.0,-53100000.0,406000000,59800000.0,465800000,-146100000.0,319700000,317300000,317300000,1071100000.0,1007300000.0,2278900000.0,332100000.0,5693900000.0,6026000000.0,8304900000,577500000.0,614100000.0,1982700000.0,5107300000.0,6479000000.0,8461700000,499000000.0,-8123700000.0,7513400000.0,-156800000.0,8304900000,319700000.0,43000000.0,-70200000.0,97900000.0,6700000.0,91200000.0,390400000.0,-26600000.0,-3506000000.0,-3447300000.0,-72600000.0,814300000.0,-18900000.0,719100000.0,-2318100000,2017-09-29,138.41000366210938,139.30000305175778,138.05000305175778,139.21000671386722,134.08018493652344,623700.0
2017-12-31,1165500000.0,-340900000.0,824600000.0,-353300000.0,-303400000.0,-49900000.0,471300000.0,-57800000.0,-58300000.0,413500000,-5800000.0,407700000,-379200000.0,28500000,25500000,25500000,1183300000.0,1147200000.0,2580600000.0,325100000.0,5688500000.0,6013600000.0,8594200000,750300000.0,429400000.0,2063300000.0,5111100000.0,6645800000.0,8709100000,532000000.0,-8152900000.0,7465400000.0,-114900000.0,8594200000,28500000.0,49900000.0,-39100000.0,365500000.0,-138300000.0,503800000.0,404800000.0,-21200000.0,0.0,-12600000.0,-72600000.0,-184400000.0,-29800000.0,-289500000.0,108700000,2017-12-29,147.92999267578125,148.99000549316406,147.61000061035156,147.61000061035156,142.5396728515625,410900.0
2018-03-31,1126700000.0,-314900000.0,811800000.0,-320200000.0,-271100000.0,-49100000.0,491600000.0,-49700000.0,-50700000.0,441900000,-800000.0,441100000,-64300000.0,376800000,372900000,372900000,1377800000.0,1207400000.0,2818800000.0,321600000.0,5873600000.0,6195200000.0,9014000000,532600000.0,389600000.0,1920900000.0,5118000000.0,6673100000.0,8594000000,510000000.0,-8171400000.0,7913000000.0,420000000.0,9014000000,376800000.0,49100000.0,30900000.0,-65300000.0,-29900000.0,-35400000.0,391500000.0,-15000000.0,5700000.0,-18500000.0,-84100000.0,-40000000.0,-14900000.0,-182300000.0,205800000,2018-03-29,159.8000030517578,162.47999572753906,158.49000549316406,161.3000030517578,156.17091369628906,856900.0
2018-06-30,1175100000.0,-320200000.0,854900000.0,-318900000.0,-270500000.0,-48400000.0,536000000.0,-38500000.0,-53400000.0,497500000,-2000000.0,495500000,-117600000.0,377900000,376200000,376200000,1415700000.0,1137100000.0,2839700000.0,312200000.0,5599700000.0,5911900000.0,8751600000,593600000.0,389800000.0,1843900000.0,4934200000.0,6447600000.0,8291500000,542000000.0,-8198900000.0,8204600000.0,460100000.0,8751600000,377900000.0,48400000.0,26500000.0,-67000000.0,47700000.0,-114700000.0,385800000.0,-22900000.0,0.0,-26800000.0,-84500000.0,-150400000.0,-29200000.0,-285300000.0,37200000,2018-06-29,171.52000427246094,172.10000610351562,170.52999877929688,170.55999755859375,165.56114196777344,888900.0
2018-09-30,1080800000.0,-306300000.0,774500000.0,-306400000.0,-260300000.0,-46100000.0,468100000.0,-54000000.0,-56400000.0,414100000,-1300000.0,412800000,-100800000.0,312000000,310200000,310200000,1145500000.0,1131800000.0,2516200000.0,311100000.0,5611800000.0,5922900000.0,8439100000,581600000.0,470500000.0,1823600000.0,4484000000.0,6009400000.0,7833000000,573100000.0,-8260100000.0,8429100000.0,606100000.0,8439100000,312000000.0,46100000.0,-32700000.0,-18100000.0,4700000.0,-22800000.0,307300000.0,-25000000.0,-35000000.0,-68500000.0,-84300000.0,-364800000.0,-60200000.0,-512600000.0,-279700000,2018-09-28,172.25999450683594,173.3800048828125,167.08999633789062,167.1999969482422,162.71690368652344,1366900.0
2018-12-31,1060400000.0,-304600000.0,755800000.0,-326500000.0,-278100000.0,-48400000.0,429300000.0,-53800000.0,-54500000.0,375500000,-52900000.0,322600000,-69300000.0,253300000,250700000,250700000,1817500000.0,1287100000.0,3386900000.0,320400000.0,5818900000.0,6139300000.0,9526200000,695200000.0,449900000.0,2098500000.0,5226100000.0,6771200000.0,8869700000,604300000.0,-8312500000.0,8594400000.0,656500000.0,9526200000,253300000.0,48400000.0,6300000.0,68400000.0,-158500000.0,226900000.0,376400000.0,-28100000.0,-253700000.0,-292200000.0,-84100000.0,714200000.0,-51700000.0,568200000.0,649700000,2018-12-31,140.16000366210938,140.82000732421875,138.77999877929688,140.03999328613278,136.69097900390622,679300.0
2019-06-30,1213600000.0,-339900000.0,873700000.0,-325700000.0,-274700000.0,-51000000.0,548000000.0,-50200000.0,-50600000.0,497800000,-64500000.0,433300000,-121300000.0,312000000,310300000,310300000,1315400000.0,1245300000.0,3154600000.0,300400000.0,6136600000.0,6437000000.0,9591600000,588700000.0,129900000.0,1839900000.0,5258000000.0,7177000000.0,9016900000,577900000.0,-8886700000.0,9107700000.0,574700000.0,9591600000,312000000.0,51000000.0,55000000.0,-30600000.0,38900000.0,-69500000.0,387400000.0,-18700000.0,-36700000.0,-45600000.0,-94600000.0,-190400000.0,-152400000.0,-337200000.0,-700000,2019-06-28,196.27999877929688,197.63999938964844,195.30999755859366,195.30999755859366,191.7060394287109,3133100.0
