Report Date,Revenue,Cost of Revenue,Gross Profit,Operating Expenses,"Selling, General & Administrative",Operating Income (Loss),Non-Operating Income (Loss),"Interest Expense, Net","Pretax Income (Loss), Adj.",Pretax Income (Loss),"Income Tax (Expense) Benefit, Net",Income (Loss) from Continuing Operations,Net Income,Net Income (Common),"Cash, Cash Equivalents & Short Term Investments",Accounts & Notes Receivable,Inventories,Total Current Assets,"Property, Plant & Equipment, Net",Long Term Investments & Receivables,Other Long Term Assets,Total Noncurrent Assets,Total Assets,Payables & Accruals,Short Term Debt,Total Current Liabilities,Long Term Debt,Total Noncurrent Liabilities,Total Liabilities,Share Capital & Additional Paid-In Capital,Retained Earnings,Total Equity,Total Liabilities & Equity,Net Income/Starting Line,Depreciation & Amortization.1,Non-Cash Items,Change in Working Capital,Net Cash from Operating Activities,Change in Fixed Assets & Intangibles,Net Cash from Acquisitions & Divestitures,Net Cash from Investing Activities,Dividends Paid,Cash from (Repayment of) Debt,Cash from (Repurchase of) Equity,Net Cash from Financing Activities,Net Change in Cash,Price Date,Open,High,Low,Close,Adj Close,Volume
2010-08-31,794600000.0,-459800000.0,334800000.0,-208800000.0,-208800000.0,126000000.0,-11900000.0,-12400000.0,114100000,114100000,-18300000.0,102400000,102400000,102400000,23600000.0,319700000.0,494400000.0,955600000.0,464800000.0,220300000.0,1624000000.0,2309100000.0,3264700000,600800000.0,197700000.0,798500000.0,779500000.0,1084400000.0,1882900000,700400000.0,709600000.0,1381800000.0,3264700000,102300000.0,24200000.0,-3300000.0,-43200000.0,80000000.0,-14200000.0,0.0,-14200000.0,-34700000.0,-30600000.0,-15600000.0,-80900000.0,500000,2010-08-31,19.850000381469727,20.03499984741211,19.795000076293945,19.934999465942386,16.165380477905273,1134000.0
2010-11-30,979400000.0,-533400000.0,446000000.0,-260500000.0,-260500000.0,185500000.0,-11200000.0,-12300000.0,174300000,174300000,-46500000.0,133700000,133700000,133700000,50800000.0,386700000.0,477600000.0,1015900000.0,488000000.0,265900000.0,1649900000.0,2403800000.0,3419700000,734400000.0,100400000.0,834800000.0,779900000.0,1122200000.0,1957000000,756500000.0,700900000.0,1462700000.0,3419700000,133700000.0,25000000.0,16000000.0,67600000.0,242300000.0,-36400000.0,-46900000.0,-83300000.0,-34500000.0,-97300000.0,-16600000.0,-148400000.0,27200000,2010-11-30,21.924999237060547,22.07999992370605,21.815000534057614,22.0049991607666,17.955930709838867,1505000.0
2011-08-31,920400000.0,-555900000.0,364500000.0,-236100000.0,-236100000.0,128400000.0,-12000000.0,-13100000.0,116400000,116400000,-31200000.0,92000000,92000000,92000000,52200000.0,391700000.0,600300000.0,1163300000.0,497600000.0,306500000.0,1747200000.0,2551300000.0,3714600000,639200000.0,300000.0,639500000.0,1031700000.0,1354700000.0,1994200000,806800000.0,785700000.0,1720400000.0,3714600000,92000000.0,24700000.0,-1000000.0,-66300000.0,49400000.0,-25000000.0,-39200000.0,-64200000.0,-37100000.0,41200000.0,14400000.0,18500000.0,4300000,2011-08-31,23.82999992370605,23.989999771118164,23.684999465942386,23.895000457763672,19.843280792236328,1444000.0
2011-11-30,1110700000.0,-631600000.0,479100000.0,-287100000.0,-287100000.0,192000000.0,-13800000.0,-13600000.0,178200000,178200000,-51000000.0,131800000,131800000,131800000,53900000.0,427000000.0,613700000.0,1222900000.0,523100000.0,297600000.0,2044200000.0,2864900000.0,4087800000,770900000.0,222400000.0,993300000.0,1029700000.0,1476000000.0,2469300000,821900000.0,838800000.0,1618500000.0,4087800000,131800000.0,25100000.0,39500000.0,57900000.0,254300000.0,-38000000.0,-402200000.0,-440200000.0,-37100000.0,216400000.0,12400000.0,191700000.0,1700000,2011-11-30,24.38500022888184,24.625,24.15999984741211,24.35000038146973,20.34458923339844,2111400.0
2012-02-29,906700000.0,-551400000.0,355300000.0,-242800000.0,-242800000.0,112500000.0,-12600000.0,-13500000.0,99900000,99900000,-30000000.0,74500000,74500000,74500000,54400000.0,381100000.0,640400000.0,1192800000.0,523400000.0,311100000.0,2052400000.0,2886900000.0,4079700000,676800000.0,283100000.0,959900000.0,1028700000.0,1427200000.0,2387100000,840900000.0,869000000.0,1692600000.0,4079700000,74500000.0,25800000.0,-1500000.0,-76300000.0,22500000.0,-14900000.0,0.0,-14900000.0,-41400000.0,60000000.0,-27900000.0,-9300000.0,500000,2012-02-29,25.18000030517578,25.43000030517578,25.07500076293945,25.22500038146973,21.20521545410156,1576000.0
2012-05-31,984000000.0,-595600000.0,388400000.0,-267100000.0,-267100000.0,121300000.0,-14000000.0,-13900000.0,107300000,107300000,-30800000.0,80400000,80400000,80400000,61400000.0,378000000.0,611000000.0,1167200000.0,507500000.0,298100000.0,1992900000.0,2798500000.0,3965700000,655900000.0,244400000.0,900300000.0,1027700000.0,1426500000.0,2326800000,862700000.0,885900000.0,1638900000.0,3965700000,80400000.0,24800000.0,13000000.0,3700000.0,121900000.0,-20000000.0,0.0,-20000000.0,-41000000.0,-38900000.0,-11100000.0,-91000000.0,7000000,2012-05-31,28.23500061035156,28.40999984741211,28.084999084472656,28.18000030517578,23.8238582611084,1568800.0
2012-08-31,977700000.0,-586000000.0,391700000.0,-247500000.0,-247500000.0,144200000.0,-12300000.0,-13200000.0,131900000,131900000,-33000000.0,104400000,104400000,104400000,72200000.0,411200000.0,628600000.0,1219400000.0,518500000.0,306700000.0,2012400000.0,2837600000.0,4057000000,671300000.0,231300000.0,902600000.0,1026200000.0,1430400000.0,2333000000,885800000.0,909600000.0,1724000000.0,4057000000,104400000.0,26200000.0,600000.0,-19300000.0,111900000.0,-26600000.0,0.0,-26600000.0,-41200000.0,-13600000.0,-21900000.0,-76700000.0,10800000,2012-08-31,30.649999618530273,30.815000534057607,30.47500038146973,30.71999931335449,26.10238838195801,785000.0
2012-11-30,1145800000.0,-663400000.0,482400000.0,-282100000.0,-282100000.0,200300000.0,-13300000.0,-14000000.0,187000000,187000000,-46000000.0,148500000,148500000,148500000,79000000.0,465900000.0,615000000.0,1285400000.0,547300000.0,313900000.0,2018800000.0,2880000000.0,4165400000,795000000.0,392600000.0,1187600000.0,779200000.0,1277600000.0,2465200000,908200000.0,934600000.0,1700200000.0,4165400000,148500000.0,26000000.0,27300000.0,-3100000.0,198700000.0,-47500000.0,0.0,-47500000.0,-41100000.0,-88000000.0,-18200000.0,-147300000.0,6800000,2012-11-30,32.314998626708984,32.31999969482422,32.080001831054695,32.279998779296875,27.563615798950195,2873200.0
2013-02-28,934400000.0,-572700000.0,361700000.0,-249700000.0,-249700000.0,112000000.0,-13300000.0,-13900000.0,98700000,98700000,-28100000.0,76000000,76000000,76000000,68600000.0,403900000.0,606500000.0,1211500000.0,532500000.0,327800000.0,2014300000.0,2874600000.0,4086100000,661700000.0,453800000.0,1115500000.0,776000000.0,1245800000.0,2361300000,921900000.0,948300000.0,1724800000.0,4086100000,76000000.0,26200000.0,-800000.0,-69800000.0,31600000.0,-10500000.0,-800000.0,-11300000.0,-45100000.0,60400000.0,-49700000.0,-34400000.0,-10400000,2013-02-28,33.654998779296875,33.830001831054695,33.459999084472656,33.634998321533196,28.875347137451172,2684800.0
2013-05-31,1002600000.0,-608200000.0,394400000.0,-278400000.0,-278400000.0,116000000.0,-12700000.0,-13500000.0,103300000,103300000,-30600000.0,78600000,78600000,78600000,72100000.0,399900000.0,611400000.0,1217500000.0,554300000.0,329500000.0,2107500000.0,2991300000.0,4208800000,674300000.0,551900000.0,1226200000.0,774400000.0,1248900000.0,2475100000,947700000.0,953200000.0,1733700000.0,4208800000,78600000.0,25500000.0,4500000.0,-7500000.0,101100000.0,-22200000.0,-115900000.0,-138100000.0,-45000000.0,97600000.0,-12600000.0,40000000.0,3500000,2013-05-31,35.255001068115234,35.435001373291016,34.540000915527344,34.540000915527344,29.79397201538086,2226800.0
