Report Date,Revenue,Cost of Revenue,Gross Profit,Operating Expenses,"Selling, General & Administrative",Depreciation & Amortization,Operating Income (Loss),"Pretax Income (Loss), Adj.",Pretax Income (Loss),"Income Tax (Expense) Benefit, Net",Income (Loss) from Continuing Operations,Net Income,Net Income (Common),"Cash, Cash Equivalents & Short Term Investments",Accounts & Notes Receivable,Total Current Assets,"Property, Plant & Equipment, Net",Other Long Term Assets,Total Noncurrent Assets,Total Assets,Payables & Accruals,Total Current Liabilities,Total Noncurrent Liabilities,Total Liabilities,Share Capital & Additional Paid-In Capital,Treasury Stock,Retained Earnings,Total Equity,Total Liabilities & Equity,Net Income/Starting Line,Depreciation & Amortization.1,Non-Cash Items,Change in Working Capital,Net Cash from Operating Activities,Change in Fixed Assets & Intangibles,Net Change in Long Term Investment,Net Cash from Investing Activities,Dividends Paid,Cash from (Repurchase of) Equity,Net Cash from Financing Activities,Net Change in Cash,Price Date,Open,High,Low,Close,Adj Close,Volume
2011-06-30,45791000.0,-15104000.0,30687000.0,-10782000.0,-3058000.0,-1627000.0,19905000.0,19905000,19905000,-7968000.0,11937000,11937000,11937000,211464000.0,34494000.0,258284000.0,13409000.0,49574000.0,62983000.0,321267000,23967000.0,28410000.0,0.0,28410000,332240000.0,-18998000.0,-18692000.0,292857000.0,321267000,11937000.0,1627000.0,6498000.0,-1719000.0,18343000.0,-1018000.0,4611000.0,2648000.0,-3416000.0,1635000.0,-1648000.0,19201000,2011-06-30,25.07999992370605,25.32999992370605,24.85000038146973,25.059999465942386,22.887550354003906,66000.0
2011-09-30,46564000.0,-13707000.0,32857000.0,-10561000.0,-3022000.0,-1799000.0,22296000.0,22296000,22296000,-8852000.0,13444000,13444000,13444000,237822000.0,31858000.0,280624000.0,14076000.0,44500000.0,58576000.0,339200000,28330000.0,33367000.0,0.0,33367000,335203000.0,-18998000.0,-8680000.0,305833000.0,339200000,13444000.0,1799000.0,6795000.0,5344000.0,27382000.0,-1001000.0,-4191000.0,-2777000.0,-3432000.0,-1380000.0,-2437000.0,21854000,2011-09-30,26.26000022888184,26.5,25.6299991607666,26.020000457763672,23.85603904724121,252900.0
2011-12-31,35910000.0,-7364000.0,28546000.0,-6963000.0,-2758000.0,-218000.0,21583000.0,21583000,21583000,-8297000.0,13286000,11543000,11543000,247730000.0,36170000.0,292365000.0,14460000.0,42633000.0,57093000.0,349458000,31693000.0,37019000.0,0.0,37019000,340838000.0,-25933000.0,-584000.0,312439000.0,349458000,11543000.0,1793000.0,4616000.0,735000.0,18687000.0,-643000.0,1991000.0,215000.0,-3447000.0,-4991000.0,-6678000.0,11998000,2011-12-30,30.34000015258789,30.53000068664551,30.01000022888184,30.11000061035156,27.69228744506836,117400.0
2012-03-31,50735000.0,-15841000.0,34894000.0,-12146000.0,-3554000.0,-1854000.0,22748000.0,22748000,22748000,-9255000.0,13493000,13493000,13493000,179895000.0,33039000.0,219762000.0,14875000.0,39873000.0,54748000.0,274510000,20364000.0,25593000.0,0.0,25593000,270705000.0,-28283000.0,8708000.0,248917000.0,274510000,13493000.0,1854000.0,4939000.0,-6912000.0,13374000.0,-607000.0,17825000.0,15892000.0,-4201000.0,-70790000.0,-78718000.0,-49811000,2012-03-30,37.83000183105469,37.95000076293945,37.2400016784668,37.290000915527344,34.409595489501946,169100.0
2012-06-30,48825000.0,-15305000.0,33520000.0,-12320000.0,-3750000.0,-1961000.0,21200000.0,21200000,21200000,-8571000.0,12629000,12629000,12629000,188187000.0,33209000.0,235111000.0,14960000.0,39657000.0,54617000.0,289728000,22867000.0,27993000.0,0.0,27993000,275179000.0,-28283000.0,17256000.0,261735000.0,289728000,12629000.0,1961000.0,2625000.0,-4694000.0,12521000.0,-437000.0,799000.0,-879000.0,-4081000.0,5075000.0,-1747000.0,9786000,2012-06-29,26.709999084472656,26.989999771118164,26.459999084472656,26.63999938964844,24.66495513916016,583100.0
2012-09-30,46402000.0,-13380000.0,33022000.0,-11522000.0,-3000000.0,-1715000.0,21500000.0,21500000,21500000,-7792000.0,13708000,13482000,13482000,204282000.0,33414000.0,246280000.0,18466000.0,40182000.0,58648000.0,304928000,27930000.0,32994000.0,0.0,32994000,277862000.0,-29743000.0,26632000.0,271934000.0,304928000,13482000.0,2081000.0,1744000.0,10068000.0,27375000.0,-3911000.0,4040000.0,-1214000.0,-4106000.0,-891000.0,-5115000.0,20506000,2012-09-28,31.36000061035156,31.88999938964844,31.1200008392334,31.61000061035156,29.36484718322754,3936600.0
2012-12-31,44878000.0,-10152000.0,34726000.0,-10804000.0,-2611000.0,-1228000.0,23922000.0,23922000,23922000,-1968000.0,21954000,20465000,20465000,180116000.0,31044000.0,219256000.0,18009000.0,42576000.0,60585000.0,279841000,32260000.0,37124000.0,0.0,37124000,283727000.0,-32273000.0,-5644000.0,242717000.0,279841000,20465000.0,2337000.0,-362000.0,5872000.0,28312000.0,-198000.0,2769000.0,1231000.0,-51653000.0,-2000.0,-50595000.0,-21193000,2012-12-31,35.029998779296875,35.459999084472656,34.669998168945305,35.29999923706055,32.907344818115234,125800.0
2013-03-31,53651000.0,-15016000.0,38635000.0,-13964000.0,-3432000.0,-2286000.0,24671000.0,24671000,24671000,-9126000.0,15545000,15326000,15326000,142978000.0,35467000.0,187376000.0,18743000.0,76762000.0,95505000.0,282881000,24982000.0,30380000.0,0.0,30380000,283280000.0,-32273000.0,4977000.0,252501000.0,282881000,15326000.0,2569000.0,4494000.0,-12110000.0,10279000.0,-794000.0,33670000.0,-5544000.0,-5405000.0,630000.0,-7927000.0,-2989000,2013-03-28,37.59000015258789,37.68000030517578,36.93999862670898,37.29999923706055,34.891780853271484,199800.0
2013-06-30,63507000.0,-14712000.0,48795000.0,-17373000.0,-3318000.0,-4405000.0,31422000.0,31422000,31422000,-12133000.0,19289000,19343000,19343000,149947000.0,41826000.0,202977000.0,26443000.0,75958000.0,102401000.0,305378000,29377000.0,34814000.0,0.0,34814000,286935000.0,-32273000.0,19467000.0,270564000.0,305378000,19343000.0,3177000.0,1002000.0,-3552000.0,19970000.0,-6622000.0,2415000.0,-6835000.0,-4853000.0,750000.0,-3459000.0,9549000,2013-06-28,47.349998474121094,47.4000015258789,46.709999084472656,46.75,43.86368942260742,178700.0
2013-09-30,61133000.0,-17910000.0,43223000.0,-16835000.0,-3121000.0,-3460000.0,26388000.0,26388000,26388000,-8129000.0,18259000,18213000,18213000,177446000.0,36876000.0,231251000.0,27617000.0,73820000.0,101437000.0,332688000,39660000.0,46068000.0,0.0,46068000,290030000.0,-32273000.0,32794000.0,286620000.0,332688000,18214000.0,3559000.0,915000.0,14392000.0,37080000.0,-1941000.0,-44073000.0,-48195000.0,-4770000.0,436000.0,-3997000.0,-15803000,2013-09-30,59.31000137329102,60.15999984741211,59.0099983215332,59.95000076293945,56.38722610473633,142000.0
2013-12-31,60442000.0,-16768000.0,43674000.0,-18875000.0,-3623000.0,-3972000.0,24799000.0,24799000,24799000,-9329000.0,15470000,23134000,23134000,200433000.0,34158000.0,245231000.0,32703000.0,75976000.0,108679000.0,353910000,40835000.0,43548000.0,0.0,43548000,295676000.0,-32273000.0,51042000.0,310362000.0,353910000,23133000.0,3746000.0,-6801000.0,3472000.0,23550000.0,-5980000.0,-9352000.0,-8547000.0,-4809000.0,1223000.0,-1691000.0,13026000,2013-12-31,66.18000030517578,67.73000335693361,66.18000030517578,66.93000030517578,63.07731246948242,167200.0
2014-03-31,63398000.0,-18609000.0,44789000.0,-17081000.0,-3407000.0,-4121000.0,27708000.0,27708000,27708000,-10233000.0,17475000,17475000,17475000,193528000.0,39077000.0,241938000.0,33393000.0,71042000.0,104435000.0,346373000,25390000.0,28112000.0,0.0,28112000,295736000.0,-35659000.0,62471000.0,318261000.0,346373000,17475000.0,4121000.0,5033000.0,-16482000.0,10147000.0,-1622000.0,3750000.0,-449000.0,-6232000.0,-2967000.0,-11916000.0,-2646000,2014-03-31,58.5,59.540000915527344,57.77999877929688,59.22000122070313,55.95950317382813,320000.0
2014-06-30,64964000.0,-18421000.0,46543000.0,-17472000.0,-4144000.0,-4351000.0,29071000.0,29071000,29071000,-10880000.0,18191000,18191000,18191000,198896000.0,40896000.0,252148000.0,34396000.0,70175000.0,104571000.0,356719000,30790000.0,33740000.0,0.0,33740000,298780000.0,-46021000.0,74650000.0,322979000.0,356719000,18191000.0,4351000.0,3016000.0,707000.0,26265000.0,-2132000.0,-2521000.0,-7080000.0,-5932000.0,-9936000.0,-15585000.0,3109000,2014-06-30,55.29999923706055,55.709999084472656,53.81000137329102,54.06000137329102,51.2333869934082,264700.0
2014-09-30,64245000.0,-18589000.0,45656000.0,-17388000.0,-3906000.0,-4482000.0,28268000.0,28268000,28268000,-10764000.0,17504000,17504000,17504000,212121000.0,36947000.0,257868000.0,32800000.0,72241000.0,105041000.0,362909000,33335000.0,36606000.0,0.0,36606000,302440000.0,-57715000.0,86158000.0,326303000.0,362909000,17504000.0,4482000.0,2187000.0,8004000.0,32177000.0,-248000.0,8126000.0,6065000.0,-5898000.0,-11149000.0,-16460000.0,21946000,2014-09-30,61.86000061035156,62.2400016784668,61.41999816894531,61.86000061035156,58.79265975952149,350100.0
2014-12-31,70167000.0,-19376000.0,50791000.0,-17302000.0,-3966000.0,-4425000.0,33489000.0,33489000,33489000,-11853000.0,21636000,21636000,21636000,233787000.0,33836000.0,274308000.0,32185000.0,73391000.0,105576000.0,379884000,43211000.0,45676000.0,0.0,45676000,307179000.0,-70247000.0,101813000.0,334208000.0,379884000,21636000.0,4425000.0,884000.0,14418000.0,41363000.0,-625000.0,-8204000.0,-11561000.0,-5879000.0,-11411000.0,-16262000.0,13824000,2014-12-31,72.22000122070312,72.58000183105469,71.61000061035156,71.70999908447266,68.32353210449219,149300.0
2015-03-31,76771000.0,-21174000.0,55597000.0,-17095000.0,-3871000.0,-4612000.0,38502000.0,38502000,38502000,-13909000.0,24593000,24593000,24593000,223243000.0,46062000.0,276512000.0,31190000.0,70992000.0,102182000.0,378694000,31299000.0,34024000.0,0.0,34024000,309436000.0,-79186000.0,118943000.0,344670000.0,378694000,24593000.0,4612000.0,5190000.0,-24361000.0,10034000.0,-817000.0,2404000.0,-1048000.0,-7517000.0,-8247000.0,-17241000.0,-7876000,2015-03-31,86.25,86.25,82.80999755859375,82.9000015258789,79.18289184570312,230500.0
2015-06-30,75491000.0,-20593000.0,54898000.0,-17839000.0,-5026000.0,-4603000.0,37059000.0,37059000,37059000,-12821000.0,24238000,24238000,24238000,236780000.0,46938000.0,296314000.0,31290000.0,71342000.0,102632000.0,398946000,36439000.0,39089000.0,0.0,39089000,313706000.0,-84711000.0,135721000.0,359857000.0,398946000,24238000.0,4603000.0,2894000.0,-1174000.0,30561000.0,-1528000.0,-6174000.0,-9887000.0,-7345000.0,-5227000.0,-11583000.0,8215000,2015-06-30,92.68000030517578,93.48999786376952,92.1999969482422,92.7699966430664,88.8193588256836,214100.0
2015-09-30,74192000.0,-21002000.0,53190000.0,-17837000.0,-4848000.0,-4642000.0,35353000.0,35353000,35353000,-12638000.0,22715000,22715000,22715000,255892000.0,49280000.0,312345000.0,31027000.0,72950000.0,103977000.0,416322000,40636000.0,42851000.0,0.0,42851000,317737000.0,-90272000.0,150975000.0,373471000.0,416322000,22715000.0,4642000.0,1580000.0,6806000.0,35743000.0,-1385000.0,-28357000.0,-32580000.0,-7339000.0,-5021000.0,-12120000.0,-8887000,2015-09-30,91.5199966430664,93.1500015258789,90.19000244140624,92.87999725341795,89.10668182373047,328800.0
2015-12-31,76644000.0,-21087000.0,55557000.0,-18571000.0,-2098000.0,-4685000.0,36986000.0,36986000,36986000,-12495000.0,24491000,24491000,24491000,284434000.0,40459000.0,334773000.0,30897000.0,73371000.0,104268000.0,439041000,46016000.0,48328000.0,0.0,48328000,321336000.0,-93405000.0,168011000.0,390713000.0,439041000,24491000.0,4685000.0,6790000.0,12202000.0,48168000.0,-1065000.0,10200000.0,5562000.0,-7333000.0,-2839000.0,-14420000.0,39352000,2015-12-31,112.75,113.52999877929688,110.72000122070312,111.58999633789062,107.26834106445312,492300.0
2016-03-31,88573000.0,-24527000.0,64046000.0,-19676000.0,-3902000.0,-4681000.0,44370000.0,44370000,44370000,-15407000.0,28963000,28963000,28963000,285221000.0,52755000.0,350820000.0,32094000.0,68928000.0,101022000.0,451842000,38824000.0,41426000.0,0.0,41426000,325071000.0,-94604000.0,187228000.0,410416000.0,451842000,28963000.0,4681000.0,10794000.0,-97181000.0,-52743000.0,-2652000.0,12000000.0,6339000.0,-9727000.0,-368000.0,-15325000.0,-61733000,2016-03-31,123.33000183105469,126.62000274658205,122.04000091552734,124.83000183105469,120.29248046875,276200.0
2016-06-30,96639000.0,-25815000.0,70824000.0,-20273000.0,-4033000.0,-4540000.0,50551000.0,50551000,50551000,-17425000.0,33126000,33126000,33126000,299605000.0,62860000.0,375928000.0,31495000.0,69692000.0,101187000.0,477115000,38358000.0,40964000.0,0.0,40964000,333399000.0,-98805000.0,210606000.0,436151000.0,477115000,33126000.0,4540000.0,5669000.0,-10688000.0,32647000.0,-1252000.0,-65000.0,-4351000.0,-9586000.0,-2894000.0,-12835000.0,15280000,2016-06-30,142.94000244140625,145.58999633789062,141.97000122070312,145.39999389648438,140.40153503417972,420400.0
2016-09-30,90271000.0,-23914000.0,66357000.0,-20003000.0,-4836000.0,-4325000.0,46354000.0,46354000,46354000,-15436000.0,30918000,30918000,30918000,332099000.0,56583000.0,400440000.0,30773000.0,70938000.0,101711000.0,502151000,47445000.0,50451000.0,0.0,50451000,337381000.0,-107279000.0,231743000.0,451700000.0,502151000,30918000.0,4325000.0,2830000.0,15163000.0,53236000.0,-850000.0,-22405000.0,-25887000.0,-9601000.0,-8440000.0,-18385000.0,8169000,2016-09-30,166.0800018310547,167.4499969482422,165.5500030517578,165.58999633789062,160.15492248535156,358000.0
2016-12-31,92247000.0,-22369000.0,69878000.0,-21168000.0,-5320000.0,-4292000.0,48710000.0,50327000,50327000,-17162000.0,33165000,33165000,33165000,362647000.0,50668000.0,424933000.0,31104000.0,72005000.0,103109000.0,528042000,57514000.0,60029000.0,0.0,60029000,342431000.0,-117330000.0,255140000.0,468013000.0,528042000,33165000.0,4292000.0,3265000.0,15885000.0,56607000.0,-1631000.0,-24621000.0,-29281000.0,-9581000.0,-9924000.0,-18749000.0,6799000,2016-12-30,145.27999877929688,148.36000061035156,145.27999877929688,146.9199981689453,142.34364318847656,278200.0
2017-03-31,102964000.0,-27284000.0,75680000.0,-20522000.0,-4234000.0,-4693000.0,55158000.0,55607000,55607000,-13144000.0,42463000,42463000,42463000,356214000.0,56642000.0,426650000.0,33888000.0,70176000.0,104064000.0,530714000,45169000.0,48359000.0,0.0,48359000,339312000.0,-129537000.0,285150000.0,482355000.0,530714000,42463000.0,4693000.0,6163000.0,-22770000.0,30549000.0,-4149000.0,-21681000.0,-29007000.0,-12356000.0,-11707000.0,-31705000.0,-30588000,2017-03-31,185.0,188.7899932861328,183.8500061035156,187.4900054931641,181.96554565429688,256400.0
2017-06-30,96314000.0,-25319000.0,70995000.0,-22010000.0,-5373000.0,-4790000.0,48985000.0,49573000,49573000,-11550000.0,38023000,38023000,38023000,365504000.0,55215000.0,441777000.0,34643000.0,70621000.0,105264000.0,547041000,42737000.0,45813000.0,0.0,45813000,343206000.0,-141477000.0,310777000.0,501228000.0,547041000,38023000.0,4790000.0,3444000.0,-7688000.0,38569000.0,-1628000.0,-20179000.0,-25330000.0,-12179000.0,-11102000.0,-23750000.0,-9512000,2017-06-30,204.5200042724609,205.1699981689453,200.02999877929688,201.1000061035156,195.52137756347656,164800.0
2017-09-30,96701000.0,-25595000.0,71106000.0,-23889000.0,-5453000.0,-4583000.0,47217000.0,47217000,47217000,-13087000.0,34130000,34130000,34130000,376213000.0,63027000.0,455414000.0,35321000.0,71612000.0,106933000.0,562347000,48248000.0,51439000.0,0.0,51439000,342234000.0,-153682000.0,332506000.0,510908000.0,562347000,34130000.0,4583000.0,2998000.0,10754000.0,52465000.0,-1468000.0,-8655000.0,-13570000.0,-12182000.0,-11903000.0,-28880000.0,10849000,2017-09-29,183.1000061035156,188.4199981689453,182.1199951171875,184.50999450683602,179.68528747558594,332600.0
2017-12-31,97443000.0,-24115000.0,73328000.0,-25073000.0,-5823000.0,-5208000.0,48255000.0,49371000,49371000,-15898000.0,33473000,33473000,33473000,406535000.0,52636000.0,477888000.0,38548000.0,64796000.0,103344000.0,581232000,63804000.0,66464000.0,0.0,66464000,331202000.0,-159791000.0,353583000.0,514768000.0,581232000,33473000.0,5208000.0,10359000.0,-2588000.0,46452000.0,-4841000.0,22478000.0,14254000.0,-12171000.0,-5777000.0,-32733000.0,28022000,2017-12-29,202.07000732421875,203.08999633789062,200.9199981689453,201.75,196.83544921875,362400.0
2018-03-31,114714000.0,-28834000.0,85880000.0,-25707000.0,-4540000.0,-5269000.0,60173000.0,61013000,61013000,-13073000.0,47940000,47940000,47940000,400440000.0,67529000.0,485857000.0,39623000.0,63793000.0,103416000.0,589273000,48555000.0,52109000.0,0.0,52109000,327790000.0,-166059000.0,385725000.0,537164000.0,589273000,47940000.0,5269000.0,5826000.0,-27596000.0,31439000.0,-2278000.0,-6837000.0,-12729000.0,-15814000.0,-6010000.0,-29445000.0,-10845000,2018-03-29,213.77999877929688,217.9600067138672,213.44000244140625,217.44000244140625,212.6095428466797,153900.0
2018-06-30,106964000.0,-26199000.0,80765000.0,-28731000.0,-6243000.0,-5790000.0,52034000.0,53210000,53210000,-12723000.0,40487000,40487000,40487000,420277000.0,61883000.0,503190000.0,50088000.0,64320000.0,114408000.0,617598000,56625000.0,60220000.0,0.0,60220000,331177000.0,-172695000.0,410419000.0,557378000.0,617598000,40487000.0,5790000.0,4237000.0,3865000.0,54379000.0,-13757000.0,-20000.0,-16683000.0,-15536000.0,-6523000.0,-22435000.0,14517000,2018-06-29,202.8800048828125,204.6000061035156,196.80999755859366,197.8600006103516,193.8636016845703,200600.0
2018-09-30,101443000.0,-26282000.0,75161000.0,-28749000.0,-5724000.0,-6173000.0,46412000.0,47797000,47797000,-9203000.0,38594000,38594000,38594000,446186000.0,62004000.0,526784000.0,54320000.0,65027000.0,119347000.0,646131000,63728000.0,67513000.0,0.0,67513000,336200000.0,-178776000.0,433227000.0,578618000.0,646131000,38594000.0,6173000.0,3655000.0,19572000.0,67994000.0,-7786000.0,2840000.0,-7572000.0,-15543000.0,-5065000.0,-20551000.0,39399000,2018-09-28,177.6699981689453,179.8699951171875,177.14999389648438,178.49000549316406,175.2734375,255700.0
2018-12-31,112444000.0,-27802000.0,84642000.0,-30677000.0,-6960000.0,-5848000.0,53965000.0,56066000,56066000,-10235000.0,45831000,45831000,45831000,486427000.0,57535000.0,566430000.0,63010000.0,66099000.0,129109000.0,695539000,84851000.0,87661000.0,0.0,87661000,341982000.0,-184962000.0,463252000.0,607878000.0,695539000,45831000.0,5848000.0,3212000.0,15214000.0,70105000.0,-12067000.0,1275000.0,-13312000.0,-15539000.0,-4600000.0,-20242000.0,36237000,2018-12-31,208.6300048828125,211.32000732421875,206.6199951171875,211.30999755859366,207.92367553710938,156700.0
