Report Date,Revenue,Cost of Revenue,Gross Profit,Operating Expenses,"Selling, General & Administrative",Operating Income (Loss),Non-Operating Income (Loss),"Interest Expense, Net","Pretax Income (Loss), Adj.",Abnormal Gains (Losses),Pretax Income (Loss),"Income Tax (Expense) Benefit, Net",Income (Loss) from Continuing Operations,Net Extraordinary Gains (Losses),Net Income,Net Income (Common),"Cash, Cash Equivalents & Short Term Investments",Accounts & Notes Receivable,Inventories,Total Current Assets,"Property, Plant & Equipment, Net",Other Long Term Assets,Total Noncurrent Assets,Total Assets,Payables & Accruals,Short Term Debt,Total Current Liabilities,Long Term Debt,Total Noncurrent Liabilities,Total Liabilities,Share Capital & Additional Paid-In Capital,Retained Earnings,Total Equity,Total Liabilities & Equity,Net Income/Starting Line,Depreciation & Amortization.1,Non-Cash Items,Change in Working Capital,Change in Accounts Receivable,Change in Inventories,Change in Accounts Payable,Change in Other,Net Cash from Operating Activities,Change in Fixed Assets & Intangibles,Net Cash from Acquisitions & Divestitures,Net Cash from Investing Activities,Dividends Paid,Cash from (Repayment of) Debt,Net Cash from Financing Activities,Net Change in Cash,Price Date,Open,High,Low,Close,Adj Close,Volume
2010-12-31,1860300000.0,-1172700000.0,687600000.0,-140000000.0,-113700000.0,547600000.0,-13400000.0,-12800000.0,534200000,-5800000.0,528400000,-138800000.0,389600000,6900000.0,396100000,396100000,2523000000.0,614800000.0,1002300000.0,4974800000.0,5465600000.0,2267300000.0,7732900000.0,12707700000,1172200000.0,98300000.0,1303900000.0,1245600000.0,2655400000.0,3959300000,2527500000.0,5905300000.0,8748400000.0,12707700000,396500000.0,112400000.0,2600000.0,20600000.0,-21000000.0,-80000000.0,52200000.0,69400000.0,532100000.0,-275000000.0,4700000.0,-270900000.0,-22300000.0,-17300000.0,-38400000.0,231200000,2010-12-31,75.98999786376953,76.58999633789062,75.30999755859375,76.36000061035156,64.25749206542969,2303000.0
2011-03-31,2188300000.0,-1683600000.0,504700000.0,-94400000.0,-88100000.0,410300000.0,-5000000.0,-7000000.0,405300000,-600000.0,404700000,-109600000.0,295100000,3800000.0,297700000,297700000,2362700000.0,553900000.0,1045300000.0,4754800000.0,5658100000.0,2659000000.0,8317100000.0,13071900000,1256300000.0,88500000.0,1379100000.0,1244100000.0,2634100000.0,4013200000,2540900000.0,6180700000.0,9058700000.0,13071900000,298900000.0,104700000.0,2700000.0,149900000.0,41300000.0,-42300000.0,88700000.0,62200000.0,556200000.0,-294700000.0,-385300000.0,-681600000.0,-22300000.0,-10900000.0,-33000000.0,-160300000,2011-03-31,81.81999969482422,82.4000015258789,78.55000305175781,78.75,66.30955505371094,9012700.0
2011-06-30,2674800000.0,-1906500000.0,768300000.0,-110100000.0,-89300000.0,658200000.0,649100000.0,-5600000.0,1307300000,-300000.0,1307000000,-281300000.0,1025700000,1100000.0,1025600000,1025600000,3659400000.0,651000000.0,816900000.0,5524300000.0,5969000000.0,2706100000.0,8675100000.0,14199400000,1202900000.0,520800000.0,1770000000.0,788400000.0,2158600000.0,3928600000,2560500000.0,7184000000.0,10270800000.0,14199400000,1026800000.0,105700000.0,-667100000.0,66300000.0,-87600000.0,227700000.0,-41500000.0,-32300000.0,531700000.0,-291000000.0,0.0,740000000.0,-22300000.0,-24500000.0,-30200000.0,1296700000,2011-06-30,66.81999969482422,67.98000335693361,65.68000030517578,67.73000335693361,57.06763458251953,13155200.0
2011-09-30,2214300000.0,-1360700000.0,853600000.0,-82800000.0,-83600000.0,770800000.0,-31900000.0,-200000.0,738900000,-16100000.0,722800000,-175900000.0,546900000,-4300000.0,542100000,542100000,3352100000.0,777900000.0,1133600000.0,5693600000.0,6330300000.0,2675200000.0,9005500000.0,14699100000,1362700000.0,124500000.0,1534500000.0,762200000.0,2155000000.0,3689500000,2577000000.0,7703700000.0,11009600000.0,14699100000,542600000.0,114100000.0,61300000.0,-352100000.0,-137600000.0,-314900000.0,145000000.0,-44600000.0,365900000.0,-311600000.0,50000000.0,-271600000.0,-22400000.0,-423000000.0,-452400000.0,-307300000,2011-09-30,53.13999938964844,53.13999938964844,48.4900016784668,48.97000122070313,41.28984451293945,18896100.0
2011-12-31,2860400000.0,-1865200000.0,995200000.0,-170300000.0,-111500000.0,824900000.0,12000000.0,7700000.0,836900000,-100000.0,836800000,-186000000.0,650800000,-5600000.0,649200000,649200000,3906400000.0,926000000.0,1266400000.0,6684900000.0,6635900000.0,2466100000.0,9102000000.0,15786900000,1784700000.0,71600000.0,1928500000.0,761300000.0,2196500000.0,4125000000,2600800000.0,8330600000.0,11661900000.0,15786900000,645200000.0,122900000.0,177500000.0,27300000.0,-113400000.0,-115200000.0,277500000.0,-21600000.0,972900000.0,-365900000.0,6400000.0,-358900000.0,-22300000.0,-53700000.0,-69400000.0,554300000,2011-12-30,50.2599983215332,50.93000030517578,50.25,50.43000030517578,42.55719375610352,2213600.0
2012-09-30,2645700000.0,-1871100000.0,774600000.0,-130900000.0,-114800000.0,643700000.0,-22200000.0,5100000.0,621500000,-600000.0,620900000,-189000000.0,431900000,-12900000.0,417400000,417400000,3201900000.0,656300000.0,1327300000.0,5930400000.0,7379500000.0,2626800000.0,10006300000.0,15936700000,1458400000.0,82700000.0,1614800000.0,1010600000.0,2491600000.0,4106400000,1459300000.0,9687400000.0,11830300000.0,15936700000,419000000.0,140600000.0,2200000.0,-218000000.0,-81000000.0,-213100000.0,20300000.0,55800000.0,343800000.0,-384600000.0,0.0,-375500000.0,-106600000.0,4600000.0,-102900000.0,-107700000,2012-09-28,57.56000137329102,57.88999938964844,57.06000137329102,57.61000061035156,48.98482131958008,3335100.0
2012-12-31,2364300000.0,-1783300000.0,581000000.0,-140200000.0,-93600000.0,440800000.0,-800000.0,4400000.0,440000000,-17100000.0,422900000,-86600000.0,336300000,23500000.0,363200000,363200000,3811000000.0,751600000.0,1237600000.0,6581100000.0,7545900000.0,2563400000.0,10109300000.0,16690400000,1812300000.0,43000000.0,1917700000.0,1010000000.0,2773300000.0,4691000000,1463800000.0,10141300000.0,11999400000.0,16690400000,506900000.0,139700000.0,209000000.0,373700000.0,-120900000.0,72700000.0,306700000.0,115200000.0,1229300000.0,-449000000.0,0.0,-445600000.0,-53400000.0,-39200000.0,-92000000.0,609100000,2012-12-31,55.04999923706055,56.79999923706055,54.79999923706055,56.63000106811523,48.3807258605957,4026100.0
2013-03-31,2312400000.0,-1670600000.0,641800000.0,-150700000.0,-91900000.0,491100000.0,20600000.0,3700000.0,511700000,-400000.0,511300000,-133700000.0,377600000,2300000.0,379800000,379800000,3594800000.0,732000000.0,1484400000.0,6540900000.0,7944300000.0,2584900000.0,10529200000.0,17070100000,1596900000.0,18200000.0,1676100000.0,1010900000.0,2814200000.0,4490300000,1480600000.0,10464100000.0,12579800000.0,17070100000,379900000.0,155000000.0,42700000.0,1800000.0,-73500000.0,16700000.0,141000000.0,-82400000.0,579400000.0,-367500000.0,-15000000.0,-378500000.0,-106400000.0,19400000.0,-84800000.0,106100000,2013-03-28,59.4900016784668,60.209999084472656,58.290000915527344,59.61000061035156,51.13623809814453,6380300.0
2013-06-30,2618700000.0,-1953400000.0,665300000.0,-139600000.0,-116100000.0,525700000.0,22600000.0,400000.0,548300000,2800000.0,551100000,-126300000.0,424800000,5200000.0,429800000,429800000,3420700000.0,797500000.0,1518500000.0,6533100000.0,8246100000.0,2661500000.0,10907600000.0,17440700000,1559500000.0,21900000.0,1647400000.0,1010600000.0,2692500000.0,4339900000,1485100000.0,10986200000.0,13100800000.0,17440700000,430000000.0,167700000.0,271600000.0,113000000.0,133400000.0,6100000.0,-9700000.0,-16800000.0,982300000.0,-374000000.0,-6800000.0,-381400000.0,-106800000.0,-48000000.0,-152300000.0,404100000,2013-06-28,53.75,54.43999862670898,53.29999923706055,53.81000137329102,46.34809112548828,5097800.0
2013-09-30,1908700000.0,-1521800000.0,386900000.0,-120000000.0,-94400000.0,266900000.0,-27800000.0,1800000.0,239100000,-122400000.0,116700000,6600000.0,123300000,2500000.0,124400000,124400000,3338600000.0,478700000.0,1495000000.0,6291300000.0,8513000000.0,2852300000.0,11365300000.0,17656600000,1200400000.0,15300000.0,1302300000.0,1011500000.0,2803200000.0,4105500000,1512100000.0,11707600000.0,13551100000.0,17656600000,125800000.0,166100000.0,110000000.0,-446900000.0,131700000.0,-2500000.0,-325100000.0,-251000000.0,-45000000.0,-332500000.0,-134500000.0,-465700000.0,-106800000.0,16300000.0,-89500000.0,-576900000,2013-09-30,43.040000915527344,43.61000061035156,42.86999893188477,43.02000045776367,37.229270935058594,6809200.0
