Report Date,Revenue,Cost of Revenue,Gross Profit,Operating Expenses,"Selling, General & Administrative",Depreciation & Amortization,Operating Income (Loss),Non-Operating Income (Loss),"Interest Expense, Net","Pretax Income (Loss), Adj.",Abnormal Gains (Losses),Pretax Income (Loss),"Income Tax (Expense) Benefit, Net",Income (Loss) from Continuing Operations,Net Income,Net Income (Common),"Cash, Cash Equivalents & Short Term Investments",Accounts & Notes Receivable,Inventories,Total Current Assets,"Property, Plant & Equipment, Net",Long Term Investments & Receivables,Other Long Term Assets,Total Noncurrent Assets,Total Assets,Payables & Accruals,Short Term Debt,Total Current Liabilities,Long Term Debt,Total Noncurrent Liabilities,Total Liabilities,Share Capital & Additional Paid-In Capital,Treasury Stock,Retained Earnings,Total Equity,Total Liabilities & Equity,Net Income/Starting Line,Depreciation & Amortization.1,Non-Cash Items,Change in Working Capital,Net Cash from Operating Activities,Change in Fixed Assets & Intangibles,Net Cash from Acquisitions & Divestitures,Net Cash from Investing Activities,Dividends Paid,Cash from (Repayment of) Debt,Cash from (Repurchase of) Equity,Net Cash from Financing Activities,Net Change in Cash,Price Date,Open,High,Low,Close,Adj Close,Volume
2012-03-31,20264000000.0,-17321000000.0,2943000000.0,-1998000000.0,-251000000.0,-230000000.0,952000000.0,-20000000.0,-22000000.0,932000000,2000000.0,934000000,-338000000.0,596000000,596000000,596000000,2205000000.0,5867000000.0,3352000000.0,11580000000.0,12246000000.0,302000000.0,1178000000.0,13726000000.0,25306000000,8983000000.0,17000000.0,9201000000.0,3304000000.0,6889000000.0,16090000000,9414000000.0,-743000000.0,1407000000.0,9216000000.0,25306000000,596000000.0,230000000.0,291000000.0,-770000000.0,347000000.0,-309000000.0,0.0,-311000000.0,-87000000.0,-3000000.0,-823000000.0,-910000000.0,-874000000,2012-03-30,21.76499938964844,21.9950008392334,21.63500022888184,21.68000030517578,16.091863632202152,7078400.0
2012-06-30,20240000000.0,-16800000000.0,3440000000.0,-2150000000.0,-365000000.0,-236000000.0,1297000000.0,-8000000.0,-17000000.0,1289000000,1000000.0,1290000000,-476000000.0,814000000,814000000,814000000,1895000000.0,4708000000.0,4030000000.0,10706000000.0,12414000000.0,302000000.0,1259000000.0,13975000000.0,24681000000,7345000000.0,19000000.0,7568000000.0,3316000000.0,6787000000.0,14355000000,9430000000.0,-743000000.0,2136000000.0,10326000000.0,24681000000,814000000.0,236000000.0,415000000.0,-1196000000.0,269000000.0,-326000000.0,-163000000.0,-487000000.0,-85000000.0,-3000000.0,5000000.0,-92000000.0,-310000000,2012-06-29,22.45499992370605,22.67499923706055,22.01499938964844,22.459999084472656,16.783576965332028,10990000.0
2012-09-30,21047000000.0,-17202000000.0,3845000000.0,-2152000000.0,-293000000.0,-246000000.0,1713000000.0,-18000000.0,-25000000.0,1695000000,175000000.0,1870000000,-646000000.0,1224000000,1224000000,1224000000,3387000000.0,5101000000.0,3889000000.0,12516000000.0,12532000000.0,300000000.0,1235000000.0,14067000000.0,26583000000,8211000000.0,20000000.0,8308000000.0,3329000000.0,6808000000.0,15116000000,9567000000.0,-852000000.0,3241000000.0,11467000000.0,26583000000,1224000000.0,246000000.0,-248000000.0,611000000.0,1833000000.0,-331000000.0,-27000000.0,-235000000.0,-119000000.0,-6000000.0,22000000.0,-106000000.0,1492000000,2012-09-28,27.18000030517578,27.32999992370605,26.90999984741211,27.295000076293945,20.54166603088379,4748400.0
2012-12-31,20692000000.0,-17345000000.0,3347000000.0,-2177000000.0,-314000000.0,-283000000.0,1182000000.0,-37000000.0,-45000000.0,1145000000,-1000000.0,1144000000,-385000000.0,759000000,755000000,755000000,4860000000.0,4610000000.0,3449000000.0,13029000000.0,12643000000.0,321000000.0,1230000000.0,14194000000.0,27223000000,8072000000.0,19000000.0,8203000000.0,3342000000.0,6915000000.0,15118000000,9531000000.0,-1253000000.0,3880000000.0,12105000000.0,27223000000,759000000.0,283000000.0,133000000.0,868000000.0,2043000000.0,-403000000.0,0.0,-419000000.0,-116000000.0,-5000000.0,-39000000.0,-151000000.0,1473000000,2012-12-31,30.48500061035156,31.5049991607666,30.440000534057607,31.5,23.85994911193848,4202800.0
2013-03-31,23330000000.0,-20034000000.0,3296000000.0,-2155000000.0,-249000000.0,-287000000.0,1155000000.0,-48000000.0,-48000000.0,1107000000,1000000.0,1108000000,-378000000.0,730000000,725000000,725000000,4737000000.0,5509000000.0,4879000000.0,15297000000.0,13850000000.0,327000000.0,1299000000.0,15476000000.0,30773000000,10554000000.0,22000000.0,10728000000.0,3394000000.0,7633000000.0,18361000000,9680000000.0,-1787000000.0,4489000000.0,12412000000.0,30773000000,730000000.0,287000000.0,-28000000.0,1090000000.0,2079000000.0,-195000000.0,-1493000000.0,-1682000000.0,-116000000.0,-5000000.0,-403000000.0,-520000000.0,-123000000,2013-03-28,44.834999084472656,45.224998474121094,44.65499877929688,44.79999923706055,34.07757568359375,5275600.0
2013-06-30,25677000000.0,-22320000000.0,3357000000.0,-2423000000.0,-358000000.0,-302000000.0,952000000.0,-38000000.0,-45000000.0,914000000,1000000.0,915000000,-316000000.0,599000000,593000000,593000000,3069000000.0,6163000000.0,4830000000.0,14252000000.0,13799000000.0,328000000.0,1316000000.0,15443000000.0,29695000000,9903000000.0,23000000.0,10241000000.0,3387000000.0,7257000000.0,17498000000,9741000000.0,-2672000000.0,4969000000.0,12197000000.0,29695000000,599000000.0,302000000.0,-42000000.0,-1295000000.0,-436000000.0,-229000000.0,-22000000.0,-236000000.0,-113000000.0,-5000000.0,-876000000.0,-996000000.0,-1668000000,2013-06-28,35.41999816894531,35.55500030517578,35.150001525878906,35.529998779296875,27.150554656982425,15077600.0
2013-09-30,26256000000.0,-23553000000.0,2703000000.0,-2420000000.0,-305000000.0,-299000000.0,291000000.0,-38000000.0,-47000000.0,253000000,1000000.0,254000000,-81000000.0,173000000,168000000,168000000,2018000000.0,5593000000.0,5714000000.0,13531000000.0,13795000000.0,417000000.0,1260000000.0,15472000000.0,29003000000,10188000000.0,23000000.0,10401000000.0,3380000000.0,7338000000.0,17739000000,9752000000.0,-3703000000.0,5007000000.0,11264000000.0,29003000000,173000000.0,299000000.0,6000000.0,-71000000.0,407000000.0,-309000000.0,0.0,-333000000.0,-129000000.0,-6000000.0,-1025000000.0,-1125000000.0,-1051000000,2013-09-30,31.875,32.28499984741211,31.520000457763672,32.15999984741211,24.72368240356445,9147800.0
2013-12-31,24897000000.0,-21494000000.0,3403000000.0,-2430000000.0,-336000000.0,-332000000.0,985000000.0,-19000000.0,-39000000.0,966000000,3000000.0,969000000,-338000000.0,631000000,626000000,626000000,2292000000.0,5559000000.0,4689000000.0,12737000000.0,13921000000.0,463000000.0,1264000000.0,15648000000.0,28385000000,9526000000.0,23000000.0,9824000000.0,3373000000.0,7229000000.0,17053000000,9772000000.0,-4155000000.0,5507000000.0,11332000000.0,28385000000,631000000.0,332000000.0,-103000000.0,495000000.0,1355000000.0,-473000000.0,0.0,-505000000.0,-126000000.0,-5000000.0,-441000000.0,-576000000.0,274000000,2013-12-31,44.59000015258789,45.974998474121094,44.56499862670898,45.8650016784668,35.44853210449219,6417400.0
2014-06-30,26844000000.0,-23096000000.0,3748000000.0,-2468000000.0,-316000000.0,-325000000.0,1301000000.0,9000000.0,-48000000.0,1310000000,11000000.0,1321000000,-457000000.0,864000000,855000000,855000000,2125000000.0,5725000000.0,5621000000.0,13596000000.0,13850000000.0,690000000.0,1240000000.0,15780000000.0,29376000000,10510000000.0,26000000.0,11055000000.0,3612000000.0,7284000000.0,18339000000,9826000000.0,-5313000000.0,6325000000.0,11037000000.0,29376000000,864000000.0,325000000.0,-71000000.0,-240000000.0,878000000.0,-302000000.0,-42000000.0,-321000000.0,-122000000.0,-20000000.0,-455000000.0,-598000000.0,-41000000,2014-06-30,39.67499923706055,39.7599983215332,38.97000122070313,39.03499984741211,30.462167739868164,7769600.0
2014-09-30,25438000000.0,-21935000000.0,3503000000.0,-2484000000.0,-342000000.0,-322000000.0,1031000000.0,-21000000.0,-50000000.0,1010000000,2000000.0,1012000000,-333000000.0,679000000,672000000,672000000,1854000000.0,5271000000.0,5608000000.0,12887000000.0,15999000000.0,862000000.0,1957000000.0,18818000000.0,31705000000,10022000000.0,26000000.0,10372000000.0,6238000000.0,10067000000.0,20439000000,9837000000.0,-5616000000.0,6856000000.0,11266000000.0,31705000000,679000000.0,322000000.0,-24000000.0,101000000.0,1078000000.0,-383000000.0,-2789000000.0,-3343000000.0,-141000000.0,2627000000.0,-297000000.0,1994000000.0,-271000000,2014-09-30,42.23500061035156,42.63999938964844,41.959999084472656,42.334999084472656,33.22391128540039,5853600.0
