Report Date,Revenue,Cost of Revenue,Gross Profit,Operating Expenses,"Selling, General & Administrative",Research & Development,Operating Income (Loss),Non-Operating Income (Loss),"Pretax Income (Loss), Adj.",Pretax Income (Loss),"Income Tax (Expense) Benefit, Net",Income (Loss) from Continuing Operations,Net Income,Net Income (Common),"Cash, Cash Equivalents & Short Term Investments",Accounts & Notes Receivable,Inventories,Total Current Assets,"Property, Plant & Equipment, Net",Long Term Investments & Receivables,Other Long Term Assets,Total Noncurrent Assets,Total Assets,Payables & Accruals,Total Current Liabilities,Total Noncurrent Liabilities,Total Liabilities,Share Capital & Additional Paid-In Capital,Retained Earnings,Total Equity,Total Liabilities & Equity,Net Income/Starting Line,Depreciation & Amortization.1,Non-Cash Items,Change in Working Capital,Net Cash from Operating Activities,Change in Fixed Assets & Intangibles,Net Cash from Investing Activities,Cash from (Repurchase of) Equity,Net Cash from Financing Activities,Net Change in Cash,Price Date,Open,High,Low,Close,Adj Close,Volume
2011-06-30,51628000.0,-25070000.0,26558000.0,-22519000.0,-10343000.0,-11237000.0,4039000.0,24000.0,4063000,4063000,-581000.0,3482000,3482000,3482000,163326000.0,17589000.0,24715000.0,207774000.0,37433000.0,17220000.0,733000.0,55386000.0,263160000,18971000.0,31009000.0,5021000.0,36030000,152129000.0,72022000.0,227130000.0,263160000,3482000.0,2105000.0,4134000.0,3563000.0,13284000.0,-2215000.0,34035000.0,-24027000.0,-23988000.0,23623000,2011-06-30,15.100000381469727,15.5600004196167,15.050000190734865,15.420000076293945,13.642471313476562,342600.0
2011-09-30,52962000.0,-25148000.0,27814000.0,-22763000.0,-10249000.0,-11792000.0,5051000.0,3000.0,5054000,5054000,419000.0,5473000,5473000,5473000,160831000.0,16420000.0,23558000.0,203126000.0,47608000.0,15720000.0,708000.0,64036000.0,267162000,16140000.0,25089000.0,5020000.0,30109000,156164000.0,77495000.0,237053000.0,267162000,5473000.0,2175000.0,3814000.0,-2557000.0,8905000.0,-13524000.0,-14179000.0,917000.0,588000.0,-4713000,2011-09-30,10.390000343322754,10.670000076293944,10.15999984741211,10.18000030517578,9.006507873535156,167600.0
2011-12-31,47461000.0,-22544000.0,24917000.0,-22506000.0,-10198000.0,-11403000.0,2411000.0,99000.0,2510000,2510000,-57000.0,2453000,2453000,2453000,174198000.0,15097000.0,20104000.0,211505000.0,47794000.0,13675000.0,893000.0,62362000.0,273867000,18225000.0,26070000.0,4920000.0,30990000,159336000.0,79948000.0,242877000.0,273867000,2453000.0,2182000.0,950000.0,7681000.0,13266000.0,-2227000.0,-10190000.0,363000.0,245000.0,3399000,2011-12-30,15.260000228881836,15.420000076293945,15.0600004196167,15.06999969482422,13.332818031311035,142800.0
2012-03-31,50484000.0,-24074000.0,26410000.0,-23212000.0,-11966000.0,-11118000.0,3198000.0,106000.0,3304000,3304000,-309000.0,2995000,2995000,2995000,180928000.0,19947000.0,21547000.0,225420000.0,51437000.0,13665000.0,658000.0,65760000.0,291180000,21319000.0,31469000.0,4930000.0,36399000,167773000.0,82943000.0,254781000.0,291180000,2995000.0,2184000.0,3964000.0,-2924000.0,6219000.0,-4875000.0,-29190000.0,5021000.0,5121000.0,-17640000,2012-03-30,19.76000022888184,19.899999618530273,19.239999771118164,19.670000076293945,17.402559280395508,305500.0
2012-06-30,58607000.0,-27435000.0,31172000.0,-24391000.0,-12167000.0,-12468000.0,6781000.0,359000.0,7140000,7140000,-548000.0,6592000,6592000,6592000,184657000.0,21415000.0,29455000.0,238151000.0,59584000.0,11714000.0,625000.0,71923000.0,310074000,28736000.0,35584000.0,5249000.0,40833000,175624000.0,89535000.0,269241000.0,310074000,6592000.0,2269000.0,4466000.0,-7254000.0,6073000.0,-8296000.0,-7137000.0,3356000.0,4023000.0,2913000,2012-06-29,19.82999992370605,20.01000022888184,19.56999969482422,19.850000381469727,17.561805725097653,313200.0
2012-09-30,56508000.0,-26495000.0,30013000.0,-23693000.0,-11955000.0,-11967000.0,6320000.0,156000.0,6476000,6476000,-555000.0,5921000,5921000,5921000,185526000.0,21561000.0,32623000.0,242568000.0,59883000.0,11756000.0,1062000.0,72701000.0,315269000,17364000.0,24864000.0,5341000.0,30205000,185583000.0,95456000.0,285064000.0,315269000,5921000.0,2413000.0,2245000.0,-9421000.0,1158000.0,-6010000.0,-10295000.0,5708000.0,5776000.0,-3397000,2012-09-28,19.86000061035156,19.96999931335449,19.6299991607666,19.75,17.473339080810547,211800.0
2012-12-31,48214000.0,-22661000.0,25553000.0,-24573000.0,-13930000.0,-13243000.0,980000.0,-10000.0,970000,970000,-722000.0,248000,248000,248000,160625000.0,19383000.0,32115000.0,214301000.0,59412000.0,11755000.0,1694000.0,72861000.0,287162000,17545000.0,23460000.0,5408000.0,28868000,194079000.0,60040000.0,258294000.0,287162000,248000.0,2466000.0,7395000.0,1353000.0,11462000.0,-1865000.0,19785000.0,1157000.0,-34473000.0,-3143000,2012-12-31,21.63999938964844,22.32999992370605,21.32999992370605,22.280000686645508,20.639301300048828,475000.0
2013-03-31,51470000.0,-24085000.0,27385000.0,-25080000.0,-13258000.0,-12123000.0,2305000.0,-10000.0,2295000,2295000,204000.0,2499000,2499000,2499000,175043000.0,22669000.0,34949000.0,234431000.0,62871000.0,11715000.0,1774000.0,76360000.0,310791000,20131000.0,27810000.0,6670000.0,34480000,209316000.0,62539000.0,276311000.0,310791000,2499000.0,2709000.0,4626000.0,-3130000.0,6704000.0,-3435000.0,250000.0,11006000.0,11138000.0,18183000,2013-03-28,24.190000534057607,24.420000076293945,23.95000076293945,24.3700008392334,22.575395584106445,339900.0
2013-06-30,57714000.0,-26786000.0,30928000.0,-26014000.0,-13793000.0,-12478000.0,4914000.0,218000.0,5132000,5132000,357000.0,5489000,5489000,5489000,189619000.0,20319000.0,40268000.0,251952000.0,67281000.0,11698000.0,1663000.0,80642000.0,332594000,25039000.0,32613000.0,6019000.0,38632000,220648000.0,68029000.0,293962000.0,332594000,5490000.0,3002000.0,5428000.0,1593000.0,15513000.0,-7366000.0,-13611000.0,6345000.0,6213000.0,8448000,2013-06-28,24.21999931335449,24.5,24.040000915527344,24.11000061035156,22.33453750610352,698100.0
2013-09-30,65347000.0,-30053000.0,35294000.0,-26638000.0,-13891000.0,-12643000.0,8656000.0,-59000.0,8597000,8597000,-1187000.0,7410000,7410000,7410000,204348000.0,21957000.0,42975000.0,270950000.0,67221000.0,9847000.0,2022000.0,79090000.0,350040000,17114000.0,26359000.0,6350000.0,32709000,235993000.0,75439000.0,317331000.0,350040000,7410000.0,3249000.0,5347000.0,-7985000.0,8021000.0,-4623000.0,-9021000.0,9475000.0,9475000.0,8711000,2013-09-30,29.88999938964844,30.28000068664551,29.53000068664551,30.28000068664551,28.05018424987793,340600.0
