Report Date,Revenue,Cost of Revenue,Gross Profit,Operating Expenses,"Selling, General & Administrative",Research & Development,Operating Income (Loss),Non-Operating Income (Loss),"Pretax Income (Loss), Adj.",Pretax Income (Loss),"Income Tax (Expense) Benefit, Net",Income (Loss) from Continuing Operations,Net Income,Net Income (Common),"Cash, Cash Equivalents & Short Term Investments",Accounts & Notes Receivable,Inventories,Total Current Assets,"Property, Plant & Equipment, Net",Long Term Investments & Receivables,Other Long Term Assets,Total Noncurrent Assets,Total Assets,Payables & Accruals,Short Term Debt,Total Current Liabilities,Long Term Debt,Total Noncurrent Liabilities,Total Liabilities,Share Capital & Additional Paid-In Capital,Retained Earnings,Total Equity,Total Liabilities & Equity,Net Income/Starting Line,Depreciation & Amortization.1,Non-Cash Items,Change in Working Capital,Change in Accounts Receivable,Change in Inventories,Change in Accounts Payable,Change in Other,Net Cash from Operating Activities,Change in Fixed Assets & Intangibles,Net Change in Long Term Investment,Net Cash from Acquisitions & Divestitures,Net Cash from Investing Activities,Dividends Paid,Cash from (Repayment of) Debt,Cash from (Repurchase of) Equity,Net Cash from Financing Activities,Net Change in Cash,Price Date,Open,High,Low,Close,Adj Close,Volume
2009-06-30,13099000000.0,-2586000000.0,10513000000.0,-6816000000.0,-4591000000.0,-2225000000.0,3697000000.0,155000000.0,3852000000,4142000000,-1097000000.0,3045000000,3045000000,3045000000,31447000000.0,11192000000.0,717000000.0,49280000000.0,7535000000.0,4933000000.0,16140000000.0,28608000000.0,77888000000,6480000000.0,2000000000.0,27034000000.0,3746000000.0,11296000000.0,38330000000,62382000000.0,-22824000000.0,39558000000.0,77888000000,3045000000.0,681000000.0,9068000000.0,-8953000000.0,-1820000000.0,255000000.0,-671000000.0,-6717000000.0,3841000000.0,-867000000.0,-7099000000.0,-41000000.0,-7857000000.0,-1158000000.0,3751000000.0,121000000.0,2699000000.0,-1209000000,2009-06-30,23.96999931335449,24.239999771118164,23.6299991607666,23.770000457763672,18.2095947265625,66452400.0
2009-09-30,12920000000.0,-2842000000.0,10078000000.0,-5596000000.0,-3531000000.0,-2065000000.0,4482000000.0,283000000.0,4765000000,4765000000,-1191000000.0,3574000000,3574000000,3574000000,36728000000.0,8587000000.0,1150000000.0,52231000000.0,7512000000.0,6006000000.0,15863000000.0,29381000000.0,81612000000,5511000000.0,2250000000.0,28761000000.0,3746000000.0,11639000000.0,40400000000,62293000000.0,-21081000000.0,41212000000.0,81612000000,3574000000.0,646000000.0,7001000000.0,-5114000000.0,2748000000.0,-419000000.0,-36000000.0,-7407000000.0,6107000000.0,-435000000.0,-2575000000.0,-39000000.0,-1199000000.0,-1157000000.0,250000000.0,-1292000000.0,-2190000000.0,2747000000,2009-09-30,25.76000022888184,25.989999771118164,25.3799991607666,25.71999931335449,19.814228057861328,63533400.0
2009-12-31,19022000000.0,-3628000000.0,15394000000.0,-6881000000.0,-4802000000.0,-2079000000.0,8513000000.0,370000000.0,8883000000,8883000000,-2221000000.0,6662000000,6662000000,6662000000,36099000000.0,11196000000.0,589000000.0,52487000000.0,7402000000.0,6976000000.0,15231000000.0,29609000000.0,82096000000,5588000000.0,2249000000.0,25715000000.0,3746000000.0,12098000000.0,37813000000,62566000000.0,-18283000000.0,44283000000.0,82096000000,6662000000.0,615000000.0,7758000000.0,-10066000000.0,-2789000000.0,558000000.0,3000000.0,-7838000000.0,4969000000.0,-376000000.0,970000000.0,-63000000.0,-92000000.0,-1152000000.0,-2000000.0,-3138000000.0,-4277000000.0,599000000,2009-12-31,30.979999542236328,30.989999771118164,30.479999542236328,30.479999542236328,23.585039138793945,31929700.0
2010-03-31,14503000000.0,-2755000000.0,11748000000.0,-6575000000.0,-4355000000.0,-2220000000.0,5173000000.0,168000000.0,5341000000,5341000000,-1335000000.0,4006000000,4006000000,4006000000,39666000000.0,9137000000.0,501000000.0,54518000000.0,7372000000.0,7797000000.0,15223000000.0,30392000000.0,84910000000,6164000000.0,2249000000.0,26424000000.0,3746000000.0,12776000000.0,39200000000,62517000000.0,-16807000000.0,45710000000.0,84910000000,4006000000.0,694000000.0,6245000000.0,-3552000000.0,1947000000.0,77000000.0,122000000.0,-5698000000.0,7393000000.0,-408000000.0,-5236000000.0,-143000000.0,-5904000000.0,-1139000000.0,0.0,-1601000000.0,-2726000000.0,-1267000000,2010-03-31,29.63999938964844,29.71999931335449,29.170000076293945,29.290000915527344,22.770212173461914,63760000.0
2010-06-30,16039000000.0,-3170000000.0,12869000000.0,-6939000000.0,-4589000000.0,-2350000000.0,5930000000.0,94000000.0,6024000000,6024000000,-1506000000.0,4518000000,4518000000,4518000000,36788000000.0,13014000000.0,740000000.0,55676000000.0,7630000000.0,7754000000.0,15053000000.0,30437000000.0,86113000000,7308000000.0,1000000000.0,26147000000.0,4939000000.0,13791000000.0,39938000000,62856000000.0,-16681000000.0,46175000000.0,86113000000,4518000000.0,718000000.0,9788000000.0,-9420000000.0,-4144000000.0,-260000000.0,755000000.0,-5771000000.0,5604000000.0,-758000000.0,-749000000.0,0.0,-4119000000.0,-1130000000.0,-58000000.0,-2927000000.0,-4098000000.0,-2650000000,2010-06-30,23.29999923706055,23.68000030517578,22.95000076293945,23.01000022888184,17.968822479248047,81050500.0
2010-09-30,16195000000.0,-3139000000.0,13056000000.0,-5940000000.0,-3744000000.0,-2196000000.0,7116000000.0,114000000.0,7230000000,7230000000,-1820000000.0,5410000000,5410000000,5410000000,44173000000.0,9646000000.0,1242000000.0,59581000000.0,7771000000.0,9211000000.0,14977000000.0,31959000000.0,91540000000,5906000000.0,1000000000.0,25857000000.0,9665000000.0,18741000000.0,44598000000,61935000000.0,-14993000000.0,46942000000.0,91540000000,5410000000.0,694000000.0,6227000000.0,-4137000000.0,3674000000.0,-468000000.0,-400000000.0,-6943000000.0,8194000000.0,-564000000.0,-5120000000.0,0.0,-4957000000.0,-1118000000.0,4721000000.0,-4222000000.0,-639000000.0,2656000000,2010-09-30,24.61000061035156,24.82999992370605,24.36000061035156,24.489999771118164,19.226593017578125,61262700.0
2010-12-31,19953000000.0,-4833000000.0,15120000000.0,-6955000000.0,-4770000000.0,-2185000000.0,8165000000.0,332000000.0,8497000000,8497000000,-1863000000.0,6634000000,6634000000,6634000000,41252000000.0,12874000000.0,861000000.0,59684000000.0,7799000000.0,10022000000.0,14801000000.0,32622000000.0,92306000000,6265000000.0,0.0,24312000000.0,9671000000.0,19513000000.0,43825000000,61646000000.0,-13165000000.0,48481000000.0,92306000000,6634000000.0,663000000.0,7040000000.0,-10151000000.0,-3270000000.0,380000000.0,216000000.0,-7477000000.0,4186000000.0,-491000000.0,-1457000000.0,-69000000.0,-1570000000.0,-1363000000.0,-1000000000.0,-4392000000.0,-6751000000.0,-4138000000,2010-12-31,27.79999923706055,27.920000076293945,27.6299991607666,27.90999984741211,22.04619789123535,24752000.0
2011-03-31,16428000000.0,-3897000000.0,12531000000.0,-6822000000.0,-4553000000.0,-2269000000.0,5709000000.0,316000000.0,6025000000,6025000000,-793000000.0,5232000000,5232000000,5232000000,50150000000.0,10033000000.0,1056000000.0,66263000000.0,7969000000.0,10748000000.0,14747000000.0,33464000000.0,99727000000,6746000000.0,0.0,24042000000.0,11915000000.0,22233000000.0,46275000000,63234000000.0,-9782000000.0,53452000000.0,99727000000,5232000000.0,720000000.0,6971000000.0,-4251000000.0,3031000000.0,-170000000.0,-51000000.0,-7061000000.0,8672000000.0,-658000000.0,-6370000000.0,0.0,-7139000000.0,-1349000000.0,2239000000.0,557000000.0,1437000000.0,2998000000,2011-03-31,25.60000038146973,25.68000030517578,25.34000015258789,25.38999938964844,20.17417907714844,63233700.0
2011-06-30,17367000000.0,-3708000000.0,13659000000.0,-7488000000.0,-5095000000.0,-2393000000.0,6171000000.0,148000000.0,6319000000,6319000000,-445000000.0,5874000000,5874000000,5874000000,52772000000.0,14987000000.0,1372000000.0,74918000000.0,8162000000.0,10865000000.0,14759000000.0,33786000000.0,108704000000,7772000000.0,0.0,28774000000.0,11921000000.0,22847000000.0,51621000000,63415000000.0,-6332000000.0,57083000000.0,108704000000,5874000000.0,689000000.0,12778000000.0,-13399000000.0,-4886000000.0,-303000000.0,293000000.0,-8503000000.0,5942000000.0,-642000000.0,-269000000.0,-2000000.0,-950000000.0,-1350000000.0,0.0,-1076000000.0,-2423000000.0,2589000000,2011-06-30,25.739999771118164,26.0,25.65999984741211,26.0,20.79428482055664,52535400.0
2012-06-30,18059000000.0,-4163000000.0,13896000000.0,-7511000000.0,-4917000000.0,-2594000000.0,6385000000.0,167000000.0,6552000000,359000000,-851000000.0,-492000000,-492000000,-492000000,63040000000.0,15780000000.0,1137000000.0,85084000000.0,8269000000.0,9776000000.0,18142000000.0,36187000000.0,121271000000,8050000000.0,1231000000.0,32688000000.0,10713000000.0,22220000000.0,54908000000,65797000000.0,566000000.0,66363000000.0,121271000000,-492000000.0,797000000.0,21529000000.0,-14157000000.0,-5007000000.0,263000000.0,349000000.0,-9762000000.0,7677000000.0,-622000000.0,-3117000000.0,-526000000.0,-4662000000.0,-1678000000.0,0.0,-752000000.0,-2421000000.0,550000000,2012-06-29,30.45000076293945,30.690000534057607,30.13999938964844,30.59000015258789,25.132213592529297,55227200.0
2012-09-30,16008000000.0,-4168000000.0,11840000000.0,-6532000000.0,-4072000000.0,-2460000000.0,5308000000.0,226000000.0,5534000000,5534000000,-1068000000.0,4466000000,4466000000,4466000000,66644000000.0,9871000000.0,1624000000.0,84051000000.0,8329000000.0,10038000000.0,19458000000.0,37825000000.0,121876000000,6297000000.0,2236000000.0,31402000000.0,9714000000.0,21638000000.0,53040000000,66084000000.0,2752000000.0,68836000000.0,121876000000,4466000000.0,710000000.0,8684000000.0,-5376000000.0,6156000000.0,-473000000.0,-567000000.0,-10492000000.0,8484000000.0,-603000000.0,-5572000000.0,-1145000000.0,-7719000000.0,-1676000000.0,0.0,-1215000000.0,-2714000000.0,-1902000000,2012-09-28,30.18000030517578,30.26000022888184,29.739999771118164,29.76000022888184,24.612274169921875,54229300.0
2012-12-31,21456000000.0,-5692000000.0,15764000000.0,-7993000000.0,-5465000000.0,-2528000000.0,7771000000.0,-1000000.0,7770000000,7770000000,-1393000000.0,6377000000,6377000000,6377000000,68312000000.0,14317000000.0,1661000000.0,89574000000.0,8698000000.0,10707000000.0,19704000000.0,39109000000.0,128683000000,7298000000.0,2241000000.0,31910000000.0,11947000000.0,24197000000.0,56107000000,66334000000.0,6242000000.0,72576000000.0,128683000000,6377000000.0,1009000000.0,11493000000.0,-14099000000.0,-4488000000.0,-33000000.0,685000000.0,-10263000000.0,4780000000.0,-930000000.0,-959000000.0,-311000000.0,-2593000000.0,-1933000000.0,2232000000.0,-1513000000.0,-1221000000.0,981000000,2012-12-31,26.59000015258789,26.770000457763672,26.3700008392334,26.709999084472656,22.27136993408203,42749500.0
2013-03-31,20489000000.0,-4787000000.0,15702000000.0,-8090000000.0,-5450000000.0,-2640000000.0,7612000000.0,-9000000.0,7603000000,7603000000,-1548000000.0,6055000000,6055000000,6055000000,74483000000.0,11991000000.0,2133000000.0,93524000000.0,9204000000.0,11193000000.0,20184000000.0,40581000000.0,134105000000,8006000000.0,2246000000.0,31929000000.0,11949000000.0,25488000000.0,57417000000,66826000000.0,9862000000.0,76688000000.0,134105000000,6055000000.0,1053000000.0,10453000000.0,-7895000000.0,2191000000.0,-483000000.0,-67000000.0,-9536000000.0,9666000000.0,-930000000.0,-7165000000.0,-108000000.0,-7660000000.0,-1925000000.0,0.0,-825000000.0,-2744000000.0,-777000000,2013-03-28,28.31999969482422,28.65999984741211,28.26000022888184,28.61000061035156,24.05313491821289,55453800.0
2013-06-30,19896000000.0,-5738000000.0,14158000000.0,-8085000000.0,-5302000000.0,-2783000000.0,6073000000.0,72000000.0,6145000000,6145000000,-1180000000.0,4965000000,4965000000,4965000000,77022000000.0,17486000000.0,1938000000.0,101466000000.0,9991000000.0,10844000000.0,20130000000.0,40965000000.0,142431000000,8945000000.0,2999000000.0,37417000000.0,12601000000.0,26070000000.0,63487000000,67306000000.0,11638000000.0,78944000000.0,142431000000,4965000000.0,983000000.0,15881000000.0,-15926000000.0,-5666000000.0,187000000.0,486000000.0,-10933000000.0,5903000000.0,-1794000000.0,-4106000000.0,-20000000.0,-5839000000.0,-1921000000.0,1305000000.0,-876000000.0,-1469000000.0,-1436000000,2013-06-28,34.380001068115234,34.790000915527344,34.34000015258789,34.540000915527344,29.24226379394531,65545500.0
2013-09-30,18529000000.0,-5145000000.0,13384000000.0,-7050000000.0,-4283000000.0,-2767000000.0,6334000000.0,74000000.0,6408000000,6408000000,-1164000000.0,5244000000,5244000000,5244000000,80672000000.0,11007000000.0,2613000000.0,99450000000.0,10774000000.0,11995000000.0,20129000000.0,42898000000.0,142348000000,7697000000.0,3300000000.0,34623000000.0,12632000000.0,26084000000.0,60707000000,67230000000.0,14411000000.0,81641000000.0,142348000000,5244000000.0,954000000.0,8363000000.0,-6356000000.0,6617000000.0,-667000000.0,-276000000.0,-12030000000.0,8205000000.0,-1231000000.0,-3304000000.0,-15000000.0,-4614000000.0,-1916000000.0,300000000.0,-1985000000.0,-3396000000.0,219000000,2013-09-30,33.0,33.310001373291016,32.700000762939446,33.279998779296875,28.374059677124023,39839500.0
2013-12-31,24519000000.0,-8322000000.0,16197000000.0,-8228000000.0,-5480000000.0,-2748000000.0,7969000000.0,-91000000.0,7878000000,7878000000,-1320000000.0,6558000000,6558000000,6558000000,83944000000.0,15986000000.0,1594000000.0,106870000000.0,11567000000.0,14607000000.0,20499000000.0,46673000000.0,153543000000,8567000000.0,2300000000.0,33742000000.0,20676000000.0,34701000000.0,68443000000,67476000000.0,17624000000.0,85100000000.0,153543000000,6558000000.0,1261000000.0,10287000000.0,-13693000000.0,-4875000000.0,1029000000.0,602000000.0,-10449000000.0,4413000000.0,-1732000000.0,679000000.0,-139000000.0,-1025000000.0,-2332000000.0,6962000000.0,-1996000000.0,2615000000.0,6036000000,2013-12-31,37.400001525878906,37.58000183105469,37.22000122070313,37.40999984741211,32.13712692260742,17503500.0
2014-03-31,20403000000.0,-5978000000.0,14425000000.0,-7451000000.0,-4708000000.0,-2743000000.0,6974000000.0,-17000000.0,6957000000,6957000000,-1297000000.0,5660000000,5660000000,5660000000,88425000000.0,13497000000.0,1920000000.0,109006000000.0,11771000000.0,14792000000.0,20550000000.0,47113000000.0,156119000000,8470000000.0,2000000000.0,33903000000.0,20679000000.0,34792000000.0,68695000000,67803000000.0,19621000000.0,87424000000.0,156119000000,5660000000.0,1255000000.0,10525000000.0,-7341000000.0,2501000000.0,-324000000.0,-716000000.0,-8802000000.0,10099000000.0,-1192000000.0,-2981000000.0,-157000000.0,-4284000000.0,-2322000000.0,-300000000.0,-1704000000.0,-4304000000.0,1513000000,2014-03-31,40.43000030517578,41.5,40.400001525878906,40.9900016784668,35.476600646972656,46886300.0
2014-06-30,23382000000.0,-7633000000.0,15749000000.0,-9140000000.0,-6017000000.0,-3123000000.0,6609000000.0,95000000.0,6704000000,6577000000,-1965000000.0,4612000000,4612000000,4612000000,85709000000.0,19544000000.0,2660000000.0,114246000000.0,13011000000.0,14597000000.0,30530000000.0,58138000000.0,172384000000,12229000000.0,2000000000.0,45625000000.0,20645000000.0,36975000000.0,82600000000,68366000000.0,21418000000.0,89784000000.0,172384000000,4612000000.0,1742000000.0,17156000000.0,-13725000000.0,-5363000000.0,-199000000.0,863000000.0,-9026000000.0,9785000000.0,-1330000000.0,-1718000000.0,-5626000000.0,-8910000000.0,-2309000000.0,0.0,-1024000000.0,-3580000000.0,-2903000000,2014-06-30,42.16999816894531,42.209999084472656,41.70000076293945,41.70000076293945,36.345699310302734,30793100.0
2014-09-30,23201000000.0,-8273000000.0,14928000000.0,-7944000000.0,-4879000000.0,-3065000000.0,6984000000.0,52000000.0,7036000000,5896000000,-1356000000.0,4540000000,4540000000,4540000000,89193000000.0,12887000000.0,3141000000.0,112439000000.0,13229000000.0,13943000000.0,30045000000.0,57217000000.0,169656000000,10509000000.0,5248000000.0,44694000000.0,18472000000.0,34792000000.0,79486000000,68362000000.0,21808000000.0,90170000000.0,169656000000,4540000000.0,1428000000.0,8522000000.0,-6136000000.0,6627000000.0,-483000000.0,-659000000.0,-11621000000.0,8354000000.0,-1282000000.0,-5947000000.0,-141000000.0,-7737000000.0,-2307000000.0,1499000000.0,-2672000000.0,-2978000000.0,-2367000000,2014-09-30,46.36999893188477,46.47999954223633,46.0099983215332,46.36000061035156,40.65972518920898,33033100.0
2014-12-31,26470000000.0,-10136000000.0,16334000000.0,-8315000000.0,-5412000000.0,-2903000000.0,8019000000.0,74000000.0,8093000000,7850000000,-1987000000.0,5863000000,5863000000,5863000000,90249000000.0,16186000000.0,2053000000.0,116362000000.0,13607000000.0,12665000000.0,32214000000.0,58486000000.0,174848000000,10411000000.0,10048000000.0,47415000000.0,18260000000.0,35554000000.0,82969000000,68765000000.0,23114000000.0,91879000000.0,174848000000,5863000000.0,1521000000.0,10946000000.0,-13990000000.0,-3378000000.0,1070000000.0,137000000.0,-11819000000.0,4340000000.0,-1490000000.0,-670000000.0,-2794000000.0,-4716000000.0,-2547000000.0,4798000000.0,-2024000000.0,534000000.0,124000000,2014-12-31,46.72999954223633,47.43999862670898,46.45000076293945,46.45000076293945,40.99561309814453,21552500.0
2015-03-31,21729000000.0,-7161000000.0,14568000000.0,-7784000000.0,-4800000000.0,-2984000000.0,6784000000.0,-77000000.0,6707000000,6517000000,-1532000000.0,4985000000,4985000000,4985000000,95438000000.0,12427000000.0,2469000000.0,118398000000.0,14375000000.0,12019000000.0,31891000000.0,58285000000.0,176683000000,10592000000.0,4224000000.0,40748000000.0,27644000000.0,45803000000.0,86551000000,68475000000.0,21657000000.0,90132000000.0,176683000000,4985000000.0,1515000000.0,11002000000.0,-7901000000.0,3655000000.0,-430000000.0,-390000000.0,-10736000000.0,9601000000.0,-1391000000.0,-3594000000.0,-162000000.0,-5481000000.0,-2532000000.0,4105000000.0,-4985000000.0,-3096000000.0,988000000,2015-03-31,40.77999877929688,41.02999877929688,40.540000915527344,40.65999984741211,36.14087677001953,34887200.0
