Report Date,Revenue,Cost of Revenue,Gross Profit,Operating Expenses,"Selling, General & Administrative",Research & Development,Depreciation & Amortization,Operating Income (Loss),Non-Operating Income (Loss),"Pretax Income (Loss), Adj.",Abnormal Gains (Losses),Pretax Income (Loss),"Income Tax (Expense) Benefit, Net",Income (Loss) from Continuing Operations,Net Income,Net Income (Common),"Cash, Cash Equivalents & Short Term Investments",Accounts & Notes Receivable,Inventories,Total Current Assets,"Property, Plant & Equipment, Net",Other Long Term Assets,Total Noncurrent Assets,Total Assets,Payables & Accruals,Total Current Liabilities,Long Term Debt,Total Noncurrent Liabilities,Total Liabilities,Share Capital & Additional Paid-In Capital,Retained Earnings,Total Equity,Total Liabilities & Equity,Net Income/Starting Line,Depreciation & Amortization.1,Non-Cash Items,Change in Working Capital,Net Cash from Operating Activities,Change in Fixed Assets & Intangibles,Net Change in Long Term Investment,Net Cash from Acquisitions & Divestitures,Net Cash from Investing Activities,Dividends Paid,Cash from (Repayment of) Debt,Cash from (Repurchase of) Equity,Net Cash from Financing Activities,Net Change in Cash,Price Date,Open,High,Low,Close,Adj Close,Volume
2010-06-30,565962000.0,-225014000.0,340948000.0,-199865000.0,-67342000.0,-123542000.0,-4988000.0,141083000.0,1838000.0,142921000,0.0,142921000,-84466000.0,58455000,58455000,58455000,826512000.0,339322000.0,206040000.0,1706613000.0,1324436000.0,451276000.0,1775712000.0,3482325000,333738000.0,532517000.0,300000000.0,596850000.0,1129367000,301000.0,2364598000.0,2352958000.0,3482325000,58455000.0,50385000.0,76040000.0,-27880000.0,157000000.0,-42045000.0,100000000.0,-312784000.0,-258564000.0,-60412000.0,298568000.0,-70646000.0,169640000.0,68076000,2010-06-30,17.120000839233402,17.229999542236328,16.719999313354492,16.729999542236328,11.900195121765135,4266700.0
2011-03-31,606775000.0,-234125000.0,372650000.0,-208655000.0,-73617000.0,-130955000.0,-4092000.0,163995000.0,-1570000.0,162425000,0.0,162425000,-26149000.0,136276000,136276000,136276000,918847000.0,304591000.0,234933000.0,1676593000.0,1286061000.0,489763000.0,1775824000.0,3452417000,355582000.0,391153000.0,300000000.0,596224000.0,987377000,5865000.0,2473271000.0,2465040000.0,3452417000,136276000.0,50684000.0,66092000.0,3645000.0,256697000.0,-29513000.0,-49787000.0,0.0,-79300000.0,-62323000.0,0.0,-48724000.0,-106818000.0,70579000,2011-03-31,25.489999771118164,25.670000076293945,25.309999465942386,25.60000038146973,18.747535705566406,1915400.0
2011-06-30,626491000.0,-235666000.0,390825000.0,-212903000.0,-74537000.0,-136573000.0,-4200000.0,177922000.0,-2022000.0,175900000,0.0,175900000,-50307000.0,125593000,125593000,125593000,1012887000.0,297632000.0,237928000.0,1727852000.0,1308850000.0,491041000.0,1799891000.0,3527743000,377459000.0,414340000.0,300000000.0,602585000.0,1016925000,296000.0,2524790000.0,2510818000.0,3527743000,125593000.0,50016000.0,38114000.0,32551000.0,246274000.0,-45768000.0,0.0,-7811000.0,-53579000.0,-62077000.0,0.0,-41792000.0,-99077000.0,93618000,2011-06-30,25.03000068664551,25.63999938964844,25.03000068664551,25.559999465942386,18.861387252807614,1682400.0
2011-12-31,591359000.0,-243399000.0,347960000.0,-233450000.0,-80826000.0,-142084000.0,-4338000.0,114510000.0,2374000.0,116884000,0.0,116884000,-28754000.0,88130000,88130000,88130000,816535000.0,246229000.0,233404000.0,1465200000.0,1365815000.0,689640000.0,2055455000.0,3520655000,348523000.0,379659000.0,308700000.0,636530000.0,1016189000,292000.0,2517166000.0,2504466000.0,3520655000,88130000.0,51995000.0,14596000.0,94599000.0,249320000.0,-66652000.0,-25108000.0,-8793000.0,-100553000.0,-64158000.0,-4189000.0,-53543000.0,-117648000.0,31119000,2011-12-30,26.21999931335449,26.38999938964844,26.040000915527344,26.040000915527344,19.578956604003906,1006000.0
2012-03-31,571212000.0,-235782000.0,335430000.0,-215832000.0,-78011000.0,-136075000.0,-4029000.0,119598000.0,-230000.0,119368000,-7712000.0,111656000,-88948000.0,22708000,54517000,54517000,935956000.0,296255000.0,220153000.0,1637246000.0,1361300000.0,671691000.0,2032991000.0,3670237000,408898000.0,437627000.0,308700000.0,729412000.0,1167039000,9125000.0,2507298000.0,2503198000.0,3670237000,54517000.0,53476000.0,12706000.0,121172000.0,196499000.0,-56279000.0,0.0,0.0,-1652000.0,-64384000.0,0.0,-16244000.0,-75456000.0,119391000,2012-03-30,28.739999771118164,28.76000022888184,28.239999771118164,28.59000015258789,21.66265296936035,2997600.0
2012-06-30,604956000.0,-232967000.0,371989000.0,-213585000.0,-79980000.0,-134007000.0,-4049000.0,158404000.0,-108000.0,158296000,-22383000.0,135913000,-25279000.0,110634000,110634000,110634000,956386000.0,317461000.0,242162000.0,1699366000.0,1353606000.0,684974000.0,2038580000.0,3737946000,425613000.0,755389000.0,5592000.0,444280000.0,1199669000,293000.0,2553418000.0,2538277000.0,3737946000,110634000.0,53554000.0,39696000.0,-13790000.0,190094000.0,-75210000.0,-3480000.0,-2257000.0,-78967000.0,-64408000.0,-400000.0,-31057000.0,-90618000.0,20509000,2012-06-29,25.3700008392334,25.63999938964844,25.32999992370605,25.63999938964844,19.589702606201172,2862300.0
2012-12-31,605306000.0,-241931000.0,363375000.0,-223605000.0,-80058000.0,-135742000.0,-3903000.0,139770000.0,-2798000.0,136972000,-22222000.0,114750000,-38128000.0,76622000,76622000,76622000,1030299000.0,264545000.0,257690000.0,1723995000.0,1359014000.0,655544000.0,2014558000.0,3738553000,343663000.0,673819000.0,3997000.0,483522000.0,1157341000,7040000.0,2589619000.0,2581212000.0,3738553000,76622000.0,51880000.0,30572000.0,96023000.0,255097000.0,-57987000.0,0.0,0.0,-57987000.0,-70063000.0,-74000.0,-20855000.0,-91853000.0,105257000,2012-12-31,28.899999618530273,29.399999618530273,28.790000915527344,29.399999618530273,22.854204177856445,1550400.0
2013-03-31,604884000.0,-228782000.0,376102000.0,-221824000.0,-81954000.0,-134138000.0,-3903000.0,154278000.0,-2669000.0,151609000,0.0,151609000,-22824000.0,128785000,131388000,131388000,1573075000.0,300046000.0,268018000.0,2335958000.0,1368905000.0,629255000.0,1998160000.0,4334118000,376798000.0,706963000.0,503573000.0,1014589000.0,1721552000,292000.0,2629895000.0,2612566000.0,4334118000,131388000.0,50391000.0,35428000.0,-2229000.0,211693000.0,-44746000.0,50000000.0,0.0,5254000.0,-70421000.0,490242000.0,-48192000.0,375926000.0,592873000,2013-03-28,32.139999389648445,32.75,32.09999847412109,32.639999389648445,25.55905723571777,2860100.0
2013-06-30,608194000.0,-236795000.0,371399000.0,-217509000.0,-82083000.0,-132009000.0,-3670000.0,153890000.0,-6831000.0,147059000,-2800000.0,144259000,-25245000.0,119014000,119014000,119014000,1200046000.0,285438000.0,275640000.0,1939906000.0,1373124000.0,622880000.0,1996004000.0,3935910000,378336000.0,404893000.0,503573000.0,1023019000.0,1427912000,288000.0,2523457000.0,2507998000.0,3935910000,119014000.0,51191000.0,15686000.0,28509000.0,214400000.0,-44384000.0,-500000.0,-2182000.0,-36280000.0,-69532000.0,-299049000.0,-175099000.0,-551114000.0,-372994000,2013-06-28,27.71999931335449,28.020000457763672,27.59000015258789,27.78000068664551,21.919818878173828,4888200.0
2013-12-31,620274000.0,-291602000.0,328672000.0,-248944000.0,-83471000.0,-142971000.0,-4968000.0,79728000.0,-5833000.0,73895000,-9334000.0,64561000,-20208000.0,44353000,44353000,44353000,1149909000.0,288285000.0,297234000.0,1890136000.0,1372393000.0,1044353000.0,2416746000.0,4306882000,352609000.0,381116000.0,1000871000.0,1569702000.0,1950818000,283000.0,2368350000.0,2356064000.0,4306882000,44353000.0,64404000.0,13441000.0,112233000.0,234431000.0,-46133000.0,27000000.0,-453506000.0,-472639000.0,-73324000.0,495956000.0,-38489000.0,378570000.0,140362000,2013-12-31,28.07999992370605,28.11000061035156,27.790000915527344,27.899999618530273,22.422815322875977,2782800.0
