Report Date,Revenue,Cost of Revenue,Gross Profit,Operating Expenses,"Selling, General & Administrative",Research & Development,Operating Income (Loss),Non-Operating Income (Loss),"Interest Expense, Net","Pretax Income (Loss), Adj.",Pretax Income (Loss),"Income Tax (Expense) Benefit, Net",Income (Loss) from Continuing Operations,Net Income,Net Income (Common),"Cash, Cash Equivalents & Short Term Investments",Total Current Assets,"Property, Plant & Equipment, Net",Other Long Term Assets,Total Noncurrent Assets,Total Assets,Payables & Accruals,Total Current Liabilities,Long Term Debt,Total Noncurrent Liabilities,Total Liabilities,Share Capital & Additional Paid-In Capital,Retained Earnings,Total Equity,Total Liabilities & Equity,Net Income/Starting Line,Depreciation & Amortization.1,Non-Cash Items,Change in Working Capital,Change in Accounts Receivable,Change in Other,Net Cash from Operating Activities,Change in Fixed Assets & Intangibles,Net Cash from Investing Activities,Cash from (Repayment of) Debt,Cash from (Repurchase of) Equity,Net Cash from Financing Activities,Net Change in Cash,Price Date,Open,High,Low,Close,Adj Close,Volume
2009-12-31,444542000.0,-275486000.0,169056000.0,-112888000.0,-79679000.0,-33209000.0,56168000.0,-2013000.0,-4457000.0,54155000,51336000,-20423000.0,30913000,30913000,30913000,320242000.0,411013000.0,131653000.0,137068000.0,268721000.0,679734000,125929000.0,227436000.0,236572000.0,253155000.0,480591000,53000.0,198817000.0,199143000.0,679734000,30913000.0,22307000.0,15341000.0,37256000.0,12687000.0,24569000.0,105817000.0,-75619000.0,-153252000.0,192895000.0,-70237000.0,125942000.0,78507000,2009-12-31,7.947143077850343,8.011428833007812,7.864285945892334,7.869999885559082,7.869999885559082,5291300.0
2010-12-31,595922000.0,-390790000.0,205132000.0,-126679000.0,-80720000.0,-45959000.0,78453000.0,-3894000.0,-4832000.0,74559000,74559000,-27464000.0,47095000,47095000,47095000,350387000.0,637231000.0,128570000.0,216266000.0,344836000.0,982067000,92701000.0,388579000.0,200000000.0,303324000.0,691903000,51675000.0,237739000.0,290164000.0,982067000,47095000.0,21580000.0,-20911000.0,48953000.0,11316000.0,37637000.0,96717000.0,-45284000.0,-58183000.0,0.0,15822000.0,42857000.0,81391000,2010-12-31,25.578571319580078,25.677143096923828,25.075714111328125,25.10000038146973,25.10000038146973,21562800.0
2011-12-31,875575000.0,-575155000.0,300420000.0,-238548000.0,-157765000.0,-80783000.0,61872000.0,-5037000.0,-4942000.0,56835000,56835000,-21616000.0,35219000,35219000,35219000,797811000.0,1830857000.0,136353000.0,1101986000.0,1238339000.0,3069196000,141223000.0,1225055000.0,400000000.0,1201331000.0,2426386000,219174000.0,422930000.0,642810000.0,3069196000,35219000.0,34580000.0,-23701000.0,19368000.0,20019000.0,-651000.0,65466000.0,-31545000.0,-115609000.0,198060000.0,200972000.0,398997000.0,348854000,2011-12-30,9.872857093811037,10.084285736083984,9.832857131958008,9.898571014404297,9.898571014404297,21809200.0
2012-03-31,869791000.0,-623933000.0,245858000.0,-247793000.0,-164992000.0,-82801000.0,-1935000.0,-5090000.0,-4974000.0,-7025000,-7025000,2441000.0,-4584000,-4584000,-4584000,804526000.0,2058741000.0,128197000.0,1293521000.0,1421718000.0,3480459000,132225000.0,1446666000.0,400000000.0,1370391000.0,2817057000,243479000.0,418346000.0,663402000.0,3480459000,-4584000.0,31377000.0,-21395000.0,13711000.0,-1756000.0,15467000.0,19109000.0,-16960000.0,-135817000.0,0.0,1224000.0,4032000.0,-112061000,2012-03-30,16.501428604125973,16.755714416503903,16.31142807006836,16.43428611755371,16.43428611755371,29270500.0
2012-06-30,889163000.0,-643428000.0,245735000.0,-229581000.0,-148034000.0,-81547000.0,16154000.0,-5499000.0,-5006000.0,10655000,10655000,-4491000.0,6164000,6164000,6164000,813343000.0,2137785000.0,124644000.0,1215861000.0,1340505000.0,3478290000,141845000.0,1498844000.0,400000000.0,1291220000.0,2790064000,262755000.0,424510000.0,688226000.0,3478290000,6164000.0,27351000.0,-17135000.0,3027000.0,316000.0,2711000.0,19407000.0,-8239000.0,-10654000.0,0.0,524000.0,-117000.0,6259000,2012-06-29,9.757143020629883,9.822856903076172,9.54714298248291,9.78428554534912,9.78428554534912,19991300.0
2012-09-30,905089000.0,-662638000.0,242451000.0,-226316000.0,-143795000.0,-82521000.0,16135000.0,-4189000.0,-4990000.0,11946000,11946000,-4271000.0,7675000,7675000,7675000,798355000.0,2225018000.0,133603000.0,1450212000.0,1583815000.0,3808833000,162192000.0,1598223000.0,400000000.0,1493770000.0,3091993000,281649000.0,432185000.0,716840000.0,3808833000,7675000.0,24260000.0,-43536000.0,8676000.0,-9727000.0,18403000.0,-2925000.0,-17537000.0,-30449000.0,0.0,318000.0,-158000.0,-31953000,2012-09-28,7.862856864929199,7.9728569984436035,7.74571418762207,7.7771430015563965,7.7771430015563965,15932700.0
2012-12-31,945239000.0,-722059000.0,223180000.0,-203542000.0,-121403000.0,-82139000.0,19638000.0,-4734000.0,-5016000.0,14904000,14904000,-7007000.0,7897000,7897000,7897000,748078000.0,2240791000.0,131681000.0,1595418000.0,1727099000.0,3967890000,139607000.0,1675926000.0,400000000.0,1547291000.0,3223217000,301672000.0,440082000.0,744673000.0,3967890000,7897000.0,27877000.0,-49191000.0,-588000.0,6224000.0,-6812000.0,-14005000.0,-37001000.0,-67820000.0,0.0,1594000.0,1832000.0,-80007000,2012-12-31,12.76857089996338,13.35714340209961,12.71571445465088,13.227143287658693,13.227143287658693,18078900.0
2013-03-31,1023961000.0,-736952000.0,287009000.0,-255187000.0,-163212000.0,-91975000.0,31822000.0,-5763000.0,-6740000.0,26059000,930000,1759000.0,2689000,2689000,2689000,1025872000.0,2557100000.0,129319000.0,1676870000.0,1806189000.0,4363289000,154826000.0,1688714000.0,700000000.0,1861656000.0,3550370000,369857000.0,442771000.0,812919000.0,4363289000,2689000.0,30288000.0,-70239000.0,25012000.0,17019000.0,7993000.0,-12250000.0,-29261000.0,-179236000.0,280638000.0,39146000.0,321582000.0,127760000,2013-03-28,27.25,27.55714225769043,26.94285774230957,27.040000915527344,27.040000915527344,19588100.0
2013-06-30,1069372000.0,-760674000.0,308698000.0,-251581000.0,-158455000.0,-93126000.0,57117000.0,-10468000.0,-7528000.0,46649000,46649000,-17178000.0,29471000,29471000,29471000,1080110000.0,2570322000.0,127931000.0,1782498000.0,1910429000.0,4480751000,162476000.0,1670264000.0,500000000.0,1704865000.0,3375129000,635044000.0,472242000.0,1105622000.0,4480751000,29471000.0,29735000.0,-79185000.0,53922000.0,-5138000.0,59060000.0,33943000.0,-21024000.0,-127685000.0,0.0,28846000.0,48959000.0,-47373000,2013-06-28,30.61000061035156,30.899999618530273,30.007143020629893,30.15571403503418,30.15571403503418,19581100.0
2013-09-30,1105999000.0,-798900000.0,307099000.0,-249979000.0,-154439000.0,-95540000.0,57120000.0,-7629000.0,-7436000.0,49491000,49491000,-17669000.0,31822000,31822000,31822000,1134987000.0,2849278000.0,127263000.0,1924784000.0,2052047000.0,4901325000,147332000.0,1935136000.0,500000000.0,1761819000.0,3696955000,698736000.0,504064000.0,1204370000.0,4901325000,31822000.0,28998000.0,-17174000.0,-8953000.0,-5877000.0,-3076000.0,34693000.0,-27628000.0,-13669000.0,0.0,25561000.0,45795000.0,68378000,2013-09-30,43.959999084472656,44.592857360839844,43.599998474121094,44.17285537719727,44.17285537719727,12528600.0
