Report Date,Revenue,Cost of Revenue,Gross Profit,Operating Expenses,"Selling, General & Administrative",Research & Development,Depreciation & Amortization,Operating Income (Loss),Non-Operating Income (Loss),"Interest Expense, Net","Pretax Income (Loss), Adj.",Abnormal Gains (Losses),Pretax Income (Loss),"Income Tax (Expense) Benefit, Net",Income (Loss) from Continuing Operations,Net Income,Net Income (Common),"Cash, Cash Equivalents & Short Term Investments",Accounts & Notes Receivable,Total Current Assets,"Property, Plant & Equipment, Net",Other Long Term Assets,Total Noncurrent Assets,Total Assets,Payables & Accruals,Short Term Debt,Total Current Liabilities,Long Term Debt,Total Noncurrent Liabilities,Total Liabilities,Share Capital & Additional Paid-In Capital,Retained Earnings,Total Equity,Total Liabilities & Equity,Net Income/Starting Line,Depreciation & Amortization.1,Non-Cash Items,Change in Working Capital,Net Cash from Operating Activities,Change in Fixed Assets & Intangibles,Net Change in Long Term Investment,Net Cash from Acquisitions & Divestitures,Net Cash from Investing Activities,Dividends Paid,Cash from (Repayment of) Debt,Cash from (Repurchase of) Equity,Net Cash from Financing Activities,Net Change in Cash,Price Date,Open,High,Low,Close,Adj Close,Volume
2013-03-31,1748000000.0,-308000000.0,1440000000.0,-1193000000.0,-841000000.0,-281000000.0,-71000000.0,247000000.0,-22000000.0,-34000000.0,225000000,8000000.0,233000000,-43000000.0,190000000,190000000,190000000,4747000000.0,1031000000.0,6416000000.0,1122000000.0,6970000000.0,8092000000.0,14508000000,756000000.0,997000000.0,5567000000.0,2094000000.0,3465000000.0,9032000000,7320000000.0,-2046000000.0,5476000000.0,14508000000,190000000.0,157000000.0,79000000.0,186000000.0,612000000.0,-91000000.0,45000000.0,0.0,-95000000.0,0.0,0.0,56000000.0,24000000.0,485000000,2013-03-28,24.489999771118164,24.75,24.399999618530273,24.68000030517578,9.692567825317383,6748700.0
2013-09-30,1637000000.0,-284000000.0,1353000000.0,-983000000.0,-706000000.0,-248000000.0,-29000000.0,370000000.0,3000000.0,-17000000.0,373000000,-122000000.0,251000000,-10000000.0,241000000,241000000,241000000,3832000000.0,573000000.0,4970000000.0,1091000000.0,6853000000.0,7944000000.0,12914000000,561000000.0,0.0,3907000000.0,2094000000.0,3350000000.0,7257000000,7073000000.0,-1599000000.0,5657000000.0,12914000000,241000000.0,111000000.0,39000000.0,-200000000.0,191000000.0,-57000000.0,0.0,-17000000.0,-141000000.0,-105000000.0,0.0,-19000000.0,-125000000.0,-22000000,2013-09-30,24.53000068664551,24.790000915527344,24.40999984741211,24.75,9.84240436553955,5487600.0
2013-12-31,1705000000.0,-283000000.0,1422000000.0,-988000000.0,-708000000.0,-252000000.0,-28000000.0,434000000.0,-18000000.0,-17000000.0,416000000,-29000000.0,387000000,-104000000.0,283000000,283000000,283000000,3890000000.0,892000000.0,5316000000.0,1110000000.0,6832000000.0,7942000000.0,13258000000,644000000.0,0.0,4149000000.0,2094000000.0,3351000000.0,7500000000,6892000000.0,-1316000000.0,5758000000.0,13258000000,283000000.0,110000000.0,-10000000.0,-54000000.0,329000000.0,-65000000.0,99000000.0,0.0,-38000000.0,-104000000.0,0.0,-102000000.0,-208000000.0,86000000,2013-12-31,23.459999084472656,23.6200008392334,23.29999923706055,23.57999992370605,9.437677383422852,4572200.0
2014-03-31,-868000000.0,76000000.0,-792000000.0,74000000.0,-1000000.0,40000000.0,35000000.0,-718000000.0,-18000000.0,-17000000.0,-736000000,-15000000.0,-751000000,161000000.0,-590000000,217000000,217000000,4084000000.0,1007000000.0,5652000000.0,1116000000.0,6771000000.0,7887000000.0,13539000000,647000000.0,0.0,4306000000.0,2095000000.0,3436000000.0,7742000000,6751000000.0,-1148000000.0,5797000000.0,13539000000,-590000000.0,-10000000.0,27000000.0,-151000000.0,449000000.0,-11000000.0,18000000.0,0.0,-375000000.0,-104000000.0,0.0,-74000000.0,-187000000.0,-106000000,2014-03-31,19.75,20.020000457763672,19.56999969482422,19.96999931335449,8.051606178283691,15665300.0
2014-09-30,1617000000.0,-278000000.0,1339000000.0,-961000000.0,-658000000.0,-276000000.0,-27000000.0,378000000.0,-15000000.0,-16000000.0,363000000,-30000000.0,333000000,-89000000.0,244000000,244000000,244000000,3793000000.0,722000000.0,5038000000.0,1181000000.0,6664000000.0,7845000000.0,12883000000,529000000.0,350000000.0,4045000000.0,1745000000.0,2941000000.0,6986000000,6411000000.0,-668000000.0,5897000000.0,12883000000,244000000.0,111000000.0,57000000.0,-239000000.0,173000000.0,-107000000.0,334000000.0,0.0,2000000.0,-103000000.0,0.0,-82000000.0,-188000000.0,-95000000,2014-09-30,23.40999984741211,23.68000030517578,23.31999969482422,23.51000022888184,9.605132102966307,3882100.0
2014-12-31,970000000.0,-177000000.0,793000000.0,-708000000.0,-494000000.0,-193000000.0,-21000000.0,85000000.0,-15000000.0,-16000000.0,70000000,-51000000.0,19000000,-44000000.0,-25000000,222000000,222000000,3740000000.0,982000000.0,5255000000.0,1186000000.0,6661000000.0,7847000000.0,13102000000,594000000.0,350000000.0,4233000000.0,1745000000.0,2959000000.0,7192000000,6237000000.0,-446000000.0,5910000000.0,13102000000,-426000000.0,38000000.0,9000000.0,-137000000.0,358000000.0,-50000000.0,84000000.0,-20000000.0,-281000000.0,-104000000.0,-1000000.0,-113000000.0,-218000000.0,-208000000,2014-12-31,26.07999992370605,26.290000915527344,25.61000061035156,25.65999984741211,10.546026229858398,2536400.0
2015-03-31,-366000000.0,37000000.0,-329000000.0,-158000000.0,-113000000.0,-35000000.0,-10000000.0,-487000000.0,-6000000.0,-17000000.0,-493000000,-63000000.0,-556000000,210000000.0,-346000000,176000000,176000000,3860000000.0,700000000.0,5422000000.0,950000000.0,6861000000.0,7811000000.0,13233000000,448000000.0,350000000.0,4453000000.0,1746000000.0,2845000000.0,7298000000,6101000000.0,-270000000.0,5935000000.0,13233000000,55000000.0,90000000.0,-28000000.0,-50000000.0,488000000.0,-54000000.0,529000000.0,0.0,-151000000.0,-102000000.0,-2000000.0,-87000000.0,-189000000.0,110000000,2015-03-31,23.440000534057607,23.68000030517578,23.28000068664551,23.3700008392334,9.661848068237305,4245700.0
2015-06-30,912000000.0,-158000000.0,754000000.0,-636000000.0,-424000000.0,-198000000.0,-14000000.0,118000000.0,-23000000.0,-17000000.0,95000000,-35000000.0,60000000,-35000000.0,25000000,117000000,117000000,3884000000.0,604000000.0,5022000000.0,1201000000.0,6561000000.0,7762000000.0,12784000000,467000000.0,348000000.0,4064000000.0,1741000000.0,2824000000.0,6888000000,5933000000.0,-153000000.0,5896000000.0,12784000000,25000000.0,77000000.0,64000000.0,-107000000.0,300000000.0,-61000000.0,222000000.0,0.0,37000000.0,-107000000.0,-17000000.0,-86000000.0,-238000000.0,107000000,2015-06-30,23.479999542236328,23.649999618530273,23.09000015258789,23.25,9.672689437866213,4220900.0
2015-09-30,906000000.0,-160000000.0,746000000.0,-615000000.0,-402000000.0,-199000000.0,-14000000.0,131000000.0,-13000000.0,-17000000.0,118000000,-31000000.0,87000000,-34000000.0,53000000,156000000,156000000,3357000000.0,738000000.0,4664000000.0,1262000000.0,6534000000.0,7796000000.0,12460000000,615000000.0,0.0,3729000000.0,1740000000.0,2839000000.0,6568000000,5801000000.0,3000000.0,5892000000.0,12460000000,53000000.0,76000000.0,33000000.0,-58000000.0,134000000.0,-50000000.0,796000000.0,-4000000.0,578000000.0,-103000000.0,-350000000.0,-120000000.0,-576000000.0,116000000,2015-09-30,19.520000457763672,19.649999618530273,19.290000915527344,19.46999931335449,8.15845775604248,6672300.0
2015-12-31,909000000.0,-150000000.0,759000000.0,-563000000.0,-376000000.0,-174000000.0,-13000000.0,196000000.0,-17000000.0,-16000000.0,179000000,-50000000.0,129000000,-15000000.0,114000000,170000000,170000000,2269000000.0,490000000.0,7173000000.0,986000000.0,3777000000.0,4763000000.0,11936000000,444000000.0,0.0,3827000000.0,1740000000.0,2715000000.0,6542000000,5246000000.0,73000000.0,5394000000.0,11936000000,114000000.0,74000000.0,92000000.0,-127000000.0,112000000.0,-114000000.0,20000000.0,0.0,59000000.0,-102000000.0,-1000000.0,-599000000.0,-717000000.0,-585000000,2015-12-31,21.18000030517578,21.229999542236328,21.0,21.0,8.865996360778809,4204300.0
