Report Date,Revenue,Cost of Revenue,Gross Profit,Operating Expenses,"Selling, General & Administrative",Operating Income (Loss),Non-Operating Income (Loss),"Interest Expense, Net","Pretax Income (Loss), Adj.",Pretax Income (Loss),"Income Tax (Expense) Benefit, Net",Income (Loss) from Continuing Operations,Net Income,Net Income (Common),"Cash, Cash Equivalents & Short Term Investments",Accounts & Notes Receivable,Inventories,Total Current Assets,"Property, Plant & Equipment, Net",Other Long Term Assets,Total Noncurrent Assets,Total Assets,Payables & Accruals,Total Current Liabilities,Long Term Debt,Total Noncurrent Liabilities,Total Liabilities,Share Capital & Additional Paid-In Capital,Retained Earnings,Total Equity,Total Liabilities & Equity,Net Income/Starting Line,Depreciation & Amortization.1,Non-Cash Items,Change in Working Capital,Change in Accounts Receivable,Change in Inventories,Change in Other,Net Cash from Operating Activities,Change in Fixed Assets & Intangibles,Net Cash from Investing Activities,Dividends Paid,Cash from (Repayment of) Debt,Cash from (Repurchase of) Equity,Net Cash from Financing Activities,Net Change in Cash,Price Date,Open,High,Low,Close,Adj Close,Volume
2012-12-31,6476000000.0,-4915000000.0,1561000000.0,-737000000.0,-737000000.0,824000000.0,-37000000.0,-54000000.0,787000000,787000000,-254000000.0,533000000,533000000,533000000,3862000000.0,2858000000.0,798000000.0,8392000000.0,2887000000.0,15264000000.0,18151000000.0,26543000000,4324000000.0,6056000000.0,3930000000.0,10973000000.0,17029000000,3163000000.0,11138000000.0,9514000000.0,26543000000,1978000000.0,510000000.0,-1379000000.0,-52000000.0,90000000.0,46000000.0,-188000000.0,1057000000.0,-135000000.0,-145000000.0,-134000000.0,0.0,-623000000.0,-575000000.0,337000000,2012-12-31,66.51000213623047,67.70999908447266,65.87000274658203,67.58000183105469,57.83955764770508,1682200.0
2013-06-30,6294000000.0,-4906000000.0,1388000000.0,-582000000.0,-582000000.0,806000000.0,-82000000.0,-60000000.0,724000000,724000000,-236000000.0,488000000,488000000,488000000,4904000000.0,3124000000.0,745000000.0,9564000000.0,2783000000.0,15161000000.0,17944000000.0,27508000000,3998000000.0,5639000000.0,5929000000.0,12311000000.0,17950000000,2355000000.0,11838000000.0,9558000000.0,27508000000,488000000.0,115000000.0,83000000.0,-358000000.0,-73000000.0,187000000.0,-472000000.0,328000000.0,-48000000.0,-44000000.0,-142000000.0,1964000000.0,-465000000.0,1437000000.0,1721000000,2013-06-28,83.0,83.56999969482422,82.55999755859375,82.80000305175781,72.00484466552734,1135200.0
2013-09-30,6106000000.0,-4761000000.0,1345000000.0,-555000000.0,-555000000.0,790000000.0,-70000000.0,-70000000.0,720000000,720000000,-223000000.0,497000000,497000000,497000000,4944000000.0,3003000000.0,784000000.0,9591000000.0,2763000000.0,15051000000.0,17814000000.0,27405000000,3977000000.0,5762000000.0,5928000000.0,12287000000.0,18049000000,1703000000.0,12196000000.0,9356000000.0,27405000000,497000000.0,120000000.0,91000000.0,242000000.0,121000000.0,-52000000.0,173000000.0,950000000.0,-90000000.0,-87000000.0,-139000000.0,0.0,-740000000.0,-823000000.0,40000000,2013-09-30,95.4499969482422,95.76000213623048,95.1500015258789,95.26000213623048,83.38758850097656,1159700.0
2013-12-31,6157000000.0,-4828000000.0,1329000000.0,-561000000.0,-561000000.0,768000000.0,-61000000.0,-74000000.0,707000000,707000000,-229000000.0,478000000,478000000,478000000,5150000000.0,2685000000.0,698000000.0,9488000000.0,2806000000.0,14087000000.0,16893000000.0,26381000000,4397000000.0,5815000000.0,5928000000.0,9946000000.0,15761000000,1066000000.0,12538000000.0,10620000000.0,26381000000,478000000.0,150000000.0,78000000.0,498000000.0,318000000.0,91000000.0,89000000.0,1204000000.0,-186000000.0,-177000000.0,-134000000.0,0.0,-710000000.0,-821000000.0,206000000,2013-12-31,114.25,114.77999877929688,113.8499984741211,114.61000061035156,100.87551879882812,965800.0
2014-03-31,5848000000.0,-4461000000.0,1387000000.0,-542000000.0,-542000000.0,845000000.0,-59000000.0,-69000000.0,786000000,786000000,-207000000.0,579000000,579000000,579000000,3885000000.0,3234000000.0,781000000.0,8604000000.0,2793000000.0,14138000000.0,16931000000.0,25535000000,3773000000.0,5271000000.0,5927000000.0,9695000000.0,14966000000,507000000.0,12983000000.0,10569000000.0,25535000000,579000000.0,109000000.0,-25000000.0,-1065000000.0,-531000000.0,-66000000.0,-468000000.0,-402000000.0,-60000000.0,-132000000.0,-132000000.0,0.0,-570000000.0,-731000000.0,-1265000000,2014-03-31,122.61000061035156,123.79000091552734,122.5999984741211,123.37999725341795,109.15542602539062,1007100.0
2014-06-30,6039000000.0,-4629000000.0,1410000000.0,-590000000.0,-590000000.0,820000000.0,-64000000.0,-70000000.0,756000000,756000000,-245000000.0,511000000,511000000,511000000,3476000000.0,3280000000.0,741000000.0,8390000000.0,2818000000.0,14143000000.0,16961000000.0,25351000000,3920000000.0,5414000000.0,5927000000.0,9669000000.0,15083000000,209000000.0,12945000000.0,10268000000.0,25351000000,511000000.0,108000000.0,-2000000.0,-45000000.0,-46000000.0,33000000.0,-32000000.0,572000000.0,-116000000.0,-116000000.0,-148000000.0,0.0,-731000000.0,-865000000.0,-409000000,2014-06-30,121.11000061035156,121.13999938964844,119.38999938964844,119.62999725341795,106.45735931396484,938900.0
2014-09-30,5984000000.0,-4635000000.0,1349000000.0,-580000000.0,-580000000.0,769000000.0,-75000000.0,-69000000.0,694000000,694000000,-221000000.0,473000000,473000000,473000000,3402000000.0,3233000000.0,671000000.0,8122000000.0,2845000000.0,14076000000.0,16921000000.0,25043000000,4028000000.0,5511000000.0,5926000000.0,9639000000.0,15150000000,203000000.0,12568000000.0,9893000000.0,25043000000,473000000.0,105000000.0,71000000.0,284000000.0,46000000.0,76000000.0,162000000.0,933000000.0,-109000000.0,-109000000.0,-143000000.0,0.0,-757000000.0,-898000000.0,-74000000,2014-09-30,132.16999816894528,132.94000244140622,131.30999755859378,131.75999450683594,117.89837646484376,1390500.0
2014-12-31,6108000000.0,-4653000000.0,1455000000.0,-693000000.0,-693000000.0,762000000.0,-61000000.0,-74000000.0,701000000,701000000,-195000000.0,506000000,506000000,506000000,3863000000.0,2806000000.0,742000000.0,7780000000.0,2991000000.0,15801000000.0,18792000000.0,26572000000,4459000000.0,5892000000.0,5925000000.0,13445000000.0,19337000000,199000000.0,12392000000.0,7235000000.0,26572000000,506000000.0,140000000.0,156000000.0,688000000.0,426000000.0,-67000000.0,329000000.0,1490000000.0,-276000000.0,-288000000.0,-140000000.0,0.0,-610000000.0,-741000000.0,461000000,2014-12-31,150.75,151.2100067138672,147.22999572753906,147.38999938964844,132.53944396972656,1600600.0
2015-03-31,5957000000.0,-4542000000.0,1415000000.0,-635000000.0,-635000000.0,780000000.0,-76000000.0,-76000000.0,704000000,704000000,-220000000.0,484000000,484000000,484000000,2646000000.0,3131000000.0,818000000.0,7143000000.0,2989000000.0,15134000000.0,18123000000.0,25266000000,3741000000.0,5284000000.0,6418000000.0,13234000000.0,18518000000,195000000.0,11843000000.0,6748000000.0,25266000000,484000000.0,99000000.0,111000000.0,-1348000000.0,-325000000.0,-76000000.0,-947000000.0,-654000000.0,-117000000.0,-115000000.0,-156000000.0,600000000.0,-825000000.0,-448000000.0,-1217000000,2015-03-31,161.94000244140625,162.8699951171875,160.9600067138672,160.9600067138672,145.34548950195312,1175400.0
2015-06-30,5896000000.0,-4442000000.0,1454000000.0,-641000000.0,-641000000.0,813000000.0,-77000000.0,-75000000.0,736000000,736000000,-205000000.0,531000000,531000000,531000000,1907000000.0,3151000000.0,856000000.0,6460000000.0,3005000000.0,15087000000.0,18092000000.0,24552000000,3713000000.0,5154000000.0,6417000000.0,13227000000.0,18381000000,188000000.0,11164000000.0,6171000000.0,24552000000,531000000.0,117000000.0,-23000000.0,1000000.0,-19000000.0,-41000000.0,61000000.0,626000000.0,-115000000.0,-119000000.0,-153000000.0,0.0,-1091000000.0,-1246000000.0,-739000000,2015-06-30,159.99000549316406,160.24000549316406,158.16000366210938,158.6300048828125,143.96438598632812,900600.0
