Report Date,Revenue,Cost of Revenue,Gross Profit,Operating Expenses,"Selling, General & Administrative",Operating Income (Loss),Non-Operating Income (Loss),"Interest Expense, Net","Pretax Income (Loss), Adj.",Pretax Income (Loss),"Income Tax (Expense) Benefit, Net",Income (Loss) from Continuing Operations,Net Income,Net Income (Common),"Cash, Cash Equivalents & Short Term Investments",Accounts & Notes Receivable,Inventories,Total Current Assets,"Property, Plant & Equipment, Net",Other Long Term Assets,Total Noncurrent Assets,Total Assets,Payables & Accruals,Total Current Liabilities,Long Term Debt,Total Noncurrent Liabilities,Total Liabilities,Share Capital & Additional Paid-In Capital,Retained Earnings,Total Equity,Total Liabilities & Equity,Net Income/Starting Line,Depreciation & Amortization.1,Non-Cash Items,Change in Working Capital,Change in Accounts Receivable,Change in Inventories,Change in Accounts Payable,Change in Other,Net Cash from Operating Activities,Change in Fixed Assets & Intangibles,Net Cash from Investing Activities,Cash from (Repayment of) Debt,Cash from (Repurchase of) Equity,Net Cash from Financing Activities,Net Change in Cash,Price Date,Open,High,Low,Close,Adj Close,Volume
2009-12-31,1173697000.0,-604163000.0,569534000.0,-444122000.0,-444122000.0,125412000.0,-9439000.0,-10653000.0,115973000,115973000,-44050000.0,71923000,71923000,71923000,26935000.0,170997000.0,1913218000.0,2226719000.0,1726379000.0,828373000.0,2554752000.0,4781471000,873501000.0,1219143000.0,684040000.0,876463000.0,2095606000,1043704000.0,1650123000.0,2685865000.0,4781471000,71923000.0,37054000.0,-632000.0,-112125000.0,2267000.0,-57168000.0,-70484000.0,13260000.0,-3780000.0,-95882000.0,-95830000.0,93800000.0,8504000.0,97010000.0,-2600000,2009-12-31,38.650001525878906,38.70000076293945,38.11999893188477,38.11999893188477,38.11999893188477,694300.0
2010-03-31,1280067000.0,-661720000.0,618347000.0,-449902000.0,-449902000.0,168445000.0,-9969000.0,-10483000.0,158476000,158476000,-61000000.0,97476000,97476000,97476000,29872000.0,187191000.0,1903108000.0,2231558000.0,1784301000.0,822006000.0,2606307000.0,4837865000,863164000.0,1254804000.0,596710000.0,782743000.0,2037547000,1059786000.0,1747599000.0,2800318000.0,4837865000,97476000.0,39935000.0,24136000.0,9099000.0,-17424000.0,10110000.0,-23509000.0,39922000.0,170646000.0,-90343000.0,-90257000.0,-85600000.0,8836000.0,-77452000.0,2937000,2010-03-31,41.650001525878906,41.93999862670898,41.45000076293945,41.709999084472656,41.709999084472656,1617400.0
2010-06-30,1381241000.0,-708608000.0,672633000.0,-476469000.0,-476469000.0,196164000.0,-9719000.0,-10643000.0,186445000,171445000,-71850000.0,99595000,99595000,99595000,31611000.0,196592000.0,1932479000.0,2257497000.0,1830745000.0,828277000.0,2659022000.0,4916519000,924883000.0,1309104000.0,479233000.0,676963000.0,1986067000,1088724000.0,1847194000.0,2930452000.0,4916519000,99595000.0,40002000.0,16754000.0,28746000.0,-8252000.0,-29371000.0,59807000.0,6562000.0,185097000.0,-90223000.0,-90337000.0,-115900000.0,18921000.0,-93021000.0,1739000,2010-06-30,47.63999938964844,48.47000122070313,47.29999923706055,47.56000137329102,47.56000137329102,1068300.0
2010-09-30,1425887000.0,-732472000.0,693415000.0,-488484000.0,-488484000.0,204931000.0,-8839000.0,-9246000.0,196092000,190192000,-73650000.0,116542000,116542000,116542000,43193000.0,194159000.0,1997718000.0,2309596000.0,1891560000.0,822263000.0,2713823000.0,5023419000,997827000.0,1383262000.0,326554000.0,565886000.0,1949148000,1114630000.0,1963736000.0,3074271000.0,5023419000,116542000.0,40794000.0,56783000.0,22701000.0,1927000.0,-65239000.0,88611000.0,-2598000.0,236820000.0,-94031000.0,-94121000.0,-152300000.0,17832000.0,-131117000.0,11582000,2010-09-30,53.88000106811523,53.88999938964844,52.61999893188477,53.20000076293945,53.20000076293945,1539700.0
2010-12-31,1310330000.0,-673733000.0,636597000.0,-472461000.0,-472461000.0,164136000.0,-6515000.0,-6960000.0,157621000,169260000,-63500000.0,105760000,105760000,105760000,29721000.0,183652000.0,2023488000.0,2301252000.0,1930095000.0,816480000.0,2746575000.0,5047827000,946928000.0,1228958000.0,357273000.0,609184000.0,1838142000,1143159000.0,2069496000.0,3209685000.0,5047827000,105760000.0,40711000.0,3076000.0,-38423000.0,2001000.0,-25771000.0,-42335000.0,27682000.0,111124000.0,-88698000.0,-76562000.0,31000000.0,17527000.0,-48034000.0,-13472000,2010-12-31,60.959999084472656,61.06000137329102,60.27999877929688,60.41999816894531,60.41999816894531,422000.0
2011-03-31,1382738000.0,-712957000.0,669781000.0,-473344000.0,-473344000.0,196437000.0,-4400000.0,-4695000.0,192037000,166174000,-63700000.0,102474000,102474000,102474000,230048000.0,196865000.0,2001314000.0,2467411000.0,1972420000.0,808255000.0,2780675000.0,5248086000,1031479000.0,1317974000.0,497641000.0,742262000.0,2060236000,1139636000.0,2048214000.0,3187850000.0,5248086000,102474000.0,38791000.0,44342000.0,108506000.0,-9503000.0,22175000.0,81907000.0,13927000.0,294113000.0,-94152000.0,-92246000.0,140485000.0,-136379000.0,-1540000.0,200327000,2011-03-31,57.79999923706055,57.97999954223633,56.81999969482422,57.459999084472656,57.459999084472656,1088200.0
2011-06-30,1479318000.0,-760657000.0,718661000.0,-496293000.0,-496293000.0,222368000.0,-5386000.0,-5695000.0,216982000,216982000,-83210000.0,133772000,133772000,133772000,268792000.0,203991000.0,2035282000.0,2554184000.0,2008594000.0,803124000.0,2811718000.0,5365902000,1167619000.0,1458243000.0,497547000.0,754274000.0,2212517000,1137095000.0,2016290000.0,3153385000.0,5365902000,133772000.0,41323000.0,7296000.0,84964000.0,-10332000.0,-33968000.0,137639000.0,-8375000.0,267355000.0,-55876000.0,-54534000.0,0.0,-178925000.0,-174077000.0,38744000,2011-06-30,64.83999633789061,65.62999725341797,64.5,65.51000213623047,65.51000213623047,1188700.0
2011-09-30,1535453000.0,-781243000.0,754210000.0,-513160000.0,-513160000.0,241050000.0,-6021000.0,-6696000.0,235029000,235029000,-86590000.0,148439000,148439000,148439000,276717000.0,201555000.0,2009407000.0,2536514000.0,2057875000.0,802394000.0,2860269000.0,5396783000,1243737000.0,1506047000.0,796962000.0,1060188000.0,2566235000,1099301000.0,1731247000.0,2830548000.0,5396783000,148439000.0,42627000.0,-1034000.0,88649000.0,-2282000.0,25875000.0,75605000.0,-10549000.0,278681000.0,-92533000.0,-91192000.0,299478000.0,-483455000.0,-179564000.0,7925000,2011-09-30,66.41999816894531,68.12999725341797,66.05999755859375,66.62999725341797,66.62999725341797,1475400.0
2011-12-31,1391307000.0,-696610000.0,694697000.0,-490584000.0,-490584000.0,204113000.0,-9323000.0,-8834000.0,194790000,197588000,-74600000.0,122988000,122988000,122988000,361552000.0,203753000.0,1985748000.0,2607610000.0,2093767000.0,799124000.0,2892891000.0,5500501000,1332449000.0,1580010000.0,796912000.0,1075640000.0,2655650000,1111377000.0,1733474000.0,2844851000.0,5500501000,122988000.0,43139000.0,32825000.0,79890000.0,898000.0,23658000.0,88481000.0,-33147000.0,278842000.0,-83043000.0,-81681000.0,0.0,-120311000.0,-112326000.0,84835000,2011-12-30,80.87999725341797,80.9800033569336,79.94000244140625,79.94999694824219,79.94999694824219,587300.0
2012-06-30,1562849000.0,-782988000.0,779861000.0,-536258000.0,-536258000.0,243603000.0,-8533000.0,-8482000.0,235070000,235070000,-88950000.0,146120000,146120000,146120000,367717000.0,213645000.0,2145339000.0,2763992000.0,2152785000.0,793315000.0,2946100000.0,5710092000,1755712000.0,2012898000.0,796884000.0,1084542000.0,3097440000,1123234000.0,1489418000.0,2612652000.0,5710092000,146120000.0,44397000.0,-4793000.0,91206000.0,-9442000.0,-140422000.0,230520000.0,10550000.0,276930000.0,-74286000.0,-73257000.0,0.0,-423878000.0,-411152000.0,-207479000,2012-06-29,82.20999908447266,85.05999755859375,82.19999694824219,83.7699966430664,83.7699966430664,2354400.0
