Report Date,Revenue,Cost of Revenue,Gross Profit,Operating Expenses,"Selling, General & Administrative",Operating Income (Loss),Non-Operating Income (Loss),"Pretax Income (Loss), Adj.",Pretax Income (Loss),"Income Tax (Expense) Benefit, Net",Income (Loss) from Continuing Operations,Net Income,Net Income (Common),"Cash, Cash Equivalents & Short Term Investments",Accounts & Notes Receivable,Total Current Assets,"Property, Plant & Equipment, Net",Long Term Investments & Receivables,Other Long Term Assets,Total Noncurrent Assets,Total Assets,Payables & Accruals,Total Current Liabilities,Total Noncurrent Liabilities,Total Liabilities,Share Capital & Additional Paid-In Capital,Retained Earnings,Total Equity,Total Liabilities & Equity,Net Income/Starting Line,Depreciation & Amortization.1,Non-Cash Items,Change in Working Capital,Net Cash from Operating Activities,Change in Fixed Assets & Intangibles,Net Change in Long Term Investment,Net Cash from Acquisitions & Divestitures,Net Cash from Investing Activities,Dividends Paid,Cash from (Repurchase of) Equity,Net Cash from Financing Activities,Net Change in Cash,Price Date,Open,High,Low,Close,Adj Close,Volume
2012-05-31,551500000.0,-169100000.0,382400000.0,-186500000.0,-186500000.0,195900000.0,1800000.0,197700000,197700000,-74400000.0,123300000,123300000,123300000,316300000.0,142400000.0,5075900000.0,324300000.0,473700000.0,605700000.0,1403700000.0,6479600000,200600000.0,4745700000.0,129400000.0,4875100000,564700000.0,1002100000.0,1604500000.0,6479600000,123300000.0,24900000.0,23200000.0,-27400000.0,144000000.0,-27500000.0,540800000.0,0.0,-453100000.0,-116200000.0,0.0,271400000.0,-37700000,2012-05-31,30.09000015258789,30.21999931335449,29.90999984741211,29.96999931335449,22.105621337890625,3548200.0
2012-11-30,569400000.0,-163600000.0,405800000.0,-175800000.0,-175800000.0,230000000.0,1900000.0,231900000,231900000,-84000000.0,147900000,147900000,147900000,301200000.0,169300000.0,4268800000.0,351800000.0,504300000.0,599300000.0,1455400000.0,5724200000,160400000.0,3888600000.0,137400000.0,4026000000,597700000.0,1060800000.0,1698200000.0,5724200000,147900000.0,24200000.0,26600000.0,-90400000.0,108300000.0,-32900000.0,390300000.0,-12000000.0,-34300000.0,-120000000.0,0.0,-100400000.0,-26400000,2012-11-30,32.5,32.700000762939446,32.439998626708984,32.540000915527344,24.48101043701172,2386600.0
2013-02-28,593300000.0,-171200000.0,422100000.0,-197100000.0,-197100000.0,225000000.0,1400000.0,226400000,226400000,-81900000.0,144500000,144500000,144500000,570600000.0,125100000.0,6319600000.0,341700000.0,227000000.0,619200000.0,1187900000.0,7507500000,196800000.0,5756500000.0,145100000.0,5901600000,608300000.0,964900000.0,1605900000.0,7507500000,144500000.0,25000000.0,-3100000.0,114000000.0,280400000.0,-24300000.0,-1890300000.0,-9300000.0,-1913200000.0,-240300000.0,0.0,1610600000.0,-22200000,2013-02-28,33.150001525878906,33.330001831054695,33.060001373291016,33.110000610351555,25.40414619445801,3224700.0
2013-05-31,585300000.0,-173000000.0,412300000.0,-200500000.0,-200500000.0,211800000.0,1400000.0,213200000,213200000,-89700000.0,123500000,123500000,123500000,505500000.0,133400000.0,4832600000.0,346000000.0,369100000.0,616000000.0,1331100000.0,6163700000,180900000.0,4268200000.0,121800000.0,4390000000,663200000.0,1088500000.0,1773700000.0,6163700000,123500000.0,24900000.0,31700000.0,-111200000.0,68900000.0,-24500000.0,1150200000.0,0.0,1357300000.0,0.0,0.0,-1419300000.0,6900000,2013-05-31,37.540000915527344,38.0,37.22999954223633,37.22999954223633,28.56527328491211,3350000.0
2013-08-31,613100000.0,-169900000.0,443200000.0,-188100000.0,-188100000.0,255100000.0,1200000.0,256300000,256300000,-93500000.0,162800000,162800000,162800000,559200000.0,154700000.0,4698300000.0,350500000.0,365600000.0,616800000.0,1332900000.0,6031200000,195300000.0,4150400000.0,132400000.0,4282800000,719100000.0,1034200000.0,1748400000.0,6031200000,162800000.0,24400000.0,35100000.0,44400000.0,266700000.0,-25800000.0,323600000.0,0.0,30800000.0,-127900000.0,-83900000.0,-293200000.0,4300000,2013-08-30,38.5099983215332,38.75,38.34000015258789,38.68000030517578,29.94470024108887,2261400.0
2013-11-30,616400000.0,-173600000.0,442800000.0,-194200000.0,-194200000.0,248600000.0,1300000.0,249900000,249900000,-91200000.0,158700000,158700000,158700000,463400000.0,178800000.0,4663800000.0,351400000.0,375900000.0,628300000.0,1355600000.0,6019400000,172200000.0,4119100000.0,139900000.0,4259000000,753500000.0,993200000.0,1760400000.0,6019400000,158700000.0,26000000.0,31000000.0,-82200000.0,133500000.0,-26800000.0,490000000.0,-9300000.0,163500000.0,-127800000.0,-75200000.0,-195600000.0,101400000,2013-11-29,43.68999862670898,44.0,43.65999984741211,43.72999954223633,34.130306243896484,858000.0
2014-02-28,650400000.0,-191000000.0,459400000.0,-208700000.0,-208700000.0,250700000.0,1500000.0,252200000,252200000,-92100000.0,160100000,160100000,160100000,585700000.0,129600000.0,5719300000.0,345100000.0,377800000.0,627200000.0,1350100000.0,7069400000,206900000.0,5138900000.0,142300000.0,5281200000,779900000.0,983700000.0,1788200000.0,7069400000,160100000.0,26300000.0,2000000.0,117200000.0,305600000.0,-17300000.0,-259000000.0,0.0,-1088500000.0,-127700000.0,-43900000.0,841200000.0,58300000,2014-02-28,41.45000076293945,41.97999954223633,41.15999984741211,41.7599983215332,32.86651611328125,2444200.0
2014-05-31,639000000.0,-198000000.0,441000000.0,-212700000.0,-212700000.0,228300000.0,1400000.0,229700000,229700000,-83800000.0,145900000,145900000,145900000,551200000.0,149400000.0,5002500000.0,342200000.0,385600000.0,639800000.0,1367600000.0,6370100000,220500000.0,4438900000.0,154200000.0,4593100000,798000000.0,957500000.0,1777000000.0,6370100000,145900000.0,28300000.0,25500000.0,-24600000.0,175100000.0,-25500000.0,-324500000.0,0.0,578100000.0,-127200000.0,-46700000.0,-872000000.0,-118800000,2014-05-30,41.59000015258789,41.61999893188477,41.040000915527344,41.11000061035156,32.63735198974609,3017300.0
2014-08-31,666800000.0,-194300000.0,472500000.0,-205000000.0,-205000000.0,267500000.0,1400000.0,268900000,268900000,-97600000.0,171300000,171300000,171300000,559300000.0,168900000.0,4872000000.0,346600000.0,396500000.0,671500000.0,1414600000.0,6286600000,256400000.0,4344000000.0,157000000.0,4501000000,815900000.0,943700000.0,1785600000.0,6286600000,171300000.0,26500000.0,36500000.0,28800000.0,263100000.0,-26400000.0,612700000.0,-27500000.0,358900000.0,-138300000.0,-37500000.0,-311900000.0,310100000,2014-08-29,41.9900016784668,41.9900016784668,41.459999084472656,41.650001525878906,33.368900299072266,1711400.0
2014-11-30,676300000.0,-199100000.0,477200000.0,-207000000.0,-207000000.0,270200000.0,1400000.0,271600000,271600000,-98600000.0,173000000,173000000,173000000,529000000.0,205600000.0,4859900000.0,344400000.0,398500000.0,671700000.0,1414600000.0,6274500000,214200000.0,4279300000.0,160900000.0,4440200000,847600000.0,964300000.0,1834300000.0,6274500000,173000000.0,26000000.0,31300000.0,-88700000.0,141600000.0,-20800000.0,-539500000.0,400000.0,-304200000.0,-137900000.0,-15000000.0,-159600000.0,-322200000,2014-11-28,46.75,47.75,46.75,47.40999984741211,38.30005645751953,2162100.0
