Report Date,Revenue,Cost of Revenue,Gross Profit,Operating Expenses,"Selling, General & Administrative",Research & Development,Operating Income (Loss),Non-Operating Income (Loss),"Interest Expense, Net","Pretax Income (Loss), Adj.",Pretax Income (Loss),"Income Tax (Expense) Benefit, Net",Income (Loss) from Continuing Operations,Net Extraordinary Gains (Losses),Net Income,Net Income (Common),"Cash, Cash Equivalents & Short Term Investments",Accounts & Notes Receivable,Inventories,Total Current Assets,"Property, Plant & Equipment, Net",Other Long Term Assets,Total Noncurrent Assets,Total Assets,Payables & Accruals,Short Term Debt,Total Current Liabilities,Long Term Debt,Total Noncurrent Liabilities,Total Liabilities,Share Capital & Additional Paid-In Capital,Retained Earnings,Total Equity,Total Liabilities & Equity,Net Income/Starting Line,Depreciation & Amortization.1,Non-Cash Items,Change in Working Capital,Change in Accounts Receivable,Change in Inventories,Change in Accounts Payable,Change in Other,Net Cash from Operating Activities,Change in Fixed Assets & Intangibles,Net Cash from Acquisitions & Divestitures,Net Cash from Investing Activities,Dividends Paid,Cash from (Repayment of) Debt,Cash from (Repurchase of) Equity,Net Cash from Financing Activities,Net Change in Cash,Price Date,Open,High,Low,Close,Adj Close,Volume
2010-03-31,707013000.0,-493311000.0,213702000.0,-150101000.0,-132890000.0,-17211000.0,63601000.0,-9443000.0,-9527000.0,54158000,54158000,-18129000.0,36029000,524000.0,35321000,35321000,46783000.0,550830000.0,363667000.0,1054525000.0,330201000.0,2596458000.0,2926659000.0,3981184000,300529000.0,3782000.0,477518000.0,862351000.0,1391610000.0,1869128000,491576000.0,1518726000.0,2112056000.0,3981184000,36553000.0,21310000.0,6258000.0,-74434000.0,-99054000.0,-5525000.0,22479000.0,7666000.0,-10313000.0,-11932000.0,0.0,-11640000.0,-18837000.0,60501000.0,-1938000.0,40706000.0,13387000,2010-03-31,23.88851547241211,24.39221000671387,23.861652374267567,23.92209434509277,19.135486602783203,1260141.0
2010-06-30,796167000.0,-547999000.0,248168000.0,-148042000.0,-131043000.0,-16999000.0,100126000.0,-7194000.0,-8569000.0,92932000,92932000,-31320000.0,61612000,593000.0,61081000,61081000,38580000.0,475679000.0,389428000.0,995623000.0,318124000.0,2538953000.0,2857077000.0,3852700000,349330000.0,2483000.0,525728000.0,734472000.0,1235157000.0,1760885000,496574000.0,1560944000.0,2091815000.0,3852700000,62205000.0,20923000.0,-8395000.0,91994000.0,65616000.0,-33126000.0,24459000.0,35045000.0,166727000.0,-16762000.0,0.0,-18340000.0,-18863000.0,-129107000.0,1121000.0,-146557000.0,-8203000,2010-06-30,21.65211677551269,22.061786651611328,21.537944793701172,21.62525177001953,17.38824462890625,1200432.0
2012-12-31,1641800000.0,-1247100000.0,394700000.0,-599300000.0,-568600000.0,-30700000.0,-204600000.0,-19400000.0,-18500000.0,-224000000,-360100000,111200000.0,-248900000,-25700000.0,-273300000,-273300000,261300000.0,1274600000.0,1333900000.0,3204300000.0,1188200000.0,7490200000.0,8678400000.0,11882700000,567000000.0,3100000.0,1645100000.0,2454300000.0,3750100000.0,5395200000,5405900000.0,1292300000.0,6487500000.0,11882700000,-249000000.0,82100000.0,-72000000.0,57400000.0,3900000.0,108900000.0,-23100000.0,-32300000.0,-203700000.0,-44200000.0,-201300000.0,-248300000.0,-46300000.0,456600000.0,-288000000.0,39100000.0,-405200000,2012-12-31,31.77300262451172,33.11618423461914,31.77300262451172,33.008731842041016,28.01836204528809,2970853.0
2013-09-30,1713300000.0,-1098600000.0,614700000.0,-384700000.0,-353400000.0,-31300000.0,230000000.0,-17000000.0,-17500000.0,213000000,213100000,-46700000.0,166400000,7800000.0,172800000,172800000,237700000.0,1299200000.0,1296100000.0,3211300000.0,1171900000.0,7421000000.0,8592900000.0,11804200000,579400000.0,3000000.0,1678400000.0,2570700000.0,3924100000.0,5602500000,5180000000.0,1671100000.0,6201700000.0,11804200000,144400000.0,61200000.0,13500000.0,6200000.0,14900000.0,-12400000.0,-18400000.0,22100000.0,247900000.0,-38200000.0,900000.0,-37500000.0,-49900000.0,-167500000.0,-26000000.0,-242200000.0,-10000000,2013-09-30,43.673606872558594,43.91537857055664,43.50571060180664,43.61316299438477,37.499717712402344,1491829.0
2013-12-31,1548200000.0,-984000000.0,564200000.0,-340800000.0,-314900000.0,-25900000.0,223400000.0,-17600000.0,-18000000.0,205800000,198800000,-56400000.0,142400000,17300000.0,158200000,158200000,256000000.0,1285000000.0,1195100000.0,3232100000.0,1044300000.0,7466900000.0,8511200000.0,11743300000,576900000.0,2500000.0,1610200000.0,2547900000.0,3915400000.0,5525600000,5184900000.0,1829100000.0,6217700000.0,11743300000,163600000.0,59800000.0,-34100000.0,130600000.0,-66200000.0,48100000.0,24400000.0,124300000.0,293900000.0,-41400000.0,4600000.0,-34300000.0,-50300000.0,-18800000.0,-166300000.0,-226000000.0,36800000,2013-12-31,52.17595672607422,52.31698989868164,51.77971649169922,52.16252517700195,45.024715423583984,1049001.0
2014-03-31,1644000000.0,-1079900000.0,564100000.0,-382000000.0,-352500000.0,-29500000.0,182100000.0,-15800000.0,-16100000.0,166300000,166300000,-40800000.0,125500000,-6900000.0,118600000,118600000,211100000.0,1410700000.0,1271600000.0,3305300000.0,1162000000.0,7299200000.0,8461200000.0,11766500000,575400000.0,2800000.0,1528100000.0,2933800000.0,4302100000.0,5830200000,5165000000.0,1947700000.0,5936300000.0,11766500000,119900000.0,63300000.0,5500000.0,-201400000.0,-76900000.0,-34500000.0,-35700000.0,-54300000.0,2500000.0,-26800000.0,0.0,-27300000.0,-49200000.0,381300000.0,-228200000.0,-24700000.0,-52100000,2014-03-31,52.57219696044922,53.31766128540039,52.44459533691406,53.28408432006836,46.14115905761719,1536648.0
2014-06-30,1834100000.0,-1187800000.0,646300000.0,-419900000.0,-389700000.0,-30200000.0,226400000.0,-17600000.0,-17900000.0,208800000,208600000,-49400000.0,159200000,2300000.0,161500000,161500000,174400000.0,1302200000.0,1264300000.0,3165900000.0,1151600000.0,7299300000.0,8450900000.0,11616800000,587000000.0,6100000.0,1777100000.0,2739000000.0,4120900000.0,5898000000,4939500000.0,2109200000.0,5718800000.0,11616800000,159200000.0,63500000.0,18300000.0,188900000.0,117200000.0,8000000.0,26400000.0,37300000.0,412000000.0,-30100000.0,0.0,-29300000.0,-49900000.0,-191500000.0,-191000000.0,-430700000.0,-39400000,2014-06-30,48.78442001342773,49.26796340942383,48.30759048461914,48.4351921081543,42.0826416015625,3155191.0
2014-09-30,1758400000.0,-1133700000.0,624700000.0,-357300000.0,-328800000.0,-28500000.0,267400000.0,-16800000.0,-17100000.0,250600000,250600000,-58100000.0,192500000,-378500000.0,-186000000,-186000000,156600000.0,1180900000.0,1199400000.0,3052400000.0,990800000.0,6883700000.0,7874500000.0,10926900000,527200000.0,2500000.0,1668700000.0,2960700000.0,4290800000.0,5959500000,4544400000.0,1923200000.0,4967400000.0,10926900000,-187600000.0,63000000.0,383500000.0,11900000.0,31200000.0,-12000000.0,-25100000.0,17800000.0,268700000.0,-31500000.0,0.0,-30900000.0,-57100000.0,223500000.0,-400500000.0,-231900000.0,-8100000,2014-09-30,44.51309585571289,44.64741516113281,43.88851547241211,43.98254013061523,38.37295150756836,3866486.0
2014-12-31,-569700000.0,355100000.0,-214600000.0,77200000.0,85400000.0,-8200000.0,-137400000.0,-17200000.0,-17500000.0,-154600000,-154600000,34000000.0,-120600000,241400000.0,120800000,120800000,110400000.0,1205900000.0,1130400000.0,2894100000.0,950000000.0,6811100000.0,7761100000.0,10655200000,583100000.0,6700000.0,1639500000.0,2997400000.0,4351900000.0,5991400000,4252000000.0,2044000000.0,4663800000.0,10655200000,-120600000.0,-49500000.0,20300000.0,137800000.0,-56200000.0,69300000.0,39700000.0,85000000.0,325200000.0,6600000.0,-12300000.0,-40800000.0,-55200000.0,41200000.0,-293300000.0,-307800000.0,-46000000,2014-12-31,45.01007461547852,45.319007873535156,44.53324508666992,44.607120513916016,39.09832382202149,1531437.0
2015-03-31,1475000000.0,-964800000.0,510200000.0,-339000000.0,-309200000.0,-29800000.0,171200000.0,-17700000.0,-18200000.0,153500000,153500000,-35300000.0,118200000,-4300000.0,113900000,113900000,131100000.0,1247500000.0,1177000000.0,2976900000.0,915400000.0,6677100000.0,7592500000.0,10569400000,504900000.0,5600000.0,1431100000.0,3403400000.0,4715000000.0,6146100000,4050800000.0,2157900000.0,4423300000.0,10569400000,118200000.0,60000000.0,10900000.0,-315300000.0,-85800000.0,-88200000.0,-60200000.0,-81100000.0,-133200000.0,-32500000.0,-3000000.0,19400000.0,-57500000.0,405600000.0,-191300000.0,159600000.0,20700000,2015-03-31,42.44459533691406,42.44459533691406,41.84016036987305,42.23640060424805,37.21028137207031,1763423.0
2015-06-30,1661200000.0,-1095000000.0,566200000.0,-348300000.0,-319300000.0,-29000000.0,217900000.0,-18000000.0,-18600000.0,199900000,199900000,-46000000.0,153900000,-6100000.0,147800000,147800000,147300000.0,1170600000.0,1200400000.0,2902900000.0,908500000.0,6753300000.0,7661800000.0,10564700000,525900000.0,5300000.0,1460000000.0,3260900000.0,4552600000.0,6012600000,4056700000.0,2247600000.0,4552100000.0,10564700000,149100000.0,62400000.0,4200000.0,105600000.0,88500000.0,-9400000.0,16800000.0,9700000.0,318700000.0,-11200000.0,-96000000.0,-103600000.0,-58100000.0,-146800000.0,8600000.0,-194500000.0,16200000,2015-06-30,45.43317794799805,46.58159637451172,45.00335693359375,46.17192840576172,40.88931274414063,10094080.0
2015-09-30,1112800000.0,-718100000.0,394700000.0,-241800000.0,-217000000.0,-24800000.0,152900000.0,-30700000.0,-30900000.0,122200000,122200000,-27500000.0,94700000,20500000.0,115200000,115200000,144900000.0,1136500000.0,1296200000.0,2964200000.0,921400000.0,8785300000.0,9706700000.0,12670900000,531000000.0,3200000.0,1496200000.0,4983200000.0,6638800000.0,8135000000,2851000000.0,2305200000.0,4535900000.0,12670900000,21000000.0,-18800000.0,12100000.0,145100000.0,44400000.0,64900000.0,-2200000.0,38000000.0,210400000.0,-19000000.0,-1814000000.0,-1846400000.0,-57700000.0,1725900000.0,4600000.0,1647400000.0,-2400000,2015-09-30,34.33176422119141,34.519813537597656,33.566150665283196,34.278038024902344,30.51474189758301,2898785.0
2015-12-31,367400000.0,-239700000.0,127700000.0,-53600000.0,-38500000.0,-15100000.0,74100000.0,-34000000.0,-34200000.0,40100000,36900000,-6600000.0,30300000,-483600000.0,-453300000,-453300000,126300000.0,773200000.0,564700000.0,2777600000.0,539800000.0,8516100000.0,9055900000.0,11833500000,403800000.0,0.0,1486500000.0,4685800000.0,6338200000.0,7824700000,2862100000.0,1791700000.0,4008800000.0,11833500000,102100000.0,45700000.0,13400000.0,82000000.0,-53300000.0,87400000.0,56200000.0,-8300000.0,343400000.0,-24000000.0,-3900000.0,-34900000.0,-58400000.0,-265300000.0,-2500000.0,-326200000.0,-18600000,2015-12-31,33.391536712646484,33.6064453125,33.23035430908203,33.26393508911133,29.78726005554199,1077440.0
2016-03-31,1190000000.0,-758700000.0,431300000.0,-278600000.0,-250100000.0,-28500000.0,152700000.0,-35800000.0,-36200000.0,116900000,116900000,-25100000.0,91800000,15600000.0,107400000,107400000,158100000.0,1268700000.0,1197700000.0,3005900000.0,951800000.0,8072500000.0,9024300000.0,12030200000,579000000.0,700000.0,1467600000.0,4837100000.0,6478400000.0,7946000000,2876600000.0,1839300000.0,4084200000.0,12030200000,91800000.0,45100000.0,-700000.0,-153900000.0,-97500000.0,-9400000.0,-1300000.0,-45700000.0,-15000000.0,-27400000.0,-100000.0,-32000000.0,-60100000.0,138400000.0,-1600000.0,77200000.0,31800000,2016-03-31,36.326393127441406,36.62860870361328,36.272666931152344,36.4405632019043,32.871280670166016,1829088.0
