Report Date,Revenue,Cost of Revenue,Gross Profit,Operating Expenses,"Selling, General & Administrative",Research & Development,Depreciation & Amortization,Operating Income (Loss),Non-Operating Income (Loss),"Pretax Income (Loss), Adj.",Abnormal Gains (Losses),Pretax Income (Loss),"Income Tax (Expense) Benefit, Net",Income (Loss) from Continuing Operations,Net Income,Net Income (Common),"Cash, Cash Equivalents & Short Term Investments",Accounts & Notes Receivable,Inventories,Total Current Assets,"Property, Plant & Equipment, Net",Other Long Term Assets,Total Noncurrent Assets,Total Assets,Payables & Accruals,Total Current Liabilities,Total Noncurrent Liabilities,Total Liabilities,Share Capital & Additional Paid-In Capital,Treasury Stock,Retained Earnings,Total Equity,Total Liabilities & Equity,Net Income/Starting Line,Depreciation & Amortization.1,Non-Cash Items,Change in Working Capital,Change in Accounts Receivable,Change in Inventories,Change in Accounts Payable,Change in Other,Net Cash from Operating Activities,Change in Fixed Assets & Intangibles,Net Change in Long Term Investment,Net Cash from Investing Activities,Dividends Paid,Cash from (Repurchase of) Equity,Net Cash from Financing Activities,Net Change in Cash,Price Date,Open,High,Low,Close,Adj Close,Volume
2012-09-30,421160000.0,-243510000.0,177650000.0,-102838000.0,-37791000.0,-56459000.0,-8588000.0,74812000.0,-94000.0,74718000,20000.0,74738000,-13164000.0,61574000,61574000,61574000,307100000.0,297600000.0,232900000.0,883300000.0,279400000.0,973900000.0,1253300000.0,2136600000,171900000.0,182700000.0,48400000.0,231100000,1968100000.0,-161800000.0,100800000.0,1905500000.0,2136600000,61500000.0,25900000.0,38100000.0,-75200000.0,-50700000.0,-22900000.0,5000000.0,-6600000.0,50300000.0,-30700000.0,0.0,-30700000.0,0.0,16800000.0,-40400000.0,-20800000,2012-09-28,23.979999542236328,24.26000022888184,23.45000076293945,23.559999465942386,21.231563568115234,5226400.0
2013-06-30,436100000.0,-247900000.0,188200000.0,-103900000.0,-40300000.0,-56600000.0,-7000000.0,84300000.0,200000.0,84500000,0.0,84500000,-18800000.0,65700000,65700000,65700000,400300000.0,283900000.0,232300000.0,959600000.0,309200000.0,949100000.0,1258300000.0,2217900000,149800000.0,159000000.0,58800000.0,217800000,2050700000.0,-343700000.0,294700000.0,2000100000.0,2217900000,65700000.0,25400000.0,22500000.0,-49300000.0,-49300000.0,-5100000.0,3600000.0,1500000.0,64300000.0,-33400000.0,0.0,-33400000.0,0.0,-86800000.0,-89400000.0,-58500000,2013-06-28,21.420000076293945,22.07999992370605,21.32999992370605,21.88999938964844,19.726613998413086,3457400.0
2013-09-30,477000000.0,-267900000.0,209100000.0,-103600000.0,-41600000.0,-55300000.0,-6700000.0,105500000.0,400000.0,105900000,0.0,105900000,-21700000.0,84200000,84200000,84200000,511100000.0,292700000.0,229500000.0,1073300000.0,328600000.0,931200000.0,1259800000.0,2333100000,167700000.0,179700000.0,52300000.0,232000000,2088400000.0,-365300000.0,378900000.0,2101100000.0,2333100000,84200000.0,25600000.0,31600000.0,16100000.0,-8800000.0,2500000.0,11300000.0,11100000.0,157500000.0,-38400000.0,0.0,-38400000.0,0.0,-12500000.0,-8300000.0,110800000,2013-09-30,24.46999931335449,25.06999969482422,24.26000022888184,24.84000015258789,22.385059356689453,2200100.0
2015-12-31,926800000.0,-454700000.0,472100000.0,-141600000.0,-51700000.0,-81500000.0,-8400000.0,330500000.0,-800000.0,329700000,88500000.0,418200000,-62900000.0,355300000,355300000,355300000,1233200000.0,527600000.0,276400000.0,2114700000.0,847900000.0,967900000.0,1815800000.0,3930500000,249200000.0,367900000.0,80000000.0,447900000,2632600000.0,-916500000.0,1774700000.0,3482600000.0,3930500000,355300000.0,59900000.0,-9300000.0,-60600000.0,3100000.0,-19000000.0,-96200000.0,51500000.0,345300000.0,-79500000.0,0.0,-79500000.0,-50200000.0,8600000.0,-76200000.0,189600000,2015-12-31,78.91000366210938,79.25,76.80000305175781,76.83000183105469,70.36100769042969,2341300.0
2016-03-31,775100000.0,-384700000.0,390400000.0,-132400000.0,-44000000.0,-79800000.0,-8600000.0,258000000.0,-2600000.0,255400000,-300000.0,255100000,-47000000.0,208100000,208100000,208100000,1177500000.0,538500000.0,333700000.0,2127000000.0,837700000.0,993500000.0,1831200000.0,3958200000,235300000.0,324700000.0,90200000.0,414900000,2670400000.0,-1052100000.0,1933500000.0,3543300000.0,3958200000,208100000.0,62100000.0,19200000.0,-134900000.0,-3600000.0,-47400000.0,-14300000.0,-69600000.0,154500000.0,-37400000.0,0.0,-37400000.0,-49200000.0,-127400000.0,-172800000.0,-55700000,2016-03-31,77.61000061035156,78.29000091552734,77.30999755859375,77.9000015258789,71.65509033203125,2950200.0
2016-06-30,751700000.0,-373400000.0,378300000.0,-134800000.0,-46900000.0,-77900000.0,-10000000.0,243500000.0,-2400000.0,241100000,-4900000.0,236200000,-51200000.0,185000000,185000000,185000000,973700000.0,570000000.0,437600000.0,2078100000.0,844500000.0,1033100000.0,1877600000.0,3955700000,241300000.0,347000000.0,94400000.0,441400000,2698900000.0,-1244500000.0,2068900000.0,3514300000.0,3955700000,185000000.0,64600000.0,16100000.0,-124800000.0,-31500000.0,-94300000.0,300000.0,700000.0,140900000.0,-57200000.0,0.0,-112200000.0,-49400000.0,-186100000.0,-232500000.0,-203800000,2016-06-30,62.02999877929688,63.31000137329102,61.68000030517578,63.27999877929688,58.440696716308594,3375700.0
2016-09-30,835400000.0,-411000000.0,424400000.0,-132900000.0,-53300000.0,-73200000.0,-6400000.0,291500000.0,-800000.0,290700000,400000.0,291100000,-44300000.0,246800000,246800000,246800000,1083800000.0,416600000.0,424000000.0,2002100000.0,806300000.0,1047000000.0,1853300000.0,3855400000,152700000.0,210200000.0,103800000.0,314000000,2732200000.0,-1443500000.0,2263600000.0,3541400000.0,3855400000,246800000.0,61200000.0,8600000.0,120400000.0,153400000.0,13400000.0,-71300000.0,24900000.0,437000000.0,-21200000.0,0.0,-21800000.0,-52200000.0,-192600000.0,-305100000.0,110100000,2016-09-30,73.91000366210938,76.31999969482422,73.87999725341797,76.13999938964844,70.61617279052734,4110200.0
2016-12-31,914300000.0,-450400000.0,463900000.0,-141400000.0,-50900000.0,-82000000.0,-8500000.0,322500000.0,-800000.0,321700000,-600000.0,321100000,-63300000.0,257800000,257800000,257800000,1350500000.0,368400000.0,422800000.0,2198500000.0,801500000.0,1065700000.0,1867200000.0,4065700000,218600000.0,303400000.0,102000000.0,405400000,2794200000.0,-1594400000.0,2469500000.0,3660300000.0,4065700000,257800000.0,63800000.0,1300000.0,173000000.0,49300000.0,600000.0,50900000.0,72200000.0,495900000.0,-50100000.0,3200000.0,-60600000.0,-52200000.0,-91800000.0,-168600000.0,266700000,2016-12-30,76.83000183105469,76.83000183105469,74.31999969482422,74.66000366210938,69.50641632080078,1844400.0
2017-03-31,851700000.0,-426300000.0,425400000.0,-144200000.0,-47800000.0,-89400000.0,-7000000.0,281200000.0,200000.0,281400000,0.0,281400000,-56500000.0,224900000,224900000,224900000,1406900000.0,368800000.0,444500000.0,2308100000.0,800400000.0,1058300000.0,1858700000.0,4166800000,214700000.0,266900000.0,108100000.0,375000000,2848300000.0,-1689800000.0,2642600000.0,3791800000.0,4166800000,224900000.0,62900000.0,15100000.0,-74200000.0,-500000.0,-21900000.0,2300000.0,-54100000.0,228700000.0,-54900000.0,0.0,-54900000.0,-51900000.0,-78000000.0,-117400000.0,56400000,2017-03-31,98.30999755859376,98.48999786376952,97.70999908447266,97.9800033569336,91.49217224121094,1065300.0
2017-06-30,900800000.0,-447200000.0,453600000.0,-148600000.0,-49500000.0,-92000000.0,-7100000.0,305000000.0,2000000.0,307000000,-200000.0,306800000,-60600000.0,246200000,246200000,246200000,1444000000.0,397400000.0,482500000.0,2412000000.0,857700000.0,1040500000.0,1898200000.0,4310200000,246400000.0,300800000.0,111600000.0,412400000,2892000000.0,-1822200000.0,2837200000.0,3897800000.0,4310200000,246200000.0,62700000.0,15300000.0,-10100000.0,-28600000.0,-37400000.0,14900000.0,41000000.0,314100000.0,-113000000.0,0.0,-113000000.0,-51600000.0,-114900000.0,-164000000.0,37100000,2017-06-30,96.63999938964844,97.2699966430664,95.11000061035156,95.9499969482422,89.84175872802734,2194300.0
2017-09-30,984600000.0,-485700000.0,498900000.0,-153200000.0,-56400000.0,-91800000.0,-5000000.0,345700000.0,1800000.0,347500000,200000.0,347700000,-66400000.0,281300000,281300000,281300000,1616800000.0,454700000.0,493500000.0,2633700000.0,882300000.0,1057600000.0,1939900000.0,4573600000,326500000.0,387900000.0,120000000.0,507900000,2939600000.0,-1925000000.0,3059600000.0,4065700000.0,4573600000,281300000.0,65400000.0,17200000.0,53700000.0,-57300000.0,-10500000.0,79700000.0,41800000.0,417600000.0,-97400000.0,0.0,-97400000.0,-58900000.0,-93800000.0,-147400000.0,172800000,2017-09-29,101.33999633789062,102.0,100.81999969482422,101.9000015258789,95.71385955810548,1212300.0
