Report Date,Revenue,Cost of Revenue,Gross Profit,Operating Expenses,"Selling, General & Administrative",Research & Development,Depreciation & Amortization,Operating Income (Loss),Non-Operating Income (Loss),"Interest Expense, Net","Pretax Income (Loss), Adj.",Pretax Income (Loss),"Income Tax (Expense) Benefit, Net",Income (Loss) from Continuing Operations,Net Income,Net Income (Common),"Cash, Cash Equivalents & Short Term Investments",Accounts & Notes Receivable,Inventories,Total Current Assets,"Property, Plant & Equipment, Net",Other Long Term Assets,Total Noncurrent Assets,Total Assets,Payables & Accruals,Short Term Debt,Total Current Liabilities,Long Term Debt,Total Noncurrent Liabilities,Total Liabilities,Share Capital & Additional Paid-In Capital,Retained Earnings,Total Equity,Total Liabilities & Equity,Net Income/Starting Line,Depreciation & Amortization.1,Non-Cash Items,Change in Working Capital,Net Cash from Operating Activities,Change in Fixed Assets & Intangibles,Net Cash from Acquisitions & Divestitures,Net Cash from Investing Activities,Cash from (Repayment of) Debt,Cash from (Repurchase of) Equity,Net Cash from Financing Activities,Net Change in Cash,Price Date,Open,High,Low,Close,Adj Close,Volume
2010-06-30,333363000.0,-169937000.0,163426000.0,-122865000.0,-77812000.0,-36552000.0,-8501000.0,40561000.0,286000.0,-167000.0,40847000,40847000,-34076000.0,6771000,6353000,6353000,261660000.0,219583000.0,159179000.0,719944000.0,46058000.0,1014531000.0,1060589000.0,1780533000,134980000.0,2004000.0,250061000.0,151018000.0,288064000.0,538125000,735861000.0,472386000.0,1242408000.0,1780533000,6771000.0,18201000.0,-2402000.0,17236000.0,39806000.0,-5731000.0,-12976000.0,-30792000.0,-40000.0,-51292000.0,-50402000.0,-45413000,2010-06-30,14.06999969482422,14.34000015258789,13.994999885559082,14.0,14.0,949400.0
2010-09-30,318210000.0,-158462000.0,159748000.0,-128078000.0,-82865000.0,-36897000.0,-8316000.0,31670000.0,6659000.0,-355000.0,38329000,38329000,-5487000.0,32842000,32845000,32845000,211056000.0,229746000.0,176853000.0,686100000.0,49525000.0,1080455000.0,1129980000.0,1816080000,147774000.0,1913000.0,262266000.0,151180000.0,234487000.0,496753000,754664000.0,500407000.0,1319327000.0,1816080000,32842000.0,19006000.0,2741000.0,-62866000.0,-8277000.0,-6460000.0,-59152000.0,-48429000.0,-373000.0,675000.0,861000.0,-50604000,2010-09-30,17.430000305175778,17.764999389648438,17.295000076293945,17.520000457763672,17.520000457763672,1735200.0
2010-12-31,323349000.0,-160019000.0,163330000.0,-144074000.0,-94487000.0,-40750000.0,-8837000.0,19256000.0,3005000.0,-148000.0,22261000,22261000,13587000.0,35848000,36564000,36564000,220788000.0,222820000.0,192852000.0,714370000.0,50692000.0,1101830000.0,1152522000.0,1866892000,146193000.0,1993000.0,251815000.0,151160000.0,229378000.0,481193000,781779000.0,536350000.0,1385699000.0,1866892000,35848000.0,20362000.0,-15072000.0,-4140000.0,36998000.0,-7409000.0,-48162000.0,-47237000.0,-31000.0,12663000.0,20300000.0,9732000,2010-12-31,20.049999237060547,20.28499984741211,19.96500015258789,19.96500015258789,19.96500015258789,644400.0
2011-03-31,384293000.0,-192763000.0,191530000.0,-147855000.0,-94679000.0,-43232000.0,-9944000.0,43675000.0,2606000.0,-211000.0,46281000,46281000,-7409000.0,38872000,39703000,39703000,244342000.0,265693000.0,203014000.0,795931000.0,51634000.0,1152139000.0,1203773000.0,1999704000,154173000.0,153029000.0,421680000.0,271000.0,89023000.0,510703000,826495000.0,575968000.0,1489001000.0,1999704000,38872000.0,20668000.0,-2290000.0,-29323000.0,27927000.0,-4286000.0,-38979000.0,-43221000.0,-672000.0,27785000.0,35470000.0,23554000,2011-03-31,24.9950008392334,25.28000068664551,24.76000022888184,25.270000457763672,25.270000457763672,843000.0
2011-06-30,407169000.0,-198435000.0,208734000.0,-157167000.0,-100647000.0,-46292000.0,-10228000.0,51567000.0,8631000.0,-1031000.0,60198000,60198000,-6020000.0,54178000,53678000,53678000,249811000.0,257176000.0,216080000.0,812738000.0,53391000.0,1203676000.0,1257067000.0,2069805000,160411000.0,1969000.0,292584000.0,125287000.0,217219000.0,509803000,839716000.0,629576000.0,1560002000.0,2069805000,54178000.0,21148000.0,2349000.0,5114000.0,82789000.0,-5602000.0,-52470000.0,-51240000.0,-32934000.0,2878000.0,-27463000.0,5469000,2011-06-30,19.31999969482422,19.8799991607666,19.2549991607666,19.81999969482422,19.81999969482422,1428800.0
2011-09-30,417433000.0,-205874000.0,211559000.0,-179111000.0,-114750000.0,-49928000.0,-14433000.0,32448000.0,-2563000.0,-2942000.0,29885000,29885000,-2689000.0,27196000,27971000,27971000,138255000.0,287670000.0,215681000.0,740659000.0,61562000.0,1911177000.0,1972739000.0,2713398000,193284000.0,66873000.0,394778000.0,570380000.0,754163000.0,1148941000,861305000.0,657000000.0,1564457000.0,2713398000,27196000.0,29614000.0,-1293000.0,-4412000.0,51105000.0,-7780000.0,-670061000.0,-677385000.0,509889000.0,9519000.0,520156000.0,-111556000,2011-09-30,17.03499984741211,17.184999465942386,16.71500015258789,16.774999618530273,16.774999618530273,1695000.0
2011-12-31,435170000.0,-217412000.0,217758000.0,-189046000.0,-115103000.0,-57555000.0,-16388000.0,28712000.0,2378000.0,-3093000.0,31090000,31090000,-2427000.0,28663000,29403000,29403000,154621000.0,275201000.0,232063000.0,733057000.0,62724000.0,1856694000.0,1919418000.0,2652475000,190294000.0,65918000.0,411323000.0,498518000.0,652250000.0,1063573000,878514000.0,685639000.0,1588902000.0,2652475000,28663000.0,34981000.0,-14265000.0,30429000.0,79808000.0,-5610000.0,1773000.0,-1719000.0,-792210000.0,5687000.0,-63996000.0,16366000,2011-12-30,21.86000061035156,21.875,21.65999984741211,21.700000762939453,21.700000762939453,431800.0
2012-03-31,502267000.0,-243117000.0,259150000.0,-199302000.0,-122910000.0,-60235000.0,-16157000.0,59848000.0,479000.0,-3863000.0,60327000,60327000,-10255000.0,50072000,50818000,50818000,209146000.0,324663000.0,224656000.0,833719000.0,66462000.0,1971891000.0,2038353000.0,2872072000,194304000.0,87929000.0,465953000.0,535204000.0,702563000.0,1168516000,921780000.0,736457000.0,1703556000.0,2872072000,50072000.0,34359000.0,-3116000.0,-13657000.0,67658000.0,-8399000.0,-101392000.0,-109540000.0,58650000.0,26682000.0,92912000.0,54525000,2012-03-30,27.420000076293945,27.604999542236328,27.1200008392334,27.209999084472656,27.209999084472656,951000.0
2012-06-30,517560000.0,-249864000.0,267696000.0,-208775000.0,-127576000.0,-64305000.0,-16894000.0,58921000.0,4370000.0,-3773000.0,63291000,63291000,-10126000.0,53165000,53692000,53692000,121937000.0,317280000.0,227948000.0,751441000.0,73597000.0,2147924000.0,2221521000.0,2972962000,197080000.0,80178000.0,459656000.0,617179000.0,790569000.0,1250225000,944901000.0,784240000.0,1722737000.0,2972962000,53165000.0,34816000.0,-4440000.0,3895000.0,87436000.0,-12909000.0,-236284000.0,-249929000.0,73837000.0,480000.0,81991000.0,-87209000,2012-06-29,22.979999542236328,23.26000022888184,22.81999969482422,23.0049991607666,23.0049991607666,1754400.0
2012-09-30,504763000.0,-241895000.0,262868000.0,-199398000.0,-122204000.0,-61181000.0,-16013000.0,63470000.0,3352000.0,-3925000.0,66822000,66822000,-13022000.0,53800000,53364000,53364000,141840000.0,320904000.0,234301000.0,778025000.0,81653000.0,2161815000.0,2243468000.0,3021493000,206130000.0,89909000.0,485066000.0,553198000.0,711374000.0,1196440000,965035000.0,836903000.0,1825053000.0,3021493000,53800000.0,37050000.0,230000.0,-2280000.0,88800000.0,-12818000.0,-17808000.0,-28493000.0,-54993000.0,9980000.0,-43594000.0,19903000,2012-09-28,23.95499992370605,23.989999771118164,23.684999465942386,23.82999992370605,23.82999992370605,934800.0
2012-12-31,515523000.0,-259060000.0,256463000.0,-226134000.0,-136804000.0,-70737000.0,-18593000.0,30329000.0,8655000.0,-4796000.0,38984000,38984000,-6305000.0,32679000,33186000,33186000,157771000.0,323477000.0,240529000.0,815973000.0,96890000.0,2556241000.0,2653131000.0,3469104000,227662000.0,38092000.0,468670000.0,873066000.0,1086910000.0,1555580000,1006818000.0,868026000.0,1913524000.0,3469104000,32679000.0,43173000.0,-14669000.0,35623000.0,96806000.0,-21115000.0,-372630000.0,-376324000.0,264381000.0,22045000.0,295098000.0,15931000,2012-12-31,29.2450008392334,29.96500015258789,29.165000915527344,29.88999938964844,29.88999938964844,850800.0
